Project,now,before,Difference
Chart5,1,1,0
Chart10,1,1,0
Chart12,16,16,0
Chart18,2,2,0
Chart20,3,3,0
Chart21,4,3,-1
Chart22,2,7,5
Chart25,7,23,16
Chart26,3,19,16
Closure6,39,31,-8
Closure11,7,30,23
Closure15,8,4,-4
Closure16,1,1,0
Closure18,4,11,7
Closure19,6,27,21
Closure20,2,9,7
Closure21,9,7,-2
Closure22,1,5,4
Closure24,6,6,0
Closure30,1,1,0
Closure33,1,2,1
Closure35,20,16,-4
Closure39,6,22,16
Closure46,7,4,-3
Closure49,1,2,1
Closure50,3,5,2
Closure51,1,3,2
Closure58,17,15,-2
Closure76,15,15,0
Closure77,24,15,-9
Closure81,6,21,15
Closure83,7,5,-2
Closure85,5,3,-2
Closure90,7,39,32
Closure91,9,5,-4
Closure99,1,1,0
Closure101,4,43,39
Closure102,1,2,1
Closure103,7,24,17
Closure106,1,2,1
Closure110,8,6,-2
Closure112,27,28,1
Closure115,3,14,11
Closure116,36,36,0
Closure124,4,9,5
Closure126,20,21,1
Closure131,13,13,0
Lang3,4,4,0
Lang4,5,5,0
Lang5,4,4,0
Lang10,9,7,-2
Lang11,2,3,1
Lang12,1,1,0
Lang17,3,3,0
Lang19,1,3,2
Lang24,4,4,0
Lang28,1,2,1
Lang30,2,2,0
Lang33,3,7,4
Lang50,4,3,-1
Lang54,1,1,0
Lang55,1,1,0
Lang59,1,1,0
Lang63,3,8,5
Lang65,2,2,0
Math7,11,11,0
Math9,2,3,1
Math14,7,7,0
Math16,2,1,-1
Math21,5,1,-4
Math26,1,3,2
Math29,2,4,2
Math31,1,1,0
Math37,6,5,-1
Math39,2,1,-1
Math44,2,6,4
Math50,5,12,7
Math51,8,8,0
Math53,1,1,0
Math56,1,1,0
Math57,1,4,3
Math60,1,1,0
Math62,3,7,4
Math65,17,16,-1
Math66,2,7,5
Math68,5,23,18
Math74,5,4,-1
Math76,1,1,0
Math78,2,3,1
Math80,11,21,10
Math85,4,8,4
Math87,1,1,0
Math88,1,3,2
Math90,2,2,0
Math92,1,1,0
Math94,2,2,0
Math95,2,2,0
Math102,7,7,0
Math103,3,3,0
Mockito2,7,5,-2
Mockito3,1,5,4
Mockito8,4,2,-2
Mockito9,4,4,0
Mockito11,1,1,0
Mockito12,8,9,1
Mockito14,3,11,8
Mockito15,2,3,1
Mockito20,5,5,0
Mockito21,4,4,0
Mockito22,3,7,4
Mockito23,4,4,0
Mockito25,4,2,-2
Mockito28,2,8,6
Mockito30,2,3,1
Mockito31,2,3,1
Mockito35,2,2,0
Mockito37,7,3,-4
Mockito38,3,6,3
Time3,11,11,0
Time4,5,19,14
Time5,1,1,0
Time9,8,7,-1
Time10,1,1,0
Time11,7,15,8
Time17,21,20,-1
Time18,3,19,16
Time21,1,1,0
Time23,1,2,1
Time24,19,20,1
Time26,20,20,0
