Project,now,before,Difference
Lang-32,-1,-1,0
Lang-24,3,4,1
Lang-40,-1,-1,0
Lang-4,4,5,1
Lang-19,1,3,2
Lang-35,-1,-1,0
Lang-50,3,3,0
Lang-14,-1,-1,0
Lang-2,-1,-1,0
Lang-49,-1,-1,0
Lang-47,-1,-1,0
Lang-5,4,4,0
Lang-16,-1,-1,0
Lang-3,4,4,0
Lang-11,3,3,0
Lang-6,-1,-1,0
Lang-13,-1,-1,0
Lang-17,3,3,0
Lang-18,-1,-1,0
Lang-63,2,8,6
Lang-26,-1,-1,0
Lang-31,-1,-1,0
Lang-61,-1,-1,0
Lang-65,2,2,0
Lang-60,-1,-1,0
Lang-52,-1,-1,0
Lang-53,-1,-1,0
Lang-51,-1,-1,0
Lang-58,-1,-1,0
Lang-1,-1,-1,0
Lang-59,1,1,0
Lang-22,-1,-1,0
Lang-39,-1,-1,0
Lang-56,-1,-1,0
Lang-28,1,2,1
Lang-41,-1,-1,0
Lang-21,-1,-1,0
Lang-43,-1,-1,0
Lang-45,-1,-1,0
Lang-37,-1,-1,0
Lang-7,-1,-1,0
Lang-12,1,1,0
Lang-64,-1,-1,0
Lang-44,-1,-1,0
Lang-38,-1,-1,0
Lang-15,-1,-1,0
Lang-10,11,7,-4
Lang-8,-1,-1,0
Lang-33,5,7,2
Lang-34,-1,-1,0
Lang-46,-1,-1,0
Lang-55,1,1,0
Lang-20,-1,-1,0
Lang-48,-1,-1,0
Lang-30,1,2,1
Lang-9,-1,-1,0
Lang-57,-1,-1,0
Lang-54,2,1,-1
Lang-27,-1,-1,0
Time-24,19,20,1
Time-4,6,19,13
Time-19,-1,-1,0
Time-14,-1,-1,0
Time-2,-1,-1,0
Time-5,1,1,0
Time-16,-1,-1,0
Time-3,10,11,1
Time-11,7,15,8
Time-6,-1,-1,0
Time-13,-1,-1,0
Time-23,1,2,1
Time-17,20,20,0
Time-18,9,19,10
Time-26,21,20,-1
Time-1,-1,-1,0
Time-22,-1,-1,0
Time-21,1,1,0
Time-7,-1,-1,0
Time-25,-1,-1,0
Time-12,-1,-1,0
Time-15,-1,-1,0
Time-10,1,1,0
Time-8,-1,-1,0
Time-20,-1,-1,0
Time-9,8,7,-1
Time-27,-1,-1,0
Math-69,-1,-1,0
Math-32,-1,-1,0
Math-73,-1,-1,0
Math-24,-1,-1,0
Math-40,-1,-1,0
Math-4,-1,-1,0
Math-91,-1,-1,0
Math-74,1,4,3
Math-106,-1,-1,0
Math-19,-1,-1,0
Math-35,-1,-1,0
Math-78,2,3,1
Math-103,1,3,2
Math-50,3,12,9
Math-29,4,4,0
Math-87,1,1,0
Math-14,6,7,1
Math-81,-1,-1,0
Math-2,-1,-1,0
Math-49,-1,-1,0
Math-47,-1,-1,0
Math-92,1,1,0
Math-86,-1,-1,0
Math-66,1,7,6
Math-75,-1,-1,0
Math-82,-1,-1,0
Math-76,1,1,0
Math-93,-1,-1,0
Math-5,-1,-1,0
Math-67,-1,-1,0
Math-16,2,1,-1
Math-3,-1,-1,0
Math-6,-1,-1,0
Math-13,-1,-1,0
Math-23,-1,-1,0
Math-17,-1,-1,0
Math-18,-1,-1,0
Math-63,-1,-1,0
Math-26,1,3,2
Math-31,1,1,0
Math-61,-1,-1,0
Math-77,-1,-1,0
Math-65,15,16,1
Math-60,1,1,0
Math-52,-1,-1,0
Math-53,1,1,0
Math-51,9,8,-1
Math-58,-1,-1,0
Math-97,-1,-1,0
Math-1,-1,-1,0
Math-59,-1,-1,0
Math-22,-1,-1,0
Math-39,2,1,-1
Math-56,1,1,0
Math-28,-1,-1,0
Math-41,-1,-1,0
Math-21,3,1,-2
Math-96,-1,-1,0
