Project,MinRank1,MinRank2,Difference
Chart1,124,-1,-1
Chart2,19,-1,-1
Chart3,33,-1,-1
Chart4,346,-1,-1
Chart5,1,1,0
Chart6,40,-1,-1
Chart7,64,-1,-1
Chart8,42,-1,-1
Chart9,151,-1,-1
Chart10,1,1,0
Chart11,14,-1,-1
Chart12,2,16,14
Chart13,137,-1,-1
Chart14,278,-1,-1
Chart15,415,-1,-1
Chart16,35,-1,-1
Chart17,6,-1,-1
Chart18,1,2,1
Chart19,369,-1,-1
Chart20,1,3,2
Chart21,2,3,1
Chart22,2,7,5
Chart24,11,-1,-1
Chart25,6,23,17
Chart26,3,19,16
Closure1,3672,-1,-1
Closure2,1192,-1,-1
Closure3,3131,-1,-1
Closure4,4763,-1,-1
Closure5,786,-1,-1
Closure6,4,31,27
Closure7,1143,-1,-1
Closure8,1300,-1,-1
Closure9,16,-1,-1
Closure10,954,-1,-1
Closure11,8,30,22
Closure12,3530,-1,-1
Closure13,3610,-1,-1
Closure14,2267,-1,-1
Closure15,5,4,-1
Closure16,1,1,0
Closure17,1917,-1,-1
Closure18,3,11,8
Closure19,3,27,24
Closure20,1,9,8
Closure21,3,7,4
Closure22,1,5,4
Closure23,2054,-1,-1
Closure24,4,6,2
Closure25,321,-1,-1
Closure26,6377,-1,-1
Closure27,315,-1,-1
Closure29,4713,-1,-1
Closure30,1,1,0
Closure31,1142,-1,-1
Closure32,1020,-1,-1
Closure33,1,2,1
Closure34,29,-1,-1
Closure35,8,16,8
Closure36,2193,-1,-1
Closure37,720,-1,-1
Closure38,584,-1,-1
Closure39,6,22,16
Closure40,1560,-1,-1
Closure41,309,-1,-1
Closure42,199,-1,-1
Closure43,492,-1,-1
Closure44,2365,-1,-1
Closure45,839,-1,-1
Closure46,6,4,-2
Closure47,1248,-1,-1
Closure48,915,-1,-1
Closure49,1,2,1
Closure50,2,5,3
Closure51,1,3,2
Closure52,572,-1,-1
Closure53,974,-1,-1
Closure54,431,-1,-1
Closure55,487,-1,-1
Closure56,86,-1,-1
Closure57,160,-1,-1
Closure58,18,15,-3
Closure59,7498,-1,-1
Closure60,2412,-1,-1
Closure61,1526,-1,-1
Closure62,64,-1,-1
Closure63,64,-1,-1
Closure64,1367,-1,-1
Closure65,1075,-1,-1
Closure66,4280,-1,-1
Closure67,70,-1,-1
Closure68,134,-1,-1
Closure69,1571,-1,-1
Closure70,2241,-1,-1
Closure71,2764,-1,-1
Closure72,3264,-1,-1
Closure73,1754,-1,-1
Closure74,164,-1,-1
Closure75,685,-1,-1
Closure76,6,15,9
Closure77,13,15,2
Closure78,796,-1,-1
Closure79,72,-1,-1
Closure80,140,-1,-1
Closure81,6,21,15
Closure82,3099,-1,-1
Closure83,6,5,-1
Closure84,349,-1,-1
Closure85,6,3,-3
Closure86,604,-1,-1
Closure87,269,-1,-1
Closure88,2978,-1,-1
Closure89,395,-1,-1
Closure90,39,39,0
Closure91,2,5,3
Closure92,615,-1,-1
Closure93,608,-1,-1
Closure94,1608,-1,-1
Closure95,49,-1,-1
Closure96,470,-1,-1
Closure97,913,-1,-1
Closure98,1753,-1,-1
Closure99,1,1,0
Closure100,1439,-1,-1
Closure101,43,43,0
Closure102,1,2,1
Closure103,4,24,20
Closure104,652,-1,-1
Closure105,694,-1,-1
Closure106,1,2,1
Closure107,592,-1,-1
Closure108,675,-1,-1
Closure109,634,-1,-1
Closure110,12,6,-6
Closure111,1238,-1,-1
Closure112,32,28,-4
Closure113,2475,-1,-1
Closure114,3456,-1,-1
Closure115,2,14,12
Closure116,17,36,19
Closure117,1229,-1,-1
Closure118,3510,-1,-1
Closure120,1486,-1,-1
Closure121,2905,-1,-1
Closure122,78,-1,-1
Closure123,2043,-1,-1
Closure124,2,9,7
Closure125,2255,-1,-1
Closure126,10,21,11
Closure127,2365,-1,-1
Closure128,387,-1,-1
Closure129,4019,-1,-1
Closure130,3506,-1,-1
Closure131,5,13,8
Closure132,2095,-1,-1
Closure133,609,-1,-1
Lang1,41,-1,-1
Lang2,29,-1,-1
Lang3,4,4,0
Lang4,4,5,1
Lang5,4,4,0
Lang6,127,-1,-1
Lang7,81,-1,-1
Lang8,366,-1,-1
Lang9,95,-1,-1
Lang10,11,7,-4
Lang11,3,3,0
Lang12,1,1,0
Lang13,27,-1,-1
Lang14,3,-1,-1
Lang15,143,-1,-1
Lang16,27,-1,-1
Lang17,3,3,0
Lang18,146,-1,-1
Lang19,1,3,2
Lang20,38,-1,-1
Lang21,41,-1,-1
Lang22,43,-1,-1
Lang24,2,4,2
Lang26,45,-1,-1
Lang27,21,-1,-1
Lang28,1,2,1
Lang30,1,2,1
Lang31,16,-1,-1
Lang32,16,-1,-1
Lang33,3,7,4
Lang34,410,-1,-1
Lang35,24,-1,-1
Lang37,11,-1,-1
Lang38,31,-1,-1
Lang39,32,-1,-1
Lang40,32,-1,-1
Lang41,32,-1,-1
Lang43,12,-1,-1
Lang44,17,-1,-1
Lang45,22,-1,-1
Lang46,4,-1,-1
Lang47,8,-1,-1
Lang48,6,-1,-1
Lang49,21,-1,-1
Lang50,2,3,1
Lang53,31,-1,-1
Lang54,1,1,0
Lang55,1,1,0
Lang57,2,-1,-1
Lang58,17,-1,-1
Lang59,1,1,0
Lang60,11,-1,-1
Lang61,49,-1,-1
Lang63,4,8,4
Lang64,33,-1,-1
Lang65,2,2,0
Math1,74,-1,-1
Math2,36,-1,-1
Math3,17,-1,-1
Math4,188,-1,-1
