Project,now,before,Difference
Chart1,1,1,0
Chart2,49,38,-11
Chart3,1,3,2
Chart4,29,153,124
Chart5,2,8,6
Chart6,36,94,58
Chart7,37,31,-6
Chart8,4,7,3
Chart9,3,8,5
Chart10,1,1,0
Chart11,1,1,0
Chart12,50,36,-14
Chart13,7,1,-6
Chart14,15,1,-14
Chart15,5,19,14
Chart16,2,1,-1
Chart17,1,1,0
Chart18,1,2,1
Chart19,7,1,-6
Chart20,7,6,-1
Chart21,9,3,-6
Chart22,1,2,1
Chart24,2,1,-1
Chart25,1,3,2
Chart26,1,1,0
Closure1,5,37,32
Closure2,45,96,51
Closure3,17,42,25
Closure4,1,1,0
Closure5,11,1,-10
Closure6,2,1,-1
Closure7,40,93,53
Closure8,3,3,0
Closure9,1,1,0
Closure10,24,195,171
Closure11,1,3,2
Closure12,1,199,198
Closure13,2729,3272,543
Closure14,3,1,-2
Closure15,123,66,-57
Closure16,63,137,74
Closure17,6,1,-5
Closure18,19,205,186
Closure19,10,27,17
Closure20,42,53,11
Closure21,2,1,-1
Closure22,1,1,0
Closure23,53,71,18
Closure24,1,1,0
Closure25,12,20,8
Closure26,98,17,-81
Closure27,4,5,1
Closure29,38,20,-18
Closure30,132,163,31
Closure31,40,235,195
Closure32,2,1,-1
Closure33,11,19,8
Closure34,6,1,-5
Closure35,216,143,-73
Closure36,48,64,16
Closure37,247,346,99
Closure38,1,1,0
Closure39,5,5,0
Closure40,4,1,-3
Closure41,644,571,-73
Closure42,13,6,-7
Closure43,56,168,112
Closure44,87,130,43
Closure45,41,30,-11
Closure46,2,1,-1
Closure47,19,5,-14
Closure48,2,2,0
Closure49,17,6,-11
Closure50,9,3,-6
Closure51,1,1,0
Closure52,13,73,60
Closure53,52,67,15
Closure54,83,72,-11
Closure55,15,36,21
Closure56,1,25,24
Closure57,9,34,25
Closure58,15,42,27
Closure59,1357,1687,330
Closure60,45,53,8
Closure61,19,41,22
Closure62,1,1,0
Closure63,1,1,0
Closure64,272,410,138
Closure65,41,29,-12
Closure66,4,4,0
Closure67,5,8,3
Closure68,45,7,-38
Closure69,372,482,110
Closure70,2,1,-1
Closure71,2,1,-1
Closure72,82,210,128
Closure73,1,1,0
Closure74,8,1,-7
Closure75,63,42,-21
Closure76,5,6,1
Closure77,60,29,-31
Closure78,72,21,-51
Closure79,64,111,47
Closure80,1,150,149
Closure81,8,12,4
Closure82,923,1825,902
Closure83,3,1,-2
Closure84,8,17,9
Closure85,6,8,2
Closure86,2,1,-1
Closure87,10,55,45
Closure88,3,1,-2
Closure89,4,10,6
Closure90,29,34,5
Closure91,195,165,-30
Closure92,2,1,-1
Closure93,3,1,-2
Closure94,43,26,-17
Closure95,908,1154,246
Closure96,1,63,62
Closure97,124,69,-55
Closure98,1,47,46
Closure99,7,4,-3
Closure100,1,7,6
Closure101,1130,1850,720
Closure102,1135,3413,2278
Closure103,47,569,522
Closure104,3,3,0
Closure105,59,38,-21
Closure106,1,2,1
Closure107,1,4,3
Closure108,25,19,-6
Closure109,1,19,18
Closure110,27,33,6
Closure111,48,134,86
Closure112,232,139,-93
Closure113,1,3,2
Closure114,6,12,6
Closure115,4,3,-1
Closure116,58,84,26
Closure117,1,3,2
Closure118,98,49,-49
Closure120,4,552,548
Closure121,37,28,-9
Closure122,1,1,0
Closure123,73,112,39
Closure124,5,37,32
Closure125,14,50,36
Closure126,6,1,-5
Closure127,5,15,10
Closure128,1,4,3
Closure129,285,612,327
Closure130,9,59,50
Closure131,4,7,3
Closure132,17,71,54
Closure133,2,64,62
Lang1,1,1,0
Lang2,18,16,-2
Lang3,7,2,-5
Lang4,6,1,-5
Lang5,1,1,0
Lang6,8,16,8
Lang7,2,10,8
Lang8,2,1,-1
Lang9,50,47,-3
Lang10,4,35,31
Lang11,9,8,-1
Lang12,2,2,0
Lang13,1,2,1
Lang14,1,1,0
Lang15,1,1,0
Lang16,37,33,-4
Lang17,11,13,2
Lang18,20,43,23
Lang19,1,2,1
Lang20,1,1,0
Lang21,1,1,0
Lang22,2,1,-1
Lang24,15,40,25
Lang26,7,5,-2
Lang27,5,1,-4
Lang28,2,3,1
Lang30,3,9,6
Lang31,3,1,-2
Lang32,12,6,-6
Lang33,2,1,-1
Lang34,6,1,-5
Lang35,3,3,0
Lang36,14,35,21
Lang37,1,1,0
Lang38,2,1,-1
Lang39,7,4,-3
Lang40,1,2,1
Lang41,1,5,4
Lang42,6,13,7
Lang43,16,16,0
Lang44,5,13,8
Lang45,19,16,-3
Lang46,1,1,0
Lang47,5,2,-3
Lang48,1,1,0
Lang49,1,1,0
Lang50,38,17,-21
Lang53,41,39,-2
Lang54,3,2,-1
Lang55,1,1,0
Lang57,1,1,0
Lang58,2,3,1
Lang59,3,3,0
Lang60,4,2,-2
Lang61,17,37,20
Lang62,4,4,0
Lang63,2,1,-1
Lang64,1,1,0
Lang65,7,10,3
Math1,4,2,-2
Math2,31,30,-1
Math3,8,9,1
Math4,30,11,-19
Math5,2,3,1
Math6,89,95,6
Math7,3,3,0
Math8,1,1,0
Math9,2,4,2
Math10,19,12,-7
Math11,32,39,7
Math13,55,63,8
Math14,25,50,25
Math15,7,23,16
Math16,8,3,-5
Math17,11,88,77
Math18,61,51,-10
Math19,7,39,32
Math20,3,643,640
Math21,34,46,12
Math22,1,1,0
Math23,1,44,43
Math24,25,50,25
Math25,1,1,0
Math26,2,2,0
Math27,1,1,0
Math28,13,9,-4
Math29,2,6,4
Math30,11,9,-2
Math31,74,61,-13
Math32,1,15,14
Math33,4,3,-1
Math34,4,1,-3
Math35,4,3,-1
Math36,8,5,-3
Math37,22,5,-17
Math38,4,3,-1
Math39,141,76,-65
Math40,15,2,-13
Math41,16,13,-3
Math42,16,18,2
Math43,5,10,5
Math44,20,90,70
Math45,1,2,1
Math46,10,1,-9
Math47,2,2,0
Math48,24,474,450
Math49,30,20,-10
Math50,1,1,0
Math51,3,13,10
Math52,1,2,1
Math53,1,1,0
Math54,29,10,-19
Math55,1,1,0
Math56,1,3,2
Math57,9,11,2
Math58,335,356,21
Math59,4,1,-3
Math60,4,15,11
Math61,1,1,0
Math62,18,7,-11
Math63,1,1,0
Math64,7,170,163
Math65,4,1,-3
Math66,6,70,64
Math67,5,3,-2
Math68,21,72,51
Math69,11,10,-1
Math70,1,1,0
Math71,14,45,31
Math72,4,1,-3
Math73,12,5,-7
Math74,202,513,311
Math75,1,1,0
Math76,30,49,19
Math77,1,3,2
Math78,10,66,56
Math79,12,26,14
Math80,1,3,2
Math81,1,2,1
Math82,33,45,12
Math83,2,2,0
Math84,1,1,0
Math85,7,20,13
Math86,7,22,15
Math87,7,81,74
Math88,1,1,0
Math89,1,1,0
Math90,2,2,0
Math91,4,2,-2
Math92,1,1,0
Math93,2,2,0
Math94,9,10,1
Math95,1,3,2
Math96,4,2,-2
Math97,1,1,0
Math98,4,9,5
Math99,3,4,1
Math100,11,5,-6
Math101,6,4,-2
Math102,4,7,3
Math103,5,12,7
Math105,6,13,7
Math106,8,5,-3
Mockito1,6,19,13
Mockito2,8,1,-7
Mockito3,4,1,-3
Mockito4,1,1,0
Mockito6,39,22,-17
Mockito7,18,52,34
Mockito8,13,6,-7
Mockito9,6,1,-5
Mockito10,10,12,2
Mockito11,1,1,0
Mockito12,5,6,1
Mockito13,23,41,18
Mockito14,6,9,3
Mockito15,70,107,37
Mockito16,9,5,-4
Mockito17,1,6,5
Mockito18,14,16,2
Mockito19,10,12,2
Mockito20,42,67,25
Mockito21,3,3,0
Mockito22,6,10,4
Mockito23,9,8,-1
Mockito24,3,1,-2
Mockito25,1,1,0
Mockito26,56,99,43
Mockito27,17,12,-5
Mockito28,41,191,150
Mockito29,1,1,0
Mockito30,1,1,0
Mockito31,4,4,0
Mockito32,9,4,-5
Mockito33,101,137,36
Mockito34,3,2,-1
Mockito35,3,1,-2
Mockito36,5,7,2
Mockito37,6,5,-1
Mockito38,1,2,1
Time1,3,3,0
Time2,8,2,-6
Time3,3,1,-2
Time4,7,8,1
Time5,1,20,19
Time6,41,10,-31
Time7,17,32,15
Time8,15,17,2
Time9,7,3,-4
Time10,12,84,72
Time11,575,558,-17
Time12,26,13,-13
Time13,18,22,4
Time14,1,1,0
Time15,3,2,-1
Time16,53,20,-33
Time17,11,10,-1
Time18,26,22,-4
Time19,1,1,0
Time20,46,38,-8
Time21,2,2,0
Time22,44,78,34
Time23,11,35,24
Time24,264,337,73
Time25,64,103,39
Time26,177,360,183
Time27,79,130,51
