Project,now,before,Difference
Lang-32,13,6,-7
Lang-24,22,40,18
Lang-40,1,2,1
Lang-4,3,1,-2
Lang-19,1,2,1
Lang-35,3,3,0
Lang-50,59,17,-42
Lang-29,-1,-1,0
Lang-14,1,1,0
Lang-2,19,16,-3
Lang-49,2,1,-1
Lang-47,8,2,-6
Lang-5,2,1,-1
Lang-16,44,33,-11
Lang-3,9,2,-7
Lang-11,8,8,0
Lang-6,11,16,5
Lang-13,1,2,1
Lang-23,-1,-1,0
Lang-17,7,13,6
Lang-18,23,43,20
Lang-63,2,1,-1
Lang-26,14,5,-9
Lang-31,3,1,-2
Lang-61,9,37,28
Lang-65,5,10,5
Lang-60,5,2,-3
Lang-52,-1,-1,0
Lang-53,38,39,1
Lang-51,-1,-1,0
Lang-58,2,3,1
Lang-1,3,1,-2
Lang-59,4,3,-1
Lang-22,2,1,-1
Lang-39,11,4,-7
Lang-56,-1,-1,0
Lang-28,2,3,1
Lang-41,2,5,3
Lang-21,1,1,0
Lang-43,10,16,6
Lang-45,23,16,-7
Lang-37,1,1,0
Lang-7,1,10,9
Lang-25,-1,-1,0
Lang-12,1,2,1
Lang-64,2,1,-1
Lang-44,4,13,9
Lang-62,7,4,-3
Lang-38,2,1,-1
Lang-15,1,1,0
Lang-10,6,35,29
Lang-8,1,1,0
Lang-36,10,35,25
Lang-33,1,1,0
Lang-34,6,1,-5
Lang-46,1,1,0
Lang-55,1,1,0
Lang-20,1,1,0
Lang-42,7,13,6
Lang-48,3,1,-2
Lang-30,2,9,7
Lang-9,56,47,-9
Lang-57,1,1,0
Lang-54,5,2,-3
Lang-27,5,1,-4
Time-24,139,337,198
Time-4,21,8,-13
Time-19,2,1,-1
Time-14,1,1,0
Time-2,18,2,-16
Time-5,2,20,18
Time-16,445,20,-425
Time-3,3,1,-2
Time-11,357,558,201
Time-6,183,10,-173
Time-13,56,22,-34
Time-23,6,35,29
Time-17,25,10,-15
Time-18,81,22,-59
Time-26,81,360,279
Time-1,8,3,-5
Time-22,66,78,12
Time-21,2,2,0
Time-7,16,32,16
Time-25,59,103,44
Time-12,92,13,-79
Time-15,3,2,-1
Time-10,16,84,68
Time-8,39,17,-22
Time-20,175,38,-137
Time-9,12,3,-9
Time-27,40,130,90
Math-69,21,10,-11
Math-32,2,15,13
Math-73,15,5,-10
Math-24,15,50,35
Math-40,18,2,-16
Math-4,69,11,-58
Math-91,12,2,-10
Math-74,98,513,415
Math-106,26,5,-21
Math-19,14,39,25
Math-35,5,3,-2
Math-78,4,66,62
Math-103,7,12,5
Math-50,2,1,-1
Math-29,3,6,3
Math-87,6,81,75
Math-14,18,50,32
Math-81,1,2,1
Math-2,39,30,-9
Math-49,134,20,-114
Math-47,5,2,-3
Math-92,1,1,0
Math-86,9,22,13
Math-66,4,70,66
Math-75,1,1,0
Math-82,31,45,14
Math-76,21,49,28
Math-93,1,2,1
Math-5,3,3,0
Math-67,9,3,-6
Math-16,28,3,-25
Math-3,8,9,1
Math-11,28,39,11
Math-6,42,95,53
Math-13,43,63,20
Math-23,1,44,43
Math-17,10,88,78
Math-18,186,51,-135
Math-63,1,1,0
Math-26,3,2,-1
Math-31,48,61,13
Math-61,2,1,-1
Math-77,3,3,0
Math-65,5,1,-4
Math-60,11,15,4
Math-52,3,2,-1
Math-53,1,1,0
Math-51,5,13,8
Math-58,233,356,123
Math-97,1,1,0
Math-1,4,2,-2
Math-59,4,1,-3
Math-22,2,1,-1
Math-39,85,76,-9
Math-100,37,5,-32
Math-56,3,3,0
Math-28,31,9,-22
Math-41,25,13,-12
Math-21,14,46,32
Math-96,5,2,-3
Math-43,13,10,-3
Math-68,5,72,67
Math-45,1,2,1
Math-37,95,5,-90
Math-83,5,2,-3
Math-7,8,3,-5
Math-25,1,1,0
Math-85,9,20,11
Math-90,2,2,0
Math-89,1,1,0
Math-95,1,3,2
Math-12,-1,-1,0
Math-88,1,1,0
Math-64,2,170,168
Math-101,7,4,-3
Math-71,7,45,38
Math-99,6,4,-2
Math-105,4,13,9
Math-44,5,90,85
Math-62,21,7,-14
Math-94,7,10,3
Math-84,1,1,0
Math-79,6,26,20
Math-38,12,3,-9
Math-15,11,23,12
Math-10,93,12,-81
Math-98,5,9,4
Math-102,7,7,0
Math-8,1,1,0
Math-36,12,5,-7
Math-33,7,3,-4
Math-72,6,1,-5
Math-104,-1,-1,0
Math-34,3,1,-2
Math-46,4,1,-3
Math-80,6,3,-3
Math-55,1,1,0
Math-20,1,643,642
Math-42,27,18,-9
Math-48,10,474,464
Math-30,31,9,-22
Math-9,3,4,1
Math-57,7,11,4
Math-54,89,10,-79
Math-27,1,1,0
Math-70,1,1,0
Chart-24,2,1,-1
Chart-4,36,153,117
Chart-19,4,1,-3
