Project,MinRank1,MinRank2,Difference
Chart1,1,1,0
Chart2,43,38,-5
Chart3,1,3,2
Chart4,15,153,138
Chart5,1,8,7
Chart6,21,94,73
Chart7,16,31,15
Chart8,4,7,3
Chart9,3,8,5
Chart10,1,1,0
Chart11,1,1,0
Chart12,75,36,-39
Chart13,61,1,-60
Chart14,41,1,-40
Chart15,5,19,14
Chart16,7,1,-6
Chart17,1,1,0
Chart18,1,2,1
Chart19,9,1,-8
Chart20,4,6,2
Chart21,10,3,-7
Chart22,1,2,1
Chart24,2,1,-1
Chart25,1,3,2
Chart26,1,1,0
Closure1,5,37,32
Closure2,32,96,64
Closure3,15,42,27
Closure4,6,1,-5
Closure5,29,1,-28
Closure6,813,1,-812
Closure7,23,93,70
Closure8,3,3,0
Closure9,1,1,0
Closure10,8,195,187
Closure11,1,3,2
Closure12,1,199,198
Closure13,1634,3272,1638
Closure14,3,1,-2
Closure15,299,66,-233
Closure16,37,137,100
Closure17,99,1,-98
Closure18,18,205,187
Closure19,4,27,23
Closure20,76,53,-23
Closure21,4,1,-3
Closure22,1,1,0
Closure23,65,71,6
Closure24,2,1,-1
Closure25,14,20,6
Closure26,738,17,-721
Closure27,4,5,1
Closure29,87,20,-67
Closure30,95,163,68
Closure31,28,235,207
Closure32,51,1,-50
Closure33,14,19,5
Closure34,12,1,-11
Closure35,218,143,-75
Closure36,38,64,26
Closure37,114,346,232
Closure38,2,1,-1
Closure39,6,5,-1
Closure40,61,1,-60
Closure41,692,571,-121
Closure42,26,6,-20
Closure43,48,168,120
Closure44,42,130,88
Closure45,111,30,-81
Closure46,26,1,-25
Closure47,310,5,-305
Closure48,54,2,-52
Closure49,78,6,-72
Closure50,16,3,-13
Closure51,1,1,0
Closure52,9,73,64
Closure53,78,67,-11
Closure54,121,72,-49
Closure55,17,36,19
Closure56,1,25,24
Closure57,8,34,26
Closure58,18,42,24
Closure59,743,1687,944
Closure60,55,53,-2
Closure61,9,41,32
Closure62,1,1,0
Closure63,1,1,0
Closure64,189,410,221
Closure65,76,29,-47
Closure66,6,4,-2
Closure67,6,8,2
Closure68,98,7,-91
Closure69,227,482,255
Closure70,10,1,-9
Closure71,28,1,-27
Closure72,84,210,126
Closure73,6,1,-5
Closure74,210,1,-209
Closure75,126,42,-84
Closure76,13,6,-7
Closure77,173,29,-144
Closure78,1417,21,-1396
Closure79,36,111,75
