Project,now,before,Difference
Chart1,24,42,18
Chart2,53,51,-2
Chart3,5,12,7
Chart4,121,241,120
Chart5,4,8,4
Chart6,16,29,13
Chart7,86,86,0
Chart8,10,15,5
Chart9,7,10,3
Chart10,1,1,0
Chart11,1,5,4
Chart12,97,97,0
Chart13,25,21,-4
Chart14,15,8,-7
Chart15,8,16,8
Chart16,5,5,0
Chart17,4,5,1
Chart18,3,5,2
Chart19,1,1,0
Chart20,13,11,-2
Chart21,1,1,0
Chart22,3,5,2
Chart24,4,4,0
Chart25,2,3,1
Chart26,669,669,0
Closure1,43,123,80
Closure2,5,10,5
Closure3,1504,1504,0
Closure4,4943,4943,0
Closure5,48,58,10
Closure6,9,6,-3
Closure7,10,12,2
Closure8,2441,2441,0
Closure9,1,1,0
Closure10,1685,1685,0
Closure11,1827,1827,0
Closure12,1888,1888,0
Closure13,5541,5541,0
Closure14,13,38,25
Closure15,58,61,3
Closure16,177,169,-8
Closure17,11,10,-1
Closure18,1920,1920,0
Closure19,2,6,4
Closure20,2245,2245,0
Closure21,6,7,1
Closure22,1,1,0
Closure23,62,67,5
Closure24,1,3,2
Closure25,2694,2694,0
Closure26,36,24,-12
Closure27,1,1,0
Closure29,2938,2938,0
Closure30,1695,1695,0
Closure31,713,713,0
Closure32,78,50,-28
Closure33,2317,2317,0
Closure34,34,28,-6
Closure35,36,26,-10
Closure36,5948,5948,0
Closure37,716,716,0
Closure38,147,147,0
Closure39,4,4,0
Closure40,3814,3814,0
Closure41,4104,4104,0
Closure42,10,11,1
Closure43,2729,2729,0
Closure44,884,884,0
Closure45,1681,1681,0
Closure46,2,2,0
Closure47,243,243,0
Closure48,126,178,52
Closure49,107,99,-8
Closure50,58,64,6
Closure51,9,17,8
Closure52,5,7,2
Closure53,3126,3126,0
Closure54,62,71,9
Closure55,1195,1195,0
Closure56,1,1,0
Closure57,3,4,1
Closure58,13,14,1
Closure59,3588,3588,0
Closure60,2,2,0
Closure61,1118,1118,0
Closure62,1,1,0
Closure63,1,1,0
Closure64,1345,1345,0
Closure65,1,1,0
Closure66,2785,2785,0
Closure67,2399,2399,0
Closure68,11,7,-4
Closure69,129,189,60
Closure70,597,597,0
Closure71,3280,3280,0
Closure72,1608,1608,0
Closure73,9,9,0
Closure74,44,37,-7
Closure75,1,1,0
Closure76,54,48,-6
Closure77,50,36,-14
Closure78,12,3,-9
Closure79,8,16,8
Closure80,2,7,5
Closure81,3,4,1
Closure82,258,258,0
Closure83,74,74,0
Closure84,6,9,3
Closure85,67,66,-1
Closure86,3,13,10
Closure87,788,788,0
