Project,now,before,Difference
Lang-32,13,4,-9
Lang-24,24,153,129
Lang-40,1,2,1
Lang-4,2,5,3
Lang-19,1,9,8
Lang-35,2,1,-1
Lang-50,64,12,-52
Lang-29,-1,-1,0
Lang-14,1,1,0
Lang-2,21,18,-3
Lang-49,9,2,-7
Lang-47,38,23,-15
Lang-5,3,1,-2
Lang-16,39,8,-31
Lang-3,27,5,-22
Lang-11,5,1,-4
Lang-6,19,72,53
Lang-13,2,4,2
Lang-23,-1,-1,0
Lang-17,4,19,15
Lang-18,29,46,17
Lang-63,4,2,-2
Lang-26,45,12,-33
Lang-31,3,5,2
Lang-61,5,27,22
Lang-65,4,6,2
Lang-60,17,6,-11
Lang-52,-1,-1,0
Lang-53,42,123,81
Lang-51,-1,-1,0
Lang-58,3,27,24
Lang-1,4,3,-1
Lang-59,4,1,-3
Lang-22,20,27,7
Lang-39,34,38,4
Lang-56,-1,-1,0
Lang-28,3,1,-2
Lang-41,3,6,3
Lang-21,2,1,-1
Lang-43,8,6,-2
Lang-45,14,1,-13
Lang-37,1,4,3
Lang-7,1,23,22
Lang-25,-1,-1,0
Lang-12,1,6,5
Lang-64,8,1,-7
Lang-44,2,5,3
Lang-62,25,6,-19
Lang-38,14,1,-13
Lang-15,5,249,244
Lang-10,8,34,26
Lang-8,12,11,-1
Lang-36,8,91,83
Lang-33,88,692,604
Lang-34,34,74,40
Lang-46,1,1,0
Lang-55,2,9,7
Lang-20,3,4,1
Lang-42,9,3,-6
Lang-48,5,2,-3
Lang-30,2,2,0
Lang-9,84,62,-22
Lang-57,3,1,-2
Lang-54,4,1,-3
Lang-27,26,27,1
Time-24,199,157,-42
Time-4,150,16,-134
Time-19,26,254,228
Time-14,29,8,-21
Time-2,114,6,-108
Time-5,18,2,-16
Time-16,277,1,-276
Time-3,229,1,-228
Time-11,331,358,27
Time-6,249,5,-244
Time-13,94,13,-81
Time-23,10,1,-9
Time-17,69,1,-68
Time-18,181,11,-170
Time-26,106,80,-26
Time-1,20,4,-16
Time-22,113,11,-102
Time-21,2,2,0
Time-7,65,49,-16
Time-25,116,109,-7
Time-12,295,21,-274
Time-15,3,1,-2
Time-10,43,499,456
Time-8,69,10,-59
Time-20,290,6,-284
Time-9,89,5,-84
Time-27,70,1271,1201
Math-69,55,64,9
Math-32,9,64,55
Math-73,29,12,-17
Math-24,13,71,58
Math-40,106,131,25
Math-4,112,2,-110
Math-91,21,1,-20
Math-74,93,984,891
Math-106,53,8,-45
Math-19,185,18,-167
Math-35,11,6,-5
Math-78,2,46,44
Math-103,8,30,22
Math-50,8,1,-7
Math-29,14,3,-11
Math-87,4,35,31
Math-14,17,43,26
Math-81,8,46,38
Math-2,45,71,26
Math-49,209,5,-204
Math-47,36,1,-35
Math-92,1,1,0
Math-86,15,40,25
Math-66,21,162,141
Math-75,1,1,0
Math-82,41,214,173
Math-76,46,60,14
Math-93,1,2,1
Math-5,3,2,-1
Math-67,234,173,-61
Math-16,348,4,-344
Math-3,5,7,2
Math-11,37,60,23
Math-6,30,285,255
Math-13,53,188,135
Math-23,1,41,40
Math-17,28,508,480
Math-18,302,3,-299
Math-63,1,1,0
Math-26,170,24,-146
Math-31,45,81,36
Math-61,214,590,376
Math-77,7,19,12
Math-65,196,70,-126
Math-60,27,17,-10
Math-52,45,9,-36
Math-53,1,2,1
Math-51,10,29,19
Math-58,254,128,-126
Math-97,4,1,-3
Math-1,289,6,-283
Math-59,324,1,-323
Math-22,6,1,-5
Math-39,88,462,374
Math-100,134,5,-129
Math-56,22,5,-17
Math-28,48,22,-26
Math-41,46,14,-32
Math-21,14,6,-8
Math-96,6,6,0
Math-43,36,96,60
Math-68,4,83,79
Math-45,1,1,0
Math-37,115,1,-114
Math-83,22,69,47
Math-7,151,46,-105
Math-25,3,2,-1
Math-85,15,111,96
Math-90,1,5,4
Math-89,1,1,0
Math-95,2,8,6
Math-12,-1,-1,0
Math-88,5,1,-4
Math-64,2,105,103
Math-101,18,15,-3
Math-71,6,2,-4
Math-99,7,5,-2
Math-105,3,25,22
Math-44,3,13,10
Math-62,53,325,272
Math-94,7,11,4
Math-84,2,13,11
Math-79,3,12,9
Math-38,39,2,-37
Math-15,72,2,-70
Math-10,189,11,-178
Math-98,10,3,-7
Math-102,12,1,-11
Math-8,19,3,-16
Math-36,265,1,-264
Math-33,65,51,-14
Math-72,46,8,-38
Math-104,-1,-1,0
Math-34,9,1,-8
Math-46,97,1,-96
Math-80,56,69,13
Math-55,3,1,-2
Math-20,1,453,452
Math-42,57,331,274
Math-48,6,687,681
Math-30,102,24,-78
Math-9,6,3,-3
Math-57,23,8,-15
Math-54,297,11,-286
Math-27,12,2,-10
Math-70,2,1,-1
Chart-24,2,4,2
Chart-4,93,241,148
Chart-19,40,1,-39
Chart-14,185,8,-177
Chart-2,63,51,-12
Chart-5,2,8,6
Chart-16,13,5,-8
Chart-3,18,12,-6
Chart-11,2,5,3
Chart-6,10,29,19
Chart-13,101,21,-80
Chart-23,-1,-1,0
Chart-17,4,5,1
Chart-18,1,5,4
Chart-26,170,669,499
Chart-1,26,42,16
Chart-22,1,5,4
Chart-21,15,1,-14
Chart-7,22,86,64
Chart-25,63,3,-60
Chart-12,186,97,-89
Chart-15,25,16,-9
Chart-10,1,1,0
Chart-8,6,15,9
Chart-20,9,11,2
Chart-9,17,10,-7
Mockito-32,211,424,213
Mockito-24,26,1,-25
Mockito-4,693,2100,1407
Mockito-19,275,493,218
Mockito-35,58,9,-49
Mockito-29,550,829,279
Mockito-14,63,509,446
Mockito-2,223,16,-207
Mockito-5,2915,2915,0
Mockito-16,48,4,-44
Mockito-3,244,3,-241
Mockito-11,1,1,0
Mockito-6,183,2,-181
Mockito-13,66,83,17
Mockito-23,41,272,231
Mockito-17,11,2,-9
Mockito-18,63,26,-37
Mockito-26,122,41,-81
Mockito-31,14,1,-13
Mockito-1,17,1,-16
Mockito-22,62,9,-53
Mockito-28,19,470,451
Mockito-21,62,2,-60
Mockito-37,164,10,-154
Mockito-7,73,36,-37
Mockito-25,49,58,9
Mockito-12,32,39,7
Mockito-38,443,899,456
Mockito-15,44,174,130
Mockito-10,59,9,-50
Mockito-8,56,37,-19
Mockito-36,470,1857,1387
Mockito-33,72,84,12
Mockito-34,58,42,-16
Mockito-20,69,217,148
Mockito-30,77,6,-71
Mockito-9,625,938,313
Mockito-27,57,3,-54
Closure-69,899,189,-710
Closure-127,366,2062,1696
Closure-32,576,50,-526
Closure-119,-1,-1,0
Closure-73,187,9,-178
Closure-24,218,3,-215
Closure-40,1201,3814,2613
Closure-120,3,2243,2240
Closure-4,608,4943,4335
Closure-91,933,1939,1006
Closure-74,1230,37,-1193
Closure-109,4,5,1
Closure-106,13,27,14
Closure-19,156,6,-150
Closure-35,647,26,-621
Closure-78,1106,3,-1103
Closure-103,25,20,-5
Closure-122,51,3,-48
Closure-50,164,64,-100
Closure-29,893,2938,2045
Closure-87,50,788,738
Closure-133,1,1322,1321
Closure-14,242,38,-204
Closure-81,62,4,-58
Closure-2,326,10,-316
Closure-49,6,99,93
Closure-107,400,69,-331
Closure-47,1938,243,-1695
Closure-126,1403,2582,1179
Closure-92,318,2107,1789
Closure-86,69,13,-56
Closure-66,420,2785,2365
Closure-75,224,1,-223
Closure-82,380,258,-122
Closure-130,202,3664,3462
Closure-76,328,48,-280
Closure-123,418,98,-320
Closure-93,317,2157,1840
Closure-5,707,58,-649
Closure-67,250,2399,2149
Closure-16,420,169,-251
Closure-3,404,1504,1100
Closure-11,1,1827,1826
Closure-6,2296,6,-2290
Closure-121,613,90,-523
Closure-13,1849,5541,3692
Closure-23,577,67,-510
Closure-113,35,8,-27
Closure-17,1670,10,-1660
Closure-124,55,18,-37
Closure-108,93,53,-40
Closure-18,127,1920,1793
Closure-63,2,1,-1
Closure-26,3632,24,-3608
Closure-31,113,713,600
Closure-61,138,1118,980
Closure-77,642,36,-606
Closure-65,201,1,-200
Closure-132,269,1938,1669
Closure-60,481,2,-479
Closure-52,92,7,-85
Closure-53,509,3126,2617
Closure-51,35,17,-18
Closure-58,335,14,-321
Closure-97,1108,35,-1073
Closure-1,332,123,-209
Closure-59,1239,3588,2349
Closure-22,44,1,-43
Closure-39,76,4,-72
Closure-100,2,38,36
Closure-56,3,1,-2
Closure-28,-1,-1,0
Closure-114,542,90,-452
Closure-41,1610,4104,2494
Closure-21,209,7,-202
Closure-117,464,153,-311
Closure-96,9,37,28
Closure-43,496,2729,2233
Closure-68,387,7,-380
Closure-45,552,1681,1129
Closure-37,74,716,642
Closure-83,81,74,-7
Closure-7,221,12,-209
Closure-25,336,2694,2358
Closure-85,163,66,-97
Closure-90,457,582,125
Closure-89,302,55,-247
Closure-95,641,2135,1494
Closure-12,1,1888,1887
Closure-88,554,55,-499
Closure-64,359,1345,986
Closure-101,252,3976,3724
Closure-118,2156,5618,3462
Closure-71,956,3280,2324
Closure-99,302,66,-236
Closure-105,914,42,-872
Closure-44,207,884,677
Closure-62,2,1,-1
Closure-94,1135,4,-1131
Closure-116,676,46,-630
Closure-84,80,9,-71
Closure-79,297,16,-281
Closure-129,574,6780,6206
Closure-38,178,147,-31
Closure-15,1346,61,-1285
Closure-10,58,1685,1627
Closure-98,2,752,750
Closure-102,281,3147,2866
Closure-8,427,2441,2014
Closure-36,820,5948,5128
Closure-33,411,2317,1906
Closure-72,443,1608,1165
Closure-104,66,9,-57
Closure-128,50,2,-48
Closure-34,59,28,-31
Closure-46,294,2,-292
Closure-125,679,95,-584
Closure-110,442,35,-407
Closure-112,2974,65,-2909
Closure-80,1,7,6
Closure-55,476,1195,719
Closure-20,563,2245,1682
Closure-42,297,11,-286
Closure-48,1254,178,-1076
Closure-131,268,84,-184
Closure-30,265,1695,1430
Closure-9,3,1,-2
Closure-111,207,4,-203
Closure-115,526,7,-519
Closure-57,139,4,-135
Closure-54,245,71,-174
Closure-27,5,1,-4
Closure-70,679,597,-82
