Project,now,before,Difference
Chart1,26,42,16
Chart2,116,92,-24
Chart3,2,3,1
Chart4,106,165,59
Chart5,4,8,4
Chart6,26,57,31
Chart7,41,81,40
Chart8,4,1,-3
Chart9,3,14,11
Chart10,1,3,2
Chart11,1,5,4
Chart12,45,13,-32
Chart13,42,47,5
Chart14,28,15,-13
Chart15,29,29,0
Chart16,1,1,0
Chart17,2,2,0
Chart18,2,3,1
Chart19,2,1,-1
Chart20,10,5,-5
Chart21,3,3,0
Chart22,3,51,48
Chart24,2,3,1
Chart25,2570,2745,175
Chart26,135,134,-1
Closure1,353,122,-231
Closure2,151,96,-55
Closure3,575,279,-296
Closure4,507,168,-339
Closure5,574,154,-420
Closure6,1,1,0
Closure7,1,2,1
Closure8,305,123,-182
Closure9,1,1,0
Closure10,77,264,187
Closure11,14,2712,2698
Closure12,89,1081,992
Closure13,2265,5651,3386
Closure14,1,1,0
Closure15,631,185,-446
Closure16,84,93,9
Closure17,476,114,-362
Closure18,226,1805,1579
Closure19,3,9,6
Closure20,6,2,-4
Closure21,69,15,-54
Closure22,48,14,-34
Closure23,3,8,5
Closure24,1,1,0
Closure25,108,107,-1
Closure26,29,11,-18
Closure27,2,3,1
Closure29,816,357,-459
Closure30,248,220,-28
Closure31,165,1492,1327
Closure32,54,30,-24
Closure33,444,573,129
Closure34,236,199,-37
Closure35,11,6,-5
Closure36,787,1062,275
Closure37,142,967,825
Closure38,334,284,-50
Closure39,61,73,12
Closure40,543,120,-423
Closure41,1752,902,-850
Closure42,1,1,0
Closure43,541,465,-76
Closure44,388,571,183
Closure45,596,280,-316
Closure46,1,1,0
Closure47,716,274,-442
Closure48,1282,2192,910
Closure49,65,1090,1025
Closure50,77,76,-1
Closure51,101,274,173
Closure52,170,138,-32
Closure53,208,47,-161
Closure54,57,31,-26
Closure55,470,329,-141
Closure56,13,50,37
Closure57,194,50,-144
Closure58,5,7,2
Closure59,1389,5974,4585
Closure60,437,26,-411
Closure61,150,115,-35
Closure62,1,4,3
Closure63,1,4,3
Closure64,427,1556,1129
Closure65,905,283,-622
Closure66,477,2784,2307
Closure67,305,223,-82
Closure68,3,3,0
Closure69,975,2398,1423
Closure70,754,2674,1920
Closure71,1008,390,-618
Closure72,500,241,-259
Closure73,318,1355,1037
Closure74,339,38,-301
Closure75,304,9,-295
Closure76,206,114,-92
Closure77,1073,1329,256
Closure78,2,1,-1
Closure79,28,45,17
Closure80,3,58,55
Closure81,90,137,47
Closure82,439,599,160
Closure83,57,10,-47
Closure84,112,172,60
Closure85,100,162,62
Closure86,1,1,0
Closure87,102,150,48
Closure88,69,69,0
Closure89,340,159,-181
Closure90,98,46,-52
Closure91,771,284,-487
Closure92,117,85,-32
Closure93,117,85,-32
Closure94,1,1,0
Closure95,778,1640,862
Closure96,9,424,415
Closure97,19,1,-18
Closure98,84,425,341
Closure99,43,17,-26
Closure100,7,38,31
Closure101,539,2775,2236
Closure102,899,4752,3853
Closure103,141,290,149
Closure104,18,13,-5
Closure105,47,7,-40
Closure106,84,113,29
Closure107,344,132,-212
Closure108,163,237,74
Closure109,4,33,29
Closure110,8,2,-6
Closure111,1,1,0
Closure112,222,89,-133
Closure113,15,17,2
Closure114,477,215,-262
Closure115,13,8,-5
Closure116,232,10,-222
Closure117,456,280,-176
Closure118,1,2,1
Closure120,10,287,277
Closure121,543,388,-155
Closure122,8,9,1
Closure123,496,222,-274
Closure124,14,10,-4
Closure125,748,564,-184
Closure126,30,5,-25
Closure127,218,194,-24
Closure128,115,139,24
Closure129,647,2329,1682
Closure130,248,545,297
Closure131,310,340,30
Closure132,77,80,3
Closure133,2,597,595
Lang1,2,3,1
Lang2,4,3,-1
Lang3,5,3,-2
Lang4,4,2,-2
Lang5,1,1,0
Lang6,33,98,65
Lang7,10,122,112
Lang8,6,6,0
Lang9,89,84,-5
Lang10,41,42,1
Lang11,4,3,-1
Lang12,2,4,2
Lang13,1,5,4
Lang14,1,4,3
Lang15,7,12,5
Lang16,43,27,-16
Lang17,6,102,96
Lang18,45,41,-4
Lang19,4,8,4
Lang20,3,8,5
Lang21,1,2,1
Lang22,27,26,-1
Lang24,16,64,48
Lang26,50,7,-43
Lang27,130,127,-3
Lang28,2,3,1
Lang30,1,8,7
Lang31,2,4,2
Lang32,14,26,12
Lang33,3,7,4
Lang34,64,53,-11
Lang35,1,2,1
Lang36,35,42,7
Lang37,1,6,5
Lang38,1,3,2
Lang39,34,27,-7
Lang40,1,2,1
Lang41,6,6,0
Lang42,13,13,0
Lang43,4,6,2
Lang44,2,3,1
Lang45,15,10,-5
Lang46,1,1,0
Lang47,9,5,-4
Lang48,2,2,0
Lang49,1,1,0
Lang50,37,15,-22
Lang53,34,16,-18
Lang54,4,3,-1
Lang55,4,7,3
Lang57,3,6,3
Lang58,5,20,15
Lang59,1,6,5
Lang60,2,2,0
Lang61,2,8,6
Lang62,3,4,1
Lang63,1,1,0
Lang64,4,4,0
Lang65,8,7,-1
Math1,37,11,-26
Math2,46,44,-2
Math3,5,3,-2
Math4,12,17,5
Math5,1,1,0
Math6,45,64,19
Math7,45,42,-3
Math8,1,4,3
Math9,1,1,0
Math10,13,12,-1
Math11,45,31,-14
Math13,91,159,68
Math14,80,99,19
Math15,117,211,94
Math16,214,214,0
Math17,58,258,200
Math18,45,14,-31
Math19,117,56,-61
Math20,9,598,589
Math21,39,41,2
Math22,1,1,0
Math23,38,148,110
Math24,53,150,97
Math25,1,1,0
Math26,173,38,-135
Math27,1,1,0
Math28,18,12,-6
Math29,1,6,5
Math30,19,41,22
Math31,53,101,48
Math32,1,4,3
Math33,60,44,-16
Math34,1,3,2
Math35,6,3,-3
Math36,2,2,0
Math37,31,13,-18
Math38,7,5,-2
Math39,95,117,22
Math40,98,33,-65
Math41,29,43,14
Math42,54,72,18
Math43,29,52,23
Math44,16,14,-2
Math45,1,1,0
Math46,1,1,0
Math47,2,2,0
Math48,47,355,308
Math49,10,7,-3
Math50,1,1,0
Math51,27,30,3
Math52,6,22,16
Math53,1,1,0
Math54,359,306,-53
Math55,1,1,0
Math56,1,20,19
Math57,2,4,2
Math58,436,545,109
Math59,1,2,1
Math60,39,36,-3
Math61,1,1,0
Math62,49,128,79
Math63,1,1,0
Math64,129,143,14
Math65,13,41,28
Math66,3,37,34
Math67,204,8,-196
Math68,127,127,0
Math69,45,44,-1
Math70,1,1,0
Math71,1,1,0
Math72,2,1,-1
Math73,1,1,0
Math74,230,777,547
Math75,1,1,0
Math76,35,99,64
Math77,1,19,18
Math78,7,117,110
Math79,29,29,0
Math80,4,14,10
Math81,1,10,9
Math82,49,151,102
Math83,10,40,30
Math84,33,34,1
Math85,51,77,26
Math86,39,71,32
Math87,6,115,109
Math88,1,1,0
Math89,1,1,0
Math90,3,3,0
Math91,2,1,-1
Math92,1,2,1
Math93,2,2,0
Math94,10,6,-4
Math95,2,15,13
Math96,6,5,-1
Math97,1,1,0
Math98,1,4,3
Math99,2,4,2
Math100,20,9,-11
Math101,17,12,-5
Math102,3,3,0
Math103,35,32,-3
Math105,3,25,22
Math106,13,10,-3
Mockito1,2,2,0
Mockito2,4,3,-1
Mockito3,1,1,0
Mockito4,40,24,-16
Mockito5,4060,4060,0
Mockito6,2,2,0
Mockito7,74,50,-24
Mockito8,34,31,-3
Mockito9,1827,1827,0
Mockito10,27,12,-15
Mockito11,1,1,0
Mockito12,1,2,1
Mockito13,56,85,29
Mockito14,62,96,34
Mockito15,125,178,53
Mockito16,7,4,-3
Mockito17,1,4,3
Mockito18,3,5,2
Mockito19,16,12,-4
Mockito20,72,71,-1
Mockito21,2,1,-1
Mockito22,66,11,-55
Mockito23,120,317,197
Mockito24,6,10,4
Mockito25,65,61,-4
Mockito27,49,42,-7
Mockito28,25,198,173
Mockito29,18,31,13
Mockito30,1,1,0
Mockito31,2,2,0
Mockito32,3,2,-1
Mockito33,77,82,5
Mockito34,72,51,-21
Mockito35,1,1,0
Mockito36,4,4,0
Mockito37,22,4,-18
Mockito38,2,2,0
Time1,13,2,-11
Time2,17,3,-14
Time3,1,1,0
Time4,118,30,-88
Time5,2,2,0
Time6,2,3,1
Time7,48,16,-32
Time8,73,24,-49
Time9,32,3,-29
Time10,110,191,81
Time11,446,448,2
Time12,50,21,-29
Time13,46,19,-27
Time14,1,5,4
Time15,3,2,-1
Time16,12,7,-5
Time17,1,5,4
Time18,70,3,-67
Time19,35,620,585
Time20,588,1399,811
Time21,135,33,-102
Time22,66,16,-50
Time23,10,41,31
Time24,299,466,167
Time25,111,276,165
Time26,130,317,187
Time27,81,346,265
