Project,now,before,Difference
Lang-32,20,26,6
Lang-24,17,64,47
Lang-40,1,2,1
Lang-4,1,2,1
Lang-19,2,8,6
Lang-35,3,2,-1
Lang-50,37,15,-22
Lang-29,-1,-1,0
Lang-14,1,4,3
Lang-2,6,3,-3
Lang-49,1,1,0
Lang-47,12,5,-7
Lang-5,3,1,-2
Lang-16,41,27,-14
Lang-3,9,3,-6
Lang-11,6,3,-3
Lang-6,38,98,60
Lang-13,1,5,4
Lang-23,-1,-1,0
Lang-17,8,102,94
Lang-18,23,41,18
Lang-63,2,1,-1
Lang-26,14,7,-7
Lang-31,4,4,0
Lang-61,3,8,5
Lang-65,7,7,0
Lang-60,3,2,-1
Lang-52,-1,-1,0
Lang-53,33,16,-17
Lang-51,-1,-1,0
Lang-58,4,20,16
Lang-1,4,3,-1
Lang-59,3,6,3
Lang-22,22,26,4
Lang-39,40,27,-13
Lang-56,-1,-1,0
Lang-28,2,3,1
Lang-41,3,6,3
Lang-21,3,2,-1
Lang-43,6,6,0
Lang-45,17,10,-7
Lang-37,1,6,5
Lang-7,1,122,121
Lang-25,-1,-1,0
Lang-12,1,4,3
Lang-64,5,4,-1
Lang-44,2,3,1
Lang-62,7,4,-3
Lang-38,3,3,0
Lang-15,6,12,6
Lang-10,16,42,26
Lang-8,6,6,0
Lang-36,14,42,28
Lang-33,5,7,2
Lang-34,42,53,11
Lang-46,1,1,0
Lang-55,3,7,4
Lang-20,3,8,5
Lang-42,8,13,5
Lang-48,3,2,-1
Lang-30,1,8,7
Lang-9,99,84,-15
Lang-57,5,6,1
Lang-54,5,3,-2
Lang-27,43,127,84
Time-24,293,466,173
Time-4,47,30,-17
Time-19,54,620,566
Time-14,3,5,2
Time-2,5,3,-2
Time-5,3,2,-1
Time-16,19,7,-12
Time-3,2,1,-1
Time-11,362,448,86
Time-6,6,3,-3
Time-13,30,19,-11
Time-23,15,41,26
Time-17,5,5,0
Time-18,5,3,-2
Time-26,138,317,179
Time-1,3,2,-1
Time-22,29,16,-13
Time-21,4,33,29
Time-7,24,16,-8
