Project,now,before,Difference
Chart1,23,42,19
Chart2,103,92,-11
Chart3,2,3,1
Chart4,77,179,102
Chart5,3,8,5
Chart6,28,104,76
Chart7,46,81,35
Chart8,4,1,-3
Chart9,3,14,11
Chart10,1,3,2
Chart11,1,5,4
Chart12,47,13,-34
Chart13,42,47,5
Chart14,20,6,-14
Chart15,25,29,4
Chart16,4,1,-3
Chart17,2,2,0
Chart18,1,3,2
Chart19,2,1,-1
Chart20,10,5,-5
Chart21,4,3,-1
Chart22,1,12,11
Chart24,2,3,1
Chart25,2495,2640,145
Chart26,17,134,117
Closure1,233,619,386
Closure2,62,66,4
Closure3,542,279,-263
Closure4,499,191,-308
Closure5,527,154,-373
Closure6,1,1,0
Closure7,1,2,1
Closure8,280,123,-157
Closure9,1,1,0
Closure10,63,221,158
Closure11,13,1147,1134
Closure12,74,1081,1007
Closure13,2324,5651,3327
Closure14,3,4,1
Closure15,562,185,-377
Closure16,134,200,66
Closure17,250,86,-164
Closure18,240,2060,1820
Closure19,1,1,0
Closure20,6,2,-4
Closure21,11,6,-5
Closure22,6,4,-2
Closure23,3,8,5
Closure24,1,1,0
Closure25,116,107,-9
Closure26,25,5,-20
Closure27,2,3,1
Closure29,439,432,-7
Closure30,226,242,16
Closure31,196,1664,1468
Closure32,67,35,-32
Closure33,437,510,73
Closure34,247,230,-17
Closure35,19,6,-13
Closure36,749,1062,313
Closure37,161,1226,1065
Closure38,345,345,0
Closure39,33,21,-12
Closure40,331,120,-211
Closure41,1731,695,-1036
Closure42,1,1,0
Closure43,540,506,-34
Closure44,408,778,370
Closure45,587,280,-307
Closure46,2,1,-1
Closure47,277,338,61
Closure48,1274,389,-885
Closure49,125,1260,1135
Closure50,77,88,11
Closure51,127,326,199
Closure52,140,116,-24
Closure53,181,47,-134
Closure54,164,55,-109
Closure55,449,329,-120
Closure56,15,65,50
Closure57,99,25,-74
Closure58,5,7,2
Closure59,1537,6779,5242
Closure60,123,19,-104
Closure61,136,138,2
Closure62,1,4,3
Closure63,1,4,3
Closure64,489,1484,995
Closure65,315,78,-237
Closure66,560,2743,2183
Closure67,304,281,-23
Closure68,3,3,0
Closure69,1003,1006,3
Closure70,800,2011,1211
Closure71,753,284,-469
Closure72,499,241,-258
Closure73,336,305,-31
Closure74,245,117,-128
Closure75,25,8,-17
Closure76,137,136,-1
Closure77,1084,306,-778
Closure78,2,1,-1
Closure79,40,51,11
Closure80,2,13,11
Closure81,95,173,78
Closure82,462,1092,630
Closure83,51,10,-41
Closure84,118,195,77
Closure85,113,164,51
Closure86,1,2,1
Closure87,98,150,52
Closure88,70,69,-1
Closure89,297,164,-133
Closure90,95,46,-49
Closure91,769,284,-485
Closure92,112,85,-27
Closure93,112,85,-27
Closure94,4,4,0
Closure95,694,1764,1070
Closure96,8,247,239
Closure97,19,1,-18
Closure98,80,425,345
Closure99,93,19,-74
Closure100,1,7,6
Closure101,541,2775,2234
Closure102,948,4752,3804
Closure103,115,289,174
Closure104,21,13,-8
Closure105,47,7,-40
Closure106,5,105,100
Closure107,327,132,-195
Closure108,161,237,76
Closure109,4,33,29
Closure110,9,2,-7
Closure111,1,1,0
Closure112,808,109,-699
Closure113,16,17,1
Closure114,476,215,-261
Closure115,10,8,-2
Closure116,132,30,-102
Closure117,430,225,-205
Closure118,1,2,1
Closure120,10,239,229
Closure121,543,388,-155
Closure122,9,9,0
Closure123,414,159,-255
Closure124,14,10,-4
Closure125,724,396,-328
Closure126,30,5,-25
Closure127,177,210,33
Closure128,92,102,10
Closure129,714,3293,2579
Closure130,248,545,297
Closure131,353,300,-53
Closure132,78,80,2
Closure133,3,516,513
Lang1,2,3,1
Lang2,4,3,-1
Lang3,8,3,-5
Lang4,5,2,-3
Lang5,1,1,0
Lang6,33,98,65
Lang7,2,122,120
Lang8,6,6,0
Lang9,157,142,-15
Lang10,50,56,6
Lang11,4,3,-1
Lang12,1,5,4
Lang13,1,5,4
Lang14,1,4,3
Lang15,12,191,179
Lang16,44,27,-17
Lang17,6,102,96
Lang18,45,41,-4
Lang19,4,8,4
Lang20,2,8,6
Lang21,1,2,1
Lang22,27,31,4
Lang24,16,64,48
Lang26,50,7,-43
Lang27,134,127,-7
Lang28,2,3,1
Lang30,1,8,7
Lang31,3,4,1
Lang32,13,26,13
Lang33,3,7,4
Lang34,66,64,-2
Lang35,1,2,1
Lang36,38,42,4
Lang37,1,6,5
Lang38,1,3,2
Lang39,34,27,-7
Lang40,1,2,1
Lang41,6,6,0
Lang42,13,13,0
Lang43,4,6,2
Lang44,2,3,1
Lang45,15,10,-5
Lang46,1,1,0
Lang47,6,5,-1
Lang48,2,2,0
Lang49,1,1,0
Lang50,23,8,-15
Lang53,34,16,-18
Lang54,5,3,-2
Lang55,4,7,3
Lang57,3,6,3
Lang58,3,20,17
Lang59,1,6,5
Lang60,2,2,0
Lang61,8,21,13
Lang62,3,4,1
Lang63,1,1,0
Lang64,5,4,-1
Lang65,8,7,-1
Math1,12,8,-4
Math2,44,44,0
Math3,5,3,-2
Math4,12,17,5
Math5,1,1,0
Math6,91,170,79
Math7,50,42,-8
Math8,1,4,3
Math9,1,1,0
Math10,14,12,-2
Math11,47,31,-16
Math13,89,159,70
Math14,78,99,21
Math15,65,211,146
Math16,4,1,-3
Math17,55,89,34
Math18,53,14,-39
Math19,124,56,-68
Math20,7,598,591
Math21,41,41,0
Math22,1,1,0
Math23,38,148,110
Math24,53,150,97
Math25,1,1,0
Math26,170,38,-132
Math27,1,1,0
Math28,18,12,-6
Math29,1,6,5
Math30,36,41,5
Math31,60,190,130
Math32,1,4,3
Math33,56,44,-12
Math34,1,3,2
Math35,6,3,-3
Math36,2,2,0
Math37,12,6,-6
Math38,7,5,-2
Math39,95,117,22
Math40,97,33,-64
Math41,29,43,14
Math42,53,72,19
Math43,50,72,22
Math44,14,14,0
Math45,1,1,0
Math46,2,1,-1
Math47,2,2,0
Math48,30,355,325
Math49,14,7,-7
Math50,1,1,0
Math51,27,30,3
Math52,6,22,16
Math53,1,1,0
Math54,247,136,-111
Math55,1,1,0
Math56,1,20,19
Math57,2,4,2
Math58,429,545,116
Math59,1,2,1
Math60,33,36,3
Math61,1,1,0
Math62,49,128,79
Math63,1,1,0
Math64,62,144,82
Math65,13,41,28
Math66,21,54,33
Math67,204,8,-196
Math68,118,127,9
Math69,45,44,-1
Math70,1,1,0
Math71,1,1,0
Math72,2,1,-1
Math73,2,1,-1
Math74,248,777,529
Math75,1,1,0
Math76,33,99,66
Math77,1,19,18
Math78,7,117,110
Math79,17,29,12
Math80,4,14,10
Math81,1,10,9
Math82,49,151,102
Math83,9,40,31
Math84,35,45,10
Math85,50,77,27
Math86,64,75,11
Math87,6,115,109
Math88,1,1,0
Math89,1,1,0
Math90,3,3,0
Math91,2,1,-1
Math92,1,2,1
Math93,2,2,0
Math94,10,6,-4
Math95,2,15,13
Math96,7,5,-2
Math97,1,1,0
Math98,1,4,3
Math99,2,4,2
Math100,23,9,-14
Math101,18,12,-6
Math102,3,3,0
Math103,35,32,-3
Math105,3,25,22
Math106,13,10,-3
Mockito1,2,2,0
Mockito2,12,8,-4
Mockito3,2,1,-1
Mockito4,6,7,1
Mockito5,4060,4060,0
Mockito6,2,1,-1
Mockito7,70,50,-20
Mockito8,35,31,-4
Mockito9,1827,1827,0
Mockito10,27,12,-15
Mockito11,1,1,0
Mockito12,3,2,-1
Mockito13,58,85,27
Mockito14,61,96,35
Mockito15,127,178,51
Mockito16,8,4,-4
Mockito17,1,4,3
Mockito18,3,5,2
Mockito19,19,12,-7
Mockito20,88,118,30
Mockito21,2,1,-1
Mockito22,68,11,-57
Mockito23,82,66,-16
Mockito24,1,1,0
Mockito25,65,63,-2
Mockito27,39,37,-2
Mockito28,26,198,172
Mockito29,17,31,14
Mockito30,1,1,0
Mockito31,2,2,0
Mockito32,3,2,-1
Mockito33,82,197,115
Mockito34,79,62,-17
Mockito35,1,1,0
Mockito36,6,4,-2
Mockito37,84,4,-80
Mockito38,7,5,-2
Time1,10,2,-8
Time2,11,3,-8
Time3,1,1,0
Time4,113,30,-83
Time5,2,26,24
Time6,3,4,1
Time7,41,17,-24
Time8,70,24,-46
Time9,27,3,-24
Time10,104,199,95
Time11,449,448,-1
Time12,7,7,0
Time13,43,19,-24
Time14,1,5,4
Time15,3,2,-1
Time16,13,7,-6
Time17,1,5,4
Time18,59,3,-56
Time19,27,620,593
Time20,567,556,-11
Time21,32,33,1
Time22,61,16,-45
Time23,10,41,31
Time24,326,466,140
Time25,151,383,232
Time26,128,344,216
Time27,84,346,262
