Project,now,before,Difference
Lang-32,13,26,13
Lang-24,17,64,47
Lang-40,1,2,1
Lang-4,2,2,0
Lang-19,1,8,7
Lang-35,1,2,1
Lang-50,30,8,-22
Lang-29,-1,-1,0
Lang-14,1,4,3
Lang-2,6,3,-3
Lang-49,1,1,0
Lang-47,14,5,-9
Lang-5,3,1,-2
Lang-16,42,27,-15
Lang-3,22,3,-19
Lang-11,7,3,-4
Lang-6,34,98,64
Lang-13,1,5,4
Lang-23,-1,-1,0
Lang-17,8,102,94
Lang-18,13,41,28
Lang-63,2,1,-1
Lang-26,16,7,-9
Lang-31,3,4,1
Lang-61,4,21,17
Lang-65,4,7,3
Lang-60,2,2,0
Lang-52,-1,-1,0
Lang-53,34,16,-18
Lang-51,-1,-1,0
Lang-58,3,20,17
Lang-1,2,3,1
Lang-59,1,6,5
Lang-22,22,31,9
Lang-39,35,27,-8
Lang-56,-1,-1,0
Lang-28,2,3,1
Lang-41,1,6,5
Lang-21,1,2,1
Lang-43,4,6,2
Lang-45,17,10,-7
Lang-37,1,6,5
Lang-7,1,122,121
Lang-25,-1,-1,0
Lang-12,1,5,4
Lang-64,3,4,1
Lang-44,2,3,1
Lang-62,6,4,-2
Lang-38,1,3,2
Lang-15,7,191,184
Lang-10,14,56,42
Lang-8,1,6,5
Lang-36,13,42,29
Lang-33,4,7,3
Lang-34,31,64,33
Lang-46,1,1,0
Lang-55,1,7,6
Lang-20,2,8,6
Lang-42,6,13,7
Lang-48,3,2,-1
Lang-30,1,8,7
Lang-9,138,142,4
Lang-57,4,6,2
Lang-54,5,3,-2
Lang-27,38,127,89
Time-24,198,466,268
Time-4,24,30,6
Time-19,66,620,554
Time-14,1,5,4
Time-2,6,3,-3
Time-5,1,26,25
Time-16,33,7,-26
Time-3,3,1,-2
Time-11,299,448,149
Time-6,24,4,-20
Time-13,14,19,5
Time-23,15,41,26
Time-17,1,5,4
Time-18,5,3,-2
Time-26,77,344,267
Time-1,1,2,1
Time-22,16,16,0
Time-21,10,33,23
Time-7,13,17,4
Time-25,134,383,249
Time-12,7,7,0
Time-15,3,2,-1
Time-10,30,199,169
Time-8,32,24,-8
Time-20,393,556,163
Time-9,5,3,-2
Time-27,141,346,205
Math-69,44,44,0
Math-32,1,4,3
Math-73,3,1,-2
Math-24,36,150,114
Math-40,87,33,-54
Math-4,60,17,-43
Math-91,2,1,-1
Math-74,265,777,512
Math-106,47,10,-37
Math-19,72,56,-16
Math-35,9,3,-6
Math-78,5,117,112
Math-103,16,32,16
Math-50,1,1,0
Math-29,1,6,5
Math-87,6,115,109
Math-14,36,99,63
Math-81,1,10,9
Math-2,38,44,6
Math-49,73,7,-66
Math-47,2,2,0
Math-92,1,2,1
Math-86,28,75,47
Math-66,20,54,34
Math-75,1,1,0
Math-82,45,151,106
Math-76,34,99,65
Math-93,2,2,0
Math-5,1,1,0
Math-67,210,8,-202
Math-16,22,1,-21
Math-3,5,3,-2
Math-11,24,31,7
Math-6,134,170,36
Math-13,68,159,91
Math-23,1,148,147
Math-17,42,89,47
Math-18,38,14,-24
Math-63,1,1,0
Math-26,77,38,-39
Math-31,66,190,124
Math-61,18,1,-17
Math-77,1,19,18
Math-65,30,41,11
Math-60,19,36,17
Math-52,6,22,16
Math-53,1,1,0
Math-51,17,30,13
Math-58,362,545,183
Math-97,1,1,0
Math-1,11,8,-3
Math-59,3,2,-1
Math-22,1,1,0
Math-39,100,117,17
Math-100,42,9,-33
Math-56,1,20,19
Math-28,8,12,4
Math-41,31,43,12
Math-21,6,41,35
Math-96,6,5,-1
Math-43,28,72,44
Math-68,8,127,119
Math-45,1,1,0
Math-37,108,6,-102
Math-83,14,40,26
Math-7,40,42,2
Math-25,2,1,-1
Math-85,28,77,49
Math-90,3,3,0
Math-89,1,1,0
Math-95,1,15,14
Math-12,-1,-1,0
Math-88,1,1,0
Math-64,4,144,140
Math-101,15,12,-3
Math-71,1,1,0
Math-99,3,4,1
Math-105,3,25,22
Math-44,30,14,-16
Math-62,49,128,79
Math-94,8,6,-2
Math-84,2,45,43
Math-79,8,29,21
Math-38,8,5,-3
Math-15,83,211,128
Math-10,50,12,-38
Math-98,2,4,2
Math-102,3,3,0
Math-8,2,4,2
Math-36,17,2,-15
Math-33,52,44,-8
Math-72,3,1,-2
Math-104,-1,-1,0
Math-34,1,3,2
Math-46,4,1,-3
Math-80,4,14,10
Math-55,1,1,0
Math-20,3,598,595
Math-42,43,72,29
Math-48,26,355,329
Math-30,78,41,-37
Math-9,1,1,0
Math-57,12,4,-8
Math-54,283,136,-147
Math-27,1,1,0
Math-70,1,1,0
Chart-24,2,3,1
Chart-4,28,179,151
Chart-19,2,1,-1
Chart-14,42,6,-36
Chart-2,73,92,19
Chart-5,2,8,6
Chart-16,10,1,-9
Chart-3,1,3,2
Chart-11,1,5,4
Chart-6,30,104,74
Chart-13,57,47,-10
Chart-23,-1,-1,0
Chart-17,1,2,1
Chart-18,1,3,2
Chart-26,16,134,118
Chart-1,28,42,14
Chart-22,1,12,11
Chart-21,12,3,-9
Chart-7,29,81,52
Chart-25,226,2640,2414
Chart-12,33,13,-20
Chart-15,9,29,20
Chart-10,1,3,2
Chart-8,4,1,-3
Chart-20,8,5,-3
Chart-9,3,14,11
Mockito-32,9,2,-7
Mockito-24,1,1,0
Mockito-4,6,7,1
Mockito-19,17,12,-5
Mockito-35,1,1,0
Mockito-29,8,31,23
Mockito-14,74,96,22
Mockito-2,150,8,-142
Mockito-5,4060,4060,0
Mockito-16,6,4,-2
Mockito-3,3,1,-2
Mockito-11,1,1,0
Mockito-6,6,1,-5
Mockito-13,54,85,31
Mockito-23,30,66,36
Mockito-17,1,4,3
Mockito-18,22,5,-17
Mockito-26,-1,-1,0
Mockito-31,2,2,0
Mockito-1,2,2,0
Mockito-22,21,11,-10
Mockito-28,46,198,152
Mockito-21,2,1,-1
Mockito-37,9,4,-5
Mockito-7,34,50,16
Mockito-25,14,63,49
Mockito-12,7,2,-5
Mockito-38,7,5,-2
Mockito-15,58,178,120
Mockito-10,11,12,1
Mockito-8,56,31,-25
Mockito-36,5,4,-1
Mockito-33,93,197,104
Mockito-34,44,62,18
Mockito-20,78,118,40
Mockito-30,1,1,0
Mockito-9,571,1827,1256
Mockito-27,18,37,19
Closure-69,772,1006,234
Closure-127,50,210,160
Closure-32,46,35,-11
Closure-119,-1,-1,0
Closure-73,300,305,5
Closure-24,1,1,0
Closure-40,92,120,28
Closure-120,5,239,234
Closure-4,108,191,83
Closure-91,653,284,-369
Closure-74,220,117,-103
Closure-109,6,33,27
Closure-106,5,105,100
Closure-19,1,1,0
Closure-35,17,6,-11
Closure-78,4,1,-3
Closure-103,54,289,235
Closure-122,2,9,7
Closure-50,29,88,59
Closure-29,156,432,276
Closure-87,62,150,88
Closure-133,4,516,512
Closure-14,1,4,3
Closure-81,131,173,42
Closure-2,17,66,49
Closure-49,120,1260,1140
Closure-107,84,132,48
Closure-47,230,338,108
Closure-126,31,5,-26
Closure-92,57,85,28
Closure-86,1,2,1
Closure-66,1108,2743,1635
Closure-75,6,8,2
Closure-82,585,1092,507
Closure-130,258,545,287
Closure-76,68,136,68
Closure-123,115,159,44
Closure-93,57,85,28
Closure-5,139,154,15
Closure-67,178,281,103
Closure-16,37,200,163
Closure-3,230,279,49
Closure-11,6,1147,1141
Closure-6,3,1,-2
Closure-121,387,388,1
Closure-13,3476,5651,2175
Closure-23,4,8,4
Closure-113,5,17,12
Closure-17,74,86,12
Closure-124,4,10,6
Closure-108,72,237,165
Closure-18,486,2060,1574
Closure-63,1,4,3
Closure-26,57,5,-52
Closure-31,494,1664,1170
Closure-61,67,138,71
Closure-77,629,306,-323
Closure-65,89,78,-11
Closure-132,26,80,54
Closure-60,19,19,0
Closure-52,57,116,59
Closure-53,46,47,1
Closure-51,151,326,175
Closure-58,4,7,3
Closure-97,7,1,-6
Closure-1,75,619,544
Closure-59,3557,6779,3222
Closure-22,4,4,0
Closure-39,8,21,13
Closure-100,1,7,6
Closure-56,6,65,59
Closure-28,-1,-1,0
Closure-114,240,215,-25
Closure-41,1345,695,-650
Closure-21,4,6,2
Closure-117,138,225,87
Closure-96,29,247,218
Closure-43,325,506,181
Closure-68,4,3,-1
Closure-45,288,280,-8
Closure-37,375,1226,851
Closure-83,21,10,-11
Closure-7,1,2,1
Closure-25,112,107,-5
Closure-85,43,164,121
Closure-90,18,46,28
Closure-89,151,164,13
Closure-95,761,1764,1003
Closure-12,17,1081,1064
Closure-88,23,69,46
Closure-64,572,1484,912
Closure-101,536,2775,2239
Closure-118,4,2,-2
Closure-71,174,284,110
Closure-99,63,19,-44
Closure-105,55,7,-48
Closure-44,529,778,249
Closure-62,1,4,3
Closure-94,17,4,-13
Closure-116,16,30,14
Closure-84,160,195,35
Closure-79,11,51,40
Closure-129,1523,3293,1770
Closure-38,315,345,30
Closure-15,135,185,50
Closure-10,47,221,174
Closure-98,44,425,381
Closure-102,2830,4752,1922
Closure-8,80,123,43
Closure-36,338,1062,724
Closure-33,256,510,254
Closure-72,283,241,-42
Closure-104,11,13,2
Closure-128,37,102,65
Closure-34,270,230,-40
Closure-46,4,1,-3
Closure-125,286,396,110
Closure-110,5,2,-3
Closure-112,147,109,-38
Closure-80,1,13,12
Closure-55,178,329,151
Closure-20,6,2,-4
Closure-42,1,1,0
Closure-48,584,389,-195
Closure-131,226,300,74
Closure-30,84,242,158
Closure-9,1,1,0
Closure-111,1,1,0
Closure-115,48,8,-40
Closure-57,16,25,9
Closure-54,41,55,14
Closure-27,3,3,0
Closure-70,980,2011,1031
