Project,now,before,Difference
Chart1,28,42,14
Chart2,98,92,-6
Chart3,2,3,1
Chart4,66,171,105
Chart5,3,8,5
Chart6,31,57,26
Chart7,51,81,30
Chart8,4,1,-3
Chart9,3,14,11
Chart10,1,3,2
Chart11,1,5,4
Chart12,24,13,-11
Chart13,42,47,5
Chart14,19,6,-13
Chart15,28,29,1
Chart16,4,1,-3
Chart17,2,2,0
Chart18,1,3,2
Chart19,2,1,-1
Chart20,10,5,-5
Chart21,4,3,-1
Chart22,1,12,11
Chart24,2,3,1
Chart25,2494,2640,146
Chart26,15,134,119
Closure1,96,240,144
Closure2,79,95,16
Closure3,334,279,-55
Closure4,181,168,-13
Closure5,162,154,-8
Closure6,1,1,0
Closure7,1,2,1
Closure8,123,123,0
Closure9,1,1,0
Closure10,119,264,145
Closure11,56,2712,2656
Closure12,150,1081,931
Closure13,4416,5651,1235
Closure14,3,3,0
Closure15,191,185,-6
Closure16,88,111,23
Closure17,116,114,-2
Closure18,324,1805,1481
Closure19,1,1,0
Closure20,6,2,-4
Closure21,7,7,0
Closure22,2,2,0
Closure23,3,8,5
Closure24,1,1,0
Closure25,107,107,0
Closure26,26,5,-21
Closure27,2,3,1
Closure29,323,394,71
Closure30,204,222,18
Closure31,313,1492,1179
Closure32,40,35,-5
Closure33,484,573,89
Closure34,292,199,-93
Closure35,7,6,-1
Closure36,792,1062,270
Closure37,293,967,674
Closure38,363,284,-79
Closure39,29,68,39
Closure40,115,120,5
Closure41,1811,902,-909
Closure42,1,1,0
Closure43,514,465,-49
Closure44,510,571,61
Closure45,409,280,-129
Closure46,1,1,0
Closure47,269,336,67
Closure48,1296,2192,896
Closure49,385,1172,787
Closure50,76,88,12
Closure51,136,274,138
Closure52,107,138,31
Closure53,47,47,0
Closure54,35,39,4
Closure55,288,329,41
Closure56,14,59,45
Closure57,37,48,11
Closure58,5,7,2
Closure59,2593,5974,3381
Closure60,29,29,0
Closure61,88,115,27
Closure62,1,4,3
Closure63,1,4,3
Closure64,711,1556,845
Closure65,77,71,-6
Closure66,1084,2781,1697
Closure67,224,223,-1
Closure68,3,3,0
Closure69,1227,2435,1208
Closure70,1074,2674,1600
Closure71,615,383,-232
Closure72,410,241,-169
Closure73,473,1355,882
Closure74,84,71,-13
Closure75,8,8,0
Closure76,109,116,7
Closure77,1174,1329,155
Closure78,2,1,-1
Closure79,33,49,16
Closure80,8,20,12
Closure81,131,137,6
Closure82,476,599,123
Closure83,22,10,-12
Closure84,167,172,5
Closure85,132,162,30
Closure86,1,2,1
Closure87,84,150,66
Closure88,70,69,-1
Closure89,173,164,-9
Closure90,21,46,25
Closure91,595,284,-311
Closure92,73,85,12
Closure93,73,85,12
Closure94,4,4,0
Closure95,868,1640,772
Closure96,19,424,405
Closure97,19,1,-18
Closure98,93,425,332
Closure99,108,22,-86
Closure100,1,7,6
Closure101,773,2775,2002
Closure102,3649,4752,1103
Closure103,125,290,165
Closure104,11,13,2
Closure105,47,7,-40
Closure106,3,26,23
Closure107,135,132,-3
Closure108,182,237,55
Closure109,6,33,27
Closure110,6,2,-4
Closure111,1,1,0
Closure112,96,89,-7
Closure113,12,17,5
Closure114,344,215,-129
Closure115,8,8,0
Closure116,12,14,2
Closure117,375,279,-96
Closure118,1,2,1
Closure120,8,285,277
Closure121,471,388,-83
Closure122,8,9,1
Closure123,319,219,-100
Closure124,9,10,1
Closure125,655,563,-92
Closure126,30,5,-25
Closure127,179,200,21
Closure128,86,133,47
Closure129,826,2329,1503
Closure130,276,545,269
Closure131,336,340,4
Closure132,68,80,12
Closure133,19,597,578
Lang1,2,3,1
Lang2,4,3,-1
Lang3,7,3,-4
Lang4,4,2,-2
Lang5,1,1,0
Lang6,34,98,64
Lang7,2,122,120
Lang8,6,8,2
Lang9,93,92,-1
Lang10,39,48,9
Lang11,4,3,-1
Lang12,1,5,4
Lang13,1,5,4
Lang14,1,4,3
Lang15,17,191,174
Lang16,43,27,-16
Lang17,11,102,91
Lang18,42,41,-1
Lang19,3,8,5
Lang20,3,8,5
Lang21,1,2,1
Lang22,24,26,2
Lang24,16,64,48
Lang26,38,7,-31
Lang27,132,127,-5
Lang28,2,3,1
Lang30,1,8,7
Lang31,2,4,2
Lang32,12,26,14
Lang33,3,7,4
Lang34,67,61,-6
Lang35,1,2,1
Lang36,38,42,4
Lang37,1,6,5
Lang38,1,3,2
Lang39,34,27,-7
Lang40,1,2,1
Lang41,6,6,0
Lang42,13,13,0
Lang43,4,6,2
Lang44,2,3,1
Lang45,15,10,-5
Lang46,1,1,0
Lang47,5,5,0
Lang48,2,2,0
Lang49,1,1,0
Lang50,18,8,-10
Lang53,33,16,-17
Lang54,4,3,-1
Lang55,5,7,2
Lang57,3,6,3
Lang58,3,20,17
Lang59,1,6,5
Lang60,2,2,0
Lang61,4,21,17
Lang62,3,4,1
Lang63,1,1,0
Lang64,4,4,0
Lang65,8,7,-1
Math1,12,11,-1
Math2,41,44,3
Math3,5,3,-2
Math4,12,17,5
Math5,1,1,0
Math6,102,170,68
Math7,49,42,-7
Math8,1,4,3
Math9,1,1,0
Math10,14,12,-2
Math11,44,31,-13
