Project,now,before,Difference
Lang-32,16,26,10
Lang-24,19,64,45
Lang-40,1,2,1
Lang-4,1,2,1
Lang-19,1,8,7
Lang-35,3,2,-1
Lang-50,35,8,-27
Lang-29,-1,-1,0
Lang-14,1,4,3
Lang-2,6,3,-3
Lang-49,1,1,0
Lang-47,14,5,-9
Lang-5,3,1,-2
Lang-16,42,27,-15
Lang-3,12,3,-9
Lang-11,6,3,-3
Lang-6,30,98,68
Lang-13,2,5,3
Lang-23,-1,-1,0
Lang-17,7,102,95
Lang-18,19,41,22
Lang-63,2,1,-1
Lang-26,17,7,-10
Lang-31,4,4,0
Lang-61,4,21,17
Lang-65,6,7,1
Lang-60,4,2,-2
Lang-52,-1,-1,0
Lang-53,34,16,-18
Lang-51,-1,-1,0
Lang-58,3,20,17
Lang-1,4,3,-1
Lang-59,4,6,2
Lang-22,24,26,2
Lang-39,37,27,-10
Lang-56,-1,-1,0
Lang-28,2,3,1
Lang-41,3,6,3
Lang-21,3,2,-1
Lang-43,6,6,0
Lang-45,17,10,-7
Lang-37,1,6,5
Lang-7,1,122,121
Lang-25,-1,-1,0
Lang-12,1,5,4
Lang-64,5,4,-1
Lang-44,2,3,1
Lang-62,9,4,-5
Lang-38,3,3,0
Lang-15,7,191,184
Lang-10,15,48,33
Lang-8,5,8,3
Lang-36,11,42,31
Lang-33,5,7,2
Lang-34,26,61,35
Lang-46,1,1,0
Lang-55,2,7,5
Lang-20,2,8,6
Lang-42,10,13,3
Lang-48,3,2,-1
Lang-30,2,8,6
Lang-9,125,92,-33
Lang-57,5,6,1
Lang-54,5,3,-2
Lang-27,34,127,93
Time-24,192,466,274
Time-4,31,30,-1
Time-19,43,620,577
Time-14,3,5,2
Time-2,6,3,-3
Time-5,3,26,23
Time-16,30,7,-23
Time-3,2,1,-1
Time-11,345,448,103
Time-6,7,3,-4
Time-13,21,19,-2
Time-23,14,41,27
Time-17,5,5,0
Time-18,5,3,-2
Time-26,90,396,306
Time-1,3,2,-1
Time-22,26,16,-10
Time-21,4,33,29
Time-7,14,16,2
Time-25,99,306,207
Time-12,8,4,-4
Time-15,3,2,-1
Time-10,27,197,170
Time-8,34,24,-10
Time-20,550,942,392
Time-9,7,3,-4
Time-27,114,346,232
Math-69,50,44,-6
Math-32,2,4,2
Math-73,3,1,-2
Math-24,22,150,128
Math-40,91,33,-58
Math-4,84,17,-67
Math-91,2,1,-1
Math-74,185,777,592
Math-106,37,10,-27
Math-19,108,56,-52
Math-35,6,3,-3
Math-78,4,117,113
Math-103,15,32,17
Math-50,1,1,0
Math-29,4,6,2
Math-87,6,115,109
Math-14,30,99,69
Math-81,2,10,8
Math-2,45,44,-1
Math-49,46,7,-39
Math-47,3,2,-1
Math-92,1,2,1
Math-86,23,71,48
Math-66,13,81,68
Math-75,1,1,0
Math-82,48,151,103
Math-76,42,99,57
Math-93,1,2,1
Math-5,1,1,0
Math-67,187,8,-179
Math-16,138,214,76
Math-3,5,3,-2
Math-11,27,31,4
Math-6,119,170,51
Math-13,66,159,93
Math-23,1,148,147
Math-17,40,258,218
Math-18,87,14,-73
Math-63,1,1,0
Math-26,111,38,-73
Math-31,51,101,50
Math-61,3,1,-2
Math-77,3,19,16
Math-65,57,41,-16
Math-60,19,36,17
Math-52,14,22,8
Math-53,1,1,0
Math-51,15,30,15
Math-58,322,545,223
Math-97,1,1,0
Math-1,24,11,-13
Math-59,5,2,-3
Math-22,2,1,-1
Math-39,98,117,19
Math-100,36,9,-27
Math-56,8,20,12
Math-28,15,12,-3
Math-41,39,43,4
Math-21,11,41,30
