Project,MinRank1,MinRank2,Difference
Chart1,11,42,31
Chart2,66,92,26
Chart3,2,3,1
Chart4,20,171,151
Chart5,1,8,7
Chart6,29,57,28
Chart7,20,81,61
Chart8,4,1,-3
Chart9,3,14,11
Chart10,1,3,2
Chart11,1,5,4
Chart12,27,13,-14
Chart13,45,47,2
Chart14,30,6,-24
Chart15,7,29,22
Chart16,16,1,-15
Chart17,1,2,1
Chart18,1,3,2
Chart19,2,1,-1
Chart20,6,5,-1
Chart21,9,3,-6
Chart22,1,12,11
Chart24,2,3,1
Chart25,248,2640,2392
Chart26,13,134,121
Closure1,56,240,184
Closure2,30,95,65
Closure3,217,279,62
Closure4,61,168,107
Closure5,112,154,42
Closure6,8,1,-7
Closure7,1,2,1
Closure8,74,123,49
Closure9,1,1,0
Closure10,76,264,188
Closure11,115,2712,2597
Closure12,199,1081,882
Closure13,3578,5651,2073
Closure14,1,3,2
Closure15,111,185,74
Closure16,27,111,84
Closure17,72,114,42
Closure18,369,1805,1436
Closure19,1,1,0
Closure20,8,2,-6
Closure21,3,7,4
Closure22,3,2,-1
Closure23,4,8,4
Closure24,1,1,0
Closure25,98,107,9
Closure26,56,5,-51
Closure27,2,3,1
Closure29,181,394,213
Closure30,79,222,143
Closure31,445,1492,1047
Closure32,23,35,12
Closure33,248,573,325
Closure34,246,199,-47
Closure35,33,6,-27
Closure36,353,1062,709
Closure37,375,967,592
Closure38,179,284,105
Closure39,15,68,53
Closure40,74,120,46
Closure41,1583,902,-681
Closure42,1,1,0
Closure43,230,465,235
Closure44,411,571,160
Closure45,219,280,61
Closure46,4,1,-3
Closure47,190,336,146
Closure48,942,2192,1250
Closure49,212,1172,960
Closure50,28,88,60
Closure51,130,274,144
Closure52,63,138,75
Closure53,38,47,9
Closure54,23,39,16
Closure55,136,329,193
Closure56,7,59,52
Closure57,18,48,30
Closure58,4,7,3
Closure59,2901,5974,3073
Closure60,15,29,14
Closure61,47,115,68
Closure62,1,4,3
Closure63,1,4,3
Closure64,580,1556,976
Closure65,46,71,25
Closure66,1847,2781,934
Closure67,129,223,94
Closure68,4,3,-1
Closure69,1115,2435,1320
Closure70,1246,2674,1428
Closure71,281,383,102
Closure72,206,241,35
Closure73,465,1355,890
Closure74,128,71,-57
Closure75,2,8,6
Closure76,63,116,53
Closure77,1096,1329,233
Closure78,321,1,-320
Closure79,8,49,41
Closure80,4,20,16
Closure81,75,137,62
Closure82,274,599,325
Closure83,22,10,-12
Closure84,106,172,66
Closure85,40,162,122
Closure86,1,2,1
Closure87,56,150,94
Closure88,20,69,49
Closure89,109,164,55
Closure90,13,46,33
Closure91,640,284,-356
Closure92,56,85,29
Closure93,56,85,29
Closure94,16,4,-12
Closure95,635,1640,1005
Closure96,112,424,312
Closure97,43,1,-42
Closure98,118,425,307
Closure99,132,22,-110
Closure100,1,7,6
Closure101,578,2775,2197
Closure102,3309,4752,1443
Closure103,88,290,202
Closure104,11,13,2
Closure105,59,7,-52
Closure106,2,26,24
Closure107,74,132,58
Closure108,69,237,168
Closure109,5,33,28
Closure110,6,2,-4
Closure111,1,1,0
Closure112,71,89,18
Closure113,3,17,14
Closure114,98,215,117
Closure115,7,8,1
Closure116,4,14,10
Closure117,120,279,159
Closure118,8,2,-6
Closure120,15,285,270
Closure121,225,388,163
Closure122,2,9,7
Closure123,127,219,92
Closure124,3,10,7
Closure125,337,563,226
Closure126,36,5,-31
Closure127,48,200,152
Closure128,51,133,82
Closure129,892,2329,1437
Closure130,194,545,351
Closure131,183,340,157
Closure132,27,80,53
Closure133,177,597,420
Lang1,2,3,1
Lang2,5,3,-2
Lang3,27,3,-24
Lang4,3,2,-1
Lang5,3,1,-2
Lang6,31,98,67
Lang7,1,122,121
Lang8,1,8,7
Lang9,90,92,2
Lang10,10,48,38
Lang11,6,3,-3
Lang12,1,5,4
Lang13,1,5,4
Lang14,1,4,3
Lang15,7,191,184
Lang16,41,27,-14
Lang17,12,102,90
Lang18,12,41,29
Lang19,1,8,7
Lang20,2,8,6
Lang21,1,2,1
Lang22,21,26,5
Lang24,17,64,47
Lang26,39,7,-32
Lang27,40,127,87
Lang28,2,3,1
Lang30,1,8,7
Lang31,2,4,2
Lang32,11,26,15
Lang33,3,7,4
Lang34,28,61,33
Lang35,1,2,1
Lang36,14,42,28
Lang37,1,6,5
Lang38,1,3,2
Lang39,34,27,-7
Lang40,1,2,1
Lang41,2,6,4
Lang42,6,13,7
Lang43,4,6,2
Lang44,2,3,1
Lang45,16,10,-6
Lang46,1,1,0
Lang47,38,5,-33
