Project,now,before,Difference
Chart1,25,42,17
Chart2,139,137,-2
Chart3,2,3,1
Chart4,17,17,0
Chart5,1,8,7
Chart6,6,16,10
Chart7,50,81,31
Chart8,4,1,-3
Chart9,3,14,11
Chart10,1,3,2
Chart11,1,5,4
Chart12,28,13,-15
Chart13,45,47,2
Chart14,338,317,-21
Chart15,8,29,21
Chart16,5,1,-4
Chart17,1,2,1
Chart18,2,3,1
Chart19,478,474,-4
Chart20,7,5,-2
Chart21,5,3,-2
Chart22,43,61,18
Chart24,2,3,1
Chart25,2600,2745,145
Chart26,50,134,84
Closure1,23,121,98
Closure2,1629,1666,37
Closure3,320,275,-45
Closure4,43,157,114
Closure5,128,154,26
Closure6,4154,3885,-269
Closure7,605,909,304
Closure8,94,123,29
Closure9,1,1,0
Closure10,2675,2889,214
Closure11,1805,2641,836
Closure12,659,1081,422
Closure13,5625,5651,26
Closure14,3,1,-2
Closure15,138,185,47
Closure16,3,2,-1
Closure17,2356,2301,-55
Closure18,250,661,411
Closure19,2210,2272,62
Closure20,17,2,-15
Closure21,2803,2788,-15
Closure22,2795,2787,-8
Closure23,19,8,-11
Closure24,4,1,-3
Closure25,115,107,-8
Closure26,2218,2181,-37
Closure27,67,35,-32
Closure29,265,184,-81
Closure30,25,102,77
Closure31,134,409,275
Closure32,663,673,10
Closure33,2300,2576,276
Closure34,5,6,1
Closure35,53,6,-47
Closure36,210,1062,852
Closure37,105,171,66
Closure38,3,7,4
Closure39,616,662,46
Closure40,13,35,22
Closure41,2464,2163,-301
Closure42,1,1,0
Closure43,1948,2222,274
Closure44,141,153,12
Closure45,263,280,17
Closure46,27,1,-26
Closure47,1995,1914,-81
Closure48,2343,2324,-19
Closure49,6,96,90
Closure50,12,76,64
Closure51,1,13,12
Closure52,1710,2028,318
Closure53,40,47,7
Closure54,320,1478,1158
Closure55,305,329,24
Closure56,430,593,163
Closure57,1629,1729,100
Closure58,5,7,2
Closure59,1443,2114,671
Closure60,1843,2348,505
Closure61,1887,1895,8
Closure62,10,13,3
Closure63,10,13,3
Closure64,192,364,172
Closure65,2383,2328,-55
Closure66,2396,2557,161
Closure67,137,116,-21
Closure68,7,3,-4
Closure69,2399,2275,-124
Closure70,2362,2295,-67
Closure71,2546,2498,-48
Closure72,222,241,19
Closure73,1969,1977,8
Closure74,12,10,-2
Closure75,2380,2358,-22
Closure76,47,79,32
Closure77,1969,1956,-13
Closure78,28,1,-27
Closure79,1626,1676,50
Closure80,1010,1615,605
Closure81,1,1,0
Closure82,62,164,102
Closure83,10,10,0
Closure84,9,9,0
Closure85,14,86,72
