Project,now,before,Difference
Lang-32,13,26,13
Lang-24,24,64,40
Lang-40,1,2,1
Lang-4,1,2,1
Lang-19,1,6,5
Lang-35,3,2,-1
Lang-50,77,134,57
Lang-29,-1,-1,0
Lang-14,1,4,3
Lang-2,6,3,-3
Lang-49,2,1,-1
Lang-47,38,35,-3
Lang-5,3,1,-2
Lang-16,45,27,-18
Lang-3,13,3,-10
Lang-11,6,3,-3
Lang-6,21,98,77
Lang-13,3,5,2
Lang-23,-1,-1,0
Lang-17,8,102,94
Lang-18,21,41,20
Lang-63,2,1,-1
Lang-26,26,7,-19
Lang-31,4,4,0
Lang-61,5,8,3
Lang-65,4,7,3
Lang-60,6,2,-4
Lang-52,-1,-1,0
Lang-53,34,16,-18
Lang-51,-1,-1,0
Lang-58,3,20,17
Lang-1,5,3,-2
Lang-59,5,6,1
Lang-22,16,14,-2
Lang-39,35,27,-8
Lang-56,-1,-1,0
Lang-28,3,3,0
Lang-41,4,38,34
Lang-21,3,2,-1
Lang-43,6,6,0
Lang-45,17,10,-7
Lang-37,1,6,5
Lang-7,1,122,121
Lang-25,-1,-1,0
Lang-12,1,4,3
Lang-64,9,4,-5
Lang-44,2,3,1
Lang-62,12,4,-8
Lang-38,6,3,-3
Lang-15,5,12,7
Lang-10,11,17,6
Lang-8,21,189,168
Lang-36,14,42,28
Lang-33,5,7,2
Lang-34,16,5,-11
Lang-46,1,1,0
Lang-55,2,7,5
Lang-20,4,27,23
Lang-42,10,13,3
Lang-48,3,2,-1
Lang-30,3,30,27
Lang-9,93,55,-38
Lang-57,5,6,1
Lang-54,5,3,-2
Lang-27,31,127,96
Time-24,195,458,263
Time-4,61,30,-31
Time-19,25,620,595
Time-14,10,4,-6
Time-2,48,3,-45
Time-5,7,2,-5
Time-16,321,7,-314
Time-3,4,1,-3
Time-11,313,448,135
Time-6,186,24,-162
Time-13,46,19,-27
Time-23,10,40,30
Time-17,27,5,-22
Time-18,21,3,-18
Time-26,93,398,305
Time-1,3,2,-1
Time-22,74,15,-59
Time-21,9,309,300
Time-7,32,16,-16
Time-25,39,187,148
Time-12,665,1581,916
Time-15,3,2,-1
Time-10,39,188,149
Time-8,48,24,-24
Time-20,889,1702,813
Time-9,24,3,-21
Time-27,72,346,274
Math-69,54,44,-10
Math-32,2,4,2
Math-73,3,1,-2
Math-24,18,150,132
Math-40,103,33,-70
Math-4,127,76,-51
Math-91,2,1,-1
Math-74,148,777,629
Math-106,36,10,-26
Math-19,153,56,-97
Math-35,6,3,-3
Math-78,2,117,115
Math-103,7,32,25
Math-50,2,1,-1
Math-29,29,194,165
Math-87,5,115,110
Math-14,27,99,72
Math-81,3,10,7
Math-2,41,44,3
Math-49,104,7,-97
Math-47,4,2,-2
Math-92,1,2,1
Math-86,15,18,3
Math-66,5,35,30
Math-75,1,1,0
Math-82,48,151,103
Math-76,41,99,58
Math-93,1,2,1
Math-5,2,1,-1
Math-67,186,8,-178
Math-16,259,252,-7
Math-3,5,3,-2
Math-11,26,31,5
Math-6,89,70,-19
Math-13,64,159,95
Math-23,1,148,147
Math-17,30,258,228
Math-18,184,14,-170
Math-63,1,1,0
Math-26,152,38,-114
Math-31,27,28,1
Math-61,6,1,-5
Math-77,8,21,13
Math-65,145,41,-104
Math-60,12,36,24
Math-52,21,22,1
Math-53,1,1,0
Math-51,9,30,21
Math-58,296,545,249
Math-97,2,1,-1
Math-1,307,356,49
Math-59,75,2,-73
Math-22,10,53,43
Math-39,90,117,27
Math-100,88,9,-79
Math-56,7,20,13
Math-28,17,12,-5
Math-41,45,43,-2
Math-21,10,41,31
Math-96,6,5,-1
Math-43,30,44,14
Math-68,5,127,122
Math-45,1,1,0
Math-37,194,249,55
Math-83,18,40,22
Math-7,96,42,-54
Math-25,2,1,-1
Math-85,15,77,62
Math-90,2,3,1
Math-89,1,1,0
Math-95,1,15,14
Math-12,-1,-1,0
Math-88,1,1,0
Math-64,3,143,140
Math-101,17,12,-5
Math-71,6,277,271
Math-99,13,27,14
Math-105,4,25,21
Math-44,7,14,7
Math-62,52,128,76
Math-94,8,6,-2
Math-84,3,34,31
Math-79,2,29,27
Math-38,27,5,-22
Math-15,87,217,130
Math-10,131,12,-119
Math-98,10,4,-6
Math-102,9,3,-6
Math-8,9,4,-5
Math-36,346,356,10
Math-33,51,44,-7
Math-72,4,1,-3
Math-104,-1,-1,0
Math-34,8,3,-5
Math-46,2,1,-1
Math-80,24,14,-10
Math-55,1,1,0
Math-20,1,598,597
Math-42,52,72,20
Math-48,7,355,348
Math-30,82,41,-41
Math-9,1,1,0
Math-57,9,4,-5
Math-54,321,306,-15
Math-27,1,1,0
Math-70,2,1,-1
Chart-24,3,3,0
Chart-4,25,17,-8
Chart-19,94,474,380
Chart-14,218,317,99
Chart-2,86,137,51
Chart-5,2,8,6
Chart-16,4,1,-3
Chart-3,6,3,-3
Chart-11,1,5,4
Chart-6,9,16,7
Chart-13,98,47,-51
Chart-23,-1,-1,0
Chart-17,2,2,0
Chart-18,1,3,2
Chart-26,80,134,54
Chart-1,20,42,22
Chart-22,1,61,60
