Project,MinRank1,MinRank2,Difference
Chart1,13,42,29
Chart2,75,137,62
Chart3,3,3,0
Chart4,24,17,-7
Chart5,1,8,7
Chart6,4,16,12
Chart7,25,81,56
Chart8,4,1,-3
Chart9,5,14,9
Chart10,1,3,2
Chart11,1,5,4
Chart12,117,13,-104
Chart13,90,47,-43
Chart14,219,317,98
Chart15,13,29,16
Chart16,17,1,-16
Chart17,1,2,1
Chart18,1,3,2
Chart19,127,474,347
Chart20,6,5,-1
Chart21,11,3,-8
Chart22,3,61,58
Chart24,2,3,1
Chart25,592,2745,2153
Chart26,64,134,70
Closure1,51,121,70
Closure2,542,1666,1124
Closure3,169,275,106
Closure4,280,157,-123
Closure5,165,154,-11
Closure6,3556,3885,329
Closure7,250,909,659
Closure8,44,123,79
Closure9,1,1,0
Closure10,579,2889,2310
Closure11,81,2641,2560
Closure12,2,1081,1079
Closure13,2690,5651,2961
Closure14,9,1,-8
Closure15,326,185,-141
Closure16,13,2,-11
Closure17,1787,2301,514
Closure18,45,661,616
Closure19,542,2272,1730
Closure20,57,2,-55
Closure21,910,2788,1878
Closure22,745,2787,2042
Closure23,63,8,-55
Closure24,14,1,-13
Closure25,24,107,83
Closure26,1328,2181,853
Closure27,56,35,-21
Closure29,916,184,-732
Closure30,61,102,41
Closure31,38,409,371
Closure32,168,673,505
Closure33,893,2576,1683
Closure34,153,6,-147
Closure35,146,6,-140
Closure36,314,1062,748
Closure37,28,171,143
Closure38,88,7,-81
Closure39,224,662,438
Closure40,285,35,-250
Closure41,1836,2163,327
Closure42,62,1,-61
Closure43,732,2222,1490
Closure44,223,153,-70
Closure45,126,280,154
Closure46,210,1,-209
Closure47,1326,1914,588
Closure48,1566,2324,758
Closure49,6,96,90
Closure50,18,76,58
Closure51,13,13,0
Closure52,462,2028,1566
Closure53,59,47,-12
Closure54,116,1478,1362
Closure55,99,329,230
Closure56,17,593,576
Closure57,526,1729,1203
Closure58,13,7,-6
Closure59,563,2114,1551
Closure60,564,2348,1784
Closure61,338,1895,1557
Closure62,1,13,12
Closure63,1,13,12
Closure64,100,364,264
Closure65,2076,2328,252
Closure66,1733,2557,824
Closure67,131,116,-15
Closure68,114,3,-111
Closure69,1805,2275,470
Closure70,1385,2295,910
Closure71,2005,2498,493
Closure72,128,241,113
Closure73,674,1977,1303
Closure74,707,10,-697
Closure75,1186,2358,1172
Closure76,213,79,-134
Closure77,1301,1956,655
Closure78,1965,1,-1964
Closure79,562,1676,1114
Closure80,23,1615,1592
Closure81,26,1,-25
Closure82,83,164,81
Closure83,21,10,-11
