Project,now,before,Difference
Chart1,4,54,50
Chart2,10,22,12
Chart3,2,20,18
Chart4,4,83,79
Chart5,2,23,21
Chart6,2,50,48
Chart7,9,10,1
Chart8,5,58,53
Chart9,4,37,33
Chart10,2,8,6
Chart11,2,8,6
Chart12,15,33,18
Chart13,30,38,8
Chart14,4,28,24
Chart15,-1,23,-1
Chart16,1,2,1
Chart17,3,30,27
Chart18,2,13,11
Chart19,7,20,13
Chart20,3,32,29
Chart21,1,1,0
Chart22,3,14,11
Chart24,3,5,2
Chart25,5,21,16
Chart26,4,37,33
Closure1,18,63,45
Closure2,2,45,43
Closure3,27,28,1
Closure4,5,14,9
Closure5,1,7,6
Closure6,5,11,6
Closure7,3,50,47
Closure8,40,77,37
Closure9,1,3,2
Closure10,3,22,19
Closure11,2,11,9
Closure12,2,53,51
Closure13,16,21,5
Closure14,3,43,40
Closure15,14,18,4
Closure16,9,31,22
Closure17,11,16,5
Closure18,4,17,13
Closure19,2,13,11
Closure20,8,76,68
Closure21,3,3,0
Closure22,6,5,-1
Closure23,6,55,49
Closure24,14,77,63
Closure25,4,43,39
Closure26,28,27,-1
Closure27,5,71,66
Closure29,27,24,-3
Closure30,4,35,31
Closure31,2,56,54
Closure32,3,10,7
Closure33,1,1,0
Closure34,6,3,-3
Closure35,2,1,-1
Closure36,12,68,56
Closure37,9,41,32
Closure38,3,4,1
Closure39,6,27,21
Closure40,9,56,47
Closure41,16,23,7
Closure42,5,76,71
Closure44,38,81,43
Closure45,23,39,16
Closure46,2,3,1
Closure47,10,65,55
Closure48,13,13,0
Closure49,2,6,4
Closure50,2,2,0
Closure51,1,1,0
Closure52,4,49,45
Closure53,8,14,6
Closure54,13,19,6
Closure55,5,49,44
Closure56,1,9,8
Closure57,2,50,48
Closure58,5,63,58
Closure59,1,2,1
Closure60,1,5,4
Closure61,3,27,24
Closure62,2,45,43
Closure63,2,73,71
Closure64,3,3,0
Closure65,7,45,38
Closure66,2,73,71
Closure67,10,50,40
Closure68,-1,98,-1
Closure69,7,27,20
Closure70,32,39,7
Closure71,11,36,25
Closure72,-1,43,-1
Closure73,4,84,80
Closure74,19,44,25
