Project,Statement,Rank1,Rank2,Difference
Chart1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797,4,54,50
Chart2,org.jfree.data.general.DatasetUtilities#755,12,56,44
Chart2,org.jfree.data.general.DatasetUtilities#757,10,22,12
Chart2,org.jfree.data.general.DatasetUtilities#758,-1,53,-1
Chart2,org.jfree.data.general.DatasetUtilities#761,-1,28,-1
Chart3,org.jfree.data.time.TimeSeries#1056,5,20,15
Chart3,org.jfree.data.time.TimeSeries#1057,2,25,23
Chart4,org.jfree.chart.plot.XYPlot#4493,4,83,79
Chart5,org.jfree.data.xy.XYSeries#548,2,23,21
Chart6,org.jfree.chart.util.ShapeList#111,2,50,48
Chart7,org.jfree.data.time.TimePeriodValues#300,9,10,1
Chart7,org.jfree.data.time.TimePeriodValues#302,37,19,-18
Chart8,org.jfree.data.time.Week#175,5,58,53
Chart9,org.jfree.data.time.TimeSeries#944,4,37,33
Chart10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#65,2,8,6
Chart11,org.jfree.chart.util.ShapeUtilities#275,2,8,6
Chart12,org.jfree.chart.plot.MultiplePiePlot#145,15,33,18
Chart13,org.jfree.chart.block.BorderArrangement#454,30,38,8
Chart14,org.jfree.chart.plot.XYPlot#2293,4,28,24
Chart15,org.jfree.chart.plot.PiePlot#1379,-1,23,-1
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#207,1,2,1
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#208,13,46,33
Chart17,org.jfree.data.time.TimeSeries#857,3,30,27
Chart18,org.jfree.data.DefaultKeyedValues#318,7,48,41
Chart18,org.jfree.data.DefaultKeyedValues#335,2,13,11
Chart19,org.jfree.chart.plot.CategoryPlot#698,7,20,13
Chart20,org.jfree.chart.plot.ValueMarker#95,3,32,29
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#158,7,40,33
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#159,26,31,5
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#160,29,21,-8
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#161,-1,16,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#162,9,3,-6
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#163,23,8,-15
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#164,24,9,-15
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#165,-1,6,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#167,4,2,-2
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#168,25,10,-15
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#169,1,1,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#170,14,4,-10
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#171,-1,24,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#172,19,19,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#173,31,20,-11
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#174,37,28,-9
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#175,36,42,6
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#176,-1,47,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#178,20,44,24
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#179,27,25,-2
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#180,33,22,-11
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#181,34,26,-8
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#182,-1,41,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#183,17,7,-10
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#184,-1,17,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#185,-1,5,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#186,-1,33,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#187,-1,55,-1
Chart22,org.jfree.data.KeyedObjects2D#231,3,31,28
Chart22,org.jfree.data.KeyedObjects2D#233,5,14,9
Chart24,org.jfree.chart.renderer.GrayPaintScale#126,3,5,2
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#260,14,21,7
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#315,5,62,57
Chart26,org.jfree.chart.axis.Axis#1192,4,37,33
Closure1,com.google.javascript.jscomp.RemoveUnusedVars#380,18,63,45
Closure2,com.google.javascript.jscomp.TypeCheck#1574,2,45,43
Closure3,com.google.javascript.jscomp.FlowSensitiveInlineVariables#155,27,28,1
Closure4,com.google.javascript.rhino.jstype.NamedType#190,5,14,9
Closure4,com.google.javascript.rhino.jstype.NamedType#202,-1,76,-1
Closure5,com.google.javascript.jscomp.InlineObjectLiterals#169,8,34,26
Closure5,com.google.javascript.jscomp.InlineObjectLiterals#185,1,7,6
Closure6,com.google.javascript.jscomp.TypeValidator#366,6,40,34
Closure6,com.google.javascript.jscomp.TypeValidator#367,8,64,56
