Project,now,before,Difference
Chart1,4437,4997,560
Chart2,977,1010,33
Chart3,2,367,365
Chart4,19410,22992,3582
Chart5,1,137,136
Chart6,637,650,13
Chart7,405,435,30
Chart8,4,116,112
Chart9,3,411,408
Chart10,1,3,2
Chart11,1,142,141
Chart12,1855,2328,473
Chart13,45,47,2
Chart14,29,6,-23
Chart15,7,5674,5667
Chart16,2,1,-1
Chart17,1,626,625
Chart18,1,3,2
Chart19,4,1,-3
Chart20,446,448,2
Chart21,5,3,-2
Chart22,1,12,11
Chart24,2,3,1
Chart25,2488,2640,152
Chart26,59,134,75
Closure1,22105,21998,-107
Closure2,24,5968,5944
Closure3,12005,11851,-154
Closure4,11283,11222,-61
Closure5,9232,9551,319
Closure6,6478,1,-6477
Closure7,24,2,-22
Closure8,8760,8719,-41
Closure9,1,1,0
Closure10,28,7124,7096
Closure11,11870,14008,2138
Closure12,13457,15178,1721
Closure13,24186,24214,28
Closure14,11,6287,6276
Closure15,9733,10348,615
Closure16,7136,11567,4431
Closure17,78,6665,6587
Closure18,16585,17361,776
Closure19,7,1,-6
Closure20,17,2,-15
Closure21,27,51,24
Closure22,11,2,-9
Closure23,17,8,-9
Closure24,3,1,-2
Closure25,9279,8962,-317
Closure26,724,5,-719
Closure27,29,3,-26
Closure29,18974,18968,-6
Closure30,10410,11758,1348
Closure31,15935,16568,633
Closure32,158,7508,7350
Closure33,10781,11392,611
Closure34,1595,1603,8
Closure35,5735,5691,-44
Closure36,16527,17315,788
Closure37,16400,16628,228
Closure38,11077,11140,63
Closure39,15,789,774
Closure40,10251,11391,1140
Closure41,13050,12952,-98
Closure42,1,1852,1851
Closure43,12101,12326,225
Closure44,11424,11138,-286
Closure45,10771,10809,38
Closure46,29,817,788
Closure47,441,336,-105
Closure48,11613,11706,93
Closure49,14322,14368,46
Closure50,85,6829,6744
Closure51,10339,10526,187
Closure52,14,5924,5910
Closure53,7515,7967,452
Closure54,65,9207,9142
Closure55,11815,11935,120
Closure56,2,5824,5822
Closure57,19,4194,4175
Closure58,5,5694,5689
Closure59,25152,25904,752
Closure60,227,9727,9500
Closure61,22,9300,9278
Closure62,2,40,38
Closure63,2,40,38
Closure64,403,15912,15509
Closure65,68,13,-55
Closure66,12291,12718,427
Closure67,9837,9850,13
Closure68,12,48,36
Closure69,11651,11783,132
Closure70,13390,13038,-352
Closure71,102,8694,8592
Closure72,7044,7045,1
Closure73,8877,9280,403
Closure74,8033,8071,38
Closure75,53,8,-45
Closure76,6149,5796,-353
Closure77,240,188,-52
Closure78,27,1,-26
Closure79,28,6210,6182
Closure80,1,3361,3360
Closure81,2884,3041,157
Closure82,14432,14561,129
Closure83,14923,14934,11
Closure84,2536,2530,-6
Closure85,3018,3009,-9
Closure86,9,5505,5496
Closure87,8784,8924,140
Closure88,74,69,-5
Closure89,11492,11574,82
Closure90,22,6238,6216
Closure91,12094,11997,-97
Closure92,5855,5866,11
Closure93,5860,5879,19
Closure94,5914,863,-5051
Closure95,14130,14561,431
Closure96,6,10100,10094
Closure97,38,1,-37
Closure98,10924,11500,576
Closure99,364,345,-19
Closure100,1,6873,6872
Closure101,21019,21984,965
Closure102,21799,21975,176
Closure103,7,10288,10281
Closure104,17,939,922
Closure105,71,7,-64
Closure106,2,26,24
Closure107,22882,23500,618
Closure108,11229,12844,1615
Closure109,1,2804,2803
Closure110,24,4586,4562
Closure111,1,2748,2747
Closure112,10517,10505,-12
Closure113,1,7843,7842
Closure114,15375,15351,-24
Closure115,9163,8,-9155
Closure116,13827,15601,1774
Closure117,9987,9975,-12
Closure118,112,6331,6219
Closure120,2,10121,10119
Closure121,14536,14822,286
Closure122,5,1599,1594
Closure123,6999,9114,2115
Closure124,7,8857,8850
Closure125,13077,13046,-31
Closure126,83,5,-78
Closure127,8530,9473,943
Closure128,19,6110,6091
Closure129,24967,25226,259
Closure130,15669,16546,877
Closure131,10790,11860,1070
Closure132,20,7561,7541
Closure133,3693,4229,536
Lang1,3,1564,1561
Lang2,82,78,-4
Lang3,1583,1570,-13
Lang4,10,20,10
Lang5,6,6,0
Lang6,2720,2781,61
Lang7,1,1471,1470
Lang8,2,64,62
Lang9,641,648,7
Lang10,383,486,103
Lang11,21,20,-1
Lang12,3,6,3
Lang13,1,5,4
Lang14,1,1289,1288
Lang15,196,1910,1714
Lang16,1338,1446,108
Lang17,1140,1221,81
Lang18,26,223,197
Lang19,2,20,18
Lang20,2,39,37
Lang21,1,2,1
Lang22,215,229,14
Lang24,19,64,45
Lang26,256,245,-11
Lang27,34,1353,1319
Lang28,2,10,8
Lang30,2,208,206
Lang31,3,1585,1582
Lang32,1137,1160,23
Lang33,3,7,4
Lang34,626,627,1
Lang35,2,2,0
Lang36,8,46,38
Lang37,1,767,766
Lang38,1,3,2
Lang39,638,47,-591
Lang40,1,2,1
Lang41,1,121,120
Lang42,119,350,231
Lang43,4,6,2
Lang44,6,12,6
Lang45,16,10,-6
Lang46,1,7,6
Lang47,412,134,-278
Lang48,205,212,7
Lang49,1,1,0
Lang50,16,3,-13
Lang53,169,158,-11
Lang54,4,8,4
Lang55,34,42,8
Lang57,3,6,3
Lang58,3,937,934
Lang59,1,96,95
Lang60,6,2,-4
Lang61,3,583,580
Lang62,47,71,24
Lang63,2,1,-1
Lang64,1082,1093,11
Lang65,117,158,41
Math1,1547,30,-1517
Math2,1770,1777,7
Math3,5,257,252
Math4,2092,2098,6
Math5,1,1,0
Math6,109,170,61
Math7,1462,1451,-11
Math8,1,4,3
Math9,1,1,0
Math10,523,479,-44
Math11,4307,4295,-12
Math13,5266,5559,293
Math14,4497,4603,106
Math15,179,2364,2185
Math16,1337,1139,-198
Math17,581,648,67
Math18,1578,1579,1
Math19,1689,1669,-20
Math20,3494,4161,667
Math21,9,1901,1892
