Project,Statement,Rank1,Rank2,Difference
Chart1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797,5,4997,4992
Chart2,org.jfree.data.general.DatasetUtilities#755,72,1058,986
Chart2,org.jfree.data.general.DatasetUtilities#757,69,1060,991
Chart2,org.jfree.data.general.DatasetUtilities#758,1116,1066,-50
Chart2,org.jfree.data.general.DatasetUtilities#761,1117,1067,-50
Chart2,org.jfree.data.general.DatasetUtilities#1242,44,1010,966
Chart2,org.jfree.data.general.DatasetUtilities#1243,80,1011,931
Chart2,org.jfree.data.general.DatasetUtilities#1245,1109,1050,-59
Chart2,org.jfree.data.general.DatasetUtilities#1248,1110,1051,-59
Chart3,org.jfree.data.time.TimeSeries#1056,9,367,358
Chart3,org.jfree.data.time.TimeSeries#1057,3,368,365
Chart4,org.jfree.chart.plot.XYPlot#4493,89,22992,22903
Chart5,org.jfree.data.xy.XYSeries#548,1,137,136
Chart6,org.jfree.chart.util.ShapeList#111,39,650,611
Chart7,org.jfree.data.time.TimePeriodValues#300,35,435,400
Chart7,org.jfree.data.time.TimePeriodValues#302,87,436,349
Chart8,org.jfree.data.time.Week#175,4,116,112
Chart9,org.jfree.data.time.TimeSeries#944,3,411,408
Chart10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#65,1,3,2
Chart11,org.jfree.chart.util.ShapeUtilities#275,1,142,141
Chart12,org.jfree.chart.plot.MultiplePiePlot#145,66,2328,2262
Chart13,org.jfree.chart.block.BorderArrangement#454,62,47,-15
Chart14,org.jfree.chart.plot.XYPlot#2293,117,19,-98
Chart14,org.jfree.chart.plot.XYPlot#2529,127,26,-101
Chart14,org.jfree.chart.plot.CategoryPlot#2166,126,6,-120
Chart14,org.jfree.chart.plot.CategoryPlot#2448,133,13,-120
Chart15,org.jfree.chart.plot.PiePlot#1379,7447,6501,-946
Chart15,org.jfree.chart.plot.PiePlot#2051,7,5674,5667
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#207,9,1,-8
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#208,29,2,-27
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#338,3,4,1
Chart17,org.jfree.data.time.TimeSeries#857,1,626,625
Chart18,org.jfree.data.DefaultKeyedValues#318,6,3,-3
Chart18,org.jfree.data.DefaultKeyedValues#335,1,9,8
Chart18,org.jfree.data.DefaultKeyedValues2D#455,4,10,6
