Project,now,before,Difference
Lang-32,13,1160,1147
Lang-24,23,64,41
Lang-40,1,2,1
Lang-4,1,20,19
Lang-19,1,20,19
Lang-35,3,2,-1
Lang-50,20,3,-17
Lang-29,-1,-1,0
Lang-14,1,1289,1288
Lang-2,24,78,54
Lang-49,2,1,-1
Lang-47,65,134,69
Lang-5,4,6,2
Lang-16,49,1446,1397
Lang-3,40,1570,1530
Lang-11,8,20,12
Lang-6,22,2781,2759
Lang-13,2,5,3
Lang-23,-1,-1,0
Lang-17,15,1221,1206
Lang-18,13,223,210
Lang-63,2,1,-1
Lang-26,33,245,212
Lang-31,3,1585,1582
Lang-61,4,583,579
Lang-65,3,158,155
Lang-60,6,2,-4
Lang-52,-1,-1,0
Lang-53,37,158,121
Lang-51,-1,-1,0
Lang-58,3,937,934
Lang-1,4,1564,1560
Lang-59,4,96,92
Lang-22,24,229,205
Lang-39,35,47,12
Lang-56,-1,-1,0
Lang-28,2,10,8
Lang-41,1,121,120
Lang-21,2,2,0
Lang-43,6,6,0
Lang-45,17,10,-7
Lang-37,1,767,766
Lang-7,1,1471,1470
Lang-25,-1,-1,0
Lang-12,1,6,5
Lang-64,9,1093,1084
Lang-44,2,12,10
Lang-62,13,71,58
Lang-38,2,3,1
Lang-15,25,1910,1885
Lang-10,32,486,454
Lang-8,5,64,59
Lang-36,10,46,36
Lang-33,5,7,2
Lang-34,60,627,567
Lang-46,1,7,6
Lang-55,3,42,39
Lang-20,2,39,37
Lang-42,8,350,342
Lang-48,4,212,208
Lang-30,2,208,206
Lang-9,373,648,275
Lang-57,4,6,2
Lang-54,8,8,0
Lang-27,32,1353,1321
Time-24,121,5554,5433
Time-4,9,4327,4318
Time-19,39,5379,5340
Time-14,7,2448,2441
Time-2,29,1988,1959
Time-5,3,1772,1769
Time-16,708,1687,979
Time-3,83,1567,1484
Time-11,232,3411,3179
Time-6,164,14,-150
Time-13,21,2684,2663
Time-23,13,1301,1288
Time-17,7,639,632
Time-18,44,2268,2224
Time-26,113,2097,1984
Time-1,2,1230,1228
Time-22,18,2791,2773
Time-21,1,21,20
Time-7,14,3795,3781
Time-25,188,5329,5141
Time-12,7,3,-4
Time-15,3,104,101
Time-10,16,4378,4362
Time-8,38,1233,1195
Time-20,433,1551,1118
Time-9,53,1192,1139
Time-27,73,4502,4429
Math-69,35,1422,1387
Math-32,1,4,3
Math-73,3,1,-2
Math-24,32,1977,1945
Math-40,107,1514,1407
Math-4,68,2098,2030
Math-91,1,1,0
Math-74,286,2028,1742
Math-106,81,50,-31
Math-19,104,1669,1565
Math-35,15,110,95
Math-78,8,366,358
Math-103,11,191,180
Math-50,1,1,0
Math-29,2,6,4
Math-87,9,1640,1631
Math-14,54,4603,4549
Math-81,2,2086,2084
Math-2,41,1777,1736
Math-49,724,753,29
Math-47,11,3,-8
Math-92,1,6,5
Math-86,62,406,344
Math-66,240,710,470
Math-75,1,1,0
Math-82,90,1804,1714
Math-76,35,1798,1763
Math-93,1,7,6
Math-5,1,1,0
Math-67,187,8,-179
Math-16,351,1139,788
Math-3,6,257,251
Math-11,27,4295,4268
Math-6,48,170,122
Math-13,112,5559,5447
Math-23,1,1880,1879
Math-17,25,648,623
Math-18,85,1579,1494
Math-63,1,1,0
Math-26,100,1858,1758
Math-31,31,587,556
Math-61,11,1,-10
Math-77,5,19,14
Math-65,69,41,-28
Math-60,11,67,56
Math-52,8,51,43
Math-53,1,697,696
Math-51,12,2216,2204
Math-58,398,2083,1685
Math-97,1,99,98
Math-1,35,30,-5
Math-59,145,2,-143
Math-22,1,1,0
Math-39,93,2042,1949
Math-100,209,329,120
Math-56,3,20,17
Math-28,8,3020,3012
Math-41,39,1265,1226
Math-21,9,1901,1892
Math-96,6,107,101
Math-43,53,2092,2039
Math-68,7,209,202
Math-45,1,1067,1066
Math-37,104,4,-100
Math-83,12,1662,1650
Math-7,69,1451,1382
Math-25,3,455,452
Math-85,17,282,265
Math-90,3,54,51
Math-89,1,1,0
Math-95,1,145,144
Math-12,-1,-1,0
Math-88,1,1590,1589
Math-64,4,177,173
Math-101,16,71,55
Math-71,1,1,0
Math-99,6,4,-2
Math-105,5,68,63
Math-44,46,1739,1693
Math-62,52,150,98
Math-94,9,204,195
Math-84,4,123,119
Math-79,2,343,341
Math-38,13,5,-8
Math-15,93,2364,2271
Math-10,127,479,352
Math-98,10,246,236
Math-102,5,3,-2
Math-8,7,4,-3
Math-36,39,24,-15
Math-33,39,2967,2928
Math-72,4,1,-3
Math-104,-1,-1,0
Math-34,8,46,38
Math-46,35,3,-32
Math-80,11,14,3
Math-55,3,1304,1301
Math-20,1,4161,4160
Math-42,42,3005,2963
Math-48,8,2589,2581
Math-30,28,433,405
Math-9,1,1,0
Math-57,11,2017,2006
Math-54,4,1,-3
Math-27,1,22,21
Math-70,1,1,0
Chart-24,2,3,1
Chart-4,83,22992,22909
Chart-19,3,1,-2
Chart-14,88,6,-82
Chart-2,64,1010,946
Chart-5,1,137,136
Chart-16,3,1,-2
Chart-3,6,367,361
Chart-11,1,142,141
Chart-6,22,650,628
Chart-13,82,47,-35
Chart-23,-1,-1,0
Chart-17,1,626,625
Chart-18,1,3,2
Chart-26,105,134,29
Chart-1,15,4997,4982
Chart-22,1,12,11
Chart-21,10,3,-7
Chart-7,37,435,398
Chart-25,156,2640,2484
Chart-12,123,2328,2205
Chart-15,15,5674,5659
Chart-10,1,3,2
Chart-8,4,116,112
Chart-20,8,448,440
Chart-9,6,411,405
Mockito-32,85,444,359
Mockito-24,14,796,782
Mockito-4,17,5,-12
Mockito-19,12,658,646
Mockito-35,7,85,78
Mockito-29,13,730,717
Mockito-14,37,868,831
Mockito-2,388,1191,803
Mockito-5,3066,2952,-114
Mockito-16,9,197,188
Mockito-3,91,1216,1125
Mockito-11,1,93,92
Mockito-6,6,1,-5
Mockito-13,38,1030,992
Mockito-23,26,915,889
Mockito-17,1,385,384
Mockito-18,15,647,632
Mockito-26,-1,-1,0
Mockito-31,12,141,129
Mockito-1,5,2,-3
Mockito-22,23,608,585
Mockito-28,100,853,753
Mockito-21,11,399,388
Mockito-37,141,810,669
Mockito-7,25,1111,1086
Mockito-25,6,1261,1255
Mockito-12,4,2,-2
Mockito-38,10,647,637
Mockito-15,95,859,764
Mockito-10,13,872,859
Mockito-8,85,156,71
Mockito-36,20,1019,999
Mockito-33,88,1120,1032
Mockito-34,35,1590,1555
Mockito-20,169,163,-6
Mockito-30,1,204,203
Mockito-9,36,1076,1040
Mockito-27,38,590,552
Closure-69,382,11783,11401
Closure-127,70,9473,9403
Closure-32,214,7508,7294
Closure-119,-1,-1,0
Closure-73,64,9280,9216
Closure-24,2,1,-1
Closure-40,222,11391,11169
Closure-120,2,10121,10119
Closure-4,115,11222,11107
Closure-91,361,11997,11636
Closure-74,249,8071,7822
Closure-109,1,2804,2803
Closure-106,4,26,22
Closure-19,2,1,-1
Closure-35,168,5691,5523
Closure-78,4,1,-3
Closure-103,11,10288,10277
Closure-122,10,1599,1589
Closure-50,16,6829,6813
Closure-29,278,18968,18690
Closure-87,15,8924,8909
Closure-133,2,4229,4227
Closure-14,18,6287,6269
Closure-81,41,3041,3000
Closure-2,53,5968,5915
Closure-49,110,14368,14258
Closure-107,34,23500,23466
Closure-47,972,336,-636
Closure-126,100,5,-95
Closure-92,88,5866,5778
Closure-86,17,5505,5488
Closure-66,342,12718,12376
Closure-75,76,8,-68
Closure-82,2220,14561,12341
Closure-130,115,16546,16431
Closure-76,36,5796,5760
Closure-123,96,9114,9018
Closure-93,88,5879,5791
Closure-5,113,9551,9438
Closure-67,120,9850,9730
Closure-16,64,11567,11503
Closure-3,89,11851,11762
Closure-11,2,14008,14006
Closure-6,4,1,-3
Closure-121,199,14822,14623
Closure-13,3104,24214,21110
Closure-23,24,8,-16
Closure-113,1,7843,7842
Closure-17,576,6665,6089
Closure-124,8,8857,8849
Closure-108,21,12844,12823
Closure-18,481,17361,16880
Closure-63,2,40,38
Closure-26,858,5,-853
Closure-31,378,16568,16190
Closure-61,19,9300,9281
Closure-77,352,188,-164
Closure-65,175,13,-162
Closure-132,28,7561,7533
Closure-60,427,9727,9300
Closure-52,19,5924,5905
Closure-53,43,7967,7924
Closure-51,41,10526,10485
Closure-58,11,5694,5683
Closure-97,3,1,-2
Closure-1,272,21998,21726
