Project,MinRank1,MinRank2,Difference
Chart1,5,4997,4992
Chart2,44,1010,966
Chart3,3,367,364
Chart4,89,22992,22903
Chart5,1,137,136
Chart6,39,650,611
Chart7,35,435,400
Chart8,4,116,112
Chart9,3,411,408
Chart10,1,3,2
Chart11,1,142,141
Chart12,66,2328,2262
Chart13,62,47,-15
Chart14,117,6,-111
Chart15,7,5674,5667
Chart16,3,1,-2
Chart17,1,626,625
Chart18,1,3,2
Chart19,7,1,-6
Chart20,4,448,444
Chart21,7,3,-4
Chart22,1,12,11
Chart24,2,3,1
Chart25,269,2640,2371
Chart26,61,134,73
Closure1,509,21998,21489
Closure2,34,5968,5934
Closure3,104,11851,11747
Closure4,63,11222,11159
Closure5,73,9551,9478
Closure6,753,1,-752
Closure7,30,2,-28
Closure8,28,8719,8691
Closure9,1,1,0
Closure10,7,7124,7117
Closure11,36,14008,13972
Closure12,102,15178,15076
Closure13,4465,24214,19749
Closure14,13,6287,6274
Closure15,104,10348,10244
Closure16,30,11567,11537
Closure17,215,6665,6450
Closure18,1196,17361,16165
Closure19,8,1,-7
Closure20,20,2,-18
Closure21,41,51,10
Closure22,13,2,-11
Closure23,28,8,-20
Closure24,12,1,-11
Closure25,39,8962,8923
Closure26,1996,5,-1991
Closure27,36,3,-33
Closure29,223,18968,18745
Closure30,34,11758,11724
Closure31,945,16568,15623
Closure32,187,7508,7321
Closure33,63,11392,11329
Closure34,169,1603,1434
Closure35,191,5691,5500
Closure36,228,17315,17087
Closure37,1341,16628,15287
Closure38,185,11140,10955
Closure39,15,789,774
Closure40,81,11391,11310
Closure41,909,12952,12043
Closure42,5,1852,1847
Closure43,108,12326,12218
Closure44,763,11138,10375
Closure45,137,10809,10672
Closure46,79,817,738
Closure47,768,336,-432
Closure48,242,11706,11464
Closure49,1255,14368,13113
Closure50,13,6829,6816
Closure51,111,10526,10415
Closure52,15,5924,5909
Closure53,25,7967,7942
Closure54,160,9207,9047
Closure55,95,11935,11840
Closure56,2,5824,5822
Closure57,27,4194,4167
Closure58,5,5694,5689
Closure59,8366,25904,17538
Closure60,365,9727,9362
Closure61,17,9300,9283
Closure62,2,40,38
Closure63,2,40,38
Closure64,378,15912,15534
Closure65,192,13,-179
Closure66,459,12718,12259
Closure67,196,9850,9654
Closure68,16,48,32
Closure69,318,11783,11465
Closure70,659,13038,12379
Closure71,156,8694,8538
Closure72,126,7045,6919
Closure73,78,9280,9202
Closure74,184,8071,7887
Closure75,109,8,-101
Closure76,39,5796,5757
Closure77,248,188,-60
Closure78,323,1,-322
Closure79,39,6210,6171
Closure80,1,3361,3360
Closure81,68,3041,2973
Closure82,3313,14561,11248
Closure83,10,14934,14924
Closure84,101,2530,2429
Closure85,32,3009,2977
Closure86,10,5505,5495
Closure87,32,8924,8892
Closure88,39,69,30
Closure89,186,11574,11388
Closure90,43,6238,6195
Closure91,340,11997,11657
Closure92,65,5866,5801
Closure93,65,5879,5814
Closure94,601,863,262
Closure95,1900,14561,12661
Closure96,5,10100,10095
Closure97,99,1,-98
Closure98,35,11500,11465
Closure99,39,345,306
Closure100,1,6873,6872
Closure101,21984,21984,0
Closure102,2942,21975,19033
Closure103,7,10288,10281
Closure104,17,939,922
Closure105,139,7,-132
Closure106,2,26,24
Closure107,47,23500,23453
Closure108,26,12844,12818
Closure109,1,2804,2803
Closure110,48,4586,4538
Closure111,2,2748,2746
Closure112,194,10505,10311
Closure113,1,7843,7842
Closure114,112,15351,15239
Closure115,101,8,-93
Closure116,100,15601,15501
Closure117,29,9975,9946
Closure118,317,6331,6014
Closure120,2,10121,10119
Closure121,219,14822,14603
Closure122,5,1599,1594
Closure123,68,9114,9046
Closure124,7,8857,8850
Closure125,83,13046,12963
Closure126,251,5,-246
Closure127,61,9473,9412
Closure128,9,6110,6101
Closure129,2178,25226,23048
Closure130,241,16546,16305
Closure131,65,11860,11795
Closure132,21,7561,7540
Closure133,58,4229,4171
Lang1,3,1564,1561
Lang2,17,78,61
Lang3,28,1570,1542
Lang4,5,20,15
Lang5,2,6,4
Lang6,23,2781,2758
Lang7,1,1471,1470
Lang8,2,64,62
Lang9,342,648,306
Lang10,66,486,420
Lang11,4,20,16
Lang12,2,6,4
Lang13,1,5,4
Lang14,1,1289,1288
Lang15,99,1910,1811
Lang16,43,1446,1403
Lang17,21,1221,1200
Lang18,8,223,215
Lang19,1,20,19
Lang20,2,39,37
Lang21,1,2,1
Lang22,26,229,203
Lang24,23,64,41
Lang26,6,245,239
Lang27,29,1353,1324
Lang28,2,10,8
Lang30,2,208,206
Lang31,3,1585,1582
Lang32,12,1160,1148
Lang33,3,7,4
Lang34,97,627,530
Lang35,2,2,0
Lang36,8,46,38
Lang37,1,767,766
Lang38,1,3,2
Lang39,34,47,13
Lang40,1,2,1
Lang41,1,121,120
Lang42,5,350,345
Lang43,4,6,2
Lang44,2,12,10
Lang45,16,10,-6
Lang46,1,7,6
Lang47,26,134,108
Lang48,2,212,210
Lang49,1,1,0
Lang50,20,3,-17
Lang53,30,158,128
Lang54,4,8,4
Lang55,4,42,38
Lang57,3,6,3
Lang58,3,937,934
Lang59,1,96,95
Lang60,9,2,-7
Lang61,3,583,580
Lang62,6,71,65
Lang63,3,1,-2
Lang64,3,1093,1090
Lang65,3,158,155
Math1,17,30,13
Math2,31,1777,1746
Math3,5,257,252
Math4,24,2098,2074
Math5,1,1,0
Math6,88,170,82
Math7,50,1451,1401
Math8,7,4,-3
Math9,1,1,0
Math10,105,479,374
Math11,22,4295,4273
Math13,92,5559,5467
Math14,75,4603,4528
Math15,100,2364,2264
Math16,333,1139,806
Math17,58,648,590
Math18,7,1579,1572
Math19,28,1669,1641
Math20,9,4161,4152
Math21,6,1901,1895
Math22,1,1,0
Math23,19,1880,1861
Math24,72,1977,1905
Math25,1,455,454
Math26,15,1858,1843
Math27,1,22,21
Math28,5,3020,3015
Math29,1,6,5
Math30,17,433,416
Math31,61,587,526
Math32,1,4,3
Math33,23,2967,2944
Math34,2,46,44
Math35,6,110,104
Math36,2,24,22
Math37,138,4,-134
Math38,7,5,-2
Math39,81,2042,1961
Math40,75,1514,1439
Math41,29,1265,1236
Math42,28,3005,2977
Math43,65,2092,2027
Math44,90,1739,1649
Math45,1,1067,1066
Math46,165,3,-162
Math47,12,3,-9
Math48,26,2589,2563
Math49,1167,753,-414
Math50,1,1,0
Math51,14,2216,2202
Math52,6,51,45
Math53,1,697,696
Math54,169,1,-168
Math55,1,1304,1303
Math56,1,20,19
Math57,2,2017,2015
Math58,468,2083,1615
Math59,514,2,-512
Math60,10,67,57
Math61,120,1,-119
Math62,49,150,101
Math63,1,1,0
Math64,123,177,54
Math65,39,41,2
Math66,310,710,400
Math67,204,8,-196
Math68,65,209,144
Math69,31,1422,1391
Math70,1,1,0
Math71,1,1,0
Math72,10,1,-9
Math73,5,1,-4
Math74,475,2028,1553
Math75,1,1,0
Math76,32,1798,1766
Math77,3,19,16
Math78,27,366,339
Math79,2,343,341
Math80,5,14,9
Math81,1,2086,2085
Math82,1804,1804,0
Math83,4,1662,1658
Math84,43,123,80
Math85,20,282,262
Math86,97,406,309
Math87,77,1640,1563
Math88,1,1590,1589
Math89,1,1,0
Math90,3,54,51
Math91,2,1,-1
Math92,1,6,5
Math93,1,7,6
Math94,9,204,195
Math95,1,145,144
Math96,6,107,101
Math97,1,99,98
Math98,8,246,238
Math99,3,4,1
Math100,120,329,209
Math101,14,71,57
Math102,3,3,0
Math103,12,191,179
Math105,68,68,0
Math106,45,50,5
Mockito1,4,2,-2
Mockito2,134,1191,1057
Mockito3,44,1216,1172
Mockito4,11,5,-6
Mockito5,3065,2952,-113
Mockito6,13,1,-12
Mockito7,11,1111,1100
Mockito8,31,156,125
Mockito9,13,1076,1063
Mockito10,10,872,862
Mockito11,1,93,92
Mockito12,3,2,-1
Mockito13,23,1030,1007
Mockito14,29,868,839
Mockito15,108,859,751
Mockito16,6,197,191
Mockito17,1,385,384
Mockito18,4,647,643
Mockito19,9,658,649
Mockito20,322,163,-159
Mockito21,2,399,397
Mockito22,8,608,600
Mockito23,20,915,895
Mockito24,2,796,794
Mockito25,5,1261,1256
Mockito26,3013,-1,-1
Mockito27,23,590,567
Mockito28,158,853,695
Mockito29,8,730,722
Mockito30,1,204,203
Mockito31,7,141,134
Mockito32,47,444,397
Mockito33,140,1120,980
Mockito34,41,1590,1549
Mockito35,3,85,82
Mockito36,3,1019,1016
Mockito37,47,810,763
Mockito38,6,647,641
Time1,2,1230,1228
Time2,6,1988,1982
Time3,12,1567,1555
Time4,3,4327,4324
Time5,2,1772,1770
Time6,155,14,-141
Time7,5,3795,3790
Time8,29,1233,1204
Time9,44,1192,1148
Time10,9,4378,4369
Time11,243,3411,3168
Time12,14,3,-11
Time13,9,2684,2675
Time14,4,2448,2444
Time15,3,104,101
Time16,420,1687,1267
Time17,2,639,637
Time18,3,2268,2265
Time19,90,5379,5289
Time20,345,1551,1206
Time21,1,21,20
Time22,12,2791,2779
Time23,3,1301,1298
Time24,135,5554,5419
Time25,274,5329,5055
Time26,111,2097,1986
Time27,114,4502,4388
