Project,now,before,Difference
Chart1,21,42,21
Chart2,95,92,-3
Chart3,2,3,1
Chart4,84,311,227
Chart5,2,8,6
Chart6,552,650,98
Chart7,404,435,31
Chart8,4,1,-3
Chart9,3,14,11
Chart10,-1,53,-1
Chart11,1,5,4
Chart12,26,13,-13
Chart13,42,47,5
Chart14,21,6,-15
Chart15,17,29,12
Chart16,1,1,0
Chart17,1,2,1
Chart18,1,3,2
Chart19,2,1,-1
Chart20,9,448,439
Chart21,5,3,-2
Chart22,1,12,11
Chart24,2,3,1
Chart25,2488,2640,152
Chart26,44,134,90
Closure1,2393,1744,-649
Closure2,30,66,36
Closure3,337,279,-58
Closure4,10005,9518,-487
Closure5,129,154,25
Closure6,2,1,-1
Closure7,1,2,1
Closure8,142,123,-19
Closure9,1,1,0
Closure10,90,215,125
Closure11,7,14008,14001
Closure12,110,15178,15068
Closure13,24161,24214,53
Closure14,2,4,2
Closure15,199,185,-14
Closure16,136,205,69
Closure17,111,86,-25
Closure18,15748,17361,1613
Closure19,1,1,0
Closure20,6,2,-4
Closure21,6,6,0
Closure22,7,4,-3
Closure23,3,8,5
Closure24,1,1,0
Closure25,131,107,-24
Closure26,28,5,-23
Closure27,4,3,-1
Closure29,629,447,-182
Closure30,199,242,43
Closure31,14576,16568,1992
Closure32,64,35,-29
Closure33,455,10413,9958
Closure34,1656,1644,-12
Closure35,16,6,-10
Closure36,1300,1062,-238
Closure37,16402,16628,226
Closure38,10928,11132,204
Closure39,21,21,0
Closure40,118,120,2
Closure41,13156,12951,-205
Closure42,2,1,-1
Closure43,237,12296,12059
Closure44,11297,11138,-159
Closure45,10398,10793,395
Closure46,3,1,-2
Closure47,279,338,59
Closure48,10309,11694,1385
Closure49,1011,13810,12799
Closure50,89,88,-1
Closure51,190,10525,10335
Closure52,74,116,42
Closure53,43,47,4
Closure54,68,55,-13
Closure55,240,9947,9707
Closure56,7,65,58
Closure57,21,25,4
Closure58,7,7,0
Closure59,25555,25904,349
Closure60,60,21,-39
Closure61,36,146,110
Closure62,1,4,3
Closure63,1,4,3
Closure64,506,1481,975
Closure65,89,78,-11
Closure66,12005,12664,659
