Project,Statement,Rank1,Rank2,Difference
Chart1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797,10,42,32
Chart2,org.jfree.data.general.DatasetUtilities#755,82,102,20
Chart2,org.jfree.data.general.DatasetUtilities#757,80,104,24
Chart2,org.jfree.data.general.DatasetUtilities#758,1116,1077,-39
Chart2,org.jfree.data.general.DatasetUtilities#761,1117,1078,-39
Chart2,org.jfree.data.general.DatasetUtilities#1242,55,92,37
Chart2,org.jfree.data.general.DatasetUtilities#1243,93,93,0
Chart2,org.jfree.data.general.DatasetUtilities#1245,1109,1070,-39
Chart2,org.jfree.data.general.DatasetUtilities#1248,1110,1071,-39
Chart3,org.jfree.data.time.TimeSeries#1056,9,3,-6
Chart3,org.jfree.data.time.TimeSeries#1057,3,4,1
Chart4,org.jfree.chart.plot.XYPlot#4493,29,311,282
Chart5,org.jfree.data.xy.XYSeries#548,1,8,7
Chart6,org.jfree.chart.util.ShapeList#111,27,650,623
Chart7,org.jfree.data.time.TimePeriodValues#300,28,435,407
Chart7,org.jfree.data.time.TimePeriodValues#302,87,436,349
Chart8,org.jfree.data.time.Week#175,4,1,-3
Chart9,org.jfree.data.time.TimeSeries#944,3,14,11
Chart10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#65,1,53,52
Chart11,org.jfree.chart.util.ShapeUtilities#275,1,5,4
Chart12,org.jfree.chart.plot.MultiplePiePlot#145,66,13,-53
Chart13,org.jfree.chart.block.BorderArrangement#454,58,47,-11
Chart14,org.jfree.chart.plot.XYPlot#2293,116,19,-97
Chart14,org.jfree.chart.plot.XYPlot#2529,121,26,-95
Chart14,org.jfree.chart.plot.CategoryPlot#2166,119,6,-113
Chart14,org.jfree.chart.plot.CategoryPlot#2448,127,13,-114
Chart15,org.jfree.chart.plot.PiePlot#1379,7447,6542,-905
Chart15,org.jfree.chart.plot.PiePlot#2051,7,29,22
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#207,5,1,-4
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#208,20,2,-18
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#338,3,5,2
Chart17,org.jfree.data.time.TimeSeries#857,1,2,1
Chart18,org.jfree.data.DefaultKeyedValues#318,5,3,-2
Chart18,org.jfree.data.DefaultKeyedValues#335,1,9,8
Chart18,org.jfree.data.DefaultKeyedValues2D#455,4,10,6
Chart18,org.jfree.data.DefaultKeyedValues2D#458,3,13,10
