Project,now,before,Difference
Lang-32,14,26,12
Lang-24,20,64,44
Lang-40,1,2,1
Lang-4,2,17,15
Lang-19,1,8,7
Lang-35,3,2,-1
Lang-50,32,8,-24
Lang-29,-1,-1,0
Lang-14,1,4,3
Lang-2,10,3,-7
Lang-49,2,1,-1
Lang-47,14,5,-9
Lang-5,2,1,-1
Lang-16,45,27,-18
Lang-3,15,3,-12
Lang-11,5,3,-2
Lang-6,23,2766,2743
Lang-13,2,5,3
Lang-23,-1,-1,0
Lang-17,13,1221,1208
Lang-18,16,41,25
Lang-63,2,1,-1
Lang-26,27,245,218
Lang-31,3,6,3
Lang-61,4,21,17
Lang-65,3,7,4
Lang-60,6,2,-4
Lang-52,-1,-1,0
Lang-53,34,16,-18
Lang-51,-1,-1,0
Lang-58,3,20,17
Lang-1,5,3,-2
Lang-59,4,6,2
Lang-22,23,35,12
Lang-39,35,27,-8
Lang-56,-1,-1,0
Lang-28,2,3,1
Lang-41,1,6,5
Lang-21,2,2,0
Lang-43,6,6,0
Lang-45,17,10,-7
Lang-37,1,6,5
Lang-7,1,122,121
Lang-25,-1,-1,0
Lang-12,1,5,4
Lang-64,5,4,-1
Lang-44,2,3,1
Lang-62,7,4,-3
Lang-38,2,3,1
Lang-15,8,217,209
Lang-10,20,480,460
Lang-8,3,6,3
Lang-36,11,42,31
Lang-33,5,7,2
Lang-34,46,475,429
Lang-46,1,1,0
Lang-55,2,36,34
Lang-20,2,8,6
Lang-42,9,13,4
Lang-48,4,167,163
Lang-30,2,8,6
Lang-9,282,648,366
Lang-57,6,48,42
Lang-54,5,3,-2
Lang-27,31,127,96
Time-24,142,5370,5228
Time-4,26,30,4
Time-19,30,5379,5349
Time-14,4,5,1
Time-2,29,3,-26
Time-5,2,26,24
Time-16,184,7,-177
Time-3,3,1,-2
Time-11,224,448,224
Time-6,61,4,-57
Time-13,30,19,-11
Time-23,9,1301,1292
Time-17,4,5,1
Time-18,8,3,-5
Time-26,112,332,220
Time-1,3,2,-1
Time-22,28,16,-12
Time-21,2,33,31
Time-7,16,17,1
Time-25,154,5266,5112
Time-12,37,7,-30
Time-15,3,2,-1
Time-10,25,199,174
Time-8,38,24,-14
Time-20,472,339,-133
Time-9,12,3,-9
Time-27,72,4502,4430
Math-69,37,44,7
Math-32,1,4,3
Math-73,3,1,-2
Math-24,23,1982,1959
Math-40,89,33,-56
Math-4,73,17,-56
Math-91,1,1,0
Math-74,206,2481,2275
Math-106,33,10,-23
Math-19,121,56,-65
Math-35,6,3,-3
Math-78,4,366,362
Math-103,12,32,20
Math-50,1,1,0
Math-29,4,6,2
Math-87,8,1656,1648
