Project,MinRank1,MinRank2,Difference
Chart1,10,42,32
Chart2,55,92,37
Chart3,3,3,0
Chart4,29,311,282
Chart5,1,8,7
Chart6,27,650,623
Chart7,28,435,407
Chart8,4,1,-3
Chart9,3,14,11
Chart10,1,53,52
Chart11,1,5,4
Chart12,66,13,-53
Chart13,58,47,-11
Chart14,116,6,-110
Chart15,7,29,22
Chart16,3,1,-2
Chart17,1,2,1
Chart18,1,3,2
Chart19,3,1,-2
Chart20,6,448,442
Chart21,8,3,-5
Chart22,1,12,11
Chart24,2,3,1
Chart25,221,2640,2419
Chart26,15,134,119
Closure1,149,1744,1595
Closure2,39,66,27
Closure3,126,279,153
Closure4,126,9518,9392
Closure5,115,154,39
Closure6,1051,1,-1050
Closure7,5,2,-3
Closure8,52,123,71
Closure9,1,1,0
Closure10,10,215,205
Closure11,4,14008,14004
Closure12,35,15178,15143
Closure13,3475,24214,20739
Closure14,3,4,1
Closure15,174,185,11
Closure16,40,205,165
Closure17,550,86,-464
Closure18,522,17361,16839
Closure19,2,1,-1
Closure20,13,2,-11
Closure21,9,6,-3
Closure22,4,4,0
Closure23,11,8,-3
Closure24,1,1,0
Closure25,26,107,81
Closure26,768,5,-763
Closure27,13,3,-10
Closure29,188,447,259
Closure30,47,242,195
Closure31,411,16568,16157
Closure32,220,35,-185
Closure33,111,10413,10302
Closure34,120,1644,1524
Closure35,145,6,-139
Closure36,295,1062,767
Closure37,854,16628,15774
Closure38,113,11132,11019
Closure39,16,21,5
Closure40,181,120,-61
Closure41,1030,12951,11921
Closure42,11,1,-10
Closure43,163,12296,12133
Closure44,645,11138,10493
Closure45,130,10793,10663
Closure46,45,1,-44
Closure47,487,338,-149
Closure48,496,11694,11198
Closure49,392,13810,13418
Closure50,18,88,70
Closure51,49,10525,10476
Closure52,24,116,92
Closure53,39,47,8
Closure54,257,55,-202
Closure55,102,9947,9845
Closure56,2,65,63
Closure57,25,25,0
Closure58,5,7,2
Closure59,8346,25904,17558
Closure60,152,21,-131
Closure61,21,146,125
Closure62,1,4,3
Closure63,1,4,3
Closure64,457,1481,1024
Closure65,214,78,-136
Closure66,321,12664,12343
Closure67,134,9571,9437
Closure68,7,3,-4
Closure69,402,11744,11342
Closure70,527,13035,12508
Closure71,284,227,-57
Closure72,127,7121,6994
Closure73,65,9137,9072
Closure74,192,123,-69
Closure75,32,8,-24
Closure76,51,138,87
Closure77,316,370,54
Closure78,338,1,-337
Closure79,33,51,18
Closure80,1,13,12
Closure81,36,3026,2990
Closure82,2920,14561,11641
Closure83,10,12732,12722
Closure84,59,2543,2484
Closure85,35,164,129
Closure86,2,2,0
Closure87,34,8724,8690
Closure88,18,69,51
Closure89,128,142,14
Closure90,61,46,-15
Closure91,297,11997,11700
Closure92,57,85,28
Closure93,57,85,28
Closure94,580,4,-576
Closure95,1764,14561,12797
Closure96,5,10045,10040
Closure97,75,1,-74
Closure98,34,11498,11464
Closure99,23,16,-7
Closure100,1,7,6
Closure101,21984,21984,0
Closure102,1735,21975,20240
Closure103,11,288,277
Closure104,18,13,-5
Closure105,83,7,-76
Closure106,2,105,103
Closure107,42,132,90
Closure108,22,11732,11710
Closure109,1,33,32
Closure110,28,2,-26
Closure111,1,1,0
Closure112,334,110,-224
Closure113,1,17,16
Closure114,83,15347,15264
Closure115,89,8,-81
Closure116,64,31,-33
Closure117,77,10050,9973
Closure118,388,2,-386
Closure120,2,226,224
Closure121,167,14779,14612
Closure122,5,9,4
Closure123,102,139,37
Closure124,5,10,5
Closure125,173,12959,12786
Closure126,69,5,-64
Closure127,44,210,166
Closure128,16,102,86
Closure129,1141,25226,24085
Closure130,125,16541,16416
Closure131,63,11546,11483
Closure132,16,80,64
Closure133,11,4229,4218
Lang1,3,3,0
Lang2,12,3,-9
Lang3,28,3,-25
Lang4,5,17,12
Lang5,2,1,-1
Lang6,26,2766,2740
Lang7,1,122,121
Lang8,1,6,5
Lang9,337,648,311
Lang10,38,480,442
Lang11,4,3,-1
Lang12,2,5,3
Lang13,1,5,4
Lang14,1,4,3
Lang15,24,217,193
Lang16,44,27,-17
Lang17,18,1221,1203
Lang18,8,41,33
Lang19,1,8,7
Lang20,2,8,6
Lang21,1,2,1
Lang22,24,35,11
Lang24,18,64,46
Lang26,8,245,237
Lang27,33,127,94
Lang28,2,3,1
Lang30,1,8,7
Lang31,3,6,3
Lang32,12,26,14
Lang33,3,7,4
Lang34,47,475,428
Lang35,2,2,0
Lang36,12,42,30
Lang37,1,6,5
Lang38,1,3,2
Lang39,34,27,-7
Lang40,1,2,1
Lang41,1,6,5
Lang42,6,13,7
Lang43,4,6,2
Lang44,2,3,1
Lang45,16,10,-6
Lang46,1,1,0
Lang47,33,5,-28
Lang48,2,167,165
Lang49,1,1,0
Lang50,22,8,-14
Lang53,30,16,-14
Lang54,4,3,-1
Lang55,3,36,33
Lang57,3,48,45
Lang58,3,20,17
Lang59,1,6,5
Lang60,3,2,-1
Lang61,4,21,17
Lang62,5,4,-1
Lang63,3,1,-2
Lang64,2,4,2
Lang65,3,7,4
Math1,9,8,-1
Math2,29,44,15
Math3,5,3,-2
Math4,39,17,-22
Math5,1,1,0
Math6,134,170,36
Math7,59,42,-17
Math8,3,4,1
Math9,1,1,0
Math10,77,12,-65
Math11,19,31,12
Math13,87,5357,5270
Math14,66,4595,4529
Math15,84,211,127
Math16,197,1,-196
Math17,20,591,571
Math18,16,14,-2
Math19,74,56,-18
Math20,4,4057,4053
Math21,6,46,40
Math22,1,1,0
Math23,3,1982,1979
Math24,48,1982,1934
Math25,1,1,0
Math26,93,1846,1753
Math27,1,1,0
Math28,5,12,7
Math29,1,6,5
Math30,16,41,25
Math31,32,748,716
Math32,1,4,3
Math33,23,2967,2944
Math34,1,3,2
Math35,6,3,-3
Math36,2,2,0
Math37,134,6,-128
Math38,7,5,-2
Math39,78,2042,1964
Math40,83,33,-50
Math41,29,43,14
Math42,24,3004,2980
Math43,46,2003,1957
Math44,108,14,-94
Math45,1,1,0
Math46,162,2,-160
Math47,1,2,1
Math48,22,355,333
Math49,419,7,-412
Math50,1,1,0
Math51,11,2215,2204
Math52,6,22,16
Math53,1,1,0
Math54,198,112,-86
Math55,1,1,0
Math56,1,20,19
Math57,2,4,2
Math58,441,2081,1640
Math59,387,2,-385
Math60,8,36,28
Math61,101,1,-100
Math62,49,150,101
Math63,1,1,0
Math64,114,180,66
Math65,33,41,8
Math66,268,503,235
Math67,204,8,-196
Math68,30,333,303
Math69,31,44,13
Math70,1,1,0
Math71,1,1,0
Math72,9,1,-8
Math73,4,1,-3
Math74,348,2481,2133
Math75,1,1,0
Math76,26,1889,1863
Math77,1,19,18
Math78,18,366,348
Math79,7,29,22
Math80,4,14,10
Math81,1,10,9
Math82,1804,1804,0
Math83,4,1661,1657
Math84,11,55,44
Math85,26,77,51
Math86,84,446,362
Math87,64,1656,1592
Math88,1,1,0
Math89,1,1,0
Math90,3,54,51
Math91,2,1,-1
Math92,1,2,1
Math93,2,2,0
Math94,9,204,195
Math95,1,15,14
Math96,6,92,86
Math97,1,1,0
Math98,2,4,2
Math99,2,4,2
Math100,130,9,-121
Math101,15,39,24
Math102,3,3,0
Math103,12,32,20
Math105,68,68,0
Math106,45,10,-35
Mockito1,2,2,0
Mockito2,134,916,782
Mockito3,32,1,-31
Mockito4,15,7,-8
Mockito5,3066,2980,-86
Mockito6,19,1,-18
Mockito7,14,967,953
Mockito8,31,155,124
Mockito9,27,1077,1050
Mockito10,11,12,1
Mockito11,1,1,0
Mockito12,5,2,-3
Mockito13,26,1030,1004
Mockito14,24,868,844
Mockito15,98,859,761
Mockito16,6,4,-2
Mockito17,1,4,3
Mockito18,4,647,643
Mockito19,12,12,0
Mockito20,203,226,23
Mockito21,2,1,-1
Mockito22,7,608,601
Mockito23,26,66,40
Mockito24,2,1,-1
Mockito25,11,63,52
Mockito26,3013,-1,-1
Mockito27,34,37,3
Mockito28,153,853,700
Mockito29,10,31,21
Mockito30,1,1,0
Mockito31,4,2,-2
Mockito32,67,2,-65
Mockito33,87,1119,1032
Mockito34,30,1589,1559
Mockito35,4,1,-3
Mockito36,11,4,-7
Mockito37,52,809,757
Mockito38,5,583,578
Time1,1,2,1
Time2,31,3,-28
Time3,42,1,-41
Time4,5,30,25
Time5,1,26,25
Time6,140,4,-136
Time7,10,17,7
Time8,36,24,-12
Time9,35,3,-32
Time10,18,199,181
Time11,219,448,229
Time12,15,7,-8
Time13,18,19,1
Time14,1,5,4
Time15,3,2,-1
Time16,402,7,-395
Time17,1,5,4
Time18,28,3,-25
Time19,38,5379,5341
Time20,436,339,-97
Time21,1,33,32
Time22,14,16,2
Time23,3,1301,1298
Time24,132,5370,5238
Time25,172,5266,5094
Time26,90,332,242
Time27,68,4502,4434
