Project,now,before,Difference
Chart1,26,350,324
Chart2,110,108,-2
Chart3,17,86,69
Chart4,20,331,311
Chart5,2,44,42
Chart6,4,38,34
Chart7,19,80,61
Chart8,6,8,2
Chart9,17,146,129
Chart10,1,3,2
Chart11,1,5,4
Chart12,157,151,-6
Chart13,103,147,44
Chart14,342,329,-13
Chart15,28,399,371
Chart16,18,19,1
Chart17,5,63,58
Chart18,4,20,16
Chart19,478,487,9
Chart20,8,22,14
Chart21,14,106,92
Chart22,50,65,15
Chart24,2,10,8
Chart25,2603,2879,276
Chart26,59,172,113
Closure1,102,1426,1324
Closure2,1867,2237,370
Closure3,396,1432,1036
Closure4,569,4379,3810
Closure5,723,1153,430
Closure6,4489,4377,-112
Closure7,1039,1482,443
Closure8,430,526,96
Closure9,3,10,7
Closure10,2770,2883,113
Closure11,1805,2770,965
Closure12,1,1797,1796
Closure13,1856,4076,2220
Closure14,83,440,357
Closure15,1352,1356,4
Closure16,189,1131,942
Closure17,3277,3832,555
Closure18,73,550,477
Closure19,2336,3558,1222
Closure20,564,1350,786
Closure21,2810,2852,42
Closure22,2804,2852,48
Closure23,584,981,397
Closure24,225,1309,1084
Closure25,336,1594,1258
Closure26,2263,2294,31
Closure27,101,43,-58
Closure29,2574,1122,-1452
Closure30,243,1209,966
Closure31,64,402,338
Closure32,703,718,15
Closure33,2472,5170,2698
Closure34,58,26,-32
Closure35,647,2308,1661
Closure36,820,3702,2882
Closure37,43,660,617
Closure38,175,107,-68
Closure39,635,989,354
Closure40,759,1012,253
Closure41,2653,2116,-537
Closure42,326,165,-161
Closure43,2107,3486,1379
Closure44,201,90,-111
Closure45,549,1763,1214
Closure46,283,690,407
Closure47,2027,2560,533
Closure48,2860,3583,723
Closure49,6,673,667
Closure50,161,1190,1029
Closure51,40,104,64
Closure52,2007,2024,17
Closure53,510,1016,506
Closure54,105,1634,1529
Closure55,476,928,452
Closure56,593,633,40
Closure57,1725,1730,5
Closure58,352,775,423
Closure59,409,473,64
Closure60,2398,2771,373
Closure61,1889,1918,29
Closure62,11,47,36
Closure63,11,47,36
Closure64,166,521,355
Closure65,2401,2378,-23
Closure66,2354,2746,392
Closure67,247,99,-148
Closure68,426,145,-281
Closure69,2623,2907,284
Closure70,2381,3013,632
Closure71,2812,2552,-260
Closure72,444,1086,642
Closure73,1952,1964,12
Closure74,772,927,155
Closure75,2399,2418,19
Closure76,413,961,548
Closure77,1955,1940,-15
Closure78,2268,1058,-1210
Closure79,1658,1805,147
Closure80,1609,1629,20
Closure81,69,123,54
Closure82,63,207,144
Closure83,79,96,17
Closure84,79,107,28
Closure85,129,1066,937
Closure86,1948,1996,48
Closure87,51,1011,960
Closure88,258,915,657
Closure89,278,990,712
Closure90,1800,1922,122
Closure91,777,62,-715
Closure92,274,955,681
Closure93,274,955,681
Closure94,1474,1467,-7
Closure95,422,1556,1134
Closure96,2011,2670,659
Closure97,975,702,-273
Closure98,1,1282,1281
Closure99,741,28,-713
Closure100,1426,1435,9
Closure101,234,573,339
Closure102,263,2811,2548
Closure103,1592,1969,377
Closure104,546,886,340
Closure105,833,636,-197
Closure106,1850,2011,161
Closure107,358,585,227
Closure108,94,1442,1348
Closure109,109,162,53
Closure110,2216,2645,429
Closure111,264,1314,1050
Closure112,2898,2379,-519
Closure113,38,1207,1169
Closure114,481,1176,695
