Project,now,before,Difference
Lang-32,15,24,9
Lang-24,27,159,132
Lang-40,1,4,3
Lang-4,1,3,2
Lang-19,1,14,13
Lang-35,2,22,20
Lang-50,91,137,46
Lang-29,-1,-1,0
Lang-14,1,5,4
Lang-2,9,4,-5
Lang-49,9,28,19
Lang-47,38,35,-3
Lang-5,4,6,2
Lang-16,48,47,-1
Lang-3,41,48,7
Lang-11,7,6,-1
Lang-6,21,71,50
Lang-13,3,33,30
Lang-23,-1,-1,0
Lang-17,4,56,52
Lang-18,33,47,14
Lang-63,5,25,20
Lang-26,54,87,33
Lang-31,3,26,23
Lang-61,6,27,21
Lang-65,5,9,4
Lang-60,20,27,7
Lang-52,-1,-1,0
Lang-53,35,16,-19
Lang-51,-1,-1,0
Lang-58,3,41,38
Lang-1,4,33,29
Lang-59,5,12,7
Lang-22,14,22,8
Lang-39,37,26,-11
Lang-56,-1,-1,0
Lang-28,4,30,26
Lang-41,5,38,33
Lang-21,3,4,1
Lang-43,10,27,17
Lang-45,17,11,-6
Lang-37,1,25,24
Lang-7,1,139,138
Lang-25,-1,-1,0
Lang-12,1,4,3
Lang-64,17,40,23
Lang-44,2,3,1
Lang-62,25,30,5
Lang-38,20,103,83
Lang-15,5,184,179
Lang-10,11,48,37
Lang-8,25,262,237
Lang-36,14,42,28
Lang-33,13,58,45
Lang-34,22,118,96
Lang-46,1,3,2
Lang-55,2,14,12
Lang-20,4,28,24
Lang-42,7,7,0
Lang-48,5,10,5
Lang-30,3,30,27
Lang-9,84,27,-57
Lang-57,5,6,1
Lang-54,14,14,0
Lang-27,33,151,118
Time-24,206,1794,1588
Time-4,167,357,190
Time-19,21,43,22
Time-14,36,704,668
Time-2,124,325,201
Time-5,19,275,256
Time-16,1317,1500,183
Time-3,888,274,-614
Time-11,374,1251,877
Time-6,223,576,353
Time-13,110,1090,980
Time-23,11,78,67
Time-17,82,149,67
Time-18,243,665,422
Time-26,93,439,346
Time-1,23,270,247
Time-22,130,302,172
Time-21,10,324,314
Time-7,69,1512,1443
Time-25,38,205,167
Time-12,756,1582,826
Time-15,3,2,-1
Time-10,43,299,256
Time-8,81,67,-14
Time-20,911,1774,863
Time-9,107,65,-42
Time-27,72,1125,1053
Math-69,60,161,101
Math-32,10,300,290
Math-73,32,23,-9
Math-24,13,142,129
Math-40,114,70,-44
Math-4,139,91,-48
Math-91,32,14,-18
Math-74,97,938,841
Math-106,69,58,-11
Math-19,190,450,260
Math-35,6,3,-3
Math-78,2,121,119
Math-103,9,45,36
Math-50,10,66,56
Math-29,37,195,158
Math-87,4,210,206
Math-14,18,125,107
Math-81,8,125,117
Math-2,53,44,-9
Math-49,219,22,-197
Math-47,14,14,0
Math-92,1,14,13
