Project,MinRank1,MinRank2,Difference
Chart1,26,350,324
Chart2,88,108,20
Chart3,17,86,69
Chart4,23,331,308
Chart5,2,44,42
Chart6,4,38,34
Chart7,19,80,61
Chart8,6,8,2
Chart9,17,146,129
Chart10,1,3,2
Chart11,1,5,4
Chart12,157,151,-6
Chart13,103,147,44
Chart14,254,329,75
Chart15,28,399,371
Chart16,18,19,1
Chart17,5,63,58
Chart18,1,20,19
Chart19,192,487,295
Chart20,8,22,14
Chart21,14,106,92
Chart22,8,65,57
Chart24,2,10,8
Chart25,783,2879,2096
Chart26,66,172,106
Closure1,103,1426,1323
Closure2,1084,2237,1153
Closure3,396,1432,1036
Closure4,569,4379,3810
Closure5,723,1153,430
Closure6,3887,4377,490
Closure7,476,1482,1006
Closure8,430,526,96
Closure9,3,10,7
Closure10,1280,2883,1603
Closure11,201,2770,2569
Closure12,1,1797,1796
Closure13,1856,4076,2220
Closure14,83,440,357
Closure15,1352,1356,4
Closure16,189,1131,942
Closure17,2605,3832,1227
Closure18,73,550,477
Closure19,1199,3558,2359
Closure20,564,1350,786
Closure21,1523,2852,1329
Closure22,1438,2852,1414
Closure23,584,981,397
Closure24,225,1309,1084
Closure25,336,1594,1258
Closure26,1412,2294,882
Closure27,76,43,-33
Closure29,1329,1122,-207
Closure30,243,1209,966
Closure31,64,402,338
Closure32,292,718,426
Closure33,1465,5170,3705
Closure34,201,26,-175
Closure35,647,2308,1661
Closure36,820,3702,2882
Closure37,43,660,617
Closure38,183,107,-76
Closure39,327,989,662
Closure40,764,1012,248
Closure41,1889,2116,227
Closure42,326,165,-161
Closure43,1092,3486,2394
Closure44,210,90,-120
Closure45,549,1763,1214
Closure46,315,690,375
Closure47,1354,2560,1206
Closure48,2121,3583,1462
Closure49,6,673,667
Closure50,161,1190,1029
Closure51,40,104,64
Closure52,1013,2024,1011
Closure53,510,1016,506
Closure54,105,1634,1529
Closure55,476,928,452
Closure56,88,633,545
Closure57,958,1730,772
Closure58,352,775,423
Closure59,418,473,55
Closure60,931,2771,1840
Closure61,552,1918,1366
Closure62,2,47,45
Closure63,2,47,45
Closure64,166,521,355
Closure65,2203,2378,175
Closure66,1799,2746,947
Closure67,248,99,-149
Closure68,426,145,-281
Closure69,1965,2907,942
Closure70,1406,3013,1607
Closure71,2274,2552,278
Closure72,444,1086,642
Closure73,1110,1964,854
Closure74,990,927,-63
Closure75,1663,2418,755
Closure76,415,961,546
Closure77,1555,1940,385
Closure78,2268,1058,-1210
Closure79,711,1805,1094
Closure80,290,1629,1339
Closure81,69,123,54
Closure82,79,207,128
Closure83,79,96,17
Closure84,80,107,27
Closure85,129,1066,937
Closure86,138,1996,1858
Closure87,51,1011,960
Closure88,260,915,655
Closure89,278,990,712
Closure90,958,1922,964
Closure91,777,62,-715
Closure92,274,955,681
Closure93,274,955,681
Closure94,1822,1467,-355
Closure95,422,1556,1134
Closure96,692,2670,1978
Closure97,975,702,-273
Closure98,1,1282,1281
Closure99,491,28,-463
Closure100,144,1435,1291
Closure101,234,573,339
Closure102,263,2811,2548
Closure103,658,1969,1311
Closure104,247,886,639
Closure105,833,636,-197
Closure106,877,2011,1134
Closure107,358,585,227
Closure108,94,1442,1348
Closure109,12,162,150
Closure110,1288,2645,1357
Closure111,264,1314,1050
Closure112,2918,2379,-539
Closure113,38,1207,1169
Closure114,481,1176,695
Closure115,376,878,502
Closure116,229,383,154
Closure117,1251,3025,1774
Closure118,2091,1470,-621
Closure120,747,2913,2166
Closure121,543,968,425
Closure122,92,239,147
Closure123,1358,2062,704
Closure124,54,812,758
Closure125,1446,2672,1226
Closure126,1020,910,-110
Closure127,267,1286,1019
Closure128,960,1958,998
Closure129,181,1000,819
Closure130,174,462,288
Closure131,753,2230,1477
Closure132,226,1152,926
Closure133,49,617,568
Lang1,4,33,29
Lang2,8,4,-4
Lang3,30,48,18
Lang4,1,3,2
Lang5,3,6,3
Lang6,19,71,52
Lang7,1,139,138
Lang8,47,262,215
Lang9,50,27,-23
Lang10,6,48,42
Lang11,6,6,0
Lang12,1,4,3
Lang13,3,33,30
Lang14,1,5,4
Lang15,4,184,180
Lang16,44,47,3
Lang17,4,56,52
Lang18,30,47,17
Lang19,1,14,13
Lang20,6,28,22
Lang21,3,4,1
Lang22,9,22,13
Lang24,24,159,135
Lang26,47,87,40
Lang27,28,151,123
Lang28,4,30,26
Lang30,1,30,29
Lang31,2,26,24
Lang32,13,24,11
Lang33,5,58,53
Lang34,19,118,99
Lang35,2,22,20
Lang36,8,42,34
Lang37,1,25,24
Lang38,16,103,87
Lang39,34,26,-8
Lang40,1,4,3
Lang41,5,38,33
Lang42,6,7,1
Lang43,8,27,19
Lang44,2,3,1
Lang45,16,11,-5
Lang46,1,3,2
Lang47,38,35,-3
Lang48,5,10,5
Lang49,8,28,20
Lang50,102,137,35
Lang53,32,16,-16
Lang54,9,14,5
Lang55,2,14,12
Lang57,3,6,3
Lang58,3,41,38
Lang59,5,12,7
Lang60,18,27,9
Lang61,5,27,22
Lang62,22,30,8
Lang63,4,25,21
Lang64,15,40,25
Lang65,4,9,5
Math1,358,406,48
Math2,45,44,-1
Math3,5,3,-2
Math4,139,91,-48
Math5,3,14,11
Math6,182,23,-159
Math7,149,190,41
Math8,24,26,2
Math9,8,10,2
Math10,208,210,2
Math11,38,40,2
Math13,53,150,97
Math14,17,125,108
Math15,136,314,178
Math16,197,252,55
Math17,88,289,201
Math18,336,622,286
Math19,185,450,265
Math20,1,611,610
Math21,14,140,126
Math22,20,74,54
Math23,1,130,129
Math24,13,142,129
Math25,4,46,42
Math26,173,360,187
Math27,15,28,13
Math28,49,209,160
Math29,55,195,140
Math30,99,58,-41
Math31,35,64,29
Math32,10,300,290
Math33,66,305,239
Math34,11,32,21
Math35,10,3,-7
Math36,344,356,12
Math37,194,246,52
Math38,72,143,71
Math39,88,201,113
Math40,105,70,-35
Math41,45,81,36
Math42,56,319,263
Math43,23,35,12
Math44,3,132,129
Math45,1,5,4
Math46,177,16,-161
Math47,3,14,11
Math48,6,68,62
Math49,421,22,-399
Math50,9,66,57
Math51,10,67,57
Math52,46,30,-16
Math53,1,12,11
Math54,373,557,184
Math55,3,20,17
Math56,21,337,316
Math57,23,46,23
Math58,256,429,173
Math59,663,921,258
Math60,28,25,-3
Math61,212,34,-178
Math62,49,128,79
Math63,2,3,1
Math64,2,98,96
Math65,196,178,-18
Math66,2,28,26
Math67,233,32,-201
Math68,4,66,62
Math69,56,161,105
Math70,3,13,10
Math71,103,401,298
Math72,46,19,-27
Math73,30,23,-7
Math74,93,938,845
Math75,2,28,26
Math76,41,473,432
Math77,7,29,22
Math78,2,121,119
Math79,3,35,32
Math80,57,328,271
Math81,8,125,117
Math82,40,122,82
Math83,21,217,196
Math84,7,83,76
Math85,13,33,20
Math86,10,17,7
Math87,4,210,206
Math88,8,235,227
Math89,1,4,3
Math90,1,4,3
Math91,28,14,-14
Math92,1,14,13
Math93,1,2,1
Math94,6,1,-5
Math95,2,32,30
Math96,6,14,8
Math97,6,9,3
Math98,11,27,16
Math99,21,24,3
Math100,183,33,-150
Math101,18,36,18
Math102,9,55,46
Math103,8,45,37
Math105,3,25,22
Math106,67,58,-9
Mockito1,18,154,136
Mockito2,183,3,-180
Mockito3,237,374,137
Mockito4,532,634,102
Mockito5,4060,4060,0
Mockito6,777,856,79
Mockito7,74,600,526
Mockito8,49,14,-35
Mockito9,1827,1827,0
Mockito10,62,407,345
Mockito11,1,177,176
Mockito12,11,5,-6
Mockito13,66,67,1
Mockito14,62,78,16
Mockito15,44,175,131
Mockito16,47,8,-39
Mockito17,16,63,47
Mockito18,64,233,169
Mockito19,26,245,219
Mockito20,33,229,196
Mockito21,70,158,88
Mockito22,65,155,90
Mockito23,373,634,261
Mockito24,360,710,350
Mockito25,43,418,375
Mockito26,3013,-1,-1
Mockito27,329,630,301
Mockito28,18,131,113
Mockito29,41,371,330
Mockito30,3,14,11
Mockito31,36,199,163
Mockito32,209,149,-60
Mockito33,49,271,222
Mockito34,43,259,216
Mockito35,209,423,214
Mockito36,39,164,125
Mockito37,138,210,72
Mockito38,3,78,75
Time1,22,270,248
Time2,122,325,203
Time3,1114,274,-840
Time4,162,357,195
Time5,19,275,256
Time6,199,576,377
Time7,66,1512,1446
Time8,76,67,-9
