Project,now,before,Difference
Chart1,32,42,10
Chart2,91,92,1
Chart3,2,3,1
Chart4,412,660,248
Chart5,1,8,7
Chart6,94,104,10
Chart7,50,81,31
Chart8,4,1,-3
Chart9,3,14,11
Chart10,1,3,2
Chart11,1,5,4
Chart12,25,13,-12
Chart13,45,47,2
Chart14,21,6,-15
Chart15,6,29,23
Chart16,1,2,1
Chart17,1,2,1
Chart18,1,3,2
Chart19,3,1,-2
Chart20,7,5,-2
Chart21,5,3,-2
Chart22,1,22,21
Chart24,2,3,1
Chart25,4,154,150
Chart26,26,666,640
Closure1,607,870,263
Closure2,16,37,21
Closure3,304,279,-25
Closure4,87,192,105
Closure5,148,154,6
Closure6,43,1,-42
Closure7,14,2,-12
Closure8,117,123,6
Closure9,1,1,0
Closure10,5,215,210
Closure11,313,1147,834
Closure12,665,1081,416
Closure13,5619,5651,32
Closure14,6,5,-1
Closure15,188,185,-3
Closure16,41,208,167
Closure17,55,76,21
Closure18,1652,2060,408
Closure19,4,1,-3
Closure20,16,2,-14
Closure21,15,3,-12
Closure22,5,1,-4
Closure23,15,8,-7
Closure24,2,1,-1
Closure25,110,107,-3
Closure26,216,16,-200
Closure27,22,1,-21
Closure29,395,536,141
Closure30,215,242,27
Closure31,1342,1664,322
Closure32,63,43,-20
Closure33,442,510,68
Closure34,233,230,-3
Closure35,39,6,-33
Closure36,330,1062,732
Closure37,1023,1226,203
Closure38,325,345,20
Closure39,14,19,5
Closure40,110,120,10
Closure41,750,695,-55
Closure42,1,1,0
Closure43,454,506,52
Closure44,722,778,56
Closure45,265,280,15
Closure46,19,13,-6
Closure47,296,160,-136
Closure48,399,389,-10
Closure49,1434,1734,300
Closure50,37,94,57
Closure51,291,326,35
Closure52,15,116,101
Closure53,43,47,4
Closure54,35,56,21
Closure55,316,329,13
Closure56,1,65,64
Closure57,12,25,13
Closure58,6,7,1
Closure59,5992,6782,790
Closure60,85,21,-64
Closure61,15,143,128
Closure62,1,4,3
Closure63,1,4,3
Closure64,808,1484,676
Closure65,18,1,-17
Closure66,2741,2743,2
Closure67,319,308,-11
Closure68,6,3,-3
Closure69,956,1006,50
Closure70,1497,2011,514
Closure71,175,250,75
Closure72,225,241,16
Closure73,289,305,16
Closure74,187,178,-9
Closure75,27,1,-26
Closure76,118,112,-6
Closure77,317,306,-11
Closure78,13,1,-12
Closure79,10,57,47
Closure80,1,10,9
Closure81,145,173,28
Closure82,875,1092,217
Closure83,10,10,0
Closure84,186,195,9
Closure85,127,172,45
Closure86,4,21,17
Closure87,119,150,31
Closure88,197,196,-1
Closure89,156,154,-2
Closure90,13,46,33
Closure91,370,284,-86
Closure92,23,85,62
Closure93,23,85,62
Closure94,74,5,-69
Closure95,1488,1764,276
Closure96,179,246,67
Closure97,25,1,-24
Closure98,235,425,190
Closure99,18,16,-2
Closure100,1,6,5
Closure101,2223,2775,552
Closure102,4641,4752,111
Closure103,15,289,274
Closure104,17,13,-4
Closure105,58,7,-51
Closure106,2,24,22
Closure107,119,132,13
Closure108,186,237,51
Closure109,1,33,32
Closure110,18,2,-16
Closure111,1,1,0
Closure112,112,109,-3
Closure113,1,17,16
Closure114,191,215,24
Closure115,26,8,-18
Closure116,32,42,10
Closure117,195,225,30
Closure118,66,2,-64
Closure120,1,239,238
Closure121,310,388,78
Closure122,2,9,7
Closure123,140,159,19
Closure124,3,10,7
Closure125,382,396,14
Closure126,45,5,-40
Closure127,63,277,214
Closure128,12,102,90
Closure129,3212,3293,81
Closure130,408,545,137
Closure131,283,300,17
Closure132,12,80,68
Closure133,300,516,216
Lang1,2,3,1
Lang2,3,3,0
Lang3,9,3,-6
Lang4,3,2,-1
Lang5,1,1,0
Lang6,83,98,15
Lang7,1,122,121
Lang8,1,10,9
Lang9,149,153,4
Lang10,60,77,17
Lang11,4,3,-1
Lang12,3,5,2
Lang13,1,5,4
Lang14,1,4,3
Lang15,210,217,7
Lang16,46,27,-19
Lang17,27,102,75
Lang18,21,41,20
Lang19,4,8,4
Lang20,2,8,6
Lang21,1,2,1
Lang22,32,34,2
Lang24,18,64,46
Lang26,10,7,-3
Lang27,42,127,85
Lang28,2,3,1
Lang30,2,10,8
Lang31,3,6,3
Lang32,12,26,14
Lang33,3,7,4
Lang34,129,145,16
Lang35,2,2,0
Lang36,7,94,87
Lang37,1,6,5
Lang38,1,3,2
Lang39,34,27,-7
Lang40,1,2,1
Lang41,5,6,1
Lang42,13,13,0
Lang43,4,6,2
Lang44,2,3,1
Lang45,15,10,-5
Lang46,1,1,0
Lang47,5,5,0
Lang48,2,2,0
Lang49,1,1,0
Lang50,12,2,-10
Lang53,33,16,-17
Lang54,4,3,-1
Lang55,6,7,1
Lang57,3,6,3
Lang58,3,20,17
Lang59,1,6,5
Lang60,4,2,-2
Lang61,4,21,17
Lang62,3,4,1
Lang63,1,1,0
Lang64,4,4,0
Lang65,8,7,-1
Math1,6,6,0
Math2,40,44,4
Math3,5,3,-2
Math4,12,17,5
Math5,1,1,0
Math6,145,231,86
Math7,52,42,-10
Math8,1,4,3
Math9,1,1,0
Math10,48,12,-36
Math11,44,31,-13
Math13,95,159,64
Math14,87,99,12
Math15,211,211,0
Math16,52,1,-51
Math17,81,89,8
Math18,12,14,2
Math19,40,56,16
Math20,53,598,545
Math21,22,46,24
Math22,1,1,0
Math23,142,148,6
Math24,147,150,3
Math25,1,1,0
Math26,27,38,11
Math27,1,1,0
Math28,13,12,-1
Math29,1,6,5
Math30,18,41,23
Math31,191,190,-1
Math32,1,4,3
Math33,28,44,16
Math34,1,3,2
Math35,6,3,-3
Math36,2,2,0
Math37,17,4,-13
Math38,7,5,-2
Math39,111,117,6
Math40,46,33,-13
Math41,29,43,14
Math42,54,72,18
Math43,75,88,13
Math44,27,14,-13
Math45,1,1,0
Math46,3,2,-1
Math47,1,2,1
Math48,104,355,251
Math49,11,7,-4
Math50,1,1,0
Math51,25,30,5
Math52,6,22,16
Math53,1,1,0
Math54,150,136,-14
Math55,1,1,0
Math56,1,20,19
Math57,2,4,2
Math58,541,545,4
Math59,207,2,-205
Math60,33,36,3
Math61,1,1,0
Math62,49,128,79
Math63,1,1,0
Math64,132,144,12
Math65,25,41,16
Math66,503,503,0
Math67,204,8,-196
Math68,127,128,1
Math69,32,44,12
Math70,1,1,0
Math71,1,1,0
Math72,5,1,-4
Math73,4,1,-3
Math74,719,777,58
Math75,1,1,0
Math76,30,100,70
Math77,1,19,18
Math78,28,117,89
Math79,2,29,27
Math80,4,14,10
Math81,1,10,9
Math82,79,151,72
Math83,7,40,33
Math84,48,55,7
Math85,56,77,21
Math86,72,75,3
Math87,76,115,39
Math88,1,1,0
Math89,1,1,0
Math90,3,3,0
Math91,2,1,-1
Math92,1,2,1
Math93,1,2,1
Math94,10,6,-4
Math95,1,15,14
Math96,7,5,-2
Math97,1,1,0
Math98,1,4,3
Math99,2,4,2
Math100,16,9,-7
Math101,17,12,-5
Math102,3,3,0
Math103,34,32,-2
Math105,3,25,22
Math106,13,10,-3
Mockito1,2,2,0
Mockito2,12,8,-4
Mockito3,12,8,-4
Mockito4,5,5,0
Mockito5,4060,4060,0
Mockito6,2,1,-1
Mockito7,37,50,13
Mockito8,31,31,0
Mockito9,1827,1827,0
Mockito10,8,12,4
Mockito11,1,1,0
Mockito12,1,2,1
Mockito13,85,85,0
Mockito14,95,96,1
Mockito15,118,178,60
Mockito16,6,4,-2
Mockito17,1,4,3
Mockito18,3,5,2
Mockito19,11,12,1
Mockito20,99,119,20
Mockito21,2,1,-1
Mockito22,9,11,2
Mockito23,58,66,8
Mockito24,1,9,8
Mockito25,8,73,65
Mockito27,18,37,19
Mockito28,156,198,42
Mockito29,8,31,23
Mockito30,1,1,0
Mockito31,4,2,-2
Mockito32,9,2,-7
Mockito33,185,203,18
Mockito34,64,62,-2
Mockito35,1,1,0
Mockito36,4,4,0
Mockito37,4,4,0
Mockito38,5,5,0
Time1,2,2,0
Time2,10,3,-7
Time3,2,1,-1
Time4,12,30,18
Time5,2,68,66
Time6,37,16,-21
Time7,4,17,13
Time8,16,24,8
Time9,13,3,-10
Time10,20,200,180
Time11,427,448,21
Time12,2,3,1
Time13,7,19,12
Time14,1,5,4
Time15,2,2,0
Time16,20,7,-13
Time17,1,5,4
Time18,1,3,2
Time19,547,620,73
Time20,266,269,3
Time21,2,21,19
Time22,9,16,7
Time23,4,41,37
Time24,345,466,121
Time25,382,408,26
Time26,248,398,150
Time27,296,346,50
