Project,now,before,Difference
Lang-32,14,26,12
Lang-24,24,64,40
Lang-40,1,2,1
Lang-4,1,2,1
Lang-19,1,8,7
Lang-35,3,2,-1
Lang-50,22,2,-20
Lang-29,-1,-1,0
Lang-14,1,4,3
Lang-2,7,3,-4
Lang-49,2,1,-1
Lang-47,18,5,-13
Lang-5,3,1,-2
Lang-16,45,27,-18
Lang-3,18,3,-15
Lang-11,7,3,-4
Lang-6,20,98,78
Lang-13,3,5,2
Lang-23,-1,-1,0
Lang-17,6,102,96
Lang-18,20,41,21
Lang-63,2,1,-1
Lang-26,32,7,-25
Lang-31,3,6,3
Lang-61,4,21,17
Lang-65,4,7,3
Lang-60,7,2,-5
Lang-52,-1,-1,0
Lang-53,35,16,-19
Lang-51,-1,-1,0
Lang-58,3,20,17
Lang-1,5,3,-2
Lang-59,5,6,1
Lang-22,24,34,10
Lang-39,35,27,-8
Lang-56,-1,-1,0
Lang-28,2,3,1
Lang-41,2,6,4
Lang-21,3,2,-1
Lang-43,6,6,0
Lang-45,17,10,-7
Lang-37,1,6,5
Lang-7,1,122,121
Lang-25,-1,-1,0
Lang-12,1,5,4
Lang-64,10,4,-6
Lang-44,2,3,1
Lang-62,13,4,-9
Lang-38,5,3,-2
Lang-15,8,217,209
Lang-10,15,77,62
Lang-8,7,10,3
Lang-36,9,94,85
Lang-33,6,7,1
Lang-34,40,145,105
Lang-46,1,1,0
Lang-55,2,7,5
Lang-20,2,8,6
Lang-42,10,13,3
Lang-48,3,2,-1
Lang-30,2,10,8
Lang-9,150,153,3
Lang-57,4,6,2
Lang-54,6,3,-3
Lang-27,30,127,97
Time-24,170,466,296
Time-4,62,30,-32
Time-19,23,620,597
Time-14,6,5,-1
Time-2,65,3,-62
Time-5,4,68,64
Time-16,363,7,-356
Time-3,7,1,-6
Time-11,323,448,125
Time-6,206,16,-190
Time-13,46,19,-27
Time-23,10,41,31
Time-17,26,5,-21
Time-18,30,3,-27
Time-26,88,398,310
Time-1,3,2,-1
Time-22,60,16,-44
Time-21,41,21,-20
Time-7,26,17,-9
Time-25,73,408,335
Time-12,44,3,-41
Time-15,3,2,-1
Time-10,32,200,168
Time-8,49,24,-25
Time-20,357,269,-88
Time-9,35,3,-32
Time-27,71,346,275
Math-69,52,44,-8
Math-32,2,4,2
Math-73,4,1,-3
Math-24,18,150,132
Math-40,105,33,-72
Math-4,95,17,-78
Math-91,4,1,-3
Math-74,134,777,643
Math-106,43,10,-33
Math-19,142,56,-86
Math-35,6,3,-3
Math-78,2,117,115
Math-103,8,32,24
Math-50,2,1,-1
Math-29,7,6,-1
Math-87,5,115,110
Math-14,26,99,73
Math-81,2,10,8
Math-2,42,44,2
Math-49,143,7,-136
Math-47,9,2,-7
Math-92,1,2,1
Math-86,27,75,48
Math-66,83,503,420
Math-75,1,1,0
Math-82,45,151,106
Math-76,42,100,58
Math-93,1,2,1
Math-5,2,1,-1
Math-67,190,8,-182
Math-16,7,1,-6
Math-3,5,3,-2
Math-11,25,31,6
Math-6,43,231,188
Math-13,59,159,100
Math-23,1,148,147
Math-17,17,89,72
Math-18,202,14,-188
Math-63,1,1,0
Math-26,152,38,-114
Math-31,38,190,152
Math-61,19,1,-18
Math-77,7,19,12
Math-65,165,41,-124
Math-60,14,36,22
Math-52,19,22,3
Math-53,1,1,0
Math-51,10,30,20
Math-58,294,545,251
Math-97,2,1,-1
Math-1,170,6,-164
Math-59,157,2,-155
Math-22,2,1,-1
Math-39,91,117,26
Math-100,104,9,-95
Math-56,7,20,13
Math-28,21,12,-9
Math-41,44,43,-1
Math-21,9,46,37
Math-96,6,5,-1
Math-43,37,88,51
Math-68,5,128,123
Math-45,1,1,0
Math-37,118,4,-114
Math-83,16,40,24
Math-7,93,42,-51
Math-25,2,1,-1
Math-85,15,77,62
Math-90,2,3,1
Math-89,1,1,0
Math-95,1,15,14
Math-12,-1,-1,0
Math-88,2,1,-1
Math-64,2,144,142
Math-101,18,12,-6
Math-71,1,1,0
Math-99,7,4,-3
Math-105,4,25,21
Math-44,8,14,6
Math-62,52,128,76
Math-94,8,6,-2
Math-84,2,55,53
Math-79,2,29,27
Math-38,28,5,-23
Math-15,50,211,161
Math-10,145,12,-133
Math-98,7,4,-3
Math-102,8,3,-5
Math-8,11,4,-7
Math-36,119,2,-117
Math-33,59,44,-15
Math-72,6,1,-5
Math-104,-1,-1,0
Math-34,8,3,-5
Math-46,27,2,-25
Math-80,20,14,-6
Math-55,2,1,-1
Math-20,1,598,597
Math-42,54,72,18
Math-48,7,355,348
Math-30,86,41,-45
Math-9,1,1,0
Math-57,11,4,-7
Math-54,293,136,-157
Math-27,1,1,0
Math-70,2,1,-1
Chart-24,2,3,1
Chart-4,60,660,600
Chart-19,10,1,-9
Chart-14,92,6,-86
Chart-2,69,92,23
Chart-5,2,8,6
Chart-16,6,2,-4
Chart-3,9,3,-6
Chart-11,1,5,4
Chart-6,17,104,87
Chart-13,96,47,-49
Chart-23,-1,-1,0
Chart-17,2,2,0
Chart-18,1,3,2
Chart-26,122,666,544
Chart-1,20,42,22
Chart-22,1,22,21
Chart-21,16,3,-13
Chart-7,28,81,53
Chart-25,67,154,87
Chart-12,110,13,-97
Chart-15,19,29,10
Chart-10,1,3,2
Chart-8,3,1,-2
Chart-20,6,5,-1
Chart-9,11,14,3
Mockito-32,21,2,-19
Mockito-24,11,9,-2
Mockito-4,17,5,-12
Mockito-19,14,12,-2
Mockito-35,5,1,-4
Mockito-29,25,31,6
Mockito-14,48,96,48
Mockito-2,111,8,-103
Mockito-5,4060,4060,0
Mockito-16,17,4,-13
Mockito-3,102,8,-94
Mockito-11,1,1,0
Mockito-6,14,1,-13
Mockito-13,51,85,34
Mockito-23,57,66,9
Mockito-17,3,4,1
Mockito-18,39,5,-34
Mockito-26,-1,-1,0
Mockito-31,5,2,-3
Mockito-1,4,2,-2
Mockito-22,42,11,-31
Mockito-28,23,198,175
Mockito-21,4,1,-3
Mockito-37,24,4,-20
Mockito-7,56,50,-6
Mockito-25,12,73,61
Mockito-12,7,2,-5
Mockito-38,7,5,-2
Mockito-15,54,178,124
Mockito-10,21,12,-9
Mockito-8,56,31,-25
Mockito-36,11,4,-7
Mockito-33,73,203,130
Mockito-34,44,62,18
Mockito-20,55,119,64
Mockito-30,2,1,-1
Mockito-9,616,1827,1211
Mockito-27,47,37,-10
Closure-69,669,1006,337
Closure-127,118,277,159
Closure-32,209,43,-166
Closure-119,-1,-1,0
Closure-73,193,305,112
Closure-24,5,1,-4
Closure-40,570,120,-450
Closure-120,1,239,238
Closure-4,285,192,-93
Closure-91,724,284,-440
Closure-74,932,178,-754
Closure-109,1,33,32
Closure-106,5,24,19
Closure-19,1,1,0
Closure-35,410,6,-404
Closure-78,7,1,-6
Closure-103,11,289,278
Closure-122,10,9,-1
Closure-50,35,94,59
Closure-29,286,536,250
Closure-87,18,150,132
Closure-133,1,516,515
Closure-14,14,5,-9
Closure-81,55,173,118
Closure-2,69,37,-32
Closure-49,10,1734,1724
Closure-107,111,132,21
Closure-47,1322,160,-1162
Closure-126,270,5,-265
Closure-92,129,85,-44
Closure-86,19,21,2
Closure-66,781,2743,1962
Closure-75,4,1,-3
Closure-82,373,1092,719
Closure-130,119,545,426
Closure-76,123,112,-11
Closure-123,285,159,-126
Closure-93,129,85,-44
Closure-5,401,154,-247
Closure-67,186,308,122
