Project,MinRank1,MinRank2,Difference
Chart1,12,42,30
Chart2,54,92,38
Chart3,5,3,-2
Chart4,53,660,607
Chart5,1,8,7
Chart6,17,104,87
Chart7,20,81,61
Chart8,4,1,-3
Chart9,5,14,9
Chart10,1,3,2
Chart11,1,5,4
Chart12,113,13,-100
Chart13,86,47,-39
Chart14,131,6,-125
Chart15,11,29,18
Chart16,5,2,-3
Chart17,1,2,1
Chart18,1,3,2
Chart19,23,1,-22
Chart20,7,5,-2
Chart21,13,3,-10
Chart22,1,22,21
Chart24,2,3,1
Chart25,32,154,122
Chart26,80,666,586
Closure1,60,870,810
Closure2,25,37,12
Closure3,91,279,188
Closure4,120,192,72
Closure5,139,154,15
Closure6,1299,1,-1298
Closure7,23,2,-21
Closure8,36,123,87
Closure9,1,1,0
Closure10,4,215,211
Closure11,6,1147,1141
Closure12,3,1081,1078
Closure13,2776,5651,2875
Closure14,12,5,-7
Closure15,333,185,-148
Closure16,33,208,175
Closure17,279,76,-203
Closure18,255,2060,1805
Closure19,7,1,-6
Closure20,43,2,-41
Closure21,45,3,-42
Closure22,13,1,-12
Closure23,56,8,-48
Closure24,14,1,-13
Closure25,29,107,78
Closure26,2178,16,-2162
Closure27,36,1,-35
Closure29,133,536,403
Closure30,24,242,218
Closure31,209,1664,1455
Closure32,96,43,-53
Closure33,61,510,449
Closure34,156,230,74
Closure35,231,6,-225
Closure36,278,1062,784
Closure37,199,1226,1027
Closure38,98,345,247
Closure39,15,19,4
Closure40,159,120,-39
Closure41,1349,695,-654
Closure42,55,1,-54
Closure43,109,506,397
Closure44,378,778,400
Closure45,190,280,90
Closure46,132,13,-119
Closure47,914,160,-754
Closure48,456,389,-67
Closure49,72,1734,1662
Closure50,11,94,83
Closure51,32,326,294
Closure52,15,116,101
Closure53,46,47,1
Closure54,188,56,-132
Closure55,123,329,206
Closure56,1,65,64
Closure57,19,25,6
Closure58,12,7,-5
Closure59,2707,6782,4075
Closure60,306,21,-285
Closure61,14,143,129
Closure62,1,4,3
Closure63,1,4,3
Closure64,399,1484,1085
Closure65,226,1,-225
Closure66,1222,2743,1521
Closure67,111,308,197
Closure68,100,3,-97
Closure69,498,1006,508
Closure70,806,2011,1205
Closure71,153,250,97
Closure72,169,241,72
Closure73,103,305,202
Closure74,522,178,-344
Closure75,139,1,-138
Closure76,41,112,71
Closure77,747,306,-441
Closure78,1996,1,-1995
Closure79,23,57,34
Closure80,1,10,9
Closure81,35,173,138
Closure82,372,1092,720
Closure83,28,10,-18
Closure84,67,195,128
Closure85,23,172,149
Closure86,10,21,11
Closure87,10,150,140
Closure88,29,196,167
Closure89,100,154,54
Closure90,37,46,9
Closure91,648,284,-364
Closure92,66,85,19
Closure93,66,85,19
Closure94,1112,5,-1107
Closure95,698,1764,1066
Closure96,3,246,243
Closure97,469,1,-468
Closure98,3,425,422
Closure99,61,16,-45
Closure100,1,6,5
Closure101,454,2775,2321
Closure102,1002,4752,3750
Closure103,5,289,284
Closure104,17,13,-4
Closure105,334,7,-327
Closure106,2,24,22
Closure107,19,132,113
Closure108,18,237,219
Closure109,1,33,32
Closure110,59,2,-57
Closure111,7,1,-6
Closure112,1024,109,-915
Closure113,1,17,16
Closure114,127,215,88
Closure115,85,8,-77
Closure116,52,42,-10
Closure117,27,225,198
Closure118,806,2,-804
Closure120,1,239,238
Closure121,241,388,147
Closure122,3,9,6
Closure123,86,159,73
Closure124,4,10,6
Closure125,93,396,303
Closure126,499,5,-494
Closure127,50,277,227
Closure128,8,102,94
Closure129,786,3293,2507
Closure130,79,545,466
Closure131,42,300,258
Closure132,18,80,62
Closure133,47,516,469
Lang1,4,3,-1
Lang2,5,3,-2
Lang3,28,3,-25
Lang4,2,2,0
Lang5,3,1,-2
Lang6,20,98,78
Lang7,1,122,121
Lang8,3,10,7
Lang9,137,153,16
Lang10,14,77,63
Lang11,6,3,-3
Lang12,2,5,3
Lang13,3,5,2
Lang14,1,4,3
Lang15,19,217,198
Lang16,43,27,-16
Lang17,12,102,90
Lang18,10,41,31
Lang19,1,8,7
Lang20,2,8,6
Lang21,2,2,0
Lang22,22,34,12
Lang24,23,64,41
Lang26,39,7,-32
Lang27,29,127,98
Lang28,2,3,1
Lang30,2,10,8
Lang31,3,6,3
Lang32,12,26,14
Lang33,4,7,3
Lang34,38,145,107
Lang35,2,2,0
Lang36,7,94,87
Lang37,1,6,5
Lang38,1,3,2
Lang39,34,27,-7
Lang40,1,2,1
Lang41,1,6,5
Lang42,7,13,6
Lang43,4,6,2
Lang44,2,3,1
Lang45,16,10,-6
Lang46,1,1,0
Lang47,38,5,-33
Lang48,3,2,-1
Lang49,4,1,-3
Lang50,30,2,-28
Lang53,31,16,-15
Lang54,6,3,-3
Lang55,1,7,6
Lang57,3,6,3
Lang58,3,20,17
Lang59,3,6,3
Lang60,10,2,-8
Lang61,3,21,18
Lang62,13,4,-9
Lang63,3,1,-2
Lang64,9,4,-5
Lang65,3,7,4
Math1,110,6,-104
Math2,36,44,8
Math3,5,3,-2
Math4,64,17,-47
Math5,1,1,0
Math6,98,231,133
Math7,67,42,-25
Math8,13,4,-9
Math9,1,1,0
Math10,145,12,-133
Math11,19,31,12
Math13,62,159,97
Math14,31,99,68
Math15,46,211,165
Math16,114,1,-113
Math17,14,89,75
Math18,136,14,-122
Math19,106,56,-50
Math20,1,598,597
Math21,8,46,38
Math22,1,1,0
Math23,1,148,147
Math24,24,150,126
Math25,2,1,-1
Math26,118,38,-80
Math27,1,1,0
Math28,6,12,6
Math29,2,6,4
Math30,58,41,-17
Math31,27,190,163
Math32,1,4,3
Math33,48,44,-4
Math34,7,3,-4
Math35,9,3,-6
Math36,315,2,-313
Math37,159,4,-155
Math38,11,5,-6
Math39,92,117,25
Math40,99,33,-66
Math41,32,43,11
Math42,43,72,29
Math43,26,88,62
Math44,59,14,-45
Math45,1,1,0
Math46,188,2,-186
Math47,14,2,-12
Math48,10,355,345
Math49,421,7,-414
Math50,1,1,0
Math51,8,30,22
Math52,7,22,15
Math53,1,1,0
Math54,261,136,-125
Math55,2,1,-1
Math56,1,20,19
Math57,10,4,-6
Math58,339,545,206
Math59,613,2,-611
Math60,6,36,30
Math61,152,1,-151
Math62,49,128,79
