Project,now,before,Difference
Chart1,1,1,0
Chart2,58,51,-7
Chart3,1,2,1
Chart4,155,431,276
Chart5,2,9,7
Chart6,41,56,15
Chart7,34,29,-5
Chart8,3,5,2
Chart9,3,11,8
Chart10,1,1,0
Chart11,1,2,1
Chart12,26,16,-10
Chart13,3,1,-2
Chart14,8,1,-7
Chart15,1,7,6
Chart16,1,1,0
Chart17,1,1,0
Chart18,1,1,0
Chart19,3,1,-2
Chart20,3,6,3
Chart21,5,4,-1
Chart22,1,1,0
Chart24,2,2,0
Chart25,1,3,2
Chart26,1,2,1
Closure1,2,29,27
Closure2,36,69,33
Closure3,22,41,19
Closure4,1,1,0
Closure5,7,1,-6
Closure6,1,1,0
Closure7,28,52,24
Closure8,5,10,5
Closure9,1,1,0
Closure10,26,138,112
Closure11,1,3,2
Closure12,1,162,161
Closure13,2551,2704,153
Closure14,1,2,1
Closure15,122,116,-6
Closure16,78,185,107
Closure17,4,1,-3
Closure18,94,372,278
Closure19,31,77,46
Closure20,160,193,33
Closure21,1,1,0
Closure22,1,1,0
Closure23,26,38,12
Closure24,1,1,0
Closure25,10,3,-7
Closure26,169,82,-87
Closure27,3,4,1
Closure29,42,25,-17
Closure30,111,140,29
Closure31,59,243,184
Closure32,1,1,0
Closure33,14,54,40
Closure34,5,2,-3
Closure35,143,114,-29
Closure36,39,58,19
Closure37,385,551,166
Closure38,1,1,0
Closure39,3,1,-2
Closure40,3,2,-1
Closure41,512,499,-13
Closure42,9,1,-8
Closure43,99,223,124
Closure44,84,130,46
Closure45,21,18,-3
Closure46,1,1,0
Closure47,7,5,-2
Closure48,1,1,0
Closure49,108,112,4
Closure50,4,5,1
Closure51,1,1,0
Closure52,21,71,50
Closure53,18,11,-7
Closure54,51,46,-5
Closure55,12,32,20
Closure56,5,29,24
Closure57,7,21,14
Closure58,57,89,32
Closure59,1228,1482,254
Closure60,33,54,21
Closure61,37,86,49
Closure62,1,1,0
Closure63,1,1,0
Closure64,574,700,126
Closure65,4,2,-2
Closure66,2,2,0
Closure67,4,13,9
Closure68,18,4,-14
Closure69,173,229,56
Closure70,1,1,0
Closure71,1,1,0
Closure72,121,200,79
Closure73,1,1,0
Closure74,7,3,-4
Closure75,86,78,-8
Closure76,5,7,2
Closure77,30,12,-18
Closure78,68,11,-57
Closure79,62,86,24
Closure80,2,235,233
Closure81,4,4,0
Closure82,2362,2817,455
Closure83,2,1,-1
Closure84,5,5,0
Closure85,4,10,6
Closure86,4,38,34
Closure87,5,53,48
Closure88,3,2,-1
Closure89,2,9,7
Closure90,28,24,-4
Closure91,195,189,-6
Closure92,1,1,0
Closure93,2,3,1
Closure94,30,16,-14
Closure95,887,984,97
Closure96,1,24,23
Closure97,84,52,-32
Closure98,1,71,70
Closure99,2,3,1
Closure100,1,10,9
Closure101,1288,1807,519
Closure102,3132,4169,1037
Closure103,142,584,442
Closure104,1,4,3
Closure105,32,14,-18
Closure106,1,2,1
Closure107,1,4,3
Closure108,26,18,-8
Closure109,1,59,58
Closure110,54,68,14
Closure111,55,112,57
Closure112,209,158,-51
Closure113,1,6,5
Closure114,8,12,4
Closure115,3,2,-1
Closure116,143,113,-30
Closure117,1,5,4
Closure118,133,83,-50
Closure120,28,592,564
Closure121,32,22,-10
Closure122,1,1,0
Closure123,110,137,27
Closure124,27,62,35
Closure125,18,47,29
Closure126,5,1,-4
Closure127,6,17,11
Closure128,1,1,0
Closure129,663,933,270
Closure130,10,52,42
Closure131,7,9,2
Closure132,21,111,90
Closure133,3,77,74
Lang1,1,1,0
Lang2,19,18,-1
Lang3,4,2,-2
Lang4,6,2,-4
Lang5,1,1,0
Lang6,16,17,1
Lang7,6,10,4
Lang8,2,3,1
Lang9,43,34,-9
Lang10,7,38,31
Lang11,8,10,2
Lang12,2,2,0
Lang13,1,2,1
Lang14,2,3,1
Lang15,1,1,0
Lang16,30,23,-7
Lang17,12,13,1
Lang18,34,55,21
Lang19,1,2,1
Lang20,1,1,0
Lang21,1,1,0
Lang22,2,1,-1
Lang24,13,49,36
Lang26,1,1,0
Lang27,4,1,-3
Lang28,1,1,0
Lang30,5,14,9
Lang31,3,1,-2
Lang32,8,6,-2
Lang33,2,1,-1
Lang34,5,1,-4
Lang35,3,2,-1
Lang36,18,33,15
Lang37,1,2,1
Lang38,2,2,0
Lang39,7,4,-3
Lang40,1,1,0
Lang41,5,8,3
Lang42,6,11,5
Lang43,5,6,1
Lang44,4,12,8
Lang45,13,8,-5
Lang46,1,1,0
Lang47,7,6,-1
Lang48,1,1,0
Lang49,1,1,0
Lang50,36,24,-12
Lang53,41,39,-2
Lang54,2,2,0
Lang55,1,1,0
Lang57,1,1,0
Lang58,1,3,2
Lang59,4,5,1
Lang60,4,1,-3
Lang61,17,34,17
Lang62,3,3,0
Lang63,1,1,0
Lang64,1,1,0
Lang65,7,10,3
Math1,4,3,-1
Math2,16,16,0
Math3,5,7,2
Math4,21,12,-9
Math5,3,3,0
Math6,71,94,23
Math7,1,2,1
Math8,1,2,1
Math9,3,4,1
Math10,23,14,-9
Math11,15,20,5
Math13,81,90,9
Math14,22,43,21
Math15,4,11,7
Math16,7,3,-4
Math17,20,81,61
Math18,30,37,7
Math19,10,45,35
Math20,34,702,668
Math21,38,48,10
Math22,1,3,2
Math23,5,52,47
Math24,35,54,19
Math25,1,1,0
Math26,2,3,1
Math27,1,1,0
Math28,10,9,-1
Math29,1,8,7
Math30,5,8,3
Math31,55,47,-8
Math32,1,9,8
Math33,2,2,0
Math34,1,1,0
Math35,6,6,0
Math36,3,3,0
Math37,14,9,-5
Math38,6,7,1
Math39,108,64,-44
Math40,5,2,-3
Math41,16,11,-5
Math42,19,20,1
Math43,6,10,4
Math44,57,119,62
Math45,1,3,2
Math46,22,14,-8
Math47,3,2,-1
Math48,19,85,66
Math49,27,22,-5
Math50,1,1,0
Math51,3,11,8
Math52,1,2,1
Math53,1,1,0
Math54,24,17,-7
Math55,1,1,0
Math56,2,8,6
Math57,10,12,2
Math58,274,331,57
Math59,1,2,1
Math60,6,18,12
Math61,1,1,0
Math62,17,2,-15
Math63,1,1,0
Math64,29,171,142
Math65,1,1,0
Math66,23,105,82
Math67,14,17,3
Math68,34,58,24
Math69,8,9,1
Math70,1,1,0
