Project,now,before,Difference
Lang-32,12,6,-6
Lang-24,22,49,27
Lang-40,1,1,0
Lang-4,3,2,-1
Lang-19,1,2,1
Lang-35,3,2,-1
Lang-50,51,24,-27
Lang-29,-1,-1,0
Lang-14,1,3,2
Lang-2,19,18,-1
Lang-49,2,1,-1
Lang-47,13,6,-7
Lang-5,2,1,-1
Lang-16,41,23,-18
Lang-3,7,2,-5
Lang-11,8,10,2
Lang-6,14,17,3
Lang-13,1,2,1
Lang-23,-1,-1,0
Lang-17,8,13,5
Lang-18,24,55,31
Lang-63,2,1,-1
Lang-26,2,1,-1
Lang-31,3,1,-2
Lang-61,8,34,26
Lang-65,5,10,5
Lang-60,2,1,-1
Lang-52,-1,-1,0
Lang-53,39,39,0
Lang-51,-1,-1,0
Lang-58,2,3,1
Lang-1,3,1,-2
Lang-59,4,5,1
Lang-22,2,1,-1
Lang-39,11,4,-7
Lang-56,-1,-1,0
Lang-28,1,1,0
Lang-41,3,8,5
Lang-21,1,1,0
Lang-43,7,6,-1
Lang-45,16,8,-8
Lang-37,1,2,1
Lang-7,1,10,9
Lang-25,-1,-1,0
Lang-12,1,2,1
Lang-64,2,1,-1
Lang-44,3,12,9
Lang-62,6,3,-3
Lang-38,4,2,-2
Lang-15,2,1,-1
Lang-10,5,38,33
Lang-8,3,3,0
Lang-36,11,33,22
Lang-33,1,1,0
Lang-34,4,1,-3
Lang-46,1,1,0
Lang-55,1,1,0
Lang-20,1,1,0
Lang-42,7,11,4
Lang-48,2,1,-1
Lang-30,2,14,12
Lang-9,51,34,-17
Lang-57,1,1,0
Lang-54,4,2,-2
Lang-27,4,1,-3
Time-24,132,347,215
Time-4,10,5,-5
Time-19,2,1,-1
Time-14,5,4,-1
Time-2,42,6,-36
Time-5,2,12,10
Time-16,371,20,-351
Time-3,4,2,-2
Time-11,382,585,203
Time-6,121,9,-112
Time-13,60,18,-42
Time-23,7,27,20
Time-17,23,8,-15
Time-18,74,22,-52
Time-26,77,379,302
Time-1,9,8,-1
Time-22,68,82,14
Time-21,2,4,2
Time-7,20,39,19
Time-25,80,168,88
Time-12,90,16,-74
Time-15,3,2,-1
Time-10,17,73,56
Time-8,29,8,-21
Time-20,156,40,-116
Time-9,15,4,-11
Time-27,45,114,69
Math-69,20,9,-11
Math-32,3,9,6
Math-73,12,4,-8
Math-24,12,54,42
Math-40,9,2,-7
Math-4,60,12,-48
Math-91,2,1,-1
Math-74,169,765,596
Math-106,25,6,-19
Math-19,17,45,28
Math-35,8,6,-2
Math-78,3,71,68
Math-103,8,12,4
Math-50,1,1,0
Math-29,7,8,1
Math-87,5,56,51
Math-14,18,43,25
Math-81,2,5,3
Math-2,31,16,-15
Math-49,120,22,-98
Math-47,6,2,-4
Math-92,1,1,0
Math-86,6,7,1
Math-66,5,105,100
Math-75,1,2,1
Math-82,36,47,11
Math-76,34,70,36
Math-93,1,2,1
Math-5,3,3,0
Math-67,25,17,-8
Math-16,17,3,-14
Math-3,6,7,1
Math-11,20,20,0
Math-6,47,94,47
Math-13,53,90,37
Math-23,1,52,51
Math-17,12,81,69
Math-18,183,37,-146
Math-63,1,1,0
Math-26,4,3,-1
Math-31,57,47,-10
Math-61,1,1,0
Math-77,3,1,-2
Math-65,2,1,-1
Math-60,15,18,3
Math-52,3,2,-1
Math-53,1,1,0
Math-51,4,11,7
Math-58,198,331,133
Math-97,1,1,0
Math-1,5,3,-2
Math-59,8,2,-6
Math-22,3,3,0
Math-39,63,64,1
Math-100,24,4,-20
Math-56,5,8,3
Math-28,28,9,-19
Math-41,24,11,-13
Math-21,14,48,34
Math-96,5,2,-3
Math-43,11,10,-1
Math-68,6,58,52
Math-45,1,3,2
Math-37,94,9,-85
Math-83,2,1,-1
Math-7,6,2,-4
Math-25,1,1,0
Math-85,8,11,3
Math-90,2,2,0
Math-89,1,1,0
Math-95,1,3,2
Math-12,-1,-1,0
Math-88,1,1,0
Math-64,2,171,169
Math-101,7,4,-3
Math-71,5,43,38
Math-99,6,3,-3
Math-105,4,13,9
Math-44,5,119,114
Math-62,11,2,-9
Math-94,9,13,4
Math-84,2,1,-1
Math-79,5,21,16
Math-38,16,7,-9
Math-15,10,11,1
Math-10,84,14,-70
Math-98,6,13,7
Math-102,9,7,-2
Math-8,3,2,-1
Math-36,6,3,-3
Math-33,4,2,-2
Math-72,4,1,-3
Math-104,-1,-1,0
Math-34,3,1,-2
Math-46,72,14,-58
Math-80,4,2,-2
Math-55,1,1,0
Math-20,1,702,701
Math-42,29,20,-9
Math-48,5,85,80
Math-30,21,8,-13
Math-9,5,4,-1
Math-57,7,12,5
Math-54,91,17,-74
Math-27,1,1,0
Math-70,1,1,0
Chart-24,2,2,0
Chart-4,54,431,377
Chart-19,2,1,-1
Chart-14,3,1,-2
Chart-2,57,51,-6
Chart-5,3,9,6
Chart-16,2,1,-1
Chart-3,4,2,-2
Chart-11,1,2,1
Chart-6,14,56,42
Chart-13,3,1,-2
Chart-23,-1,-1,0
Chart-17,1,1,0
Chart-18,1,1,0
Chart-26,3,2,-1
Chart-1,1,1,0
Chart-22,1,1,0
Chart-21,12,4,-8
Chart-7,27,29,2
Chart-25,4,3,-1
Chart-12,80,16,-64
Chart-15,10,7,-3
Chart-10,1,1,0
Chart-8,4,5,1
Chart-20,5,6,1
Chart-9,9,11,2
Mockito-32,42,8,-34
Mockito-24,11,6,-5
Mockito-4,4,2,-2
Mockito-19,10,20,10
Mockito-35,3,1,-2
Mockito-29,1,1,0
Mockito-14,20,11,-9
Mockito-2,29,4,-25
Mockito-5,-1,-1,0
Mockito-16,12,5,-7
Mockito-3,2,1,-1
Mockito-11,1,1,0
Mockito-6,67,18,-49
Mockito-13,31,34,3
Mockito-23,19,5,-14
Mockito-17,4,5,1
Mockito-18,22,13,-9
Mockito-26,85,212,127
Mockito-31,1,1,0
Mockito-1,17,33,16
Mockito-22,20,10,-10
Mockito-28,15,198,183
Mockito-21,8,3,-5
Mockito-37,23,6,-17
Mockito-7,32,38,6
Mockito-25,2,1,-1
Mockito-12,7,8,1
Mockito-38,4,3,-1
Mockito-15,39,112,73
Mockito-10,21,13,-8
Mockito-8,21,6,-15
Mockito-36,8,4,-4
Mockito-33,49,85,36
Mockito-34,3,2,-1
Mockito-20,28,67,39
Mockito-30,1,2,1
Mockito-9,4,1,-3
Mockito-27,15,6,-9
Closure-69,317,229,-88
Closure-127,32,17,-15
Closure-32,2,1,-1
Closure-119,-1,-1,0
Closure-73,2,1,-1
Closure-24,1,1,0
Closure-40,8,2,-6
Closure-120,3,592,589
Closure-4,1,1,0
Closure-91,523,189,-334
Closure-74,22,3,-19
Closure-109,2,59,57
Closure-106,3,2,-1
Closure-19,34,77,43
Closure-35,318,114,-204
Closure-78,343,11,-332
Closure-103,15,584,569
Closure-122,1,1,0
Closure-50,33,5,-28
Closure-29,272,25,-247
Closure-87,11,53,42
Closure-133,1,77,76
Closure-14,5,2,-3
Closure-81,8,4,-4
Closure-2,90,69,-21
Closure-49,8,112,104
Closure-107,10,4,-6
Closure-47,111,5,-106
Closure-126,2,1,-1
Closure-92,1,1,0
Closure-86,11,38,27
Closure-66,5,2,-3
Closure-75,199,78,-121
Closure-82,559,2817,2258
Closure-130,28,52,24
Closure-76,25,7,-18
Closure-123,161,137,-24
Closure-93,4,3,-1
Closure-5,2,1,-1
Closure-67,24,13,-11
Closure-16,68,185,117
Closure-3,57,41,-16
Closure-11,1,3,2
Closure-6,2,1,-1
Closure-121,248,22,-226
Closure-13,1533,2704,1171
Closure-23,153,38,-115
Closure-113,4,6,2
Closure-17,2,1,-1
Closure-124,12,62,50
Closure-108,28,18,-10
Closure-18,37,372,335
Closure-63,1,1,0
Closure-26,1737,82,-1655
Closure-31,36,243,207
Closure-61,29,86,57
Closure-77,129,12,-117
Closure-65,7,2,-5
Closure-132,70,111,41
Closure-60,215,54,-161
Closure-52,26,71,45
Closure-53,66,11,-55
Closure-51,1,1,0
Closure-58,74,89,15
Closure-97,538,52,-486
Closure-1,22,29,7
Closure-59,755,1482,727
Closure-22,2,1,-1
Closure-39,2,1,-1
Closure-100,1,10,9
Closure-56,4,29,25
Closure-28,-1,-1,0
Closure-114,42,12,-30
Closure-41,1031,499,-532
Closure-21,1,1,0
Closure-117,14,5,-9
Closure-96,2,24,22
Closure-43,172,223,51
Closure-68,40,4,-36
Closure-45,222,18,-204
Closure-37,56,551,495
Closure-83,3,1,-2
Closure-7,51,52,1
Closure-25,57,3,-54
Closure-85,16,10,-6
Closure-90,88,24,-64
Closure-89,23,9,-14
Closure-95,434,984,550
Closure-12,1,162,161
Closure-88,4,2,-2
Closure-64,255,700,445
Closure-101,521,1807,1286
Closure-118,845,83,-762
Closure-71,2,1,-1
Closure-99,11,3,-8
Closure-105,162,14,-148
Closure-44,62,130,68
Closure-62,1,1,0
Closure-94,417,16,-401
Closure-116,226,113,-113
Closure-84,12,5,-7
Closure-79,70,86,16
Closure-129,313,933,620
Closure-38,2,1,-1
Closure-15,536,116,-420
Closure-10,17,138,121
Closure-98,1,71,70
Closure-102,526,4169,3643
Closure-8,20,10,-10
