Project,now,before,Difference
Chart1,1,1,0
Chart2,32,34,2
Chart3,2,2,0
Chart4,125,192,67
Chart5,5,5,0
Chart6,97,96,-1
Chart7,31,28,-3
Chart8,2,3,1
Chart9,9,6,-3
Chart10,1,1,0
Chart11,2,2,0
Chart12,39,41,2
Chart13,1,1,0
Chart14,1,1,0
Chart15,3,8,5
Chart16,1,1,0
Chart17,1,1,0
Chart18,1,1,0
Chart19,1,1,0
Chart20,6,6,0
Chart21,3,3,0
Chart22,1,1,0
Chart24,1,1,0
Chart25,2,12,10
Chart26,1,1,0
Closure1,26,36,10
Closure2,83,86,3
Closure3,31,41,10
Closure4,1,1,0
Closure5,1,1,0
Closure6,1,1,0
Closure7,62,64,2
Closure8,2,3,1
Closure9,1,1,0
Closure10,209,222,13
Closure11,3,3,0
Closure12,287,332,45
Closure13,2239,2227,-12
Closure14,1,1,0
Closure15,79,108,29
Closure16,127,126,-1
Closure17,1,1,0
Closure18,466,506,40
Closure19,24,25,1
Closure20,37,36,-1
Closure21,1,1,0
Closure22,1,1,0
Closure23,7,7,0
Closure24,1,1,0
Closure25,37,32,-5
Closure26,21,15,-6
Closure27,5,5,0
Closure29,23,22,-1
Closure30,153,143,-10
Closure31,249,294,45
Closure32,1,1,0
Closure33,13,18,5
Closure34,3,2,-1
Closure35,85,75,-10
Closure36,48,53,5
Closure37,281,289,8
Closure38,1,1,0
Closure39,1,1,0
Closure40,1,1,0
Closure41,307,382,75
Closure42,1,3,2
Closure43,96,177,81
Closure44,146,154,8
Closure45,22,22,0
Closure46,1,1,0
Closure47,3,4,1
Closure48,1,2,1
Closure49,101,109,8
Closure50,4,3,-1
Closure51,1,1,0
Closure52,84,98,14
Closure53,53,53,0
Closure54,47,40,-7
Closure55,34,33,-1
Closure56,22,23,1
Closure57,43,40,-3
Closure58,8,44,36
Closure59,813,881,68
Closure60,46,70,24
Closure61,74,80,6
Closure62,1,1,0
Closure63,1,1,0
Closure64,530,604,74
Closure65,51,46,-5
Closure66,4,6,2
Closure67,3,8,5
Closure68,7,4,-3
Closure69,461,508,47
Closure70,1,1,0
Closure71,1,1,0
Closure72,210,207,-3
Closure73,1,1,0
Closure74,2,5,3
Closure75,21,24,3
Closure76,4,4,0
Closure77,10,5,-5
Closure78,15,9,-6
Closure79,66,101,35
Closure80,73,97,24
Closure81,3,3,0
Closure82,2224,2336,112
Closure83,1,1,0
Closure84,6,8,2
Closure85,1,5,4
Closure86,28,28,0
Closure87,81,78,-3
Closure88,1,1,0
Closure89,5,7,2
Closure90,20,19,-1
Closure91,137,133,-4
Closure92,1,2,1
Closure93,1,2,1
Closure94,20,19,-1
Closure95,1071,1070,-1
Closure96,42,51,9
Closure97,86,88,2
Closure98,31,70,39
Closure99,3,2,-1
Closure100,6,18,12
Closure101,1948,2030,82
Closure102,3532,4087,555
Closure103,599,657,58
Closure104,3,3,0
Closure105,17,14,-3
Closure106,2,2,0
Closure107,6,7,1
Closure108,20,20,0
Closure109,4,9,5
Closure110,21,17,-4
Closure111,75,90,15
Closure112,129,131,2
Closure113,2,3,1
Closure114,9,12,3
Closure115,3,3,0
Closure116,118,115,-3
Closure117,5,15,10
Closure118,57,51,-6
Closure120,597,702,105
Closure121,28,23,-5
Closure122,1,1,0
Closure123,123,138,15
Closure124,30,32,2
Closure125,34,50,16
Closure126,1,1,0
Closure127,14,14,0
Closure128,4,4,0
Closure129,611,637,26
Closure130,62,64,2
Closure131,9,9,0
Closure132,54,55,1
Closure133,63,68,5
Lang1,1,1,0
Lang2,13,15,2
Lang3,2,2,0
Lang4,2,1,-1
Lang5,1,1,0
Lang6,14,14,0
Lang7,10,10,0
Lang8,4,4,0
Lang9,46,41,-5
Lang10,28,31,3
Lang11,10,10,0
Lang12,3,7,4
Lang13,2,2,0
Lang14,1,1,0
Lang15,1,1,0
Lang16,20,16,-4
Lang17,13,13,0
Lang18,44,44,0
Lang19,2,1,-1
Lang20,1,1,0
Lang21,1,1,0
Lang22,1,1,0
Lang24,3,45,42
Lang26,1,1,0
Lang27,1,1,0
Lang28,2,2,0
Lang30,10,13,3
Lang31,1,2,1
Lang32,4,4,0
Lang33,1,1,0
Lang34,1,1,0
Lang35,2,2,0
Lang36,19,19,0
Lang37,1,2,1
Lang38,1,1,0
Lang39,4,5,1
Lang40,1,1,0
Lang41,5,5,0
Lang42,12,12,0
Lang43,13,12,-1
Lang44,14,13,-1
Lang45,22,22,0
Lang46,1,1,0
Lang47,3,3,0
Lang48,1,1,0
Lang49,1,1,0
Lang50,22,21,-1
Lang53,33,38,5
Lang54,2,2,0
Lang55,1,1,0
Lang57,1,1,0
Lang58,4,3,-1
Lang59,2,4,2
Lang60,1,1,0
Lang61,40,40,0
Lang62,4,4,0
Lang63,1,1,0
Lang64,1,1,0
Lang65,6,8,2
Math1,5,4,-1
Math2,16,16,0
Math3,10,11,1
Math4,9,9,0
Math5,2,2,0
Math6,100,133,33
Math7,1,2,1
Math8,1,1,0
Math9,4,4,0
Math10,16,15,-1
Math11,58,55,-3
Math13,43,53,10
Math14,50,52,2
Math15,18,22,4
Math16,1,1,0
Math17,48,80,32
Math18,41,35,-6
Math19,27,32,5
Math20,535,608,73
Math21,38,42,4
Math22,1,1,0
Math23,51,54,3
Math24,58,55,-3
Math25,1,2,1
Math26,2,5,3
Math27,1,1,0
Math28,7,9,2
Math29,5,7,2
Math30,2,4,2
Math31,22,40,18
Math32,10,13,3
Math33,3,3,0
Math34,1,1,0
Math35,5,5,0
Math36,3,4,1
Math37,11,10,-1
Math38,7,7,0
Math39,98,86,-12
Math40,2,2,0
Math41,16,14,-2
Math42,18,19,1
Math43,10,10,0
Math44,131,142,11
Math45,2,2,0
Math46,1,2,1
Math47,2,2,0
Math48,78,87,9
Math49,18,17,-1
Math50,1,1,0
Math51,1,8,7
Math52,2,2,0
Math53,1,1,0
Math54,18,12,-6
Math55,1,1,0
Math56,7,6,-1
Math57,9,10,1
Math58,294,307,13
Math59,2,1,-1
Math60,17,18,1
Math61,1,1,0
Math62,11,12,1
Math63,1,1,0
Math64,145,163,18
Math65,1,1,0
Math66,61,91,30
Math67,1,6,5
Math68,65,68,3
Math69,7,6,-1
Math70,1,1,0
Math71,27,36,9
Math72,1,1,0
Math73,4,4,0
Math74,554,591,37
Math75,2,3,1
Math76,59,55,-4
Math77,1,1,0
Math78,29,45,16
Math79,27,28,1
Math80,1,1,0
Math81,1,5,4
Math82,47,46,-1
Math83,1,1,0
Math84,1,1,0
Math85,20,22,2
Math86,14,15,1
Math87,36,36,0
Math88,1,1,0
Math89,1,1,0
Math90,3,3,0
Math91,1,2,1
Math92,1,1,0
Math93,2,2,0
Math94,9,9,0
Math95,4,4,0
Math96,2,2,0
Math97,1,1,0
Math98,3,7,4
Math99,2,2,0
Math100,4,5,1
Math101,7,6,-1
Math102,1,2,1
Math103,14,14,0
Math105,12,13,1
Math106,5,4,-1
Mockito1,9,17,8
Mockito2,3,3,0
Mockito3,1,1,0
Mockito4,1,1,0
Mockito6,23,21,-2
Mockito7,28,29,1
Mockito8,6,6,0
Mockito9,2,1,-1
Mockito10,8,14,6
Mockito11,1,1,0
Mockito12,7,7,0
Mockito13,32,34,2
Mockito14,8,9,1
Mockito15,101,102,1
Mockito16,2,4,2
Mockito17,1,2,1
Mockito18,15,15,0
Mockito19,16,10,-6
Mockito20,84,90,6
Mockito21,3,3,0
Mockito22,8,10,2
Mockito23,3,4,1
Mockito24,1,1,0
Mockito25,1,1,0
Mockito26,66,94,28
Mockito27,14,14,0
Mockito28,156,183,27
Mockito29,1,1,0
Mockito30,1,1,0
Mockito31,5,5,0
Mockito32,3,1,-2
Mockito33,91,93,2
Mockito34,2,2,0
Mockito35,1,1,0
Mockito36,4,4,0
Mockito37,7,7,0
Mockito38,3,3,0
Time1,11,13,2
Time2,3,3,0
Time3,1,1,0
Time4,4,6,2
Time5,12,17,5
Time6,6,8,2
Time7,23,20,-3
Time8,9,12,3
Time9,2,2,0
Time10,54,55,1
Time11,525,550,25
Time12,12,15,3
Time13,13,14,1
Time14,1,1,0
Time15,2,2,0
Time16,18,16,-2
Time17,9,11,2
Time18,24,23,-1
Time19,1,1,0
Time20,24,22,-2
Time21,2,1,-1
Time22,78,83,5
Time23,31,31,0
Time24,373,387,14
Time25,196,236,40
Time26,267,304,37
Time27,167,173,6
