Project,Statement,Rank1,Rank2,Difference
Chart1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797,2,1,-1
Chart2,org.jfree.data.general.DatasetUtilities#755,125,117,-8
Chart2,org.jfree.data.general.DatasetUtilities#757,50,51,1
Chart2,org.jfree.data.general.DatasetUtilities#1242,11,34,23
Chart2,org.jfree.data.general.DatasetUtilities#1243,89,73,-16
Chart3,org.jfree.data.time.TimeSeries#1056,41,2,-39
Chart3,org.jfree.data.time.TimeSeries#1057,11,4,-7
Chart4,org.jfree.chart.plot.XYPlot#4493,5,192,187
Chart5,org.jfree.data.xy.XYSeries#548,5,5,0
Chart6,org.jfree.chart.util.ShapeList#111,75,96,21
Chart7,org.jfree.data.time.TimePeriodValues#300,30,29,-1
Chart7,org.jfree.data.time.TimePeriodValues#302,97,28,-69
Chart8,org.jfree.data.time.Week#175,6,3,-3
Chart9,org.jfree.data.time.TimeSeries#944,40,6,-34
Chart10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#65,2,1,-1
Chart11,org.jfree.chart.util.ShapeUtilities#275,1,2,1
Chart12,org.jfree.chart.plot.MultiplePiePlot#145,27,41,14
Chart13,org.jfree.chart.block.BorderArrangement#454,101,1,-100
Chart14,org.jfree.chart.plot.XYPlot#2293,11,2,-9
Chart14,org.jfree.chart.plot.XYPlot#2529,13,4,-9
Chart14,org.jfree.chart.plot.CategoryPlot#2166,10,1,-9
Chart14,org.jfree.chart.plot.CategoryPlot#2448,15,3,-12
Chart15,org.jfree.chart.plot.PiePlot#2051,3,8,5
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#207,1,2,1
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#208,3,1,-2
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#338,23,23,0
Chart17,org.jfree.data.time.TimeSeries#857,1,1,0
Chart18,org.jfree.data.DefaultKeyedValues#318,2,1,-1
Chart18,org.jfree.data.DefaultKeyedValues#335,4,44,40
Chart18,org.jfree.data.DefaultKeyedValues2D#455,5,13,8
Chart18,org.jfree.data.DefaultKeyedValues2D#458,1,4,3
Chart18,org.jfree.data.DefaultKeyedValues2D#460,33,14,-19
Chart19,org.jfree.chart.plot.CategoryPlot#698,44,4,-40
Chart19,org.jfree.chart.plot.CategoryPlot#973,6,1,-5
Chart20,org.jfree.chart.plot.ValueMarker#95,5,6,1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#158,10,76,66
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#159,26,36,10
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#160,66,55,-11
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#162,56,70,14
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#163,64,37,-27
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#164,68,58,-10
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#167,22,32,10
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#168,55,53,-2
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#169,90,96,6
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#170,98,95,-3
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#172,39,13,-26
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#173,8,3,-5
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#174,9,6,-3
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#175,16,7,-9
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#178,50,30,-20
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#179,40,41,1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#180,36,33,-3
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#181,48,39,-9
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#183,35,10,-25
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#740,7,9,2
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#741,47,19,-28
Chart22,org.jfree.data.KeyedObjects2D#231,10,78,68
Chart22,org.jfree.data.KeyedObjects2D#233,49,58,9
Chart22,org.jfree.data.KeyedObjects2D#378,1,1,0
Chart22,org.jfree.data.KeyedObjects2D#345,34,30,-4
