Project,now,before,Difference
Lang-32,1,4,3
Lang-24,1,45,44
Lang-40,1,1,0
Lang-4,2,1,-1
Lang-19,1,1,0
Lang-35,1,2,1
Lang-50,31,21,-10
Lang-29,-1,-1,0
Lang-14,1,1,0
Lang-2,2,15,13
Lang-49,1,1,0
Lang-47,8,3,-5
Lang-5,1,1,0
Lang-16,56,16,-40
Lang-3,2,2,0
Lang-11,9,10,1
Lang-6,44,14,-30
Lang-13,1,2,1
Lang-23,-1,-1,0
Lang-17,2,13,11
Lang-18,81,44,-37
Lang-63,2,1,-1
Lang-26,1,1,0
Lang-31,1,2,1
Lang-61,7,40,33
Lang-65,2,8,6
Lang-60,2,1,-1
Lang-52,-1,-1,0
Lang-53,3,38,35
Lang-51,-1,-1,0
Lang-58,26,3,-23
Lang-1,1,1,0
Lang-59,1,4,3
Lang-22,3,1,-2
Lang-39,4,5,1
Lang-56,-1,-1,0
Lang-28,1,2,1
Lang-41,4,5,1
Lang-21,2,1,-1
Lang-43,14,12,-2
Lang-45,18,22,4
Lang-37,1,2,1
Lang-7,4,10,6
Lang-25,-1,-1,0
Lang-12,1,7,6
Lang-64,4,1,-3
Lang-44,10,13,3
Lang-62,11,4,-7
Lang-38,5,1,-4
Lang-15,1,1,0
Lang-10,26,31,5
Lang-8,18,4,-14
Lang-36,40,19,-21
Lang-33,1,1,0
Lang-34,3,1,-2
Lang-46,1,1,0
Lang-55,1,1,0
Lang-20,1,1,0
Lang-42,18,12,-6
Lang-48,2,1,-1
Lang-30,2,13,11
Lang-9,102,41,-61
Lang-57,1,1,0
Lang-54,3,2,-1
Lang-27,6,1,-5
Time-24,280,387,107
Time-4,4,6,2
Time-19,1,1,0
Time-14,2,1,-1
Time-2,48,3,-45
Time-5,17,17,0
Time-16,187,16,-171
Time-3,3,1,-2
Time-11,202,550,348
Time-6,15,8,-7
Time-13,82,14,-68
Time-23,91,31,-60
Time-17,13,11,-2
Time-18,61,23,-38
Time-26,45,304,259
Time-1,7,13,6
