Project,MinRank1,MinRank2,Difference
Chart1,2,1,-1
Chart2,11,34,23
Chart3,11,2,-9
Chart4,5,192,187
Chart5,5,5,0
Chart6,75,96,21
Chart7,30,28,-2
Chart8,6,3,-3
Chart9,40,6,-34
Chart10,2,1,-1
Chart11,1,2,1
Chart12,27,41,14
Chart13,101,1,-100
Chart14,10,1,-9
Chart15,3,8,5
Chart16,1,1,0
Chart17,1,1,0
Chart18,1,1,0
Chart19,6,1,-5
Chart20,5,6,1
Chart21,7,3,-4
Chart22,1,1,0
Chart24,1,1,0
Chart25,1,12,11
Chart26,2,1,-1
Closure1,18,36,18
Closure2,88,86,-2
Closure3,10,41,31
Closure4,1,1,0
Closure5,6,1,-5
Closure6,6,1,-5
Closure7,85,64,-21
Closure8,8,3,-5
Closure9,2,1,-1
Closure10,91,222,131
Closure11,22,3,-19
Closure12,69,332,263
Closure13,1467,2227,760
Closure14,1,1,0
Closure15,30,108,78
Closure16,188,126,-62
Closure17,3,1,-2
Closure18,182,506,324
Closure19,14,25,11
Closure20,307,36,-271
Closure21,1,1,0
Closure22,1,1,0
Closure23,388,7,-381
Closure24,7,1,-6
Closure25,64,32,-32
Closure26,58,15,-43
Closure27,3,5,2
Closure29,80,22,-58
Closure30,122,143,21
Closure31,74,294,220
Closure32,31,1,-30
Closure33,16,18,2
Closure34,27,2,-25
Closure35,506,75,-431
Closure36,35,53,18
Closure37,126,289,163
Closure38,16,1,-15
Closure39,11,1,-10
Closure40,13,1,-12
Closure41,83,382,299
Closure42,8,3,-5
Closure43,6,177,171
Closure44,56,154,98
Closure45,38,22,-16
Closure46,4,1,-3
Closure47,2,4,2
Closure48,1,2,1
Closure49,139,109,-30
Closure50,61,3,-58
Closure51,2,1,-1
Closure52,30,98,68
Closure53,93,53,-40
Closure54,317,40,-277
Closure55,52,33,-19
Closure56,3,23,20
Closure57,119,40,-79
Closure58,3,44,41
Closure59,463,881,418
Closure60,73,70,-3
Closure61,81,80,-1
Closure62,1,1,0
Closure63,1,1,0
Closure64,134,604,470
Closure65,92,46,-46
Closure66,26,6,-20
Closure67,1,8,7
Closure68,27,4,-23
Closure69,163,508,345
Closure70,10,1,-9
Closure71,3,1,-2
Closure72,207,207,0
Closure73,37,1,-36
Closure74,1,5,4
Closure75,18,24,6
Closure76,22,4,-18
Closure77,73,5,-68
Closure78,1188,9,-1179
Closure79,5,101,96
Closure80,6,97,91
Closure81,7,3,-4
Closure82,982,2336,1354
Closure83,1,1,0
Closure84,5,8,3
Closure85,2,5,3
