Project,now,before,Difference
Chart1,2,1,-1
Chart2,7,26,19
Chart3,5,2,-3
Chart4,2,137,135
Chart5,8,9,1
Chart6,90,99,9
Chart7,40,26,-14
Chart8,7,5,-2
Chart9,12,11,-1
Chart10,1,1,0
Chart11,1,1,0
Chart12,232,243,11
Chart13,3,2,-1
Chart14,4,2,-2
Chart15,1,4,3
Chart16,1,1,0
Chart17,1,1,0
Chart18,1,1,0
Chart19,3,2,-1
Chart20,48,57,9
Chart21,4,5,1
Chart22,1,2,1
Chart24,1,2,1
Chart25,147,729,582
Chart26,763,1533,770
Closure1,938,867,-71
Closure2,318,367,49
Closure3,266,260,-6
Closure4,1101,1099,-2
Closure5,685,647,-38
Closure6,1189,1205,16
Closure7,366,503,137
Closure8,208,168,-40
Closure9,1,1,0
Closure10,11,30,19
Closure11,772,893,121
Closure12,208,550,342
Closure13,1531,1576,45
Closure14,1,1,0
Closure15,1070,955,-115
Closure16,774,763,-11
Closure17,1,1,0
Closure18,10,41,31
Closure19,472,848,376
Closure20,1218,1129,-89
Closure21,478,478,0
Closure22,583,503,-80
Closure23,80,65,-15
Closure24,322,422,100
Closure25,3,26,23
Closure26,1383,1588,205
Closure27,2,5,3
Closure29,1396,1323,-73
Closure30,264,484,220
Closure31,3,41,38
Closure32,1,1,0
Closure33,1403,1305,-98
Closure34,13,2,-11
Closure35,145,144,-1
Closure36,1855,1657,-198
Closure37,719,783,64
Closure38,29,22,-7
Closure39,144,102,-42
Closure40,496,408,-88
Closure41,183,189,6
Closure42,85,140,55
Closure43,315,617,302
Closure44,93,63,-30
Closure45,523,471,-52
Closure46,1,3,2
Closure47,1093,1065,-28
Closure48,1,1,0
Closure49,404,560,156
Closure50,28,48,20
Closure51,1,1,0
Closure52,66,47,-19
Closure53,174,181,7
Closure54,39,29,-10
Closure55,900,963,63
Closure56,1,15,14
Closure57,25,9,-16
Closure58,63,380,317
Closure59,961,1100,139
Closure60,1100,1537,437
Closure61,48,73,25
Closure62,26,45,19
Closure63,27,57,30
Closure64,12,76,64
Closure65,34,22,-12
Closure66,141,140,-1
Closure67,1,1,0
Closure68,14,13,-1
Closure69,58,111,53
Closure70,2,1,-1
Closure71,337,372,35
Closure72,1142,1142,0
Closure73,1,1,0
Closure74,82,39,-43
Closure75,141,191,50
Closure76,1,89,88
Closure77,20,17,-3
Closure78,603,597,-6
Closure79,396,963,567
Closure80,2,141,139
Closure81,4,8,4
Closure82,556,515,-41
Closure83,1,1,0
Closure84,3,9,6
Closure85,180,168,-12
Closure86,1,1,0
Closure87,84,147,63
Closure88,537,525,-12
Closure89,2,1,-1
Closure90,337,440,103
Closure91,922,806,-116
Closure92,3,89,86
Closure93,2,74,72
Closure94,857,857,0
Closure95,178,214,36
Closure96,2,7,5
Closure97,624,710,86
Closure98,1,119,118
Closure99,233,281,48
Closure100,240,747,507
Closure101,315,674,359
Closure102,553,1276,723
Closure103,31,85,54
Closure104,32,115,83
Closure105,17,12,-5
Closure106,447,561,114
Closure107,515,601,86
Closure108,85,277,192
Closure109,1,17,16
Closure110,295,287,-8
Closure111,669,746,77
Closure112,513,506,-7
Closure113,515,676,161
Closure114,422,343,-79
Closure115,209,209,0
Closure116,21,49,28
Closure117,6,6,0
Closure118,1114,1126,12
Closure119,536,522,-14
Closure120,128,187,59
Closure121,965,907,-58
Closure122,305,380,75
Closure123,323,372,49
Closure124,444,417,-27
Closure125,7,4,-3
Closure126,949,941,-8
Closure127,163,114,-49
Closure128,2,1,-1
Closure129,1427,1560,133
Closure130,1072,1271,199
Closure131,887,1069,182
Closure132,935,972,37
Closure133,38,38,0
Lang1,1,2,1
Lang2,13,18,5
Lang3,1,2,1
Lang4,2,2,0
Lang5,1,1,0
Lang6,17,16,-1
Lang7,9,6,-3
Lang8,1,2,1
Lang9,37,31,-6
Lang10,44,35,-9
Lang11,7,6,-1
Lang12,2,2,0
Lang13,1,1,0
Lang14,1,1,0
Lang15,1,1,0
Lang16,25,22,-3
Lang17,6,5,-1
Lang18,102,91,-11
Lang19,2,2,0
Lang20,1,1,0
Lang21,2,1,-1
Lang22,1,1,0
Lang24,1,40,39
