Project,Statement,Rank1,Rank2,Difference
Chart1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797,2,1,-1
Chart2,org.jfree.data.general.DatasetUtilities#755,71,65,-6
Chart2,org.jfree.data.general.DatasetUtilities#757,18,26,8
Chart2,org.jfree.data.general.DatasetUtilities#1242,7,31,24
Chart2,org.jfree.data.general.DatasetUtilities#1243,66,56,-10
Chart3,org.jfree.data.time.TimeSeries#1056,8,2,-6
Chart3,org.jfree.data.time.TimeSeries#1057,5,3,-2
Chart4,org.jfree.chart.plot.XYPlot#4493,2,137,135
Chart5,org.jfree.data.xy.XYSeries#548,8,9,1
Chart6,org.jfree.chart.util.ShapeList#111,90,99,9
Chart7,org.jfree.data.time.TimePeriodValues#300,45,39,-6
Chart7,org.jfree.data.time.TimePeriodValues#302,40,26,-14
Chart8,org.jfree.data.time.Week#175,7,5,-2
Chart9,org.jfree.data.time.TimeSeries#944,12,11,-1
Chart10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#65,1,1,0
Chart11,org.jfree.chart.util.ShapeUtilities#275,1,1,0
Chart12,org.jfree.chart.plot.MultiplePiePlot#145,232,243,11
Chart13,org.jfree.chart.block.BorderArrangement#454,3,2,-1
Chart14,org.jfree.chart.plot.XYPlot#2293,4,4,0
Chart14,org.jfree.chart.plot.XYPlot#2529,5,2,-3
Chart15,org.jfree.chart.plot.PiePlot#2051,1,4,3
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#207,19,17,-2
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#208,1,1,0
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#338,3,3,0
Chart17,org.jfree.data.time.TimeSeries#857,1,1,0
Chart18,org.jfree.data.DefaultKeyedValues#318,1,1,0
Chart18,org.jfree.data.DefaultKeyedValues#335,4,16,12
Chart19,org.jfree.chart.plot.CategoryPlot#698,14,2,-12
Chart19,org.jfree.chart.plot.CategoryPlot#973,3,3,0
Chart20,org.jfree.chart.plot.ValueMarker#95,48,57,9
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#158,14,66,52
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#159,26,25,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#160,40,36,-4
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#162,65,68,3
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#163,32,26,-6
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#164,57,47,-10
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#167,22,24,2
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#168,50,51,1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#169,83,85,2
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#170,89,84,-5
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#172,82,80,-2
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#173,105,109,4
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#174,25,21,-4
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#175,27,20,-7
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#178,28,22,-6
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#179,39,41,2
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#180,30,32,2
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#181,37,35,-2
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#183,8,5,-3
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#186,67,64,-3
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#187,71,74,3
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#740,4,6,2
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#741,19,15,-4
Chart22,org.jfree.data.KeyedObjects2D#231,11,62,51
Chart22,org.jfree.data.KeyedObjects2D#233,56,55,-1
Chart22,org.jfree.data.KeyedObjects2D#378,1,2,1
Chart22,org.jfree.data.KeyedObjects2D#345,32,33,1
Chart24,org.jfree.chart.renderer.GrayPaintScale#126,1,2,1
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#260,636,729,93
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#315,155,1227,1072
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#459,147,1090,943
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#404,835,852,17
Chart26,org.jfree.chart.axis.Axis#1192,763,1533,770
Closure1,com.google.javascript.jscomp.RemoveUnusedVars#380,938,867,-71
Closure2,com.google.javascript.jscomp.TypeCheck#1574,318,367,49
Closure3,com.google.javascript.jscomp.FlowSensitiveInlineVariables#155,595,599,4
Closure3,com.google.javascript.jscomp.FlowSensitiveInlineVariables#280,1330,1343,13
Closure3,com.google.javascript.jscomp.FlowSensitiveInlineVariables#376,266,260,-6
Closure4,com.google.javascript.rhino.jstype.NamedType#190,1165,1391,226
Closure4,com.google.javascript.rhino.jstype.NamedType#202,1101,1099,-2
Closure5,com.google.javascript.jscomp.InlineObjectLiterals#169,1014,921,-93
Closure5,com.google.javascript.jscomp.InlineObjectLiterals#185,685,647,-38
