Project,now,before,Difference
Chart5,1,1,0
Chart10,1,1,0
Chart12,19,16,-3
Chart18,2,2,0
Chart20,3,3,0
Chart21,3,3,0
Chart22,6,7,1
Chart25,22,23,1
Chart26,11,19,8
Closure6,25,31,6
Closure11,25,30,5
Closure15,2,4,2
Closure16,1,1,0
Closure18,8,11,3
Closure19,18,27,9
Closure20,14,9,-5
Closure21,8,7,-1
Closure22,6,5,-1
Closure24,3,6,3
Closure30,1,1,0
Closure33,1,2,1
Closure35,21,16,-5
Closure39,19,22,3
Closure46,7,4,-3
Closure49,1,2,1
Closure50,5,5,0
Closure51,2,3,1
Closure58,16,15,-1
Closure76,14,15,1
Closure77,19,15,-4
Closure81,20,21,1
Closure83,7,5,-2
Closure85,3,3,0
Closure90,23,39,16
Closure91,6,5,-1
Closure99,1,1,0
Closure101,12,43,31
Closure102,2,2,0
Closure103,14,24,10
Closure106,2,2,0
Closure110,6,6,0
Closure112,28,28,0
Closure115,14,14,0
Closure116,36,36,0
Closure124,10,9,-1
Closure126,22,21,-1
Closure131,13,13,0
Lang3,3,4,1
Lang4,5,5,0
Lang5,4,4,0
Lang10,8,7,-1
Lang11,2,3,1
Lang12,1,1,0
Lang17,3,3,0
Lang19,1,3,2
Lang24,2,4,2
Lang28,1,2,1
Lang30,2,2,0
Lang33,8,7,-1
Lang50,3,3,0
Lang54,1,1,0
Lang55,1,1,0
Lang59,1,1,0
Lang63,7,8,1
Lang65,1,2,1
Math7,11,11,0
Math9,3,3,0
Math14,7,7,0
Math16,1,1,0
Math21,2,1,-1
Math26,2,3,1
Math29,3,4,1
Math31,1,1,0
Math37,6,5,-1
Math39,2,1,-1
Math44,4,6,2
Math50,10,12,2
Math51,8,8,0
Math53,1,1,0
Math56,1,1,0
Math57,3,4,1
Math60,1,1,0
Math62,7,7,0
Math65,13,16,3
Math66,5,7,2
Math68,10,23,13
Math74,5,4,-1
Math76,1,1,0
Math78,3,3,0
Math80,19,21,2
Math85,8,8,0
Math87,1,1,0
Math88,2,3,1
Math90,2,2,0
Math92,1,1,0
Math94,2,2,0
Math95,2,2,0
Math102,8,7,-1
Math103,3,3,0
Mockito2,5,5,0
Mockito3,6,5,-1
Mockito8,2,2,0
Mockito9,3,4,1
Mockito11,1,1,0
Mockito12,8,9,1
Mockito14,8,11,3
Mockito15,3,3,0
Mockito20,6,5,-1
Mockito21,5,4,-1
Mockito22,5,7,2
Mockito23,4,4,0
Mockito25,1,2,1
Mockito28,8,8,0
Mockito30,2,3,1
Mockito31,3,3,0
Mockito35,2,2,0
Mockito37,5,3,-2
Mockito38,4,6,2
Time3,11,11,0
Time4,16,19,3
Time5,1,1,0
Time9,6,7,1
Time10,1,1,0
Time11,10,15,5
Time17,21,20,-1
Time18,9,19,10
Time21,1,1,0
Time23,2,2,0
Time24,20,20,0
Time26,19,20,1
