Project,Statement,Rank1,Rank2,Difference
Chart1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797,291,-1,-1
Chart2,org.jfree.data.general.DatasetUtilities#755,151,-1,-1
Chart2,org.jfree.data.general.DatasetUtilities#757,131,-1,-1
Chart2,org.jfree.data.general.DatasetUtilities#1242,161,-1,-1
Chart2,org.jfree.data.general.DatasetUtilities#1243,147,-1,-1
Chart3,org.jfree.data.time.TimeSeries#1056,133,-1,-1
Chart3,org.jfree.data.time.TimeSeries#1057,8,-1,-1
Chart4,org.jfree.chart.plot.XYPlot#4493,1719,-1,-1
Chart5,org.jfree.data.xy.XYSeries#548,1,1,0
Chart6,org.jfree.chart.util.ShapeList#111,77,-1,-1
Chart7,org.jfree.data.time.TimePeriodValues#300,13,-1,-1
Chart7,org.jfree.data.time.TimePeriodValues#302,36,-1,-1
Chart8,org.jfree.data.time.Week#175,44,-1,-1
Chart9,org.jfree.data.time.TimeSeries#944,137,-1,-1
Chart10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#65,2,1,-1
Chart11,org.jfree.chart.util.ShapeUtilities#275,12,-1,-1
Chart12,org.jfree.chart.plot.MultiplePiePlot#145,2,16,14
Chart13,org.jfree.chart.block.BorderArrangement#454,29,-1,-1
Chart14,org.jfree.chart.plot.XYPlot#2293,205,-1,-1
Chart14,org.jfree.chart.plot.XYPlot#2529,242,-1,-1
Chart14,org.jfree.chart.plot.CategoryPlot#2166,492,-1,-1
Chart14,org.jfree.chart.plot.CategoryPlot#2448,59,-1,-1
Chart15,org.jfree.chart.plot.PiePlot#2051,510,-1,-1
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#207,23,-1,-1
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#208,47,-1,-1
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#338,15,-1,-1
Chart17,org.jfree.data.time.TimeSeries#857,79,-1,-1
Chart18,org.jfree.data.DefaultKeyedValues#318,1,2,1
Chart18,org.jfree.data.DefaultKeyedValues#335,4,6,2
Chart18,org.jfree.data.DefaultKeyedValues2D#455,76,-1,-1
Chart18,org.jfree.data.DefaultKeyedValues2D#458,31,-1,-1
Chart18,org.jfree.data.DefaultKeyedValues2D#460,63,-1,-1
Chart19,org.jfree.chart.plot.CategoryPlot#698,48,-1,-1
Chart19,org.jfree.chart.plot.CategoryPlot#973,427,-1,-1
Chart20,org.jfree.chart.plot.ValueMarker#95,1,3,2
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#158,99,-1,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#159,102,-1,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#160,97,-1,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#162,121,-1,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#163,66,-1,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#164,100,-1,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#167,95,-1,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#168,67,-1,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#169,8,-1,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#170,123,-1,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#172,28,-1,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#173,73,-1,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#174,19,-1,-1
