Project,MinRank1,MinRank2,Difference
Chart1,291,-1,-1
Chart2,131,-1,-1
Chart3,8,-1,-1
Chart4,1719,-1,-1
Chart5,1,1,0
Chart6,77,-1,-1
Chart7,13,-1,-1
Chart8,44,-1,-1
Chart9,137,-1,-1
Chart10,2,1,-1
Chart11,12,-1,-1
Chart12,2,16,14
Chart13,29,-1,-1
Chart14,59,-1,-1
Chart15,510,-1,-1
Chart16,15,-1,-1
Chart17,79,-1,-1
Chart18,1,2,1
Chart19,48,-1,-1
Chart20,1,3,2
Chart21,1,3,2
Chart22,4,7,3
Chart24,8,-1,-1
Chart25,9,23,14
Chart26,7,19,12
Closure1,4019,-1,-1
Closure2,4029,-1,-1
Closure3,1062,-1,-1
Closure4,1727,-1,-1
Closure5,243,-1,-1
Closure6,3,31,28
Closure7,1352,-1,-1
Closure8,2806,-1,-1
Closure9,6,-1,-1
Closure10,3354,-1,-1
Closure11,8,30,22
Closure12,952,-1,-1
Closure13,4484,-1,-1
Closure14,1128,-1,-1
Closure15,2,4,2
Closure16,1,1,0
Closure17,2047,-1,-1
Closure18,5,11,6
Closure19,3,27,24
Closure20,2,9,7
Closure21,3,7,4
Closure22,3,5,2
Closure23,1711,-1,-1
Closure24,3,6,3
Closure25,54,-1,-1
Closure26,790,-1,-1
Closure27,56,-1,-1
Closure29,581,-1,-1
Closure30,1,1,0
Closure31,1840,-1,-1
Closure32,922,-1,-1
Closure33,1,2,1
Closure34,178,-1,-1
Closure35,9,16,7
Closure36,4613,-1,-1
Closure37,79,-1,-1
Closure38,520,-1,-1
Closure39,12,22,10
Closure40,772,-1,-1
Closure41,4806,-1,-1
Closure42,850,-1,-1
Closure43,639,-1,-1
Closure44,2342,-1,-1
Closure45,186,-1,-1
Closure46,8,4,-4
Closure47,546,-1,-1
Closure48,2218,-1,-1
Closure49,1,2,1
Closure50,2,5,3
Closure51,1,3,2
Closure52,338,-1,-1
Closure53,1786,-1,-1
Closure54,2425,-1,-1
Closure55,764,-1,-1
Closure56,75,-1,-1
Closure57,2154,-1,-1
Closure58,18,15,-3
Closure59,5210,-1,-1
Closure60,3815,-1,-1
Closure61,357,-1,-1
Closure62,68,-1,-1
Closure63,68,-1,-1
Closure64,2397,-1,-1
Closure65,221,-1,-1
Closure66,680,-1,-1
Closure67,1717,-1,-1
Closure68,733,-1,-1
Closure69,1850,-1,-1
Closure70,3855,-1,-1
Closure71,4122,-1,-1
Closure72,1559,-1,-1
Closure73,1559,-1,-1
Closure74,1820,-1,-1
Closure75,206,-1,-1
Closure76,8,15,7
Closure77,13,15,2
Closure78,712,-1,-1
Closure79,713,-1,-1
Closure80,844,-1,-1
Closure81,10,21,11
Closure82,1369,-1,-1
Closure83,5,5,0
Closure84,882,-1,-1
Closure85,6,3,-3
Closure86,5134,-1,-1
Closure87,149,-1,-1
Closure88,651,-1,-1
Closure89,1445,-1,-1
Closure90,39,39,0
Closure91,2,5,3
Closure92,2236,-1,-1
Closure93,2236,-1,-1
