Project,now,before,Difference
Chart1,1,1,0
Chart2,35,38,3
Chart3,4,3,-1
Chart4,9,153,144
Chart5,9,8,-1
Chart6,81,94,13
Chart7,58,31,-27
Chart8,6,7,1
Chart9,13,8,-5
Chart10,1,1,0
Chart11,1,1,0
Chart12,24,36,12
Chart13,7,1,-6
Chart14,9,1,-8
Chart15,5,19,14
Chart16,1,1,0
Chart17,1,1,0
Chart18,1,2,1
Chart19,5,1,-4
Chart20,9,6,-3
Chart21,5,3,-2
Chart22,1,2,1
Chart24,1,1,0
Chart25,1,3,2
Chart26,2,1,-1
Closure1,15,37,22
Closure2,92,96,4
Closure3,10,42,32
Closure4,1,1,0
Closure5,2,1,-1
Closure6,5,1,-4
Closure7,93,93,0
Closure8,7,3,-4
Closure9,2,1,-1
Closure10,107,195,88
Closure11,10,3,-7
Closure12,97,199,102
Closure13,2604,3272,668
Closure14,2,1,-1
Closure15,41,66,25
Closure16,207,137,-70
Closure17,3,1,-2
Closure18,87,205,118
Closure19,25,27,2
Closure20,158,53,-105
Closure21,1,1,0
Closure22,1,1,0
Closure23,151,71,-80
Closure24,3,1,-2
Closure25,50,20,-30
Closure26,64,17,-47
Closure27,3,5,2
Closure29,58,20,-38
Closure30,222,163,-59
Closure31,90,235,145
Closure32,8,1,-7
Closure33,14,19,5
Closure34,7,1,-6
Closure35,319,143,-176
Closure36,69,64,-5
Closure37,291,346,55
Closure38,1,1,0
Closure39,11,5,-6
Closure40,8,1,-7
Closure41,213,571,358
Closure42,7,6,-1
Closure43,6,168,162
Closure44,66,130,64
Closure45,44,30,-14
Closure46,2,1,-1
Closure47,3,5,2
Closure48,1,2,1
Closure49,25,6,-19
Closure50,11,3,-8
Closure51,2,1,-1
Closure52,24,73,49
Closure53,85,67,-18
Closure54,210,72,-138
Closure55,24,36,12
Closure56,3,25,22
Closure57,59,34,-25
Closure58,3,42,39
Closure59,1532,1687,155
Closure60,65,53,-12
Closure61,59,41,-18
Closure62,1,1,0
Closure63,1,1,0
Closure64,102,410,308
Closure65,52,29,-23
Closure66,10,4,-6
Closure67,1,8,7
Closure68,28,7,-21
Closure69,255,482,227
Closure70,2,1,-1
Closure71,3,1,-2
Closure72,185,210,25
Closure73,3,1,-2
Closure74,1,1,0
Closure75,32,42,10
Closure76,18,6,-12
Closure77,57,29,-28
Closure78,125,21,-104
Closure79,12,111,99
Closure80,21,150,129
Closure81,7,12,5
Closure82,1021,1825,804
Closure83,1,1,0
Closure84,5,17,12
Closure85,2,8,6
Closure86,9,1,-8
Closure87,115,55,-60
Closure88,14,1,-13
Closure89,7,10,3
Closure90,57,34,-23
Closure91,261,165,-96
Closure92,1,1,0
Closure93,1,1,0
Closure94,51,26,-25
Closure95,1154,1154,0
Closure96,20,63,43
Closure97,103,69,-34
Closure98,6,47,41
Closure99,11,4,-7
Closure100,1,7,6
Closure101,1066,1850,784
Closure102,803,3413,2610
Closure103,300,569,269
Closure104,2,3,1
Closure105,41,38,-3
Closure106,1,2,1
Closure107,5,4,-1
Closure108,12,19,7
Closure109,1,19,18
Closure110,88,33,-55
Closure111,73,134,61
Closure112,185,139,-46
Closure113,2,3,1
Closure114,5,12,7
Closure115,17,3,-14
Closure116,104,84,-20
Closure117,4,3,-1
Closure118,140,49,-91
Closure120,209,552,343
Closure121,75,28,-47
Closure122,1,1,0
Closure123,47,112,65
Closure124,7,37,30
Closure125,14,50,36
Closure126,7,1,-6
Closure127,37,15,-22
Closure128,8,4,-4
Closure129,605,612,7
Closure130,20,59,39
Closure131,17,7,-10
Closure132,85,71,-14
Closure133,40,64,24
Lang1,1,1,0
Lang2,2,16,14
Lang3,2,2,0
Lang4,3,1,-2
Lang5,1,1,0
Lang6,24,16,-8
Lang7,7,10,3
Lang8,4,1,-3
Lang9,64,47,-17
Lang10,46,35,-11
Lang11,9,8,-1
Lang12,2,2,0
Lang13,1,2,1
Lang14,1,1,0
Lang15,1,1,0
Lang16,51,33,-18
Lang17,12,13,1
Lang18,64,43,-21
Lang19,2,2,0
Lang20,1,1,0
Lang21,2,1,-1
Lang22,1,1,0
Lang24,1,40,39
Lang26,1,5,4
Lang27,3,1,-2
Lang28,1,3,2
Lang30,7,9,2
Lang31,1,1,0
Lang32,1,6,5
Lang33,1,1,0
Lang34,2,1,-1
Lang35,1,3,2
Lang36,36,35,-1
Lang37,1,1,0
