Project,Statement,Rank1,Rank2,Difference
Chart1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797,2,1,-1
Chart2,org.jfree.data.general.DatasetUtilities#755,109,97,-12
Chart2,org.jfree.data.general.DatasetUtilities#757,34,38,4
Chart2,org.jfree.data.general.DatasetUtilities#1242,18,49,31
Chart2,org.jfree.data.general.DatasetUtilities#1243,80,60,-20
Chart3,org.jfree.data.time.TimeSeries#1056,41,3,-38
Chart3,org.jfree.data.time.TimeSeries#1057,9,4,-5
Chart4,org.jfree.chart.plot.XYPlot#4493,5,153,148
Chart5,org.jfree.data.xy.XYSeries#548,6,8,2
Chart6,org.jfree.chart.util.ShapeList#111,67,94,27
Chart7,org.jfree.data.time.TimePeriodValues#300,47,46,-1
Chart7,org.jfree.data.time.TimePeriodValues#302,99,31,-68
Chart8,org.jfree.data.time.Week#175,6,7,1
Chart9,org.jfree.data.time.TimeSeries#944,59,8,-51
Chart10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#65,2,1,-1
Chart11,org.jfree.chart.util.ShapeUtilities#275,1,1,0
Chart12,org.jfree.chart.plot.MultiplePiePlot#145,16,36,20
Chart13,org.jfree.chart.block.BorderArrangement#454,124,1,-123
Chart14,org.jfree.chart.plot.XYPlot#2293,11,2,-9
Chart14,org.jfree.chart.plot.XYPlot#2529,13,4,-9
Chart14,org.jfree.chart.plot.CategoryPlot#2166,10,1,-9
Chart14,org.jfree.chart.plot.CategoryPlot#2448,15,3,-12
Chart15,org.jfree.chart.plot.PiePlot#2051,5,19,14
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#207,1,2,1
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#208,2,1,-1
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#338,20,22,2
Chart17,org.jfree.data.time.TimeSeries#857,1,1,0
Chart18,org.jfree.data.DefaultKeyedValues#318,2,2,0
Chart18,org.jfree.data.DefaultKeyedValues#335,5,52,47
Chart18,org.jfree.data.DefaultKeyedValues2D#455,4,12,8
Chart18,org.jfree.data.DefaultKeyedValues2D#458,1,4,3
Chart18,org.jfree.data.DefaultKeyedValues2D#460,31,14,-17
Chart19,org.jfree.chart.plot.CategoryPlot#698,56,10,-46
Chart19,org.jfree.chart.plot.CategoryPlot#973,7,1,-6
Chart20,org.jfree.chart.plot.ValueMarker#95,8,6,-2
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#158,12,71,59
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#159,28,34,6
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#160,58,41,-17
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#162,65,74,9
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#163,61,33,-28
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#164,66,53,-13
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#167,24,31,7
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#168,54,46,-8
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#169,86,93,7
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#170,87,86,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#172,38,17,-21
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#173,8,3,-5
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#174,10,8,-2
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#175,20,7,-13
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#178,46,29,-17
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#179,45,45,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#180,36,38,2
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#181,49,37,-12
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#183,31,9,-22
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#740,7,10,3
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#741,42,16,-26
Chart22,org.jfree.data.KeyedObjects2D#231,10,75,65
Chart22,org.jfree.data.KeyedObjects2D#233,51,69,18
Chart22,org.jfree.data.KeyedObjects2D#378,1,2,1
Chart22,org.jfree.data.KeyedObjects2D#345,37,35,-2
Chart24,org.jfree.chart.renderer.GrayPaintScale#126,1,1,0
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#260,202,200,-2
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#315,1,3,2
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#459,3,199,196
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#404,1834,2005,171
Chart26,org.jfree.chart.axis.Axis#1192,3,1,-2
Closure1,com.google.javascript.jscomp.RemoveUnusedVars#380,16,37,21
Closure2,com.google.javascript.jscomp.TypeCheck#1574,105,96,-9
Closure3,com.google.javascript.jscomp.FlowSensitiveInlineVariables#155,11,42,31
Closure3,com.google.javascript.jscomp.FlowSensitiveInlineVariables#376,145,47,-98
Closure4,com.google.javascript.rhino.jstype.NamedType#190,1,1,0
Closure5,com.google.javascript.jscomp.InlineObjectLiterals#169,191,4,-187
Closure5,com.google.javascript.jscomp.InlineObjectLiterals#185,6,1,-5
Closure6,com.google.javascript.jscomp.TypeValidator#366,36,1,-35
Closure6,com.google.javascript.jscomp.TypeValidator#367,7,83,76
Closure6,com.google.javascript.jscomp.TypeValidator#405,1484,3,-1481
Closure6,com.google.javascript.jscomp.TypeValidator#406,1576,96,-1480
Closure7,com.google.javascript.jscomp.type.ChainableReverseAbstractInterpreter#613,92,93,1
Closure8,com.google.javascript.jscomp.CollapseVariableDeclarations#202,10,3,-7
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#120,2,3,1
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#121,28,1,-27
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#124,3,10,7
Closure10,com.google.javascript.jscomp.NodeUtil#1417,78,195,117
Closure11,com.google.javascript.jscomp.TypeCheck#1314,22,3,-19
Closure11,com.google.javascript.jscomp.TypeCheck#1315,270,1462,1192
Closure12,com.google.javascript.jscomp.MaybeReachingVariableUse#160,49,199,150
Closure13,com.google.javascript.jscomp.PeepholeOptimizationsPass#126,1893,3272,1379
Closure13,com.google.javascript.jscomp.PeepholeOptimizationsPass#128,5159,5987,828
Closure13,com.google.javascript.jscomp.PeepholeOptimizationsPass#127,2763,3296,533
Closure14,com.google.javascript.jscomp.ControlFlowAnalysis#767,1,1,0
Closure15,com.google.javascript.jscomp.FlowSensitiveInlineVariables#94,28,92,64
Closure15,com.google.javascript.jscomp.FlowSensitiveInlineVariables#98,1170,93,-1077
Closure15,com.google.javascript.jscomp.FlowSensitiveInlineVariables#103,711,66,-645
Closure16,com.google.javascript.jscomp.ScopedAliases#174,2272,395,-1877
Closure16,com.google.javascript.jscomp.ScopedAliases#180,357,367,10
Closure16,com.google.javascript.jscomp.ScopedAliases#468,241,137,-104
Closure16,com.google.javascript.jscomp.ScopedAliases#175,1981,468,-1513
Closure17,com.google.javascript.jscomp.TypedScopeCreator#1291,150,2,-148
Closure17,com.google.javascript.jscomp.TypedScopeCreator#1295,3,1,-2
Closure18,com.google.javascript.jscomp.Compiler#1288,73,205,132
Closure19,com.google.javascript.jscomp.type.ChainableReverseAbstractInterpreter#175,27,27,0
Closure20,com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax#220,358,53,-305
Closure21,com.google.javascript.jscomp.CheckSideEffects#101,195,185,-10
Closure21,com.google.javascript.jscomp.CheckSideEffects#113,113,251,138
Closure21,com.google.javascript.jscomp.CheckSideEffects#114,276,172,-104
Closure21,com.google.javascript.jscomp.CheckSideEffects#115,117,420,303
Closure21,com.google.javascript.jscomp.CheckSideEffects#117,15,2,-13
Closure21,com.google.javascript.jscomp.CheckSideEffects#118,1,1,0
Closure21,com.google.javascript.jscomp.CheckSideEffects#119,22,78,56
Closure21,com.google.javascript.jscomp.CheckSideEffects#120,8,3,-5
Closure21,com.google.javascript.jscomp.CheckSideEffects#121,28,4,-24
Closure21,com.google.javascript.jscomp.CheckSideEffects#125,345,103,-242
Closure21,com.google.javascript.jscomp.CheckSideEffects#126,178,264,86
Closure21,com.google.javascript.jscomp.CheckSideEffects#127,709,563,-146
Closure21,com.google.javascript.jscomp.CheckSideEffects#130,779,131,-648
Closure22,com.google.javascript.jscomp.CheckSideEffects#101,46,196,150
Closure22,com.google.javascript.jscomp.CheckSideEffects#102,81,12,-69
Closure22,com.google.javascript.jscomp.CheckSideEffects#103,96,58,-38
Closure22,com.google.javascript.jscomp.CheckSideEffects#111,4,2,-2
Closure22,com.google.javascript.jscomp.CheckSideEffects#112,1,1,0
