Project,MinRank1,MinRank2,Difference
Chart1,2,1,-1
Chart2,18,38,20
Chart3,9,3,-6
Chart4,5,153,148
Chart5,6,8,2
Chart6,67,94,27
Chart7,47,31,-16
Chart8,6,7,1
Chart9,59,8,-51
Chart10,2,1,-1
Chart11,1,1,0
Chart12,16,36,20
Chart13,124,1,-123
Chart14,10,1,-9
Chart15,5,19,14
Chart16,1,1,0
Chart17,1,1,0
Chart18,1,2,1
Chart19,7,1,-6
Chart20,8,6,-2
Chart21,7,3,-4
Chart22,1,2,1
Chart24,1,1,0
Chart25,1,3,2
Chart26,3,1,-2
Closure1,16,37,21
Closure2,105,96,-9
Closure3,11,42,31
Closure4,1,1,0
Closure5,6,1,-5
Closure6,7,1,-6
Closure7,92,93,1
Closure8,10,3,-7
Closure9,2,1,-1
Closure10,78,195,117
Closure11,22,3,-19
Closure12,49,199,150
Closure13,1893,3272,1379
Closure14,1,1,0
Closure15,28,66,38
Closure16,241,137,-104
Closure17,3,1,-2
Closure18,73,205,132
Closure19,27,27,0
Closure20,358,53,-305
Closure21,1,1,0
Closure22,1,1,0
Closure23,602,71,-531
Closure24,6,1,-5
Closure25,60,20,-40
Closure26,60,17,-43
Closure27,2,5,3
Closure29,78,20,-58
Closure30,134,163,29
Closure31,58,235,177
Closure32,45,1,-44
Closure33,21,19,-2
Closure34,24,1,-23
Closure35,542,143,-399
Closure36,64,64,0
Closure37,191,346,155
Closure38,13,1,-12
Closure39,13,5,-8
Closure40,17,1,-16
Closure41,128,571,443
Closure42,11,6,-5
Closure43,6,168,162
Closure44,42,130,88
Closure45,48,30,-18
Closure46,3,1,-2
Closure47,3,5,2
Closure48,1,2,1
Closure49,63,6,-57
Closure50,55,3,-52
Closure51,2,1,-1
Closure52,20,73,53
Closure53,117,67,-50
Closure54,328,72,-256
Closure55,28,36,8
Closure56,3,25,22
Closure57,110,34,-76
Closure58,3,42,39
Closure59,1057,1687,630
Closure60,71,53,-18
Closure61,60,41,-19
Closure62,1,1,0
Closure63,1,1,0
Closure64,85,410,325
Closure65,91,29,-62
Closure66,34,4,-30
Closure67,1,8,7
Closure68,28,7,-21
Closure69,167,482,315
Closure70,9,1,-8
Closure71,3,1,-2
Closure72,210,210,0
Closure73,46,1,-45
Closure74,1,1,0
Closure75,20,42,22
Closure76,13,6,-7
Closure77,69,29,-40
Closure78,1059,21,-1038
Closure79,5,111,106
Closure80,13,150,137
Closure81,7,12,5
Closure82,739,1825,1086
Closure83,1,1,0
Closure84,5,17,12
Closure85,2,8,6
Closure86,17,1,-16
Closure87,142,55,-87
Closure88,127,1,-126
Closure89,8,10,2
Closure90,51,34,-17
Closure91,410,165,-245
Closure92,1,1,0
Closure93,1,1,0
Closure94,159,26,-133
Closure95,793,1154,361
Closure96,17,63,46
Closure97,118,69,-49
Closure98,6,47,41
Closure99,13,4,-9
Closure100,1,7,6
Closure101,721,1850,1129
Closure102,673,3413,2740
Closure103,131,569,438
Closure104,2,3,1
Closure105,66,38,-28
Closure106,1,2,1
Closure107,22,4,-18
Closure108,10,19,9
Closure109,1,19,18
Closure110,191,33,-158
Closure111,43,134,91
Closure112,170,139,-31
Closure113,3,3,0
Closure114,7,12,5
Closure115,81,3,-78
