Project,now,before,Difference
Chart1,31,42,11
Chart2,54,51,-3
Chart3,11,12,1
Chart4,86,241,155
Chart5,7,8,1
Chart6,30,29,-1
Chart7,86,86,0
Chart8,14,15,1
Chart9,10,10,0
Chart10,1,1,0
Chart11,2,5,3
Chart12,97,97,0
Chart13,25,21,-4
Chart14,12,8,-4
Chart15,7,16,9
Chart16,4,5,1
Chart17,5,5,0
Chart18,3,5,2
Chart19,1,1,0
Chart20,14,11,-3
Chart21,1,1,0
Chart22,4,5,1
Chart24,4,4,0
Chart25,2,3,1
Chart26,669,669,0
Closure1,75,123,48
Closure2,9,10,1
Closure3,1504,1504,0
Closure4,4943,4943,0
Closure5,72,58,-14
Closure6,5,6,1
Closure7,12,12,0
Closure8,2441,2441,0
Closure9,1,1,0
Closure10,1685,1685,0
Closure11,1827,1827,0
Closure12,1888,1888,0
Closure13,5541,5541,0
Closure14,16,38,22
Closure15,68,61,-7
Closure16,181,169,-12
Closure17,11,10,-1
Closure18,1920,1920,0
Closure19,3,6,3
Closure20,2245,2245,0
Closure21,5,7,2
Closure22,1,1,0
Closure23,70,67,-3
Closure24,1,3,2
Closure25,2694,2694,0
Closure26,35,24,-11
Closure27,1,1,0
Closure29,2938,2938,0
Closure30,1695,1695,0
Closure31,713,713,0
Closure32,95,50,-45
Closure33,2317,2317,0
Closure34,44,28,-16
Closure35,45,26,-19
Closure36,5948,5948,0
Closure37,716,716,0
Closure38,147,147,0
Closure39,9,4,-5
Closure40,3814,3814,0
Closure41,4104,4104,0
Closure42,4,11,7
Closure43,2729,2729,0
Closure44,884,884,0
Closure45,1681,1681,0
Closure46,2,2,0
Closure47,243,243,0
Closure48,55,178,123
Closure49,108,99,-9
Closure50,74,64,-10
Closure51,19,17,-2
Closure52,5,7,2
Closure53,3126,3126,0
Closure54,82,71,-11
Closure55,1195,1195,0
Closure56,1,1,0
Closure57,4,4,0
Closure58,6,14,8
Closure59,3588,3588,0
Closure60,2,2,0
Closure61,1118,1118,0
Closure62,1,1,0
Closure63,1,1,0
Closure64,1345,1345,0
Closure65,1,1,0
Closure66,2785,2785,0
Closure67,2399,2399,0
Closure68,9,7,-2
Closure69,126,189,63
Closure70,597,597,0
Closure71,3280,3280,0
Closure72,1608,1608,0
Closure73,18,9,-9
Closure74,14,37,23
Closure75,1,1,0
Closure76,25,48,23
Closure77,45,36,-9
Closure78,6,3,-3
Closure79,6,16,10
Closure80,3,7,4
Closure81,2,4,2
Closure82,258,258,0
Closure83,74,74,0
Closure84,5,9,4
Closure85,67,66,-1
Closure86,14,13,-1
Closure87,788,788,0
Closure88,87,55,-32
Closure89,64,55,-9
Closure90,582,582,0
Closure91,1939,1939,0
Closure92,2107,2107,0
Closure93,2157,2157,0
Closure94,4,4,0
Closure95,2135,2135,0
Closure96,32,37,5
Closure97,33,35,2
Closure98,752,752,0
Closure99,82,66,-16
Closure100,9,38,29
Closure101,3976,3976,0
Closure102,3147,3147,0
Closure103,12,20,8
Closure104,9,9,0
Closure105,42,42,0
Closure106,14,27,13
Closure107,53,69,16
Closure108,36,53,17
Closure109,2,5,3
Closure110,41,35,-6
Closure111,2,4,2
Closure112,64,65,1
Closure113,8,8,0
Closure114,50,90,40
Closure115,16,7,-9
Closure116,43,46,3
Closure117,85,153,68
Closure118,5618,5618,0
Closure120,2243,2243,0
Closure121,63,90,27
Closure122,3,3,0
Closure123,57,98,41
Closure124,8,18,10
Closure125,58,95,37
Closure126,2582,2582,0
Closure127,2062,2062,0
Closure128,3,2,-1
Closure129,6780,6780,0
Closure130,3664,3664,0
Closure131,39,84,45
Closure132,1938,1938,0
Closure133,1322,1322,0
Lang1,3,3,0
Lang2,10,18,8
Lang3,5,5,0
Lang4,5,5,0
Lang5,1,1,0
Lang6,73,72,-1
Lang7,3,23,20
Lang8,12,11,-1
Lang9,66,62,-4
Lang10,51,34,-17
Lang11,1,1,0
Lang12,2,6,4
Lang13,4,4,0
Lang14,1,1,0
Lang15,249,249,0
Lang16,14,8,-6
Lang17,8,19,11
Lang18,47,46,-1
Lang19,3,9,6
Lang20,1,4,3
Lang21,1,1,0
Lang22,34,27,-7
Lang24,153,153,0
Lang26,6,12,6
Lang27,25,27,2
Lang28,1,1,0
Lang30,2,2,0
Lang31,4,5,1
Lang32,4,4,0
Lang33,692,692,0
Lang34,85,74,-11
Lang35,1,1,0
Lang36,91,91,0
Lang37,2,4,2
Lang38,1,1,0
Lang39,32,38,6
Lang40,1,2,1
Lang41,5,6,1
Lang42,6,3,-3
Lang43,9,6,-3
Lang44,5,5,0
Lang45,1,1,0
Lang46,1,1,0
Lang47,23,23,0
Lang48,2,2,0
Lang49,2,2,0
Lang50,14,12,-2
Lang53,123,123,0
Lang54,1,1,0
Lang55,9,9,0
Lang57,1,1,0
Lang58,33,27,-6
Lang59,1,1,0
Lang60,6,6,0
Lang61,13,27,14
Lang62,7,6,-1
Lang63,1,2,1
Lang64,1,1,0
Lang65,3,6,3
Math1,9,6,-3
Math2,71,71,0
Math3,4,7,3
Math4,2,2,0
Math5,2,2,0
Math6,374,285,-89
Math7,61,46,-15
Math8,1,3,2
Math9,2,3,1
Math10,12,11,-1
Math11,60,60,0
Math13,188,188,0
Math14,38,43,5
Math15,2,2,0
Math16,5,4,-1
Math17,508,508,0
Math18,7,3,-4
Math19,22,18,-4
Math20,453,453,0
Math21,4,6,2
Math22,1,1,0
Math23,34,41,7
Math24,55,71,16
Math25,1,2,1
Math26,20,24,4
Math27,2,2,0
Math28,8,22,14
Math29,1,3,2
Math30,20,24,4
Math31,8,81,73
Math32,39,64,25
Math33,25,51,26
Math34,1,1,0
Math35,6,6,0
Math36,1,1,0
Math37,1,1,0
Math38,2,2,0
Math39,462,462,0
Math40,131,131,0
Math41,15,14,-1
Math42,331,331,0
Math43,70,96,26
Math44,9,13,4
Math45,2,1,-1
Math46,1,1,0
Math47,2,1,-1
Math48,687,687,0
Math49,4,5,1
Math50,1,1,0
Math51,11,29,18
Math52,11,9,-2
Math53,2,2,0
Math54,11,11,0
Math55,1,1,0
Math56,4,5,1
Math57,5,8,3
Math58,128,128,0
Math59,2,1,-1
Math60,16,17,1
Math61,590,590,0
Math62,325,325,0
Math63,1,1,0
Math64,105,105,0
Math65,64,70,6
Math66,162,162,0
Math67,173,173,0
Math68,83,83,0
Math69,64,64,0
Math70,1,1,0
Math71,1,2,1
Math72,7,8,1
Math73,12,12,0
Math74,984,984,0
Math75,1,1,0
Math76,77,60,-17
Math77,14,19,5
Math78,8,46,38
Math79,12,12,0
Math80,46,69,23
Math81,32,46,14
Math82,214,214,0
Math83,58,69,11
Math84,32,13,-19
Math85,111,111,0
Math86,37,40,3
Math87,17,35,18
Math88,1,1,0
Math89,1,1,0
Math90,5,5,0
Math91,1,1,0
Math92,1,1,0
Math93,2,2,0
Math94,5,11,6
Math95,7,8,1
Math96,4,6,2
Math97,1,1,0
Math98,2,3,1
Math99,3,5,2
Math100,5,5,0
Math101,24,15,-9
Math102,1,1,0
Math103,30,30,0
Math105,25,25,0
Math106,11,8,-3
Mockito1,1,1,0
Mockito2,23,16,-7
Mockito3,3,3,0
Mockito4,2100,2100,0
Mockito5,2915,2915,0
Mockito6,2,2,0
Mockito7,23,36,13
Mockito8,37,37,0
Mockito9,938,938,0
Mockito10,7,9,2
Mockito11,1,1,0
Mockito12,18,39,21
Mockito13,43,83,40
Mockito14,509,509,0
Mockito15,174,174,0
Mockito16,3,4,1
Mockito17,1,2,1
Mockito18,18,26,8
Mockito19,493,493,0
Mockito20,100,217,117
Mockito21,2,2,0
Mockito22,4,9,5
Mockito23,272,272,0
Mockito24,1,1,0
Mockito25,56,58,2
Mockito26,38,41,3
Mockito27,4,3,-1
Mockito28,470,470,0
Mockito29,829,829,0
Mockito30,5,6,1
Mockito31,1,1,0
Mockito32,424,424,0
Mockito33,57,84,27
Mockito34,33,42,9
Mockito35,10,9,-1
Mockito36,1857,1857,0
Mockito37,17,10,-7
Mockito38,899,899,0
Time1,1,4,3
Time2,6,6,0
Time3,2,1,-1
Time4,6,16,10
Time5,2,2,0
Time6,3,5,2
Time7,51,49,-2
Time8,8,10,2
Time9,7,5,-2
Time10,499,499,0
Time11,358,358,0
Time12,11,21,10
Time13,15,13,-2
Time14,3,8,5
Time15,1,1,0
Time16,1,1,0
Time17,1,1,0
Time18,17,11,-6
Time19,254,254,0
Time20,8,6,-2
Time21,2,2,0
Time22,9,11,2
Time23,2,1,-1
Time24,134,157,23
Time25,29,109,80
Time26,29,80,51
Time27,1271,1271,0
