Project,Statement,Rank1,Rank2,Difference
Chart1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797,66,42,-24
Chart2,org.jfree.data.general.DatasetUtilities#755,117,79,-38
Chart2,org.jfree.data.general.DatasetUtilities#757,82,51,-31
Chart2,org.jfree.data.general.DatasetUtilities#758,333,333,0
Chart2,org.jfree.data.general.DatasetUtilities#761,334,334,0
Chart2,org.jfree.data.general.DatasetUtilities#1242,45,153,108
Chart2,org.jfree.data.general.DatasetUtilities#1243,127,154,27
Chart2,org.jfree.data.general.DatasetUtilities#1245,514,514,0
Chart2,org.jfree.data.general.DatasetUtilities#1248,515,515,0
Chart3,org.jfree.data.time.TimeSeries#1056,123,13,-110
Chart3,org.jfree.data.time.TimeSeries#1057,85,12,-73
Chart4,org.jfree.chart.plot.XYPlot#4493,39,241,202
Chart5,org.jfree.data.xy.XYSeries#548,19,8,-11
Chart6,org.jfree.chart.util.ShapeList#111,46,29,-17
Chart7,org.jfree.data.time.TimePeriodValues#300,70,86,16
Chart7,org.jfree.data.time.TimePeriodValues#302,118,87,-31
Chart8,org.jfree.data.time.Week#175,14,15,1
Chart9,org.jfree.data.time.TimeSeries#944,184,10,-174
Chart10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#65,3,1,-2
Chart11,org.jfree.chart.util.ShapeUtilities#275,3,5,2
Chart12,org.jfree.chart.plot.MultiplePiePlot#145,135,97,-38
Chart13,org.jfree.chart.block.BorderArrangement#454,254,21,-233
Chart14,org.jfree.chart.plot.XYPlot#2293,185,8,-177
Chart14,org.jfree.chart.plot.XYPlot#2529,203,29,-174
Chart14,org.jfree.chart.plot.CategoryPlot#2166,175,442,267
Chart14,org.jfree.chart.plot.CategoryPlot#2448,261,16,-245
Chart15,org.jfree.chart.plot.PiePlot#1379,5301,5301,0
Chart15,org.jfree.chart.plot.PiePlot#2051,52,16,-36
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#207,19,13,-6
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#208,34,11,-23
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#338,21,5,-16
Chart17,org.jfree.data.time.TimeSeries#857,28,5,-23
Chart18,org.jfree.data.DefaultKeyedValues#318,22,7,-15
Chart18,org.jfree.data.DefaultKeyedValues#335,1,16,15
Chart18,org.jfree.data.DefaultKeyedValues2D#455,5,5,0
Chart18,org.jfree.data.DefaultKeyedValues2D#458,8,9,1
Chart18,org.jfree.data.DefaultKeyedValues2D#460,59,21,-38
Chart19,org.jfree.chart.plot.CategoryPlot#698,387,25,-362
Chart19,org.jfree.chart.plot.CategoryPlot#973,163,1,-162
Chart20,org.jfree.chart.plot.ValueMarker#95,24,11,-13
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#158,2,91,89
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#159,42,92,50
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#160,90,93,3
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#162,54,94,40
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#163,105,95,-10
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#164,97,96,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#167,39,97,58
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#168,73,98,25
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#169,68,99,31
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#170,91,100,9
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#172,96,23,-73
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#173,49,1,-48
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#174,56,9,-47
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#175,80,15,-65
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#178,86,101,15
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#179,62,102,40
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#180,52,103,51
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#181,78,104,26
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#183,94,20,-74
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#184,334,334,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#185,335,335,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#186,336,336,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#740,31,10,-21
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#741,106,17,-89
Chart22,org.jfree.data.KeyedObjects2D#231,3,22,19
Chart22,org.jfree.data.KeyedObjects2D#233,47,12,-35
Chart22,org.jfree.data.KeyedObjects2D#378,2,5,3
Chart22,org.jfree.data.KeyedObjects2D#345,52,98,46
Chart24,org.jfree.chart.renderer.GrayPaintScale#126,3,4,1
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#260,1372,3316,1944
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#315,49,3,-46
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#459,54,2996,2942
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#404,1284,2978,1694
Chart26,org.jfree.chart.axis.Axis#1192,98,669,571
Closure1,com.google.javascript.jscomp.RemoveUnusedVars#380,1280,123,-1157
Closure2,com.google.javascript.jscomp.TypeCheck#1574,1094,10,-1084
Closure3,com.google.javascript.jscomp.FlowSensitiveInlineVariables#155,396,4215,3819
Closure3,com.google.javascript.jscomp.FlowSensitiveInlineVariables#376,2485,1504,-981
Closure4,com.google.javascript.rhino.jstype.NamedType#190,71,4943,4872
Closure4,com.google.javascript.rhino.jstype.NamedType#202,18735,18805,70
Closure5,com.google.javascript.jscomp.InlineObjectLiterals#169,2763,58,-2705
Closure5,com.google.javascript.jscomp.InlineObjectLiterals#185,385,3199,2814
Closure6,com.google.javascript.jscomp.TypeValidator#366,2098,5258,3160
Closure6,com.google.javascript.jscomp.TypeValidator#367,177,14,-163
Closure6,com.google.javascript.jscomp.TypeValidator#405,5255,3652,-1603
Closure6,com.google.javascript.jscomp.TypeValidator#406,4986,6,-4980
Closure7,com.google.javascript.jscomp.type.ChainableReverseAbstractInterpreter#613,1032,12,-1020
Closure8,com.google.javascript.jscomp.CollapseVariableDeclarations#202,767,2441,1674
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#183,3433,3447,14
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#120,6,12,6
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#121,35,1,-34
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#124,8,11,3
Closure10,com.google.javascript.jscomp.NodeUtil#1417,573,1685,1112
Closure11,com.google.javascript.jscomp.TypeCheck#1314,963,1827,864
Closure11,com.google.javascript.jscomp.TypeCheck#1315,212,1828,1616
Closure12,com.google.javascript.jscomp.MaybeReachingVariableUse#160,535,1888,1353
Closure13,com.google.javascript.jscomp.PeepholeOptimizationsPass#126,2187,5541,3354
Closure13,com.google.javascript.jscomp.PeepholeOptimizationsPass#128,2564,5543,2979
Closure13,com.google.javascript.jscomp.PeepholeOptimizationsPass#127,3753,5542,1789
Closure14,com.google.javascript.jscomp.ControlFlowAnalysis#767,137,38,-99
Closure15,com.google.javascript.jscomp.FlowSensitiveInlineVariables#94,443,86,-357
Closure15,com.google.javascript.jscomp.FlowSensitiveInlineVariables#98,3649,3642,-7
Closure15,com.google.javascript.jscomp.FlowSensitiveInlineVariables#103,3178,61,-3117
Closure16,com.google.javascript.jscomp.ScopedAliases#174,6430,169,-6261
Closure16,com.google.javascript.jscomp.ScopedAliases#180,2348,6808,4460
Closure16,com.google.javascript.jscomp.ScopedAliases#468,2270,6037,3767
Closure16,com.google.javascript.jscomp.ScopedAliases#175,6012,6806,794
Closure17,com.google.javascript.jscomp.TypedScopeCreator#1291,3340,10,-3330
Closure17,com.google.javascript.jscomp.TypedScopeCreator#1295,439,54,-385
Closure18,com.google.javascript.jscomp.Compiler#1288,525,1920,1395
Closure19,com.google.javascript.jscomp.type.ChainableReverseAbstractInterpreter#175,490,6,-484
Closure20,com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax#220,2055,2245,190
Closure21,com.google.javascript.jscomp.CheckSideEffects#101,1335,75,-1260
Closure21,com.google.javascript.jscomp.CheckSideEffects#113,740,92,-648
Closure21,com.google.javascript.jscomp.CheckSideEffects#114,1718,20,-1698
Closure21,com.google.javascript.jscomp.CheckSideEffects#115,394,10,-384
Closure21,com.google.javascript.jscomp.CheckSideEffects#117,1331,12,-1319
Closure21,com.google.javascript.jscomp.CheckSideEffects#118,109,8,-101
Closure21,com.google.javascript.jscomp.CheckSideEffects#119,343,2578,2235
Closure21,com.google.javascript.jscomp.CheckSideEffects#120,697,7,-690
Closure21,com.google.javascript.jscomp.CheckSideEffects#121,1617,2579,962
Closure21,com.google.javascript.jscomp.CheckSideEffects#125,2163,2580,417
Closure21,com.google.javascript.jscomp.CheckSideEffects#126,1048,2581,1533
Closure21,com.google.javascript.jscomp.CheckSideEffects#127,1844,98,-1746
Closure21,com.google.javascript.jscomp.CheckSideEffects#130,2843,83,-2760
Closure22,com.google.javascript.jscomp.CheckSideEffects#101,393,2780,2387
Closure22,com.google.javascript.jscomp.CheckSideEffects#102,1302,5,-1297
Closure22,com.google.javascript.jscomp.CheckSideEffects#103,1192,2781,1589
Closure22,com.google.javascript.jscomp.CheckSideEffects#104,15348,15410,62
Closure22,com.google.javascript.jscomp.CheckSideEffects#105,15349,15411,62
Closure22,com.google.javascript.jscomp.CheckSideEffects#111,510,1,-509
Closure22,com.google.javascript.jscomp.CheckSideEffects#112,236,2782,2546
Closure22,com.google.javascript.jscomp.CheckSideEffects#113,418,2783,2365
Closure22,com.google.javascript.jscomp.CheckSideEffects#114,1243,47,-1196
Closure22,com.google.javascript.jscomp.CheckSideEffects#115,907,2784,1877
Closure22,com.google.javascript.jscomp.CheckSideEffects#116,2470,3,-2467
Closure22,com.google.javascript.jscomp.CheckSideEffects#117,1485,2785,1300
Closure22,com.google.javascript.jscomp.CheckSideEffects#122,2081,10,-2071
Closure22,com.google.javascript.jscomp.CheckSideEffects#123,1631,2786,1155
Closure22,com.google.javascript.jscomp.CheckSideEffects#134,1108,2790,1682
Closure22,com.google.javascript.jscomp.CheckSideEffects#135,15350,15412,62
Closure22,com.google.javascript.jscomp.CheckSideEffects#136,652,14,-638
Closure22,com.google.javascript.jscomp.CheckSideEffects#137,15351,15413,62
Closure23,com.google.javascript.jscomp.PeepholeFoldConstants#1451,2197,67,-2130
Closure24,com.google.javascript.jscomp.ScopedAliases#278,810,62,-748
Closure24,com.google.javascript.jscomp.ScopedAliases#279,1365,57,-1308
Closure24,com.google.javascript.jscomp.ScopedAliases#293,268,3,-265
Closure25,com.google.javascript.jscomp.TypeInference#1038,818,2694,1876
Closure25,com.google.javascript.jscomp.TypeInference#1054,3150,2702,-448
Closure25,com.google.javascript.jscomp.TypeInference#1059,2469,2703,234
Closure25,com.google.javascript.jscomp.TypeInference#1060,3298,2704,-594
Closure26,com.google.javascript.jscomp.ProcessCommonJSModules#127,986,2573,1587
Closure26,com.google.javascript.jscomp.ProcessCommonJSModules#208,4066,24,-4042
Closure27,com.google.javascript.rhino.IR#224,3,1,-2
Closure27,com.google.javascript.rhino.IR#225,129,129,0
Closure27,com.google.javascript.rhino.IR#233,12,6,-6
Closure29,com.google.javascript.jscomp.InlineObjectLiterals#157,8963,2938,-6025
Closure29,com.google.javascript.jscomp.InlineObjectLiterals#217,1026,9572,8546
Closure30,com.google.javascript.jscomp.MustBeReachingVariableDef#396,1973,2642,669
Closure30,com.google.javascript.jscomp.FlowSensitiveInlineVariables#157,2432,1695,-737
Closure30,com.google.javascript.jscomp.MustBeReachingVariableDef#398,358,2644,2286
Closure30,com.google.javascript.jscomp.MustBeReachingVariableDef#397,1800,2643,843
Closure30,com.google.javascript.jscomp.MustBeReachingVariableDef#431,837,2528,1691
Closure31,com.google.javascript.jscomp.Compiler#1284,332,713,381
Closure32,com.google.javascript.jscomp.parsing.JsDocInfoParser#1414,2933,86,-2847
Closure32,com.google.javascript.jscomp.parsing.JsDocInfoParser#1415,3360,50,-3310
Closure32,com.google.javascript.jscomp.parsing.JsDocInfoParser#1362,2752,4325,1573
Closure32,com.google.javascript.jscomp.parsing.JsDocInfoParser#1382,1578,123,-1455
Closure32,com.google.javascript.jscomp.parsing.JsDocInfoParser#1391,598,3126,2528
Closure33,com.google.javascript.rhino.jstype.PrototypeObjectType#567,962,2317,1355
Closure34,com.google.javascript.jscomp.CodeGenerator#122,137,28,-109
Closure34,com.google.javascript.jscomp.CodeGenerator#123,3088,3108,20
Closure34,com.google.javascript.jscomp.CodeGenerator#124,3089,3109,20
Closure34,com.google.javascript.jscomp.CodeGenerator#754,3427,3447,20
Closure34,com.google.javascript.jscomp.CodePrinter#334,3694,3714,20
Closure35,com.google.javascript.jscomp.TypeInference#1121,3106,2030,-1076
Closure35,com.google.javascript.jscomp.TypeInference#1122,3364,2031,-1333
Closure35,com.google.javascript.jscomp.TypeInference#1123,4529,26,-4503
Closure35,com.google.javascript.jscomp.TypeInference#1124,9483,9514,31
Closure35,com.google.javascript.jscomp.TypeInference#1125,9484,9515,31
Closure35,com.google.javascript.jscomp.TypeInference#1126,9485,9516,31
Closure35,com.google.javascript.jscomp.TypeInference#1127,9486,9517,31
Closure35,com.google.javascript.jscomp.TypeInference#1128,9487,9518,31
Closure35,com.google.javascript.jscomp.TypeInference#1129,9488,9519,31
Closure35,com.google.javascript.jscomp.TypeInference#1132,9489,9520,31
Closure35,com.google.javascript.jscomp.TypeInference#1134,9490,9521,31
Closure36,com.google.javascript.jscomp.InlineVariables#569,1407,5948,4541
Closure37,com.google.javascript.jscomp.NodeTraversal#540,566,716,150
Closure37,com.google.javascript.jscomp.parsing.IRFactory#670,56,1853,1797
Closure37,com.google.javascript.jscomp.parsing.IRFactory#671,1998,1854,-144
Closure38,com.google.javascript.jscomp.CodeConsumer#245,650,147,-503
Closure39,com.google.javascript.rhino.jstype.PrototypeObjectType#380,354,4,-350
Closure39,com.google.javascript.rhino.jstype.PrototypeObjectType#383,421,27,-394
Closure39,com.google.javascript.rhino.jstype.PrototypeObjectType#394,182,45,-137
Closure40,com.google.javascript.jscomp.NameAnalyzer#635,1368,3814,2446
Closure40,com.google.javascript.jscomp.NameAnalyzer#636,4275,3815,-460
Closure40,com.google.javascript.jscomp.NameAnalyzer#637,17394,17457,63
Closure41,com.google.javascript.jscomp.FunctionTypeBuilder#293,439,4104,3665
Closure41,com.google.javascript.jscomp.FunctionTypeBuilder#484,2455,4155,1700
Closure42,com.google.javascript.jscomp.parsing.IRFactory#570,125,11,-114
Closure43,com.google.javascript.jscomp.TypedScopeCreator#580,60,2729,2669
Closure44,com.google.javascript.jscomp.CodeConsumer#201,226,884,658
Closure45,com.google.javascript.jscomp.RemoveUnusedVars#741,2253,1681,-572
Closure45,com.google.javascript.jscomp.RemoveUnusedVars#904,325,3425,3100
Closure46,com.google.javascript.rhino.jstype.RecordType#142,411,8,-403
Closure46,com.google.javascript.rhino.jstype.RecordType#143,2760,2766,6
Closure46,com.google.javascript.rhino.jstype.RecordType#145,294,12,-282
Closure46,com.google.javascript.rhino.jstype.RecordType#146,320,2,-318
Closure46,com.google.javascript.rhino.jstype.RecordType#147,234,3,-231
Closure46,com.google.javascript.rhino.jstype.RecordType#150,869,13,-856
Closure46,com.google.javascript.rhino.jstype.RecordType#153,179,47,-132
Closure46,com.google.javascript.rhino.jstype.RecordType#154,474,19,-455
Closure47,com.google.debugging.sourcemap.SourceMapConsumerV3#487,50,243,193
Closure47,com.google.javascript.jscomp.SourceMap#139,1604,2755,1151
Closure48,com.google.javascript.jscomp.TypedScopeCreator#1521,2753,3453,700
Closure48,com.google.javascript.jscomp.TypedScopeCreator#1523,364,178,-186
Closure49,com.google.javascript.jscomp.MakeDeclaredNamesUnique#91,4230,3362,-868
Closure49,com.google.javascript.jscomp.MakeDeclaredNamesUnique#92,1507,3363,1856
Closure49,com.google.javascript.jscomp.MakeDeclaredNamesUnique#93,2454,99,-2355
Closure49,com.google.javascript.jscomp.MakeDeclaredNamesUnique#94,1626,132,-1494
Closure49,com.google.javascript.jscomp.MakeDeclaredNamesUnique#96,1211,3364,2153
Closure49,com.google.javascript.jscomp.MakeDeclaredNamesUnique#97,714,3365,2651
Closure49,com.google.javascript.jscomp.MakeDeclaredNamesUnique#98,158,3366,3208
Closure49,com.google.javascript.jscomp.MakeDeclaredNamesUnique#116,3283,3374,91
Closure49,com.google.javascript.jscomp.MakeDeclaredNamesUnique#125,2470,3377,907
Closure49,com.google.javascript.jscomp.MakeDeclaredNamesUnique#152,3583,3380,-203
Closure49,com.google.javascript.jscomp.MakeDeclaredNamesUnique#136,1519,3378,1859
Closure49,com.google.javascript.jscomp.MakeDeclaredNamesUnique#174,3091,3387,296
Closure49,com.google.javascript.jscomp.MakeDeclaredNamesUnique#175,1052,3388,2336
Closure49,com.google.javascript.jscomp.MakeDeclaredNamesUnique#157,4169,3381,-788
Closure50,com.google.javascript.jscomp.PeepholeReplaceKnownMethods#376,1483,64,-1419
Closure50,com.google.javascript.jscomp.PeepholeReplaceKnownMethods#391,1475,2301,826
Closure51,com.google.javascript.jscomp.CodeConsumer#241,353,17,-336
Closure52,com.google.javascript.jscomp.CodeGenerator#745,242,7,-235
Closure53,com.google.javascript.jscomp.InlineObjectLiterals#333,1095,3126,2031
Closure54,com.google.javascript.jscomp.TypedScopeCreator#1413,3065,71,-2994
Closure54,com.google.javascript.rhino.jstype.FunctionType#340,2674,2230,-444
Closure54,com.google.javascript.rhino.jstype.FunctionType#366,222,2236,2014
Closure55,com.google.javascript.jscomp.FunctionRewriter#117,996,1195,199
Closure56,com.google.javascript.jscomp.SourceFile#242,7,1,-6
Closure56,com.google.javascript.jscomp.SourceFile#238,675,10,-665
Closure57,com.google.javascript.jscomp.ClosureCodingConvention#197,876,4,-872
Closure58,com.google.javascript.jscomp.LiveVariablesAnalysis#206,29,14,-15
Closure58,com.google.javascript.jscomp.LiveVariablesAnalysis#207,13394,13453,59
Closure59,com.google.javascript.jscomp.Compiler#255,1863,3588,1725
Closure60,com.google.javascript.jscomp.NodeUtil#110,11617,11676,59
Closure60,com.google.javascript.jscomp.NodeUtil#136,1217,2,-1215
Closure60,com.google.javascript.jscomp.NodeUtil#75,11601,11660,59
Closure61,com.google.javascript.jscomp.NodeUtil#952,1212,1118,-94
Closure61,com.google.javascript.jscomp.NodeUtil#959,847,1119,272
Closure62,com.google.javascript.jscomp.LightweightMessageFormatter#97,1,1,0
Closure63,com.google.javascript.jscomp.LightweightMessageFormatter#97,1,1,0
Closure64,com.google.javascript.jscomp.Compiler#1432,393,3179,2786
Closure64,com.google.javascript.jscomp.Compiler#1461,9782,9832,50
Closure64,com.google.javascript.jscomp.Compiler#1473,338,1345,1007
Closure65,com.google.javascript.jscomp.CodeGenerator#1015,768,1,-767
Closure66,com.google.javascript.jscomp.TypeCheck#514,1275,2785,1510
Closure67,com.google.javascript.jscomp.AnalyzePrototypeProperties#316,772,2399,1627
