Project,MinRank1,MinRank2,Difference
Chart1,66,42,-24
Chart2,45,51,6
Chart3,85,12,-73
Chart4,39,241,202
Chart5,19,8,-11
Chart6,46,29,-17
Chart7,70,86,16
Chart8,14,15,1
Chart9,184,10,-174
Chart10,3,1,-2
Chart11,3,5,2
Chart12,135,97,-38
Chart13,254,21,-233
Chart14,175,8,-167
Chart15,52,16,-36
Chart16,19,5,-14
Chart17,28,5,-23
Chart18,1,5,4
Chart19,163,1,-162
Chart20,24,11,-13
Chart21,2,1,-1
Chart22,2,5,3
Chart24,3,4,1
Chart25,49,3,-46
Chart26,98,669,571
Closure1,1280,123,-1157
Closure2,1094,10,-1084
Closure3,396,1504,1108
Closure4,71,4943,4872
Closure5,385,58,-327
Closure6,177,6,-171
Closure7,1032,12,-1020
Closure8,767,2441,1674
Closure9,6,1,-5
Closure10,573,1685,1112
Closure11,212,1827,1615
Closure12,535,1888,1353
Closure13,2187,5541,3354
Closure14,137,38,-99
Closure15,443,61,-382
Closure16,2270,169,-2101
Closure17,439,10,-429
Closure18,525,1920,1395
Closure19,490,6,-484
Closure20,2055,2245,190
Closure21,109,7,-102
Closure22,236,1,-235
Closure23,2197,67,-2130
Closure24,268,3,-265
Closure25,818,2694,1876
Closure26,986,24,-962
Closure27,3,1,-2
Closure29,1026,2938,1912
Closure30,358,1695,1337
Closure31,332,713,381
Closure32,598,50,-548
Closure33,962,2317,1355
Closure34,137,28,-109
Closure35,3106,26,-3080
Closure36,1407,5948,4541
Closure37,56,716,660
Closure38,650,147,-503
Closure39,182,4,-178
Closure40,1368,3814,2446
Closure41,439,4104,3665
Closure42,125,11,-114
Closure43,60,2729,2669
Closure44,226,884,658
Closure45,325,1681,1356
Closure46,179,2,-177
Closure47,50,243,193
Closure48,364,178,-186
Closure49,158,99,-59
Closure50,1475,64,-1411
Closure51,353,17,-336
Closure52,242,7,-235
Closure53,1095,3126,2031
Closure54,222,71,-151
Closure55,996,1195,199
Closure56,7,1,-6
Closure57,876,4,-872
Closure58,29,14,-15
Closure59,1863,3588,1725
Closure60,1217,2,-1215
Closure61,847,1118,271
Closure62,1,1,0
Closure63,1,1,0
Closure64,338,1345,1007
Closure65,768,1,-767
Closure66,1275,2785,1510
Closure67,53,2399,2346
Closure68,278,7,-271
Closure69,785,189,-596
Closure70,766,597,-169
Closure71,416,3280,2864
Closure72,1211,1608,397
Closure73,912,9,-903
Closure74,143,37,-106
Closure75,419,1,-418
Closure76,64,48,-16
Closure77,661,36,-625
Closure78,2435,3,-2432
Closure79,65,16,-49
Closure80,79,7,-72
Closure81,102,4,-98
Closure82,698,258,-440
Closure83,112,74,-38
Closure84,39,9,-30
Closure85,169,66,-103
Closure86,1167,13,-1154
Closure87,884,788,-96
Closure88,3992,55,-3937
Closure89,365,55,-310
Closure90,867,582,-285
Closure91,1598,1939,341
Closure92,53,2107,2054
Closure93,53,2157,2104
Closure94,1759,4,-1755
Closure95,1124,2135,1011
Closure96,185,37,-148
Closure97,1050,35,-1015
Closure98,83,752,669
Closure99,455,66,-389
Closure100,33,38,5
Closure101,196,3976,3780
Closure102,166,3147,2981
Closure103,424,20,-404
Closure104,195,9,-186
Closure105,788,42,-746
Closure106,57,27,-30
Closure107,1668,69,-1599
Closure108,17,53,36
Closure109,1,5,4
Closure110,1547,35,-1512
Closure111,420,4,-416
Closure112,1819,65,-1754
Closure113,349,8,-341
Closure114,584,90,-494
Closure115,1082,7,-1075
Closure116,1564,46,-1518
Closure117,693,153,-540
Closure118,2616,5618,3002
Closure120,273,2243,1970
Closure121,901,90,-811
Closure122,160,3,-157
Closure123,362,98,-264
Closure124,69,18,-51
Closure125,894,95,-799
Closure126,1256,2582,1326
Closure127,3181,2062,-1119
Closure128,705,2,-703
Closure129,2064,6780,4716
Closure130,470,3664,3194
Closure131,279,84,-195
Closure132,1591,1938,347
Closure133,85,1322,1237
Lang1,3,3,0
Lang2,4,18,14
Lang3,2,5,3
Lang4,5,5,0
Lang5,1,1,0
Lang6,78,72,-6
Lang7,3,23,20
Lang8,121,11,-110
Lang9,164,62,-102
Lang10,21,34,13
Lang11,7,1,-6
Lang12,1,6,5
Lang13,8,4,-4
Lang14,1,1,0
Lang15,32,249,217
Lang16,75,8,-67
Lang17,5,19,14
Lang18,152,46,-106
Lang19,1,9,8
Lang20,2,4,2
Lang21,2,1,-1
Lang22,56,27,-29
Lang24,1,153,152
Lang26,8,12,4
Lang27,26,27,1
Lang28,2,1,-1
Lang30,1,2,1
Lang31,1,5,4
Lang32,1,4,3
Lang33,692,692,0
Lang34,61,74,13
Lang35,1,1,0
Lang36,38,91,53
Lang37,1,4,3
Lang38,99,1,-98
Lang39,10,38,28
Lang40,1,2,1
Lang41,8,6,-2
Lang42,51,3,-48
Lang43,17,6,-11
Lang44,10,5,-5
Lang45,3,1,-2
Lang46,1,1,0
Lang47,23,23,0
Lang48,8,2,-6
Lang49,16,2,-14
Lang50,32,12,-20
Lang53,123,123,0
Lang54,4,1,-3
Lang55,2,9,7
Lang57,2,1,-1
Lang58,54,27,-27
Lang59,2,1,-1
Lang60,24,6,-18
Lang61,5,27,22
Lang62,47,6,-41
Lang63,3,2,-1
Lang64,29,1,-28
Lang65,1,6,5
Math1,273,6,-267
Math2,49,71,22
Math3,2,7,5
Math4,62,2,-60
Math5,3,2,-1
Math6,17,285,268
Math7,28,46,18
Math8,19,3,-16
Math9,5,3,-2
Math10,231,11,-220
Math11,189,60,-129
Math13,31,188,157
Math14,41,43,2
Math15,108,2,-106
Math16,269,4,-265
Math17,3,508,505
Math18,471,3,-468
Math19,97,18,-79
Math20,48,453,405
Math21,5,6,1
Math22,16,1,-15
Math23,85,41,-44
Math24,60,71,11
Math25,11,2,-9
Math26,43,24,-19
Math27,1,2,1
Math28,15,22,7
Math29,3,3,0
Math30,57,24,-33
Math31,17,81,64
Math32,209,64,-145
Math33,51,51,0
Math34,1,1,0
Math35,7,6,-1
Math36,8,1,-7
Math37,36,1,-35
Math38,11,2,-9
Math39,125,462,337
Math40,18,131,113
Math41,70,14,-56
Math42,145,331,186
Math43,79,96,17
Math44,70,13,-57
Math45,5,1,-4
Math46,59,1,-58
Math47,82,1,-81
Math48,3,687,684
Math49,90,5,-85
Math50,14,1,-13
Math51,1,29,28
Math52,104,9,-95
Math53,9,2,-7
Math54,368,11,-357
Math55,25,1,-24
Math56,23,5,-18
Math57,4,8,4
Math58,103,128,25
Math59,459,1,-458
Math60,91,17,-74
Math61,251,590,339
Math62,121,325,204
Math63,1,1,0
Math64,12,105,93
Math65,5,70,65
Math66,29,162,133
Math67,127,173,46
Math68,5,83,78
Math69,211,64,-147
Math70,3,1,-2
Math71,1,2,1
Math72,11,8,-3
Math73,73,12,-61
Math74,170,984,814
Math75,7,1,-6
Math76,96,60,-36
Math77,7,19,12
Math78,4,46,42
Math79,3,12,9
Math80,125,69,-56
Math81,25,46,21
Math82,147,214,67
Math83,1,69,68
Math84,1,13,12
Math85,19,111,92
Math86,57,40,-17
Math87,3,35,32
Math88,9,1,-8
Math89,1,1,0
Math90,1,5,4
Math91,1,1,0
Math92,2,1,-1
Math93,2,2,0
Math94,1,11,10
Math95,41,8,-33
Math96,8,6,-2
Math97,10,1,-9
Math98,4,3,-1
Math99,1,5,4
Math100,62,5,-57
Math101,59,15,-44
Math102,4,1,-3
Math103,22,30,8
Math105,5,25,20
Math106,57,8,-49
Mockito1,2,1,-1
Mockito2,257,16,-241
Mockito3,357,3,-354
Mockito4,2100,2100,0
Mockito5,2915,2915,0
Mockito6,27,2,-25
Mockito7,56,36,-20
Mockito8,55,37,-18
Mockito9,938,938,0
Mockito10,39,9,-30
Mockito11,3,1,-2
Mockito12,31,39,8
Mockito13,55,83,28
Mockito14,54,509,455
Mockito15,121,174,53
Mockito16,12,4,-8
Mockito17,8,2,-6
Mockito18,58,26,-32
Mockito19,492,493,1
Mockito20,128,217,89
Mockito21,59,2,-57
Mockito22,23,9,-14
Mockito23,78,272,194
Mockito24,70,1,-69
Mockito25,25,58,33
Mockito26,122,41,-81
Mockito27,106,3,-103
Mockito28,47,470,423
Mockito29,829,829,0
Mockito30,115,6,-109
Mockito31,111,1,-110
Mockito32,486,424,-62
Mockito33,96,84,-12
Mockito34,54,42,-12
Mockito35,159,9,-150
Mockito36,1857,1857,0
Mockito37,256,10,-246
Mockito38,899,899,0
Time1,29,4,-25
Time2,365,6,-359
Time3,302,1,-301
Time4,48,16,-32
Time5,128,2,-126
Time6,40,5,-35
Time7,516,49,-467
Time8,88,10,-78
Time9,89,5,-84
Time10,467,499,32
Time11,80,358,278
Time12,52,21,-31
Time13,468,13,-455
Time14,79,8,-71
Time15,1,1,0
Time16,810,1,-809
Time17,85,1,-84
Time18,307,11,-296
Time19,161,254,93
Time20,706,6,-700
Time21,18,2,-16
Time22,215,11,-204
Time23,144,1,-143
Time24,545,157,-388
Time25,80,109,29
Time26,72,80,8
Time27,66,1271,1205
