Project,now,before,Difference
Chart1,64,42,-22
Chart2,107,92,-15
Chart3,6,3,-3
Chart4,36,165,129
Chart5,12,8,-4
Chart6,64,57,-7
Chart7,71,81,10
Chart8,7,1,-6
Chart9,14,14,0
Chart10,3,3,0
Chart11,3,5,2
Chart12,37,13,-24
Chart13,65,47,-18
Chart14,24,15,-9
Chart15,31,29,-2
Chart16,1,1,0
Chart17,2,2,0
Chart18,1,3,2
Chart19,2,1,-1
Chart20,17,5,-12
Chart21,3,3,0
Chart22,3,51,48
Chart24,1,3,2
Chart25,2502,2745,243
Chart26,39,134,95
Closure1,1244,122,-1122
Closure2,385,96,-289
Closure3,503,279,-224
Closure4,59,168,109
Closure5,363,154,-209
Closure6,1,1,0
Closure7,2,2,0
Closure8,589,123,-466
Closure9,1,1,0
Closure10,526,264,-262
Closure11,241,2712,2471
Closure12,681,1081,400
Closure13,2492,5651,3159
Closure14,1,1,0
Closure15,387,185,-202
Closure16,198,93,-105
Closure17,270,114,-156
Closure18,662,1805,1143
Closure19,4,9,5
Closure20,23,2,-21
Closure21,44,15,-29
Closure22,113,14,-99
Closure23,10,8,-2
Closure24,1,1,0
Closure25,130,107,-23
Closure26,10,11,1
Closure27,1,3,2
Closure29,962,357,-605
Closure30,357,220,-137
Closure31,415,1492,1077
Closure32,164,30,-134
Closure33,922,573,-349
Closure34,907,199,-708
Closure35,138,6,-132
Closure36,1226,1062,-164
Closure37,96,967,871
Closure38,1106,284,-822
Closure39,135,73,-62
Closure40,786,120,-666
Closure41,453,902,449
Closure42,1,1,0
Closure43,76,465,389
Closure44,389,571,182
Closure45,394,280,-114
Closure46,1,1,0
Closure47,227,274,47
Closure48,346,2192,1846
Closure49,216,1090,874
Closure50,155,76,-79
Closure51,623,274,-349
Closure52,326,138,-188
Closure53,566,47,-519
Closure54,260,31,-229
Closure55,924,329,-595
Closure56,16,50,34
Closure57,947,50,-897
Closure58,4,7,3
Closure59,2021,5974,3953
Closure60,830,26,-804
Closure61,848,115,-733
Closure62,1,4,3
Closure63,1,4,3
Closure64,376,1556,1180
Closure65,1321,283,-1038
Closure66,1422,2784,1362
Closure67,121,223,102
Closure68,4,3,-1
Closure69,788,2398,1610
Closure70,773,2674,1901
Closure71,411,390,-21
Closure72,1245,241,-1004
Closure73,1345,1355,10
Closure74,72,38,-34
Closure75,362,9,-353
Closure76,139,114,-25
Closure77,926,1329,403
Closure78,2,1,-1
Closure79,15,45,30
Closure80,52,58,6
Closure81,155,137,-18
Closure82,779,599,-180
Closure83,98,10,-88
Closure84,58,172,114
Closure85,87,162,75
Closure86,1,1,0
Closure87,818,150,-668
Closure88,67,69,2
Closure89,415,159,-256
Closure90,275,46,-229
Closure91,1287,284,-1003
Closure92,80,85,5
Closure93,80,85,5
Closure94,1,1,0
Closure95,1136,1640,504
Closure96,170,424,254
Closure97,18,1,-17
Closure98,158,425,267
Closure99,137,17,-120
Closure100,8,38,30
Closure101,430,2775,2345
Closure102,574,4752,4178
Closure103,392,290,-102
Closure104,55,13,-42
Closure105,37,7,-30
Closure106,44,113,69
Closure107,1107,132,-975
Closure108,100,237,137
Closure109,2,33,31
Closure110,34,2,-32
Closure111,1,1,0
Closure112,359,89,-270
Closure113,66,17,-49
Closure114,490,215,-275
Closure115,71,8,-63
Closure116,702,10,-692
Closure117,645,280,-365
Closure118,1,2,1
Closure120,237,287,50
Closure121,733,388,-345
Closure122,9,9,0
Closure123,372,222,-150
Closure124,20,10,-10
Closure125,917,564,-353
Closure126,54,5,-49
Closure127,1350,194,-1156
Closure128,825,139,-686
Closure129,2022,2329,307
Closure130,452,545,93
Closure131,309,340,31
Closure132,248,80,-168
Closure133,85,597,512
Lang1,1,3,2
Lang2,3,3,0
Lang3,2,3,1
Lang4,3,2,-1
Lang5,1,1,0
Lang6,83,98,15
Lang7,6,122,116
Lang8,20,6,-14
Lang9,153,84,-69
Lang10,54,42,-12
Lang11,6,3,-3
Lang12,1,4,3
Lang13,2,5,3
Lang14,1,4,3
Lang15,18,12,-6
Lang16,58,27,-31
Lang17,6,102,96
Lang18,63,41,-22
Lang19,4,8,4
Lang20,2,8,6
Lang21,2,2,0
Lang22,27,26,-1
Lang24,1,64,63
Lang26,12,7,-5
Lang27,132,127,-5
Lang28,1,3,2
Lang30,1,8,7
Lang31,1,4,3
Lang32,2,26,24
Lang33,2,7,5
Lang34,81,53,-28
Lang35,1,2,1
Lang36,49,42,-7
Lang37,1,6,5
Lang38,3,3,0
Lang39,11,27,16
Lang40,1,2,1
Lang41,8,6,-2
Lang42,25,13,-12
Lang43,4,6,2
Lang44,10,3,-7
Lang45,3,10,7
Lang46,1,1,0
Lang47,10,5,-5
Lang48,2,2,0
Lang49,2,1,-1
Lang50,27,15,-12
Lang53,3,16,13
Lang54,3,3,0
Lang55,4,7,3
Lang57,2,6,4
Lang58,30,20,-10
Lang59,1,6,5
Lang60,3,2,-1
Lang61,1,8,7
Lang62,6,4,-2
Lang63,1,1,0
Lang64,5,4,-1
Lang65,6,7,1
Math1,31,11,-20
Math2,56,44,-12
Math3,2,3,1
Math4,5,17,12
Math5,1,1,0
Math6,22,64,42
Math7,46,42,-4
Math8,1,4,3
Math9,1,1,0
Math10,13,12,-1
Math11,91,31,-60
Math13,53,159,106
Math14,94,99,5
Math15,94,211,117
Math16,215,214,-1
Math17,38,258,220
Math18,121,14,-107
Math19,82,56,-26
Math20,71,598,527
Math21,38,41,3
Math22,1,1,0
Math23,127,148,21
Math24,96,150,54
Math25,1,1,0
Math26,50,38,-12
Math27,1,1,0
Math28,16,12,-4
Math29,1,6,5
Math30,20,41,21
Math31,28,101,73
Math32,2,4,2
Math33,45,44,-1
Math34,1,3,2
Math35,4,3,-1
Math36,1,2,1
Math37,25,13,-12
Math38,2,5,3
Math39,134,117,-17
Math40,45,33,-12
Math41,35,43,8
Math42,63,72,9
Math43,65,52,-13
Math44,43,14,-29
Math45,2,1,-1
Math46,1,1,0
Math47,6,2,-4
Math48,27,355,328
Math49,8,7,-1
Math50,1,1,0
Math51,21,30,9
Math52,14,22,8
Math53,1,1,0
Math54,384,306,-78
Math55,1,1,0
Math56,4,20,16
Math57,1,4,3
Math58,244,545,301
Math59,2,2,0
Math60,84,36,-48
Math61,1,1,0
Math62,121,128,7
Math63,1,1,0
Math64,137,143,6
Math65,5,41,36
Math66,11,37,26
Math67,86,8,-78
Math68,78,127,49
Math69,117,44,-73
Math70,1,1,0
Math71,1,1,0
Math72,1,1,0
Math73,3,1,-2
Math74,320,777,457
Math75,1,1,0
Math76,158,99,-59
Math77,1,19,18
Math78,9,117,108
Math79,28,29,1
Math80,5,14,9
Math81,3,10,7
Math82,156,151,-5
Math83,2,40,38
Math84,39,34,-5
Math85,47,77,30
Math86,64,71,7
Math87,5,115,110
Math88,1,1,0
Math89,1,1,0
Math90,3,3,0
Math91,1,1,0
Math92,1,2,1
Math93,2,2,0
Math94,5,6,1
Math95,15,15,0
Math96,9,5,-4
Math97,2,1,-1
Math98,2,4,2
Math99,1,4,3
Math100,18,9,-9
Math101,29,12,-17
Math102,1,3,2
Math103,34,32,-2
Math105,5,25,20
Math106,10,10,0
Mockito1,1,2,1
