Project,Statement,Rank1,Rank2,Difference
Chart1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797,33,42,9
Chart2,org.jfree.data.general.DatasetUtilities#755,105,102,-3
Chart2,org.jfree.data.general.DatasetUtilities#757,97,104,7
Chart2,org.jfree.data.general.DatasetUtilities#758,579,579,0
Chart2,org.jfree.data.general.DatasetUtilities#761,580,580,0
Chart2,org.jfree.data.general.DatasetUtilities#1242,90,92,2
Chart2,org.jfree.data.general.DatasetUtilities#1243,96,93,-3
Chart2,org.jfree.data.general.DatasetUtilities#1245,760,760,0
Chart2,org.jfree.data.general.DatasetUtilities#1248,761,761,0
Chart3,org.jfree.data.time.TimeSeries#1056,10,3,-7
Chart3,org.jfree.data.time.TimeSeries#1057,7,4,-3
Chart4,org.jfree.chart.plot.XYPlot#4493,55,165,110
Chart5,org.jfree.data.xy.XYSeries#548,8,8,0
Chart6,org.jfree.chart.util.ShapeList#111,54,57,3
Chart7,org.jfree.data.time.TimePeriodValues#300,70,81,11
Chart7,org.jfree.data.time.TimePeriodValues#302,116,82,-34
Chart8,org.jfree.data.time.Week#175,7,1,-6
Chart9,org.jfree.data.time.TimeSeries#944,15,14,-1
Chart10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#65,3,3,0
Chart11,org.jfree.chart.util.ShapeUtilities#275,3,5,2
Chart12,org.jfree.chart.plot.MultiplePiePlot#145,16,13,-3
Chart13,org.jfree.chart.block.BorderArrangement#454,72,47,-25
Chart14,org.jfree.chart.plot.XYPlot#2293,24,28,4
Chart14,org.jfree.chart.plot.XYPlot#2529,25,35,10
Chart14,org.jfree.chart.plot.CategoryPlot#2166,21,15,-6
Chart14,org.jfree.chart.plot.CategoryPlot#2448,32,22,-10
Chart15,org.jfree.chart.plot.PiePlot#1379,6721,6721,0
Chart15,org.jfree.chart.plot.PiePlot#2051,20,29,9
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#207,1,1,0
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#208,2,2,0
