Project,MinRank1,MinRank2,Difference
Chart1,33,42,9
Chart2,90,92,2
Chart3,7,3,-4
Chart4,55,165,110
Chart5,8,8,0
Chart6,54,57,3
Chart7,70,81,11
Chart8,7,1,-6
Chart9,15,14,-1
Chart10,3,3,0
Chart11,3,5,2
Chart12,16,13,-3
Chart13,72,47,-25
Chart14,21,15,-6
Chart15,20,29,9
Chart16,1,1,0
Chart17,2,2,0
Chart18,3,3,0
Chart19,2,1,-1
Chart20,8,5,-3
Chart21,3,3,0
Chart22,7,51,44
Chart24,1,3,2
Chart25,2520,2745,225
Chart26,34,134,100
Closure1,94,122,28
Closure2,87,96,9
Closure3,297,279,-18
Closure4,87,168,81
Closure5,103,154,51
Closure6,1,1,0
Closure7,2,2,0
Closure8,118,123,5
Closure9,3,1,-2
Closure10,196,264,68
Closure11,1084,2712,1628
Closure12,836,1081,245
Closure13,5404,5651,247
Closure14,1,1,0
Closure15,175,185,10
Closure16,96,93,-3
Closure17,92,114,22
Closure18,1023,1805,782
Closure19,2,9,7
Closure20,25,2,-23
Closure21,8,15,7
Closure22,8,14,6
Closure23,10,8,-2
Closure24,1,1,0
Closure25,112,107,-5
Closure26,9,11,2
Closure27,1,3,2
Closure29,296,357,61
Closure30,188,220,32
Closure31,1008,1492,484
Closure32,37,30,-7
Closure33,488,573,85
Closure34,259,199,-60
Closure35,8,6,-2
Closure36,842,1062,220
Closure37,678,967,289
Closure38,269,284,15
Closure39,58,73,15
Closure40,111,120,9
Closure41,624,902,278
Closure42,1,1,0
Closure43,306,465,159
Closure44,483,571,88
Closure45,212,280,68
Closure46,1,1,0
Closure47,218,274,56
Closure48,709,2192,1483
Closure49,936,1090,154
Closure50,90,76,-14
Closure51,247,274,27
Closure52,112,138,26
Closure53,45,47,2
Closure54,38,31,-7
Closure55,281,329,48
Closure56,29,50,21
Closure57,59,50,-9
Closure58,4,7,3
Closure59,4908,5974,1066
Closure60,22,26,4
Closure61,104,115,11
Closure62,1,4,3
Closure63,1,4,3
Closure64,892,1556,664
Closure65,271,283,12
Closure66,2893,2784,-109
Closure67,112,223,111
Closure68,4,3,-1
Closure69,2183,2398,215
Closure70,2451,2674,223
Closure71,272,390,118
Closure72,260,241,-19
Closure73,1322,1355,33
Closure74,15,38,23
Closure75,10,9,-1
Closure76,87,114,27
Closure77,1087,1329,242
Closure78,2,1,-1
Closure79,15,45,30
Closure80,18,58,40
Closure81,131,137,6
Closure82,378,599,221
Closure83,10,10,0
Closure84,143,172,29
Closure85,108,162,54
Closure86,1,1,0
Closure87,131,150,19
Closure88,64,69,5
Closure89,123,159,36
Closure90,27,46,19
Closure91,700,284,-416
Closure92,70,85,15
Closure93,70,85,15
Closure94,2,1,-1
Closure95,1238,1640,402
Closure96,259,424,165
Closure97,18,1,-17
Closure98,281,425,144
