Project,now,before,Difference
Chart1,45,42,-3
Chart2,95,92,-3
Chart3,6,3,-3
Chart4,90,179,89
Chart5,8,8,0
Chart6,77,104,27
Chart7,77,81,4
Chart8,7,1,-6
Chart9,14,14,0
Chart10,3,3,0
Chart11,3,5,2
Chart12,16,13,-3
Chart13,65,47,-18
Chart14,15,6,-9
Chart15,26,29,3
Chart16,1,1,0
Chart17,2,2,0
Chart18,3,3,0
Chart19,2,1,-1
Chart20,13,5,-8
Chart21,2,3,1
Chart22,3,12,9
Chart24,1,3,2
Chart25,2493,2640,147
Chart26,10,134,124
Closure1,365,619,254
Closure2,60,66,6
Closure3,365,279,-86
Closure4,42,191,149
Closure5,171,154,-17
Closure6,1,1,0
Closure7,2,2,0
Closure8,214,123,-91
Closure9,1,1,0
Closure10,237,221,-16
Closure11,302,1147,845
Closure12,782,1081,299
Closure13,3075,5651,2576
Closure14,4,4,0
Closure15,202,185,-17
Closure16,186,200,14
Closure17,75,86,11
Closure18,792,2060,1268
Closure19,1,1,0
Closure20,23,2,-21
Closure21,6,6,0
Closure22,4,4,0
Closure23,10,8,-2
Closure24,1,1,0
Closure25,107,107,0
Closure26,8,5,-3
Closure27,1,3,2
Closure29,302,432,130
Closure30,228,242,14
Closure31,560,1664,1104
Closure32,41,35,-6
Closure33,902,510,-392
Closure34,910,230,-680
Closure35,6,6,0
Closure36,962,1062,100
Closure37,200,1226,1026
Closure38,1147,345,-802
Closure39,21,21,0
Closure40,123,120,-3
Closure41,559,695,136
Closure42,1,1,0
Closure43,150,506,356
Closure44,459,778,319
Closure45,370,280,-90
Closure46,1,1,0
Closure47,218,338,120
Closure48,401,389,-12
Closure49,1014,1260,246
Closure50,96,88,-8
Closure51,659,326,-333
Closure52,151,116,-35
Closure53,79,47,-32
Closure54,81,55,-26
Closure55,570,329,-241
Closure56,49,65,16
Closure57,78,25,-53
Closure58,4,7,3
Closure59,2724,6779,4055
Closure60,27,19,-8
Closure61,535,138,-397
Closure62,1,4,3
Closure63,1,4,3
Closure64,453,1484,1031
Closure65,134,78,-56
Closure66,1682,2743,1061
Closure67,119,281,162
Closure68,4,3,-1
Closure69,902,1006,104
Closure70,924,2011,1087
Closure71,256,284,28
Closure72,1147,241,-906
Closure73,1331,305,-1026
Closure74,76,117,41
Closure75,8,8,0
Closure76,109,136,27
Closure77,951,306,-645
Closure78,2,1,-1
Closure79,30,51,21
Closure80,10,13,3
Closure81,192,173,-19
Closure82,872,1092,220
Closure83,41,10,-31
