Project,Statement,Rank1,Rank2,Difference
Chart1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797,33,42,9
Chart2,org.jfree.data.general.DatasetUtilities#755,103,102,-1
Chart2,org.jfree.data.general.DatasetUtilities#757,97,104,7
Chart2,org.jfree.data.general.DatasetUtilities#758,579,579,0
Chart2,org.jfree.data.general.DatasetUtilities#761,580,580,0
Chart2,org.jfree.data.general.DatasetUtilities#1242,90,92,2
Chart2,org.jfree.data.general.DatasetUtilities#1243,96,93,-3
Chart2,org.jfree.data.general.DatasetUtilities#1245,760,760,0
Chart2,org.jfree.data.general.DatasetUtilities#1248,761,761,0
Chart3,org.jfree.data.time.TimeSeries#1056,11,3,-8
Chart3,org.jfree.data.time.TimeSeries#1057,7,4,-3
Chart4,org.jfree.chart.plot.XYPlot#4493,52,179,127
Chart5,org.jfree.data.xy.XYSeries#548,8,8,0
Chart6,org.jfree.chart.util.ShapeList#111,92,104,12
Chart7,org.jfree.data.time.TimePeriodValues#300,69,81,12
Chart7,org.jfree.data.time.TimePeriodValues#302,116,82,-34
Chart8,org.jfree.data.time.Week#175,7,1,-6
Chart9,org.jfree.data.time.TimeSeries#944,16,14,-2
Chart10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#65,3,3,0
Chart11,org.jfree.chart.util.ShapeUtilities#275,3,5,2
Chart12,org.jfree.chart.plot.MultiplePiePlot#145,15,13,-2
Chart13,org.jfree.chart.block.BorderArrangement#454,72,47,-25
Chart14,org.jfree.chart.plot.XYPlot#2293,19,19,0
Chart14,org.jfree.chart.plot.XYPlot#2529,20,26,6
Chart14,org.jfree.chart.plot.CategoryPlot#2166,16,6,-10
Chart14,org.jfree.chart.plot.CategoryPlot#2448,23,13,-10
Chart15,org.jfree.chart.plot.PiePlot#1379,6721,6721,0
Chart15,org.jfree.chart.plot.PiePlot#2051,15,29,14
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#207,4,1,-3
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#208,10,2,-8
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#338,40,37,-3
Chart17,org.jfree.data.time.TimeSeries#857,1,2,1
Chart18,org.jfree.data.DefaultKeyedValues#318,4,3,-1
Chart18,org.jfree.data.DefaultKeyedValues#335,1,9,8
Chart18,org.jfree.data.DefaultKeyedValues2D#455,8,10,2
Chart18,org.jfree.data.DefaultKeyedValues2D#458,9,13,4
Chart18,org.jfree.data.DefaultKeyedValues2D#460,18,15,-3
Chart19,org.jfree.chart.plot.CategoryPlot#698,6,1,-5
Chart19,org.jfree.chart.plot.CategoryPlot#973,2,2,0
Chart20,org.jfree.chart.plot.ValueMarker#95,8,5,-3
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#158,25,80,55
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#159,55,81,26
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#160,92,82,-10
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#162,66,83,17
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#163,104,84,-20
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#164,97,85,-12
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#167,54,86,32
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#168,79,87,8
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#169,75,88,13
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#170,95,89,-6
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#172,22,24,2
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#173,3,3,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#174,4,4,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#175,6,5,-1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#178,90,90,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#179,71,91,20
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#180,64,92,28
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#181,84,93,9
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#183,17,12,-5
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#184,481,481,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#185,482,482,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#186,483,483,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#740,8,13,5
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#741,18,14,-4
Chart22,org.jfree.data.KeyedObjects2D#231,7,19,12
Chart22,org.jfree.data.KeyedObjects2D#233,31,21,-10
Chart22,org.jfree.data.KeyedObjects2D#378,2,12,10
Chart22,org.jfree.data.KeyedObjects2D#345,55,73,18
Chart24,org.jfree.chart.renderer.GrayPaintScale#126,1,3,2
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#260,2502,2640,138
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#315,816,2659,1843
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#459,1617,2956,1339
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#404,2705,2937,232
Chart26,org.jfree.chart.axis.Axis#1192,4,134,130
Closure1,com.google.javascript.jscomp.RemoveUnusedVars#380,221,619,398
Closure2,com.google.javascript.jscomp.TypeCheck#1574,51,66,15
Closure3,com.google.javascript.jscomp.FlowSensitiveInlineVariables#155,368,441,73
Closure3,com.google.javascript.jscomp.FlowSensitiveInlineVariables#376,302,279,-23
Closure4,com.google.javascript.rhino.jstype.NamedType#190,91,191,100
Closure4,com.google.javascript.rhino.jstype.NamedType#202,17972,17972,0
Closure5,com.google.javascript.jscomp.InlineObjectLiterals#169,203,166,-37
Closure5,com.google.javascript.jscomp.InlineObjectLiterals#185,100,154,54
Closure6,com.google.javascript.jscomp.TypeValidator#366,107,116,9
Closure6,com.google.javascript.jscomp.TypeValidator#367,1,1,0
Closure6,com.google.javascript.jscomp.TypeValidator#405,1569,720,-849
Closure6,com.google.javascript.jscomp.TypeValidator#406,9,3,-6
Closure7,com.google.javascript.jscomp.type.ChainableReverseAbstractInterpreter#613,2,2,0
Closure8,com.google.javascript.jscomp.CollapseVariableDeclarations#202,118,123,5
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#183,2866,2866,0
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#120,3,11,8
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#121,34,1,-33
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#124,5,12,7
Closure10,com.google.javascript.jscomp.NodeUtil#1417,171,221,50
Closure11,com.google.javascript.jscomp.TypeCheck#1314,829,1245,416
Closure11,com.google.javascript.jscomp.TypeCheck#1315,408,1147,739
Closure12,com.google.javascript.jscomp.MaybeReachingVariableUse#160,833,1081,248
Closure13,com.google.javascript.jscomp.PeepholeOptimizationsPass#126,5404,5651,247
Closure13,com.google.javascript.jscomp.PeepholeOptimizationsPass#128,5521,5653,132
Closure13,com.google.javascript.jscomp.PeepholeOptimizationsPass#127,5829,5652,-177
Closure14,com.google.javascript.jscomp.ControlFlowAnalysis#767,1,4,3
Closure15,com.google.javascript.jscomp.FlowSensitiveInlineVariables#94,168,189,21
Closure15,com.google.javascript.jscomp.FlowSensitiveInlineVariables#98,202,185,-17
Closure15,com.google.javascript.jscomp.FlowSensitiveInlineVariables#103,193,186,-7
Closure16,com.google.javascript.jscomp.ScopedAliases#174,238,200,-38
Closure16,com.google.javascript.jscomp.ScopedAliases#180,155,203,48
Closure16,com.google.javascript.jscomp.ScopedAliases#468,153,215,62
Closure16,com.google.javascript.jscomp.ScopedAliases#175,224,201,-23
Closure17,com.google.javascript.jscomp.TypedScopeCreator#1291,101,87,-14
Closure17,com.google.javascript.jscomp.TypedScopeCreator#1295,58,86,28
Closure18,com.google.javascript.jscomp.Compiler#1288,1594,2060,466
Closure19,com.google.javascript.jscomp.type.ChainableReverseAbstractInterpreter#175,1,1,0
Closure20,com.google.javascript.jscomp.PeepholeSubstituteAlternateSyntax#220,25,2,-23
Closure21,com.google.javascript.jscomp.CheckSideEffects#101,552,584,32
Closure21,com.google.javascript.jscomp.CheckSideEffects#113,506,588,82
Closure21,com.google.javascript.jscomp.CheckSideEffects#114,17,21,4
Closure21,com.google.javascript.jscomp.CheckSideEffects#115,4,6,2
Closure21,com.google.javascript.jscomp.CheckSideEffects#117,15,22,7
Closure21,com.google.javascript.jscomp.CheckSideEffects#118,2,7,5
Closure21,com.google.javascript.jscomp.CheckSideEffects#119,3,8,5
Closure21,com.google.javascript.jscomp.CheckSideEffects#120,7,9,2
Closure21,com.google.javascript.jscomp.CheckSideEffects#121,14,10,-4
Closure21,com.google.javascript.jscomp.CheckSideEffects#125,620,589,-31
Closure21,com.google.javascript.jscomp.CheckSideEffects#126,508,554,46
Closure21,com.google.javascript.jscomp.CheckSideEffects#127,561,555,-6
Closure21,com.google.javascript.jscomp.CheckSideEffects#130,736,590,-146
Closure22,com.google.javascript.jscomp.CheckSideEffects#101,483,587,104
Closure22,com.google.javascript.jscomp.CheckSideEffects#102,16,17,1
Closure22,com.google.javascript.jscomp.CheckSideEffects#103,14,18,4
Closure22,com.google.javascript.jscomp.CheckSideEffects#104,4075,4075,0
Closure22,com.google.javascript.jscomp.CheckSideEffects#105,4076,4076,0
Closure22,com.google.javascript.jscomp.CheckSideEffects#111,11,19,8
Closure22,com.google.javascript.jscomp.CheckSideEffects#112,5,20,15
Closure22,com.google.javascript.jscomp.CheckSideEffects#113,7,21,14
Closure22,com.google.javascript.jscomp.CheckSideEffects#114,15,22,7
Closure22,com.google.javascript.jscomp.CheckSideEffects#115,2,4,2
Closure22,com.google.javascript.jscomp.CheckSideEffects#116,22,23,1
Closure22,com.google.javascript.jscomp.CheckSideEffects#117,17,24,7
Closure22,com.google.javascript.jscomp.CheckSideEffects#122,19,25,6
Closure22,com.google.javascript.jscomp.CheckSideEffects#123,559,565,6
Closure22,com.google.javascript.jscomp.CheckSideEffects#134,158,171,13
Closure22,com.google.javascript.jscomp.CheckSideEffects#135,4077,4077,0
Closure22,com.google.javascript.jscomp.CheckSideEffects#136,134,154,20
Closure22,com.google.javascript.jscomp.CheckSideEffects#137,4078,4078,0
Closure23,com.google.javascript.jscomp.PeepholeFoldConstants#1451,12,8,-4
Closure24,com.google.javascript.jscomp.ScopedAliases#278,48,40,-8
Closure24,com.google.javascript.jscomp.ScopedAliases#279,59,26,-33
Closure24,com.google.javascript.jscomp.ScopedAliases#293,1,1,0
Closure25,com.google.javascript.jscomp.TypeInference#1038,176,192,16
Closure25,com.google.javascript.jscomp.TypeInference#1054,250,176,-74
Closure25,com.google.javascript.jscomp.TypeInference#1059,221,197,-24
Closure25,com.google.javascript.jscomp.TypeInference#1060,114,107,-7
Closure26,com.google.javascript.jscomp.ProcessCommonJSModules#127,10,5,-5
Closure26,com.google.javascript.jscomp.ProcessCommonJSModules#208,31,21,-10
Closure27,com.google.javascript.rhino.IR#224,7,12,5
Closure27,com.google.javascript.rhino.IR#225,526,526,0
Closure27,com.google.javascript.rhino.IR#233,1,3,2
Closure29,com.google.javascript.jscomp.InlineObjectLiterals#157,1139,606,-533
Closure29,com.google.javascript.jscomp.InlineObjectLiterals#217,253,432,179
Closure30,com.google.javascript.jscomp.MustBeReachingVariableDef#396,484,473,-11
Closure30,com.google.javascript.jscomp.FlowSensitiveInlineVariables#157,1006,957,-49
