Project,MinRank1,MinRank2,Difference
Chart1,33,42,9
Chart2,90,92,2
Chart3,7,3,-4
Chart4,52,179,127
Chart5,8,8,0
Chart6,92,104,12
Chart7,69,81,12
Chart8,7,1,-6
Chart9,16,14,-2
Chart10,3,3,0
Chart11,3,5,2
Chart12,15,13,-2
Chart13,72,47,-25
Chart14,16,6,-10
Chart15,15,29,14
Chart16,4,1,-3
Chart17,1,2,1
Chart18,1,3,2
Chart19,2,1,-1
Chart20,8,5,-3
Chart21,3,3,0
Chart22,2,12,10
Chart24,1,3,2
Chart25,816,2640,1824
Chart26,4,134,130
Closure1,221,619,398
Closure2,51,66,15
Closure3,302,279,-23
Closure4,91,191,100
Closure5,100,154,54
Closure6,1,1,0
Closure7,2,2,0
Closure8,118,123,5
Closure9,3,1,-2
Closure10,171,221,50
Closure11,408,1147,739
Closure12,833,1081,248
Closure13,5404,5651,247
Closure14,1,4,3
Closure15,168,185,17
Closure16,153,200,47
Closure17,58,86,28
Closure18,1594,2060,466
Closure19,1,1,0
Closure20,25,2,-23
Closure21,2,6,4
Closure22,2,4,2
Closure23,12,8,-4
Closure24,1,1,0
Closure25,114,107,-7
Closure26,10,5,-5
Closure27,1,3,2
Closure29,253,432,179
Closure30,210,242,32
Closure31,1289,1664,375
Closure32,55,35,-20
Closure33,437,510,73
Closure34,341,230,-111
Closure35,8,6,-2
Closure36,807,1062,255
Closure37,820,1226,406
Closure38,333,345,12
Closure39,17,21,4
Closure40,111,120,9
Closure41,529,695,166
Closure42,1,1,0
Closure43,320,506,186
Closure44,639,778,139
Closure45,211,280,69
Closure46,1,1,0
Closure47,93,338,245
Closure48,276,389,113
Closure49,1105,1260,155
Closure50,99,88,-11
Closure51,294,326,32
Closure52,91,116,25
Closure53,45,47,2
Closure54,56,55,-1
Closure55,276,329,53
Closure56,46,65,19
Closure57,38,25,-13
Closure58,3,7,4
Closure59,5583,6779,1196
Closure60,22,19,-3
Closure61,136,138,2
Closure62,1,4,3
Closure63,1,4,3
Closure64,819,1484,665
Closure65,74,78,4
Closure66,2844,2743,-101
Closure67,161,281,120
Closure68,4,3,-1
Closure69,816,1006,190
Closure70,1277,2011,734
Closure71,146,284,138
Closure72,260,241,-19
Closure73,345,305,-40
Closure74,48,117,69
Closure75,8,8,0
Closure76,94,136,42
Closure77,300,306,6
Closure78,7,1,-6
Closure79,21,51,30
Closure80,9,13,4
Closure81,142,173,31
Closure82,797,1092,295
Closure83,10,10,0
Closure84,158,195,37
Closure85,110,164,54
Closure86,2,2,0
Closure87,130,150,20
Closure88,73,69,-4
Closure89,141,164,23
Closure90,27,46,19
Closure91,712,284,-428
Closure92,70,85,15
Closure93,70,85,15
Closure94,4,4,0
Closure95,1505,1764,259
Closure96,210,247,37
Closure97,18,1,-17
Closure98,279,425,146
