Project,now,before,Difference
Chart1,37,42,5
Chart2,90,92,2
Chart3,6,3,-3
Chart4,119,171,52
Chart5,8,8,0
Chart6,62,57,-5
Chart7,74,81,7
Chart8,7,1,-6
Chart9,14,14,0
Chart10,3,3,0
Chart11,3,5,2
Chart12,15,13,-2
Chart13,65,47,-18
Chart14,15,6,-9
Chart15,26,29,3
Chart16,1,1,0
Chart17,2,2,0
Chart18,3,3,0
Chart19,2,1,-1
Chart20,7,5,-2
Chart21,2,3,1
Chart22,3,12,9
Chart24,1,3,2
Chart25,2493,2640,147
Chart26,14,134,120
Closure1,220,240,20
Closure2,95,95,0
Closure3,288,279,-9
Closure4,91,168,77
Closure5,128,154,26
Closure6,1,1,0
Closure7,2,2,0
Closure8,122,123,1
Closure9,1,1,0
Closure10,210,264,54
Closure11,547,2712,2165
Closure12,912,1081,169
Closure13,5626,5651,25
Closure14,3,3,0
Closure15,185,185,0
Closure16,116,111,-5
Closure17,104,114,10
Closure18,959,1805,846
Closure19,1,1,0
Closure20,23,2,-21
Closure21,6,7,1
Closure22,2,2,0
Closure23,10,8,-2
Closure24,1,1,0
Closure25,107,107,0
Closure26,9,5,-4
Closure27,1,3,2
Closure29,421,394,-27
Closure30,217,222,5
Closure31,1019,1492,473
Closure32,41,35,-6
Closure33,577,573,-4
Closure34,485,199,-286
Closure35,6,6,0
Closure36,1017,1062,45
Closure37,521,967,446
Closure38,490,284,-206
Closure39,56,68,12
Closure40,114,120,6
Closure41,695,902,207
Closure42,1,1,0
Closure43,271,465,194
Closure44,533,571,38
Closure45,236,280,44
Closure46,1,1,0
Closure47,218,336,118
Closure48,498,2192,1694
Closure49,1170,1172,2
Closure50,95,88,-7
Closure51,376,274,-102
Closure52,114,138,24
Closure53,46,47,1
Closure54,41,39,-2
Closure55,324,329,5
Closure56,44,59,15
Closure57,54,48,-6
Closure58,4,7,3
Closure59,4644,5974,1330
Closure60,24,29,5
Closure61,114,115,1
Closure62,1,4,3
Closure63,1,4,3
Closure64,699,1556,857
Closure65,71,71,0
Closure66,2944,2781,-163
Closure67,173,223,50
Closure68,4,3,-1
Closure69,1730,2435,705
Closure70,2275,2674,399
Closure71,285,383,98
Closure72,331,241,-90
Closure73,1445,1355,-90
Closure74,65,71,6
Closure75,8,8,0
Closure76,107,116,9
Closure77,1110,1329,219
Closure78,2,1,-1
Closure79,31,49,18
Closure80,19,20,1
Closure81,167,137,-30
Closure82,545,599,54
Closure83,10,10,0
Closure84,131,172,41
Closure85,158,162,4
Closure86,2,2,0
Closure87,145,150,5
Closure88,70,69,-1
Closure89,142,164,22
Closure90,46,46,0
Closure91,478,284,-194
Closure92,74,85,11
Closure93,74,85,11
Closure94,4,4,0
Closure95,1514,1640,126
Closure96,283,424,141
Closure97,18,1,-17
Closure98,260,425,165
Closure99,40,22,-18
Closure100,7,7,0
Closure101,1510,2775,1265
Closure102,4145,4752,607
Closure103,236,290,54
Closure104,8,13,5
Closure105,37,7,-30
Closure106,5,26,21
Closure107,148,132,-16
Closure108,185,237,52
Closure109,11,33,22
Closure110,5,2,-3
Closure111,1,1,0
Closure112,84,89,5
Closure113,14,17,3
Closure114,173,215,42
Closure115,8,8,0
Closure116,14,14,0
Closure117,273,279,6
Closure118,1,2,1
Closure120,188,285,97
Closure121,373,388,15
Closure122,9,9,0
Closure123,196,219,23
Closure124,8,10,2
Closure125,594,563,-31
Closure126,54,5,-49
Closure127,205,200,-5
Closure128,148,133,-15
Closure129,2616,2329,-287
Closure130,453,545,92
Closure131,303,340,37
Closure132,81,80,-1
Closure133,297,597,300
Lang1,1,3,2
Lang2,2,3,1
Lang3,3,3,0
Lang4,2,2,0
Lang5,1,1,0
Lang6,99,98,-1
Lang7,10,122,112
Lang8,7,8,1
Lang9,124,92,-32
Lang10,48,48,0
Lang11,6,3,-3
Lang12,2,5,3
Lang13,2,5,3
Lang14,1,4,3
Lang15,184,191,7
Lang16,47,27,-20
Lang17,66,102,36
Lang18,49,41,-8
Lang19,8,8,0
Lang20,2,8,6
Lang21,2,2,0
Lang22,27,26,-1
Lang24,1,64,63
Lang26,9,7,-2
Lang27,132,127,-5
Lang28,1,3,2
Lang30,1,8,7
Lang31,1,4,3
Lang32,3,26,23
Lang33,2,7,5
Lang34,61,61,0
Lang35,1,2,1
Lang36,49,42,-7
Lang37,1,6,5
Lang38,3,3,0
Lang39,11,27,16
Lang40,1,2,1
Lang41,5,6,1
Lang42,13,13,0
Lang43,4,6,2
Lang44,10,3,-7
Lang45,3,10,7
Lang46,1,1,0
Lang47,5,5,0
Lang48,2,2,0
Lang49,2,1,-1
Lang50,12,8,-4
Lang53,8,16,8
Lang54,2,3,1
Lang55,6,7,1
Lang57,2,6,4
Lang58,25,20,-5
Lang59,1,6,5
Lang60,3,2,-1
Lang61,14,21,7
Lang62,6,4,-2
Lang63,1,1,0
Lang64,4,4,0
Lang65,6,7,1
Math1,17,11,-6
Math2,43,44,1
Math3,2,3,1
Math4,5,17,12
Math5,1,1,0
Math6,70,170,100
Math7,41,42,1
Math8,1,4,3
Math9,1,1,0
Math10,13,12,-1
Math11,70,31,-39
Math13,78,159,81
Math14,96,99,3
Math15,212,211,-1
Math16,214,214,0
Math17,85,258,173
Math18,25,14,-11
Math19,56,56,0
Math20,112,598,486
Math21,39,41,2
Math22,1,1,0
Math23,148,148,0
Math24,149,150,1
Math25,1,1,0
Math26,33,38,5
Math27,1,1,0
Math28,13,12,-1
Math29,1,6,5
Math30,17,41,24
Math31,75,101,26
Math32,2,4,2
Math33,27,44,17
Math34,1,3,2
Math35,4,3,-1
Math36,1,2,1
Math37,6,6,0
Math38,2,5,3
Math39,141,117,-24
Math40,34,33,-1
Math41,35,43,8
Math42,58,72,14
Math43,73,62,-11
Math44,10,14,4
Math45,2,1,-1
Math46,1,1,0
Math47,2,2,0
Math48,170,355,185
Math49,7,7,0
Math50,1,1,0
Math51,24,30,6
Math52,14,22,8
Math53,1,1,0
Math54,320,306,-14
Math55,1,1,0
Math56,4,20,16
Math57,1,4,3
Math58,521,545,24
Math59,2,2,0
Math60,35,36,1
Math61,1,1,0
Math62,121,128,7
Math63,1,1,0
Math64,136,143,7
Math65,5,41,36
Math66,59,81,22
Math67,86,8,-78
Math68,127,127,0
Math69,58,44,-14
Math70,1,1,0
Math71,1,1,0
Math72,1,1,0
Math73,2,1,-1
Math74,738,777,39
Math75,1,1,0
Math76,90,99,9
Math77,1,19,18
Math78,29,117,88
Math79,29,29,0
Math80,5,14,9
Math81,3,10,7
Math82,164,151,-13
Math83,5,40,35
Math84,47,45,-2
Math85,63,77,14
Math86,75,71,-4
Math87,103,115,12
Math88,1,1,0
Math89,1,1,0
Math90,3,3,0
Math91,1,1,0
Math92,1,2,1
Math93,2,2,0
Math94,6,6,0
Math95,13,15,2
Math96,6,5,-1
Math97,2,1,-1
Math98,2,4,2
Math99,1,4,3
Math100,10,9,-1
Math101,12,12,0
Math102,1,3,2
Math103,32,32,0
Math105,5,25,20
Math106,10,10,0
Mockito1,1,2,1
Mockito2,4,3,-1
Mockito3,1,1,0
Mockito4,4,5,1
Mockito5,4060,4060,0
Mockito6,1,1,0
Mockito7,39,50,11
Mockito8,29,31,2
Mockito9,1827,1827,0
Mockito10,15,12,-3
Mockito11,1,1,0
Mockito12,1,2,1
Mockito13,84,85,1
Mockito14,78,96,18
Mockito15,146,178,32
Mockito16,5,4,-1
Mockito17,2,4,2
Mockito18,1,5,4
Mockito19,13,12,-1
Mockito20,89,71,-18
Mockito21,2,1,-1
Mockito22,9,11,2
Mockito23,281,282,1
Mockito24,5,5,0
Mockito25,62,62,0
Mockito27,41,42,1
Mockito28,182,198,16
Mockito29,29,31,2
Mockito30,1,1,0
Mockito31,2,2,0
Mockito32,3,2,-1
Mockito33,70,82,12
Mockito34,49,51,2
Mockito35,1,1,0
Mockito36,4,4,0
Mockito37,6,4,-2
Mockito38,2,2,0
Time1,2,2,0
Time2,3,3,0
Time3,2,1,-1
Time4,11,30,19
Time5,26,26,0
Time6,1,3,2
Time7,13,16,3
Time8,24,24,0
Time9,3,3,0
Time10,182,197,15
Time11,414,448,34
Time12,3,4,1
Time13,20,19,-1
Time14,2,5,3
Time15,2,2,0
Time16,9,7,-2
Time17,1,5,4
Time18,2,3,1
Time19,560,620,60
Time20,980,942,-38
Time21,33,33,0
Time22,10,16,6
Time23,134,41,-93
Time24,406,466,60
Time25,253,306,53
Time26,291,396,105
Time27,280,346,66
