Project,Statement,Rank1,Rank2,Difference
Chart1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797,26,42,16
Chart2,org.jfree.data.general.DatasetUtilities#755,117,102,-15
Chart2,org.jfree.data.general.DatasetUtilities#757,102,104,2
Chart2,org.jfree.data.general.DatasetUtilities#758,579,579,0
Chart2,org.jfree.data.general.DatasetUtilities#761,580,580,0
Chart2,org.jfree.data.general.DatasetUtilities#1242,92,92,0
Chart2,org.jfree.data.general.DatasetUtilities#1243,109,93,-16
Chart2,org.jfree.data.general.DatasetUtilities#1245,760,760,0
Chart2,org.jfree.data.general.DatasetUtilities#1248,761,761,0
Chart3,org.jfree.data.time.TimeSeries#1056,12,3,-9
Chart3,org.jfree.data.time.TimeSeries#1057,7,4,-3
Chart4,org.jfree.chart.plot.XYPlot#4493,23,171,148
Chart5,org.jfree.data.xy.XYSeries#548,7,8,1
Chart6,org.jfree.chart.util.ShapeList#111,61,57,-4
Chart7,org.jfree.data.time.TimePeriodValues#300,70,81,11
Chart7,org.jfree.data.time.TimePeriodValues#302,116,82,-34
Chart8,org.jfree.data.time.Week#175,7,1,-6
Chart9,org.jfree.data.time.TimeSeries#944,29,14,-15
Chart10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#65,3,3,0
Chart11,org.jfree.chart.util.ShapeUtilities#275,3,5,2
Chart12,org.jfree.chart.plot.MultiplePiePlot#145,18,13,-5
Chart13,org.jfree.chart.block.BorderArrangement#454,79,47,-32
Chart14,org.jfree.chart.plot.XYPlot#2293,18,19,1
Chart14,org.jfree.chart.plot.XYPlot#2529,19,26,7
Chart14,org.jfree.chart.plot.CategoryPlot#2166,15,6,-9
Chart14,org.jfree.chart.plot.CategoryPlot#2448,23,13,-10
Chart15,org.jfree.chart.plot.PiePlot#1379,6721,6721,0
Chart15,org.jfree.chart.plot.PiePlot#2051,5,29,24
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#207,11,1,-10
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#208,14,2,-12
