Project,now,before,Difference
Lang-32,2,26,24
Lang-24,1,64,63
Lang-40,1,2,1
Lang-4,5,2,-3
Lang-19,1,8,7
Lang-35,1,2,1
Lang-50,20,8,-12
Lang-29,-1,-1,0
Lang-14,1,4,3
Lang-2,1,3,2
Lang-49,1,1,0
Lang-47,15,5,-10
Lang-5,1,1,0
Lang-16,72,27,-45
Lang-3,2,3,1
Lang-11,6,3,-3
Lang-6,87,98,11
Lang-13,3,5,2
Lang-23,-1,-1,0
Lang-17,8,102,94
Lang-18,70,41,-29
Lang-63,2,1,-1
Lang-26,9,7,-2
Lang-31,1,4,3
Lang-61,2,21,19
Lang-65,1,7,6
Lang-60,3,2,-1
Lang-52,-1,-1,0
Lang-53,2,16,14
Lang-51,-1,-1,0
Lang-58,54,20,-34
Lang-1,2,3,1
Lang-59,1,6,5
Lang-22,46,26,-20
Lang-39,10,27,17
Lang-56,-1,-1,0
Lang-28,1,3,2
Lang-41,8,6,-2
Lang-21,2,2,0
Lang-43,11,6,-5
Lang-45,3,10,7
Lang-37,1,6,5
Lang-7,3,122,119
Lang-25,-1,-1,0
Lang-12,1,5,4
Lang-64,18,4,-14
Lang-44,9,3,-6
Lang-62,18,4,-14
Lang-38,7,3,-4
Lang-15,41,191,150
Lang-10,33,48,15
Lang-8,32,8,-24
Lang-36,44,42,-2
Lang-33,5,7,2
Lang-34,41,61,20
Lang-46,1,1,0
Lang-55,2,7,5
Lang-20,2,8,6
Lang-42,28,13,-15
Lang-48,6,2,-4
Lang-30,1,8,7
Lang-9,253,92,-161
Lang-57,2,6,4
Lang-54,4,3,-1
Lang-27,40,127,87
Time-24,405,466,61
Time-4,9,30,21
Time-19,193,620,427
Time-14,2,5,3
Time-2,6,3,-3
Time-5,14,26,12
Time-16,17,7,-10
Time-3,6,1,-5
Time-11,95,448,353
Time-6,1,3,2
Time-13,41,19,-22
Time-23,118,41,-77
Time-17,2,5,3
Time-18,4,3,-1
Time-26,76,396,320
Time-1,3,2,-1
Time-22,17,16,-1
Time-21,7,33,26
Time-7,21,16,-5
Time-25,99,306,207
Time-12,3,4,1
Time-15,2,2,0
Time-10,158,197,39
Time-8,34,24,-10
Time-20,1108,942,-166
Time-9,7,3,-4
Time-27,131,346,215
Math-69,178,44,-134
Math-32,4,4,0
Math-73,4,1,-3
Math-24,86,150,64
Math-40,28,33,5
Math-4,16,17,1
Math-91,1,1,0
Math-74,334,777,443
Math-106,40,10,-30
Math-19,62,56,-6
Math-35,6,3,-3
Math-78,8,117,109
Math-103,29,32,3
Math-50,1,1,0
Math-29,2,6,4
Math-87,5,115,110
Math-14,59,99,40
Math-81,6,10,4
Math-2,53,44,-9
Math-49,20,7,-13
Math-47,3,2,-1
Math-92,1,2,1
Math-86,59,71,12
Math-66,19,81,62
Math-75,1,1,0
Math-82,153,151,-2
Math-76,179,99,-80
Math-93,2,2,0
Math-5,1,1,0
Math-67,89,8,-81
Math-16,121,214,93
Math-3,2,3,1
Math-11,113,31,-82
Math-6,81,170,89
Math-13,49,159,110
Math-23,103,148,45
Math-17,16,258,242
Math-18,136,14,-122
Math-63,1,1,0
Math-26,38,38,0
Math-31,25,101,76
Math-61,13,1,-12
Math-77,3,19,16
Math-65,13,41,28
Math-60,47,36,-11
Math-52,21,22,1
Math-53,3,1,-2
Math-51,2,30,28
Math-58,142,545,403
Math-97,4,1,-3
Math-1,25,11,-14
Math-59,4,2,-2
Math-22,1,1,0
Math-39,132,117,-15
Math-100,12,9,-3
Math-56,6,20,14
Math-28,8,12,4
Math-41,39,43,4
Math-21,4,41,37
Math-96,9,5,-4
Math-43,60,62,2
Math-68,5,127,122
Math-45,3,1,-2
Math-37,17,6,-11
Math-83,1,40,39
Math-7,14,42,28
Math-25,7,1,-6
Math-85,40,77,37
Math-90,1,3,2
Math-89,1,1,0
Math-95,21,15,-6
Math-12,-1,-1,0
Math-88,2,1,-1
Math-64,13,143,130
Math-101,57,12,-45
Math-71,1,1,0
Math-99,1,4,3
Math-105,5,25,20
Math-44,26,14,-12
Math-62,122,128,6
Math-94,1,6,5
Math-84,2,45,43
Math-79,5,29,24
Math-38,3,5,2
Math-15,121,211,90
Math-10,59,12,-47
Math-98,3,4,1
Math-102,1,3,2
Math-8,3,4,1
Math-36,2,2,0
Math-33,35,44,9
Math-72,2,1,-1
Math-104,-1,-1,0
Math-34,1,3,2
Math-46,1,1,0
Math-80,10,14,4
Math-55,4,1,-3
Math-20,68,598,530
Math-42,132,72,-60
Math-48,7,355,348
Math-30,47,41,-6
Math-9,1,1,0
Math-57,3,4,1
Math-54,382,306,-76
Math-27,1,1,0
Math-70,1,1,0
Chart-24,2,3,1
Chart-4,8,171,163
Chart-19,3,1,-2
Chart-14,24,6,-18
Chart-2,89,92,3
Chart-5,10,8,-2
Chart-16,8,1,-7
Chart-3,13,3,-10
Chart-11,3,5,2
Chart-6,64,57,-7
Chart-13,120,47,-73
Chart-23,-1,-1,0
Chart-17,2,2,0
Chart-18,1,3,2
Chart-26,10,134,124
Chart-1,35,42,7
Chart-22,1,12,11
Chart-21,3,3,0
Chart-7,73,81,8
Chart-25,110,2640,2530
Chart-12,22,13,-9
Chart-15,6,29,23
Chart-10,3,3,0
Chart-8,5,1,-4
Chart-20,13,5,-8
Chart-9,112,14,-98
Mockito-32,17,2,-15
Mockito-24,5,5,0
Mockito-4,7,5,-2
Mockito-19,23,12,-11
Mockito-35,2,1,-1
Mockito-29,128,31,-97
Mockito-14,57,96,39
Mockito-2,24,3,-21
Mockito-5,4060,4060,0
Mockito-16,5,4,-1
Mockito-3,2,1,-1
Mockito-11,1,1,0
Mockito-6,3,1,-2
Mockito-13,43,85,42
Mockito-23,114,282,168
Mockito-17,1,4,3
Mockito-18,20,5,-15
Mockito-26,-1,-1,0
Mockito-31,3,2,-1
Mockito-1,1,2,1
Mockito-22,18,11,-7
Mockito-28,82,198,116
Mockito-21,3,1,-2
Mockito-37,39,4,-35
Mockito-7,31,50,19
Mockito-25,17,62,45
Mockito-12,9,2,-7
Mockito-38,7,2,-5
Mockito-15,144,178,34
Mockito-10,15,12,-3
Mockito-8,55,31,-24
Mockito-36,5,4,-1
Mockito-33,77,82,5
Mockito-34,35,51,16
Mockito-20,97,71,-26
Mockito-30,2,1,-1
Mockito-9,742,1827,1085
Mockito-27,63,42,-21
Closure-69,1105,2435,1330
Closure-127,941,200,-741
Closure-32,113,35,-78
Closure-119,-1,-1,0
Closure-73,1412,1355,-57
Closure-24,1,1,0
Closure-40,100,120,20
Closure-120,89,285,196
Closure-4,25,168,143
Closure-91,1183,284,-899
Closure-74,15,71,56
Closure-109,1,33,32
Closure-106,7,26,19
Closure-19,1,1,0
Closure-35,26,6,-20
