Project,MinRank1,MinRank2,Difference
Chart1,26,42,16
Chart2,92,92,0
Chart3,7,3,-4
Chart4,23,171,148
Chart5,7,8,1
Chart6,61,57,-4
Chart7,70,81,11
Chart8,7,1,-6
Chart9,29,14,-15
Chart10,3,3,0
Chart11,3,5,2
Chart12,18,13,-5
Chart13,79,47,-32
Chart14,15,6,-9
Chart15,5,29,24
Chart16,11,1,-10
Chart17,1,2,1
Chart18,1,3,2
Chart19,2,1,-1
Chart20,11,5,-6
Chart21,4,3,-1
Chart22,1,12,11
Chart24,1,3,2
Chart25,309,2640,2331
Chart26,5,134,129
Closure1,122,240,118
Closure2,69,95,26
Closure3,325,279,-46
Closure4,36,168,132
Closure5,91,154,63
Closure6,1,1,0
Closure7,2,2,0
Closure8,111,123,12
Closure9,3,1,-2
Closure10,165,264,99
Closure11,574,2712,2138
Closure12,676,1081,405
Closure13,5013,5651,638
Closure14,1,3,2
Closure15,141,185,44
Closure16,96,111,15
Closure17,68,114,46
Closure18,810,1805,995
Closure19,1,1,0
Closure20,34,2,-32
Closure21,1,7,6
Closure22,1,2,1
Closure23,33,8,-25
Closure24,1,1,0
Closure25,133,107,-26
Closure26,11,5,-6
Closure27,1,3,2
Closure29,228,394,166
Closure30,151,222,71
Closure31,883,1492,609
Closure32,53,35,-18
Closure33,429,573,144
Closure34,449,199,-250
Closure35,20,6,-14
Closure36,625,1062,437
Closure37,536,967,431
Closure38,345,284,-61
Closure39,47,68,21
Closure40,105,120,15
Closure41,586,902,316
Closure42,1,1,0
Closure43,219,465,246
Closure44,472,571,99
Closure45,183,280,97
Closure46,1,1,0
Closure47,29,336,307
Closure48,502,2192,1690
Closure49,662,1172,510
Closure50,97,88,-9
Closure51,248,274,26
Closure52,100,138,38
Closure53,48,47,-1
Closure54,45,39,-6
Closure55,241,329,88
Closure56,19,59,40
Closure57,71,48,-23
Closure58,2,7,5
Closure59,4496,5974,1478
Closure60,26,29,3
Closure61,108,115,7
Closure62,1,4,3
Closure63,1,4,3
Closure64,564,1556,992
Closure65,64,71,7
Closure66,2885,2781,-104
Closure67,91,223,132
Closure68,6,3,-3
Closure69,1572,2435,863
Closure70,1901,2674,773
Closure71,204,383,179
Closure72,347,241,-106
Closure73,1360,1355,-5
Closure74,18,71,53
Closure75,7,8,1
Closure76,68,116,48
Closure77,1034,1329,295
Closure78,64,1,-63
Closure79,10,49,39
Closure80,12,20,8
Closure81,115,137,22
Closure82,386,599,213
Closure83,17,10,-7
Closure84,121,172,51
Closure85,63,162,99
Closure86,3,2,-1
Closure87,130,150,20
Closure88,76,69,-7
Closure89,125,164,39
Closure90,24,46,22
Closure91,1044,284,-760
Closure92,67,85,18
Closure93,67,85,18
Closure94,5,4,-1
Closure95,1124,1640,516
Closure96,240,424,184
Closure97,19,1,-18
Closure98,211,425,214
Closure99,141,22,-119
Closure100,1,7,6
Closure101,651,2775,2124
Closure102,4120,4752,632
Closure103,199,290,91
Closure104,14,13,-1
Closure105,41,7,-34
Closure106,5,26,21
Closure107,153,132,-21
Closure108,107,237,130
Closure109,7,33,26
Closure110,11,2,-9
Closure111,1,1,0
Closure112,65,89,24
Closure113,12,17,5
Closure114,101,215,114
Closure115,8,8,0
Closure116,13,14,1
Closure117,186,279,93
Closure118,3,2,-1
Closure120,131,285,154
Closure121,274,388,114
Closure122,5,9,4
Closure123,139,219,80
Closure124,4,10,6
Closure125,436,563,127
Closure126,66,5,-61
Closure127,301,200,-101
Closure128,144,133,-11
Closure129,2179,2329,150
Closure130,342,545,203
Closure131,245,340,95
Closure132,75,80,5
Closure133,429,597,168
Lang1,1,3,2
Lang2,1,3,2
Lang3,1,3,2
Lang4,5,2,-3
Lang5,1,1,0
Lang6,89,98,9
Lang7,4,122,118
Lang8,12,8,-4
Lang9,193,92,-101
Lang10,41,48,7
Lang11,6,3,-3
Lang12,1,5,4
Lang13,2,5,3
Lang14,1,4,3
Lang15,40,191,151
Lang16,68,27,-41
Lang17,12,102,90
Lang18,49,41,-8
Lang19,2,8,6
Lang20,2,8,6
Lang21,2,2,0
Lang22,34,26,-8
Lang24,1,64,63
Lang26,10,7,-3
Lang27,55,127,72
Lang28,1,3,2
Lang30,1,8,7
Lang31,1,4,3
Lang32,2,26,24
Lang33,2,7,5
Lang34,44,61,17
Lang35,1,2,1
Lang36,51,42,-9
Lang37,1,6,5
Lang38,3,3,0
Lang39,10,27,17
Lang40,1,2,1
Lang41,6,6,0
Lang42,24,13,-11
Lang43,4,6,2
Lang44,10,3,-7
Lang45,3,10,7
Lang46,1,1,0
Lang47,6,5,-1
Lang48,6,2,-4
Lang49,2,1,-1
Lang50,12,8,-4
Lang53,2,16,14
Lang54,2,3,1
Lang55,3,7,4
Lang57,2,6,4
Lang58,54,20,-34
Lang59,1,6,5
Lang60,3,2,-1
Lang61,1,21,20
Lang62,12,4,-8
Lang63,1,1,0
Lang64,7,4,-3
Lang65,3,7,4
Math1,14,11,-3
Math2,50,44,-6
Math3,2,3,1
Math4,8,17,9
Math5,1,1,0
Math6,66,170,104
Math7,12,42,30
Math8,1,4,3
Math9,1,1,0
Math10,26,12,-14
Math11,77,31,-46
Math13,64,159,95
Math14,85,99,14
Math15,185,211,26
Math16,132,214,82
Math17,63,258,195
Math18,31,14,-17
Math19,43,56,13
Math20,88,598,510
Math21,6,41,35
Math22,1,1,0
Math23,107,148,41
Math24,102,150,48
Math25,9,1,-8
Math26,25,38,13
Math27,1,1,0
Math28,9,12,3
Math29,1,6,5
Math30,32,41,9
Math31,42,101,59
Math32,2,4,2
Math33,26,44,18
Math34,1,3,2
Math35,6,3,-3
Math36,1,2,1
Math37,8,6,-2
Math38,2,5,3
Math39,133,117,-16
Math40,34,33,-1
Math41,34,43,9
Math42,108,72,-36
Math43,56,62,6
Math44,19,14,-5
Math45,2,1,-1
Math46,1,1,0
Math47,2,2,0
Math48,30,355,325
Math49,11,7,-4
Math50,1,1,0
Math51,22,30,8
Math52,14,22,8
Math53,3,1,-2
Math54,362,306,-56
Math55,1,1,0
Math56,4,20,16
Math57,1,4,3
Math58,239,545,306
Math59,2,2,0
Math60,35,36,1
Math61,33,1,-32
Math62,121,128,7
Math63,1,1,0
Math64,22,143,121
Math65,7,41,34
Math66,17,81,64
Math67,91,8,-83
Math68,5,127,122
Math69,158,44,-114
Math70,1,1,0
Math71,1,1,0
Math72,1,1,0
Math73,7,1,-6
Math74,501,777,276
Math75,1,1,0
Math76,158,99,-59
Math77,1,19,18
Math78,17,117,100
Math79,12,29,17
Math80,5,14,9
Math81,3,10,7
Math82,153,151,-2
Math83,1,40,39
Math84,25,45,20
Math85,53,77,24
Math86,60,71,11
Math87,6,115,109
Math88,1,1,0
Math89,1,1,0
Math90,2,3,1
Math91,1,1,0
Math92,1,2,1
Math93,2,2,0
Math94,3,6,3
Math95,12,15,3
Math96,6,5,-1
Math97,3,1,-2
Math98,2,4,2
Math99,1,4,3
Math100,7,9,2
Math101,52,12,-40
Math102,1,3,2
Math103,30,32,2
Math105,5,25,20
Math106,28,10,-18
Mockito1,1,2,1
Mockito2,27,3,-24
Mockito3,3,1,-2
Mockito4,4,5,1
Mockito5,4060,4060,0
Mockito6,2,1,-1
Mockito7,21,50,29
Mockito8,54,31,-23
Mockito9,1827,1827,0
Mockito10,13,12,-1
Mockito11,1,1,0
Mockito12,6,2,-4
Mockito13,33,85,52
Mockito14,46,96,50
Mockito15,149,178,29
Mockito16,4,4,0
Mockito17,1,4,3
Mockito18,7,5,-2
Mockito19,32,12,-20
Mockito20,95,71,-24
Mockito21,2,1,-1
Mockito22,10,11,1
Mockito23,163,282,119
Mockito24,3,5,2
Mockito25,36,62,26
Mockito26,3018,-1,-1
Mockito27,34,42,8
Mockito28,135,198,63
Mockito29,66,31,-35
Mockito30,1,1,0
Mockito31,2,2,0
Mockito32,29,2,-27
Mockito33,58,82,24
Mockito34,31,51,20
Mockito35,1,1,0
Mockito36,3,4,1
Mockito37,89,4,-85
Mockito38,5,2,-3
Time1,2,2,0
Time2,4,3,-1
Time3,5,1,-4
Time4,9,30,21
Time5,14,26,12
Time6,1,3,2
Time7,14,16,2
Time8,21,24,3
Time9,5,3,-2
Time10,157,197,40
Time11,180,448,268
Time12,2,4,2
Time13,19,19,0
Time14,1,5,4
Time15,2,2,0
Time16,13,7,-6
Time17,1,5,4
Time18,2,3,1
Time19,358,620,262
Time20,995,942,-53
Time21,14,33,19
Time22,10,16,6
Time23,132,41,-91
Time24,376,466,90
Time25,156,306,150
Time26,129,396,267
Time27,224,346,122
