Project,now,before,Difference
Chart1,32,42,10
Chart2,112,137,25
Chart3,7,3,-4
Chart4,6,17,11
Chart5,6,8,2
Chart6,9,16,7
Chart7,72,81,9
Chart8,7,1,-6
Chart9,15,14,-1
Chart10,3,3,0
Chart11,3,5,2
Chart12,18,13,-5
Chart13,79,47,-32
Chart14,334,317,-17
Chart15,4,29,25
Chart16,8,1,-7
Chart17,1,2,1
Chart18,3,3,0
Chart19,477,474,-3
Chart20,7,5,-2
Chart21,4,3,-1
Chart22,49,61,12
Chart24,1,3,2
Chart25,2599,2745,146
Chart26,24,134,110
Closure1,55,121,66
Closure2,1701,1666,-35
Closure3,315,275,-40
Closure4,7,157,150
Closure5,67,154,87
Closure6,3098,3885,787
Closure7,844,909,65
Closure8,108,123,15
Closure9,2,1,-1
Closure10,2798,2889,91
Closure11,2044,2641,597
Closure12,992,1081,89
Closure13,5639,5651,12
Closure14,3,1,-2
Closure15,53,185,132
Closure16,23,2,-21
Closure17,2313,2301,-12
Closure18,386,661,275
Closure19,2267,2272,5
Closure20,55,2,-53
Closure21,2782,2788,6
Closure22,2801,2787,-14
Closure23,66,8,-58
Closure24,1,1,0
Closure25,130,107,-23
Closure26,2184,2181,-3
Closure27,76,35,-41
Closure29,296,184,-112
Closure30,24,102,78
Closure31,177,409,232
Closure32,665,673,8
Closure33,2360,2576,216
Closure34,8,6,-2
Closure35,70,6,-64
Closure36,384,1062,678
Closure37,76,171,95
Closure38,6,7,1
Closure39,669,662,-7
Closure40,16,35,19
Closure41,2008,2163,155
Closure42,1,1,0
Closure43,1842,2222,380
Closure44,142,153,11
Closure45,253,280,27
Closure46,8,1,-7
Closure47,1960,1914,-46
Closure48,2222,2324,102
Closure49,74,96,22
Closure50,88,76,-12
Closure51,6,13,7
Closure52,1830,2028,198
Closure53,47,47,0
Closure54,231,1478,1247
Closure55,317,329,12
Closure56,433,593,160
Closure57,1731,1729,-2
Closure58,1,7,6
Closure59,1599,2114,515
Closure60,1964,2348,384
Closure61,1902,1895,-7
Closure62,10,13,3
Closure63,10,13,3
Closure64,164,364,200
Closure65,2426,2328,-98
Closure66,2733,2557,-176
Closure67,74,116,42
Closure68,9,3,-6
Closure69,2413,2275,-138
Closure70,2376,2295,-81
Closure71,2481,2498,17
Closure72,242,241,-1
Closure73,1996,1977,-19
Closure74,2,10,8
Closure75,2364,2358,-6
Closure76,11,79,68
Closure77,1958,1956,-2
Closure78,49,1,-48
Closure79,1617,1676,59
Closure80,1367,1615,248
Closure81,1,1,0
Closure82,65,164,99
Closure83,10,10,0
Closure84,8,9,1
Closure85,11,86,75
Closure86,1416,1947,531
Closure87,144,150,6
Closure88,95,69,-26
Closure89,115,133,18
Closure90,1613,1579,-34
Closure91,406,284,-122
Closure92,4,85,81
Closure93,4,85,81
Closure94,1463,1463,0
Closure95,1178,1192,14
Closure96,2017,2028,11
Closure97,27,1,-26
Closure98,330,425,95
Closure99,38,4,-34
Closure100,1427,1428,1
Closure101,2644,2775,131
Closure102,4651,4752,101
Closure103,1569,1805,236
Closure104,269,533,264
Closure105,61,7,-54
Closure106,1823,1826,3
Closure107,148,132,-16
Closure108,61,237,176
Closure109,105,137,32
Closure110,2069,1931,-138
Closure111,4,1,-3
Closure112,31,64,33
Closure113,10,17,7
Closure114,167,215,48
Closure115,61,8,-53
Closure116,14,3,-11
Closure117,1778,1845,67
Closure118,140,2,-138
Closure120,2288,2413,125
Closure121,318,388,70
Closure122,237,233,-4
Closure123,1997,2096,99
Closure124,3,10,7
Closure125,1805,1913,108
Closure126,66,5,-61
Closure127,308,187,-121
Closure128,1947,1949,2
Closure129,381,330,-51
Closure130,463,545,82
Closure131,1550,1696,146
Closure132,59,80,21
Closure133,593,597,4
Lang1,1,3,2
Lang2,2,3,1
Lang3,2,3,1
Lang4,3,2,-1
Lang5,1,1,0
Lang6,99,98,-1
Lang7,2,122,120
Lang8,199,189,-10
Lang9,83,55,-28
Lang10,22,17,-5
Lang11,6,3,-3
Lang12,1,4,3
Lang13,2,5,3
Lang14,1,4,3
Lang15,8,12,4
Lang16,67,27,-40
Lang17,101,102,1
Lang18,57,41,-16
Lang19,6,6,0
Lang20,21,27,6
Lang21,2,2,0
Lang22,15,14,-1
Lang24,1,64,63
Lang26,7,7,0
Lang27,42,127,85
Lang28,1,3,2
Lang30,23,30,7
Lang31,1,4,3
Lang32,2,26,24
Lang33,2,7,5
Lang34,19,5,-14
Lang35,1,2,1
Lang36,46,42,-4
