Project,Statement,Rank1,Rank2,Difference
Chart1,org.jfree.chart.renderer.category.AbstractCategoryItemRenderer#1797,22,42,20
Chart2,org.jfree.data.general.DatasetUtilities#755,133,147,14
Chart2,org.jfree.data.general.DatasetUtilities#757,117,149,32
Chart2,org.jfree.data.general.DatasetUtilities#758,1122,1122,0
Chart2,org.jfree.data.general.DatasetUtilities#761,1123,1123,0
Chart2,org.jfree.data.general.DatasetUtilities#1242,83,137,54
Chart2,org.jfree.data.general.DatasetUtilities#1243,142,138,-4
Chart2,org.jfree.data.general.DatasetUtilities#1245,1115,1115,0
Chart2,org.jfree.data.general.DatasetUtilities#1248,1116,1116,0
Chart3,org.jfree.data.time.TimeSeries#1056,28,3,-25
Chart3,org.jfree.data.time.TimeSeries#1057,14,4,-10
Chart4,org.jfree.chart.plot.XYPlot#4493,9,17,8
Chart5,org.jfree.data.xy.XYSeries#548,7,8,1
Chart6,org.jfree.chart.util.ShapeList#111,17,16,-1
Chart7,org.jfree.data.time.TimePeriodValues#300,68,81,13
Chart7,org.jfree.data.time.TimePeriodValues#302,116,82,-34
Chart8,org.jfree.data.time.Week#175,8,1,-7
Chart9,org.jfree.data.time.TimeSeries#944,104,14,-90
Chart10,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator#65,3,3,0
Chart11,org.jfree.chart.util.ShapeUtilities#275,3,5,2
Chart12,org.jfree.chart.plot.MultiplePiePlot#145,37,13,-24
Chart13,org.jfree.chart.block.BorderArrangement#454,226,47,-179
Chart14,org.jfree.chart.plot.XYPlot#2293,315,330,15
Chart14,org.jfree.chart.plot.XYPlot#2529,320,337,17
Chart14,org.jfree.chart.plot.CategoryPlot#2166,306,317,11
Chart14,org.jfree.chart.plot.CategoryPlot#2448,336,324,-12
Chart15,org.jfree.chart.plot.PiePlot#1379,7454,7415,-39
Chart15,org.jfree.chart.plot.PiePlot#2051,22,29,7
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#207,13,1,-12
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#208,19,2,-17
Chart16,org.jfree.data.category.DefaultIntervalCategoryDataset#338,41,37,-4
Chart17,org.jfree.data.time.TimeSeries#857,3,2,-1
Chart18,org.jfree.data.DefaultKeyedValues#318,4,3,-1
Chart18,org.jfree.data.DefaultKeyedValues#335,1,26,25
Chart18,org.jfree.data.DefaultKeyedValues2D#455,10,27,17
Chart18,org.jfree.data.DefaultKeyedValues2D#458,12,30,18
Chart18,org.jfree.data.DefaultKeyedValues2D#460,50,32,-18
Chart19,org.jfree.chart.plot.CategoryPlot#698,463,474,11
Chart19,org.jfree.chart.plot.CategoryPlot#973,327,475,148
Chart20,org.jfree.chart.plot.ValueMarker#95,14,5,-9
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#158,4,80,76
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#159,53,81,28
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#160,92,82,-10
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#162,66,83,17
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#163,103,84,-19
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#164,97,85,-12
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#167,49,86,37
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#168,79,87,8
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#169,75,88,13
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#170,93,89,-4
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#172,47,24,-23
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#173,14,3,-11
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#174,15,4,-11
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#175,24,5,-19
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#178,89,90,1
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#179,70,91,21
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#180,64,92,28
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#181,83,93,10
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#183,40,12,-28
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#184,363,363,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#185,364,364,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#186,365,365,0
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#740,5,13,8
Chart21,org.jfree.data.statistics.DefaultBoxAndWhiskerCategoryDataset#741,48,14,-34
Chart22,org.jfree.data.KeyedObjects2D#231,36,68,32
Chart22,org.jfree.data.KeyedObjects2D#233,57,70,13
Chart22,org.jfree.data.KeyedObjects2D#378,32,61,29
Chart22,org.jfree.data.KeyedObjects2D#345,86,91,5
Chart24,org.jfree.chart.renderer.GrayPaintScale#126,1,3,2
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#260,2622,2745,123
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#315,993,2764,1771
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#459,1247,2956,1709
Chart25,org.jfree.chart.renderer.category.StatisticalBarRenderer#404,2670,2937,267
Chart26,org.jfree.chart.axis.Axis#1192,28,134,106
Closure1,com.google.javascript.jscomp.RemoveUnusedVars#380,214,121,-93
Closure2,com.google.javascript.jscomp.TypeCheck#1574,1393,1666,273
Closure3,com.google.javascript.jscomp.FlowSensitiveInlineVariables#155,125,434,309
Closure3,com.google.javascript.jscomp.FlowSensitiveInlineVariables#376,1404,275,-1129
Closure4,com.google.javascript.rhino.jstype.NamedType#190,17,157,140
Closure4,com.google.javascript.rhino.jstype.NamedType#202,16253,16253,0
Closure5,com.google.javascript.jscomp.InlineObjectLiterals#169,994,166,-828
Closure5,com.google.javascript.jscomp.InlineObjectLiterals#185,28,154,126
Closure6,com.google.javascript.jscomp.TypeValidator#366,2986,3987,1001
Closure6,com.google.javascript.jscomp.TypeValidator#367,992,3885,2893
Closure6,com.google.javascript.jscomp.TypeValidator#405,5612,4967,-645
Closure6,com.google.javascript.jscomp.TypeValidator#406,5489,4880,-609
Closure7,com.google.javascript.jscomp.type.ChainableReverseAbstractInterpreter#613,830,909,79
Closure8,com.google.javascript.jscomp.CollapseVariableDeclarations#202,66,123,57
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#183,2649,2649,0
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#120,2,11,9
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#121,34,1,-33
Closure9,com.google.javascript.jscomp.ProcessCommonJSModules#124,4,12,8
Closure10,com.google.javascript.jscomp.NodeUtil#1417,2008,2889,881
Closure11,com.google.javascript.jscomp.TypeCheck#1314,1868,2719,851
Closure11,com.google.javascript.jscomp.TypeCheck#1315,986,2641,1655
Closure12,com.google.javascript.jscomp.MaybeReachingVariableUse#160,340,1081,741
Closure13,com.google.javascript.jscomp.PeepholeOptimizationsPass#126,4106,5651,1545
Closure13,com.google.javascript.jscomp.PeepholeOptimizationsPass#128,4409,5653,1244
Closure13,com.google.javascript.jscomp.PeepholeOptimizationsPass#127,5167,5652,485
