Project,MinRank1,MinRank2,Difference
Chart1,22,42,20
Chart2,83,137,54
Chart3,14,3,-11
Chart4,9,17,8
Chart5,7,8,1
Chart6,17,16,-1
Chart7,68,81,13
Chart8,8,1,-7
Chart9,104,14,-90
Chart10,3,3,0
Chart11,3,5,2
Chart12,37,13,-24
Chart13,226,47,-179
Chart14,306,317,11
Chart15,22,29,7
Chart16,13,1,-12
Chart17,3,2,-1
Chart18,1,3,2
Chart19,327,474,147
Chart20,14,5,-9
Chart21,4,3,-1
Chart22,32,61,29
Chart24,1,3,2
Chart25,993,2745,1752
Chart26,28,134,106
Closure1,214,121,-93
Closure2,1393,1666,273
Closure3,125,275,150
Closure4,17,157,140
Closure5,28,154,126
Closure6,992,3885,2893
Closure7,830,909,79
Closure8,66,123,57
Closure9,2,1,-1
Closure10,2008,2889,881
Closure11,986,2641,1655
Closure12,340,1081,741
Closure13,4106,5651,1545
Closure14,4,1,-3
Closure15,42,185,143
Closure16,145,2,-143
Closure17,1397,2301,904
Closure18,224,661,437
Closure19,1388,2272,884
Closure20,334,2,-332
Closure21,1379,2788,1409
Closure22,1635,2787,1152
Closure23,853,8,-845
Closure24,12,1,-11
Closure25,69,107,38
Closure26,552,2181,1629
Closure27,96,35,-61
Closure29,1452,184,-1268
Closure30,58,102,44
Closure31,130,409,279
Closure32,187,673,486
Closure33,1946,2576,630
Closure34,513,6,-507
Closure35,366,6,-360
Closure36,545,1062,517
Closure37,30,171,141
Closure38,398,7,-391
Closure39,591,662,71
Closure40,162,35,-127
Closure41,974,2163,1189
Closure42,3,1,-2
Closure43,397,2222,1825
Closure44,208,153,-55
Closure45,63,280,217
Closure46,30,1,-29
Closure47,1049,1914,865
Closure48,1480,2324,844
Closure49,92,96,4
Closure50,451,76,-375
Closure51,155,13,-142
Closure52,1060,2028,968
Closure53,86,47,-39
Closure54,103,1478,1375
Closure55,185,329,144
Closure56,72,593,521
Closure57,1566,1729,163
Closure58,2,7,5
Closure59,847,2114,1267
Closure60,945,2348,1403
Closure61,1280,1895,615
Closure62,1,13,12
Closure63,1,13,12
Closure64,61,364,303
Closure65,2397,2328,-69
Closure66,2589,2557,-32
Closure67,6,116,110
Closure68,21,3,-18
Closure69,2360,2275,-85
Closure70,2139,2295,156
Closure71,2351,2498,147
Closure72,316,241,-75
Closure73,1831,1977,146
Closure74,8,10,2
Closure75,1667,2358,691
Closure76,26,79,53
Closure77,1607,1956,349
Closure78,2019,1,-2018
Closure79,455,1676,1221
Closure80,822,1615,793
Closure81,35,1,-34
Closure82,108,164,56
Closure83,19,10,-9
Closure84,14,9,-5
Closure85,9,86,77
Closure86,795,1947,1152
Closure87,129,150,21
Closure88,1325,69,-1256
Closure89,248,133,-115
Closure90,1272,1579,307
Closure91,884,284,-600
Closure92,13,85,72
Closure93,13,85,72
Closure94,1471,1463,-8
Closure95,895,1192,297
Closure96,1020,2028,1008
Closure97,61,1,-60
Closure98,31,425,394
Closure99,481,4,-477
Closure100,385,1428,1043
Closure101,938,2775,1837
Closure102,1060,4752,3692
Closure103,879,1805,926
Closure104,244,533,289
Closure105,93,7,-86
Closure106,804,1826,1022
Closure107,105,132,27
Closure108,5,237,232
Closure109,7,137,130
Closure110,2263,1931,-332
